,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",381.0,0.015758127223095376,"('happy', 'hour')",89.0,0.0036811845969309674,"('favorite', 'spot', 'tampa')",13,0.0005377233620119127
1,"('great',)",344.0,0.014227810406154355,"('volcano', 'roll')",40.0,0.0016544649873847044,"('will', 'definitely', 'back')",12,0.0004963600264725347
2,"('good',)",307.0,0.012697493589213335,"('best', 'tampa')",39.0,0.0016131033627000868,"('cant', 'go', 'wrong')",11,0.00045499669093315687
3,"('service',)",227.0,0.009388700471503019,"('great', 'service')",34.0,0.0014062952392769987,"('candy', 'cane', 'roll')",10,0.00041363335539377897
4,"('fresh',)",219.0,0.009057821159731987,"('crab', 'rangoon')",33.0,0.0013649336145923811,"('red', 'dragon', 'roll')",10,0.00041363335539377897
5,"('tampa',)",215.0,0.008892381503846473,"('highly', 'recommend')",32.0,0.0013235719899077636,"('wait', 'go', 'back')",9,0.00037227001985440107
6,"('soho',)",192.0,0.007941103482504756,"('fried', 'rice')",30.0,0.0012408487405385284,"('roll', 'volcano', 'roll')",8,0.00033090668431502316
7,"('best',)",190.0,0.007858383654561998,"('spicy', 'tuna')",29.0,0.0011994871158539108,"('parking', 'lot', 'small')",8,0.00033090668431502316
8,"('parking',)",173.0,0.007155265117048557,"('candy', 'cane')",28.0,0.001158125491169293,"('red', 'devil', 'roll')",8,0.00033090668431502316
9,"('always',)",166.0,0.006865745719248904,"('go', 'back')",28.0,0.001158125491169293,"('next', 'time', 'im')",8,0.00033090668431502316
10,"('time',)",151.0,0.00624534700967822,"('red', 'dragon')",28.0,0.001158125491169293,"('spicy', 'crunchy', 'tuna')",7,0.00028954334877564526
11,"('go',)",144.0,0.005955827611878567,"('parking', 'lot')",27.0,0.0011167638664846755,"('cant', 'wait', 'go')",7,0.00028954334877564526
12,"('tuna',)",141.0,0.00583174786996443,"('will', 'definitely')",26.0,0.0010754022418000579,"('mayo', 'eel', 'sauce')",7,0.00028954334877564526
13,"('delicious',)",134.0,0.0055422284721647775,"('donut', 'roll')",26.0,0.0010754022418000579,"('spicy', 'tuna', 'roll')",7,0.00028954334877564526
14,"('also',)",133.0,0.0055008685581933985,"('next', 'time')",24.0,0.0009926789924308227,"('best', 'ive', 'ever')",7,0.00028954334877564526
15,"('amazing',)",131.0,0.0054181487302506414,"('service', 'great')",23.0,0.000951317367746205,"('great', 'happy', 'hour')",7,0.00028954334877564526
16,"('really',)",128.0,0.0052940689883365045,"('miso', 'soup')",23.0,0.000951317367746205,"('spicy', 'mayo', 'eel')",7,0.00028954334877564526
17,"('love',)",127.0,0.0052527090743651255,"('best', 'ive')",22.0,0.0009099557430615875,"('happy', 'hour', '57')",6,0.00024818001323626736
18,"('back',)",127.0,0.0052527090743651255,"('every', 'time')",22.0,0.0009099557430615875,"('happy', 'hour', 'menu')",6,0.00024818001323626736
19,"('try',)",124.0,0.005128629332450989,"('come', 'back')",21.0,0.0008685941183769699,"('happy', 'hour', 'specials')",6,0.00024818001323626736
20,"('get',)",123.0,0.00508726941847961,"('spicy', 'mayo')",21.0,0.0008685941183769699,"('will', 'go', 'back')",6,0.00024818001323626736
21,"('favorite',)",121.0,0.005004549590536852,"('fresh', 'delicious')",20.0,0.0008272324936923522,"('time', 'im', 'tampa')",6,0.00024818001323626736
22,"('will',)",116.0,0.004797750020679957,"('staff', 'friendly')",19.0,0.0007858708690077346,"('roll', 'red', 'dragon')",6,0.00024818001323626736
23,"('ive',)",115.0,0.004756390106708578,"('really', 'good')",19.0,0.0007858708690077346,"('roll', 'donut', 'roll')",6,0.00024818001323626736
24,"('like',)",110.0,0.004549590536851683,"('first', 'time')",19.0,0.0007858708690077346,"('sure', 'make', 'reservation')",5,0.00020681667769688948
25,"('happy',)",109.0,0.004508230622880304,"('favorite', 'spot')",18.0,0.000744509244323117,"('fried', 'ice', 'cream')",5,0.00020681667769688948
26,"('definitely',)",106.0,0.004384150880966168,"('spot', 'tampa')",17.0,0.0007031476196384994,"('chicken', 'fried', 'rice')",5,0.00020681667769688948
27,"('restaurant',)",104.0,0.00430143105302341,"('ring', 'fire')",17.0,0.0007031476196384994,"('ring', 'fire', 'roll')",5,0.00020681667769688948
28,"('can',)",104.0,0.00430143105302341,"('ive', 'ever')",17.0,0.0007031476196384994,"('hands', 'best', 'tampa')",5,0.00020681667769688948
29,"('menu',)",103.0,0.004260071139052031,"('always', 'fresh')",16.0,0.0006617859949538818,"('try', 'something', 'new')",5,0.00020681667769688948
30,"('hour',)",101.0,0.004177351311109273,"('ginger', 'salad')",15.0,0.0006204243702692642,"('best', 'ive', 'tampa')",5,0.00020681667769688948
31,"('ordered',)",100.0,0.004135991397137894,"('best', 'ever')",15.0,0.0006204243702692642,"('definitely', 'go', 'back')",5,0.00020681667769688948
32,"('well',)",97.0,0.004011911655223757,"('5', 'stars')",15.0,0.0006204243702692642,"('finished', 'spicy', 'mayo')",4,0.00016545334215751158
33,"('bar',)",96.0,0.003970551741252378,"('sat', 'bar')",15.0,0.0006204243702692642,"('read', 'reviews', 'yelp')",4,0.00016545334215751158
34,"('nice',)",94.0,0.0038878319133096202,"('cream', 'cheese')",15.0,0.0006204243702692642,"('will', 'definitely', 'return')",4,0.00016545334215751158
35,"('spicy',)",93.0,0.0038464719993382412,"('fish', 'fresh')",15.0,0.0006204243702692642,"('great', 'quality', 'fish')",4,0.00016545334215751158
36,"('staff',)",93.0,0.0038464719993382412,"('eel', 'sauce')",14.0,0.0005790627455846465,"('tampa', 'bay', 'area')",4,0.00016545334215751158
37,"('wait',)",92.0,0.0038051120853668623,"('go', 'wrong')",14.0,0.0005790627455846465,"('give', '5', 'stars')",4,0.00016545334215751158
38,"('got',)",91.0,0.0037637521713954833,"('ice', 'cream')",14.0,0.0005790627455846465,"('staff', 'always', 'friendly')",4,0.00016545334215751158
39,"('recommend',)",89.0,0.0036810323434527258,"('definitely', 'back')",14.0,0.0005790627455846465,"('small', 'parking', 'lot')",4,0.00016545334215751158
40,"('friendly',)",88.0,0.003639672429481347,"('parking', 'can')",14.0,0.0005790627455846465,"('crunchy', 'spicy', 'tuna')",4,0.00016545334215751158
41,"('im',)",86.0,0.003556952601538589,"('far', 'best')",14.0,0.0005790627455846465,"('ginger', 'salad', 'miso')",4,0.00016545334215751158
42,"('quality',)",85.0,0.00351559268756721,"('south', 'tampa')",14.0,0.0005790627455846465,"('definitely', 'come', 'back')",4,0.00016545334215751158
43,"('fried',)",81.0,0.003350153031681694,"('make', 'sure')",14.0,0.0005790627455846465,"('seated', 'right', 'away')",4,0.00016545334215751158
