,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",107.0,0.01434700992223116,"('st', 'pete')",18.0,0.002413839345581333,"('sweet', 'potato', 'fries')",7,0.0009388412017167382
1,"('good',)",89.0,0.01193349423437919,"('brown', 'rice')",15.0,0.002011532787984444,"('mochi', 'ice', 'cream')",5,0.0006706008583690987
2,"('can',)",84.0,0.011263073209975865,"('soy', 'sauce')",13.0,0.0017433284162531849,"('will', 'definitely', 'back')",5,0.0006706008583690987
3,"('great',)",78.0,0.010458567980691875,"('miso', 'soup')",12.0,0.0016092262303875552,"('domo', 'arigato', 'mr')",5,0.0006706008583690987
4,"('like',)",72.0,0.009654062751407884,"('will', 'definitely')",11.0,0.0014751240445219256,"('best', 'ive', 'ever')",5,0.0006706008583690987
5,"('fresh',)",63.0,0.008447304907481898,"('ale', 'witch')",11.0,0.0014751240445219256,"('definitely', 'go', 'back')",4,0.000536480686695279
6,"('get',)",57.0,0.007642799678197908,"('highly', 'recommend')",10.0,0.0013410218586562962,"('much', 'ginger', 'wasabi')",3,0.0004023605150214592
7,"('rollbotto',)",57.0,0.007642799678197908,"('ive', 'ever')",9.0,0.0012069196727906666,"('will', 'definitely', 'go')",3,0.0004023605150214592
8,"('love',)",54.0,0.007240547063555913,"('right', 'front')",9.0,0.0012069196727906666,"('kind', 'like', 'subway')",3,0.0004023605150214592
9,"('go',)",48.0,0.006436041834271922,"('go', 'back')",9.0,0.0012069196727906666,"('st', 'pete', 'love')",3,0.0004023605150214592
10,"('also',)",46.0,0.006167873424510592,"('staff', 'friendly')",9.0,0.0012069196727906666,"('strawberry', 'mochi', 'ice')",3,0.0004023605150214592
11,"('back',)",46.0,0.006167873424510592,"('like', 'subway')",9.0,0.0012069196727906666,"('staff', 'always', 'friendly')",3,0.0004023605150214592
12,"('fast',)",44.0,0.0058997050147492625,"('can', 'get')",8.0,0.001072817486925037,"('right', 'front', 'eyes')",3,0.0004023605150214592
13,"('order',)",44.0,0.0058997050147492625,"('first', 'time')",8.0,0.001072817486925037,"('downtown', 'st', 'pete')",3,0.0004023605150214592
14,"('friendly',)",43.0,0.0057656208098685975,"('seaweed', 'salad')",7.0,0.0009387153010594072,"('concept', 'creating', 'roll')",3,0.0004023605150214592
15,"('make',)",43.0,0.0057656208098685975,"('cucumber', 'salad')",7.0,0.0009387153010594072,"('right', 'front', 'like')",3,0.0004023605150214592
16,"('will',)",42.0,0.0056315366049879325,"('really', 'good')",7.0,0.0009387153010594072,"('isnt', 'name', 'says')",2,0.0002682403433476395
17,"('staff',)",40.0,0.0053633681952266025,"('definitely', 'back')",7.0,0.0009387153010594072,"('preset', 'make', 'got')",2,0.0002682403433476395
18,"('restaurant',)",32.0,0.004290694556181282,"('potato', 'fries')",7.0,0.0009387153010594072,"('order', 'preset', 'make')",2,0.0002682403433476395
19,"('delicious',)",31.0,0.004156610351300617,"('sweet', 'potato')",7.0,0.0009387153010594072,"('can', 'order', 'preset')",2,0.0002682403433476395
20,"('rice',)",31.0,0.004156610351300617,"('domo', 'arigato')",6.0,0.0008046131151937776,"('ever', 'can', 'order')",2,0.0002682403433476395
21,"('want',)",31.0,0.004156610351300617,"('will', 'back')",6.0,0.0008046131151937776,"('ive', 'ever', 'can')",2,0.0002682403433476395
22,"('definitely',)",30.0,0.004022526146419952,"('quick', 'lunch')",6.0,0.0008046131151937776,"('rollobotto', 'isnt', 'name')",2,0.0002682403433476395
23,"('sauce',)",29.0,0.0038884419415392865,"('fish', 'chips')",6.0,0.0008046131151937776,"('coolest', 'best', 'ive')",2,0.0002682403433476395
24,"('really',)",29.0,0.0038884419415392865,"('behind', 'counter')",6.0,0.0008046131151937776,"('seaweed', 'salad', 'good')",2,0.0002682403433476395
25,"('much',)",29.0,0.0038884419415392865,"('come', 'back')",6.0,0.0008046131151937776,"('make', 'got', 'volcano')",2,0.0002682403433476395
26,"('quick',)",29.0,0.0038884419415392865,"('ice', 'cream')",6.0,0.0008046131151937776,"('want', 'grab', 'something')",2,0.0002682403433476395
27,"('always',)",28.0,0.0037543577366586215,"('pretty', 'good')",6.0,0.0008046131151937776,"('creamy', 'miso', 'sauce')",2,0.0002682403433476395
28,"('time',)",27.0,0.0036202735317779565,"('fish', 'fresh')",6.0,0.0008046131151937776,"('arigato', 'mr', 'rollbotto')",2,0.0002682403433476395
29,"('best',)",27.0,0.0036202735317779565,"('friendly', 'staff')",6.0,0.0008046131151937776,"('can', 'create', 'roll')",2,0.0002682403433476395
30,"('got',)",26.0,0.0034861893268972916,"('4', 'stars')",6.0,0.0008046131151937776,"('got', 'ta', 'say')",2,0.0002682403433476395
31,"('well',)",26.0,0.0034861893268972916,"('ginger', 'wasabi')",6.0,0.0008046131151937776,"('grab', 'quick', 'roll')",2,0.0002682403433476395
32,"('menu',)",26.0,0.0034861893268972916,"('10', 'pieces')",6.0,0.0008046131151937776,"('salad', 'good', 'also')",2,0.0002682403433476395
33,"('two',)",26.0,0.0034861893268972916,"('best', 'ive')",6.0,0.0008046131151937776,"('got', 'volcano', 'surf')",2,0.0002682403433476395
34,"('way',)",24.0,0.003218020917135961,"('build', 'roll')",6.0,0.0008046131151937776,"('visiting', 'st', 'pete')",2,0.0002682403433476395
35,"('im',)",24.0,0.003218020917135961,"('can', 'pick')",6.0,0.0008046131151937776,"('arigato', 'mr', 'rollboto')",2,0.0002682403433476395
36,"('recommend',)",24.0,0.003218020917135961,"('beer', 'selection')",5.0,0.0006705109293281481,"('fast', 'friendly', 'service')",2,0.0002682403433476395
37,"('service',)",24.0,0.003218020917135961,"('fast', 'style')",5.0,0.0006705109293281481,"('white', 'rice', 'brown')",2,0.0002682403433476395
38,"('right',)",24.0,0.003218020917135961,"('cream', 'cheese')",5.0,0.0006705109293281481,"('fix', 'without', 'spending')",2,0.0002682403433476395
39,"('concept',)",24.0,0.003218020917135961,"('like', 'chipotle')",5.0,0.0006705109293281481,"('sauce', 'pours', 'dispenserhow')",2,0.0002682403433476395
40,"('ive',)",24.0,0.003218020917135961,"('tempura', 'chips')",5.0,0.0006705109293281481,"('never', '5', 'star')",2,0.0002682403433476395
41,"('nice',)",23.0,0.003083936712255296,"('feel', 'like')",5.0,0.0006705109293281481,"('spot', 'next', 'time')",2,0.0002682403433476395
42,"('pretty',)",23.0,0.003083936712255296,"('arigato', 'mr')",5.0,0.0006705109293281481,"('back', 'visiting', 'st')",2,0.0002682403433476395
43,"('fish',)",23.0,0.003083936712255296,"('torpedo', 'claw')",5.0,0.0006705109293281481,"('volcano', 'surf', 'n')",2,0.0002682403433476395
44,"('first',)",23.0,0.003083936712255296,"('spicy', 'tuna')",5.0,0.0006705109293281481,"('definitely', 'back', 'visiting')",2,0.0002682403433476395
45,"('even',)",22.0,0.0029498525073746312,"('open', 'late')",5.0,0.0006705109293281481,"('drinks', '30', 'love')",2,0.0002682403433476395
46,"('line',)",22.0,0.0029498525073746312,"('sesame', 'seeds')",5.0,0.0006705109293281481,"('two', 'drinks', '30')",2,0.0002682403433476395
47,"('made',)",22.0,0.0029498525073746312,"('sit', 'restaurant')",5.0,0.0006705109293281481,"('potstickers', 'two', 'drinks')",2,0.0002682403433476395
48,"('miso',)",21.0,0.0028157683024939663,"('live', 'music')",5.0,0.0006705109293281481,"('potato', 'fries', 'avocado')",2,0.0002682403433476395
49,"('awesome',)",21.0,0.0028157683024939663,"('mochi', 'ice')",5.0,0.0006705109293281481,"('name', 'says', 'good')",2,0.0002682403433476395
50,"('st',)",21.0,0.0028157683024939663,"('can', 'order')",5.0,0.0006705109293281481,"('surf', 'n', 'turf')",2,0.0002682403433476395
51,"('come',)",21.0,0.0028157683024939663,"('can', 'create')",5.0,0.0006705109293281481,"('im', 'picky', 'eater')",2,0.0002682403433476395
52,"('eat',)",21.0,0.0028157683024939663,"('friendly', 'helpful')",4.0,0.0005364087434625185,"('st', 'pete', 'fresh')",2,0.0002682403433476395
53,"('super',)",21.0,0.0028157683024939663,"('friendly', 'service')",4.0,0.0005364087434625185,"('says', 'good', 'good')",2,0.0002682403433476395
54,"('ingredients',)",20.0,0.0026816840976133013,"('dont', 'know')",4.0,0.0005364087434625185,"('station', 'mention', 'also')",2,0.0002682403433476395
55,"('beer',)",20.0,0.0026816840976133013,"('mr', 'rollbotto')",4.0,0.0005364087434625185,"('ginger', 'soy', 'sauce')",2,0.0002682403433476395
56,"('ever',)",20.0,0.0026816840976133013,"('downtown', 'st')",4.0,0.0005364087434625185,"('wasabi', 'ginger', 'soy')",2,0.0002682403433476395
57,"('subway',)",20.0,0.0026816840976133013,"('ill', 'definitely')",4.0,0.0005364087434625185,"('can', 'build', 'roll')",2,0.0002682403433476395
58,"('salad',)",20.0,0.0026816840976133013,"('chipotle', 'style')",4.0,0.0005364087434625185,"('free', 'games', 'soy')",2,0.0002682403433476395
59,"('options',)",19.0,0.0025475998927326363,"('love', 'can')",4.0,0.0005364087434625185,"('games', 'soy', 'sauce')",2,0.0002682403433476395
60,"('little',)",19.0,0.0025475998927326363,"('tokyo', 'tuber')",4.0,0.0005364087434625185,"('soy', 'sauce', 'pours')",2,0.0002682403433476395
61,"('think',)",19.0,0.0025475998927326363,"('quick', 'easy')",4.0,0.0005364087434625185,"('also', 'strawberry', 'mochi')",2,0.0002682403433476395
62,"('experience',)",19.0,0.0025475998927326363,"('also', 'got')",4.0,0.0005364087434625185,"('mention', 'also', 'strawberry')",2,0.0002682403433476395
63,"('pete',)",18.0,0.002413515687851971,"('front', 'eyes')",4.0,0.0005364087434625185,"('service', 'station', 'mention')",2,0.0002682403433476395
64,"('front',)",18.0,0.002413515687851971,"('definitely', 'go')",4.0,0.0005364087434625185,"('mr', 'rollbotto', 'thank')",2,0.0002682403433476395
65,"('fun',)",17.0,0.002279431482971306,"('next', 'time')",4.0,0.0005364087434625185,"('self', 'service', 'station')",2,0.0002682403433476395
66,"('area',)",17.0,0.002279431482971306,"('can', 'choose')",4.0,0.0005364087434625185,"('need', 'self', 'service')",2,0.0002682403433476395
67,"('ginger',)",17.0,0.002279431482971306,"('white', 'rice')",4.0,0.0005364087434625185,"('wasabi', 'need', 'self')",2,0.0002682403433476395
68,"('cool',)",17.0,0.002279431482971306,"('fast', 'friendly')",4.0,0.0005364087434625185,"('ginger', 'wasabi', 'need')",2,0.0002682403433476395
69,"('never',)",17.0,0.002279431482971306,"('late', 'night')",4.0,0.0005364087434625185,"('choose', 'much', 'ginger')",2,0.0002682403433476395
70,"('pick',)",17.0,0.002279431482971306,"('good', 'good')",4.0,0.0005364087434625185,"('fun', 'choose', 'much')",2,0.0002682403433476395
71,"('brown',)",17.0,0.002279431482971306,"('create', 'roll')",4.0,0.0005364087434625185,"('late', 'night', 'dinner')",2,0.0002682403433476395
72,"('big',)",17.0,0.002279431482971306,"('will', 'make')",4.0,0.0005364087434625185,"('dispenserhow', 'fun', 'choose')",2,0.0002682403433476395
73,"('downtown',)",17.0,0.002279431482971306,"('volcano', 'roll')",4.0,0.0005364087434625185,"('friendly', 'helpful', 'staff')",2,0.0002682403433476395
74,"('soy',)",17.0,0.002279431482971306,"('put', 'together')",4.0,0.0005364087434625185,"('origato', 'mr', 'rollbotto')",2,0.0002682403433476395
75,"('quality',)",16.0,0.002145347278090641,"('coming', 'back')",4.0,0.0005364087434625185,"('good', 'good', 'st')",2,0.0002682403433476395
76,"('spot',)",16.0,0.002145347278090641,"('make', 'roll')",4.0,0.0005364087434625185,"('great', 'selection', 'drinks')",2,0.0002682403433476395
77,"('find',)",16.0,0.002145347278090641,"('creamy', 'miso')",4.0,0.0005364087434625185,"('good', 'st', 'pete')",2,0.0002682403433476395
78,"('price',)",16.0,0.002145347278090641,"('much', 'ginger')",4.0,0.0005364087434625185,"('pete', 'fresh', 'fast')",2,0.0002682403433476395
79,"('going',)",16.0,0.002145347278090641,"('fresh', 'ingredients')",4.0,0.0005364087434625185,"('fresh', 'fast', 'customized')",2,0.0002682403433476395
80,"('style',)",16.0,0.002145347278090641,"('volcano', 'topping')",4.0,0.0005364087434625185,"('ale', 'witch', 'courtyard')",2,0.0002682403433476395
