,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('us',)",48.0,0.013836840588065724,"('fried', 'rice')",10.0,0.0028835063437139563,"('restaurant', 'self', 'clean')",4,0.0011537352177675222
1,"('minutes',)",38.0,0.010954165465552033,"('15', 'minutes')",7.0,0.002018454440599769,"('another', '15', 'minutes')",3,0.0008653014133256418
2,"('service',)",37.0,0.010665897953300663,"('10', 'minutes')",6.0,0.0017301038062283738,"('pretty', 'good', 'service')",3,0.0008653014133256418
3,"('time',)",34.0,0.009801095416546555,"('20', 'minutes')",6.0,0.0017301038062283738,"('great', 'take', 'longer')",2,0.0005768676088837611
4,"('ordered',)",32.0,0.009224560392043817,"('st', 'louis')",5.0,0.0014417531718569781,"('aside', 'restaurant', 'self')",2,0.0005768676088837611
5,"('get',)",27.0,0.007783222830786971,"('pretty', 'good')",5.0,0.0014417531718569781,"('putting', 'aside', 'restaurant')",2,0.0005768676088837611
6,"('order',)",27.0,0.007783222830786971,"('st', 'charles')",5.0,0.0014417531718569781,"('nice', 'putting', 'aside')",2,0.0005768676088837611
7,"('restaurant',)",25.0,0.007206687806284232,"('customer', 'service')",4.0,0.0011534025374855825,"('nope', 'smothered', 'whatever')",2,0.0005768676088837611
8,"('server',)",23.0,0.006630152781781493,"('soy', 'sauce')",4.0,0.0011534025374855825,"('things', 'top', 'things')",2,0.0005768676088837611
9,"('asked',)",23.0,0.006630152781781493,"('ordered', 'spicy')",4.0,0.0011534025374855825,"('staff', 'incredibly', 'nice')",2,0.0005768676088837611
10,"('wait',)",23.0,0.006630152781781493,"('come', 'back')",4.0,0.0011534025374855825,"('longer', 'staff', 'incredibly')",2,0.0005768676088837611
11,"('came',)",21.0,0.006053617757278754,"('self', 'clean')",4.0,0.0011534025374855825,"('service', 'received', 'night')",2,0.0005768676088837611
12,"('back',)",21.0,0.006053617757278754,"('restaurant', 'self')",4.0,0.0011534025374855825,"('take', 'longer', 'staff')",2,0.0005768676088837611
13,"('wasabi',)",20.0,0.005765350245027385,"('45', 'minutes')",4.0,0.0011534025374855825,"('incredibly', 'nice', 'putting')",2,0.0005768676088837611
14,"('waitress',)",20.0,0.005765350245027385,"('30', 'minutes')",4.0,0.0011534025374855825,"('self', 'clean', 'tables')",2,0.0005768676088837611
15,"('good',)",19.0,0.005477082732776016,"('friday', 'night')",4.0,0.0011534025374855825,"('overall', 'also', 'great')",2,0.0005768676088837611
16,"('rice',)",18.0,0.0051888152205246466,"('arrived', 'us')",3.0,0.0008650519031141869,"('service', 'overall', 'also')",2,0.0005768676088837611
17,"('table',)",18.0,0.0051888152205246466,"('give', 'us')",3.0,0.0008650519031141869,"('good', 'service', 'overall')",2,0.0005768676088837611
18,"('really',)",17.0,0.004900547708273278,"('minute', 'wait')",3.0,0.0008650519031141869,"('giving', '2', 'stars')",2,0.0005768676088837611
19,"('even',)",16.0,0.004612280196021909,"('third', 'time')",3.0,0.0008650519031141869,"('spicy', 'shrimp', 'fried')",2,0.0005768676088837611
20,"('waiting',)",16.0,0.004612280196021909,"('dining', 'experience')",3.0,0.0008650519031141869,"('shrimp', 'fried', 'rice')",2,0.0005768676088837611
21,"('will',)",16.0,0.004612280196021909,"('good', 'service')",3.0,0.0008650519031141869,"('tempura', 'cali', 'roll')",2,0.0005768676088837611
22,"('also',)",15.0,0.004324012683770539,"('entire', 'time')",3.0,0.0008650519031141869,"('will', 'coming', 'back')",2,0.0005768676088837611
23,"('waited',)",15.0,0.004324012683770539,"('will', 'never')",3.0,0.0008650519031141869,"('15', 'minutes', 'get')",2,0.0005768676088837611
24,"('hour',)",15.0,0.004324012683770539,"('right', 'now')",3.0,0.0008650519031141869,"('waited', '10', 'minutes')",2,0.0005768676088837611
25,"('got',)",15.0,0.004324012683770539,"('wait', 'time')",3.0,0.0008650519031141869,"('also', 'great', 'take')",2,0.0005768676088837611
26,"('manager',)",15.0,0.004324012683770539,"('minutes', 'get')",3.0,0.0008650519031141869,"('clean', 'tables', 'dirty')",2,0.0005768676088837611
27,"('bad',)",15.0,0.004324012683770539,"('another', '15')",3.0,0.0008650519031141869,"('piece', 'floornext', 'table')",2,0.0005768676088837611
28,"('roll',)",14.0,0.00403574517151917,"('night', 'dinner')",3.0,0.0008650519031141869,"('also', 'dirty', 'crusted')",2,0.0005768676088837611
29,"('never',)",13.0,0.0037474776592678004,"('obviously', 'bad')",3.0,0.0008650519031141869,"('repulsive', 'also', 'piece')",2,0.0005768676088837611
30,"('fried',)",13.0,0.0037474776592678004,"('talking', 'us')",3.0,0.0008650519031141869,"('slightly', 'repulsive', 'also')",2,0.0005768676088837611
31,"('night',)",13.0,0.0037474776592678004,"('wont', 'back')",3.0,0.0008650519031141869,"('found', 'slightly', 'repulsive')",2,0.0005768676088837611
32,"('another',)",13.0,0.0037474776592678004,"('surface', 'menu')",2.0,0.0005767012687427913,"('bottle', 'found', 'slightly')",2,0.0005768676088837611
33,"('like',)",13.0,0.0037474776592678004,"('dried', 'well')",2.0,0.0005767012687427913,"('sauce', 'bottle', 'found')",2,0.0005768676088837611
34,"('way',)",12.0,0.003459210147016431,"('aside', 'restaurant')",2.0,0.0005767012687427913,"('soy', 'sauce', 'bottle')",2,0.0005768676088837611
35,"('said',)",12.0,0.003459210147016431,"('putting', 'aside')",2.0,0.0005767012687427913,"('well', 'soy', 'sauce')",2,0.0005768676088837611
36,"('took',)",12.0,0.003459210147016431,"('well', 'soy')",2.0,0.0005767012687427913,"('dried', 'well', 'soy')",2,0.0005768676088837611
37,"('dinner',)",12.0,0.003459210147016431,"('tempura', 'cali')",2.0,0.0005767012687427913,"('crusted', 'dried', 'well')",2,0.0005768676088837611
38,"('can',)",11.0,0.003170942634765062,"('time', '3')",2.0,0.0005767012687427913,"('dirty', 'crusted', 'dried')",2,0.0005768676088837611
39,"('sat',)",11.0,0.003170942634765062,"('30', 'minute')",2.0,0.0005767012687427913,"('menu', 'also', 'dirty')",2,0.0005768676088837611
40,"('told',)",11.0,0.003170942634765062,"('nice', 'putting')",2.0,0.0005767012687427913,"('tables', 'dirty', 'feel')",2,0.0005768676088837611
41,"('go',)",11.0,0.003170942634765062,"('incredibly', 'nice')",2.0,0.0005767012687427913,"('surface', 'menu', 'also')",2,0.0005768676088837611
42,"('didnt',)",11.0,0.003170942634765062,"('staff', 'incredibly')",2.0,0.0005767012687427913,"('across', 'surface', 'menu')",2,0.0005768676088837611
43,"('ive',)",11.0,0.003170942634765062,"('take', 'longer')",2.0,0.0005767012687427913,"('fingers', 'across', 'surface')",2,0.0005768676088837611
44,"('st',)",11.0,0.003170942634765062,"('longer', 'staff')",2.0,0.0005767012687427913,"('running', 'fingers', 'across')",2,0.0005768676088837611
45,"('wasnt',)",10.0,0.0028826751225136927,"('wait', 'another')",2.0,0.0005767012687427913,"('previous', 'meals', 'eaten')",2,0.0005768676088837611
46,"('15',)",10.0,0.0028826751225136927,"('great', 'take')",2.0,0.0005767012687427913,"('residue', 'previous', 'meals')",2,0.0005768676088837611
47,"('tables',)",10.0,0.0028826751225136927,"('also', 'great')",2.0,0.0005767012687427913,"('feel', 'residue', 'previous')",2,0.0005768676088837611
48,"('experience',)",10.0,0.0028826751225136927,"('overall', 'also')",2.0,0.0005767012687427913,"('dirty', 'feel', 'residue')",2,0.0005768676088837611
49,"('made',)",10.0,0.0028826751225136927,"('service', 'overall')",2.0,0.0005767012687427913,"('wait', 'another', '45')",2,0.0005768676088837611
50,"('still',)",10.0,0.0028826751225136927,"('cali', 'roll')",2.0,0.0005767012687427913,"('another', '45', 'minutes')",2,0.0005768676088837611
51,"('3',)",10.0,0.0028826751225136927,"('extremely', 'bad')",2.0,0.0005767012687427913,"('30', 'minute', 'wait')",2,0.0005768676088837611
52,"('10',)",10.0,0.0028826751225136927,"('actually', 'really')",2.0,0.0005767012687427913,"('st', 'charles', 'store')",2,0.0005768676088837611
53,"('water',)",10.0,0.0028826751225136927,"('dont', 'know')",2.0,0.0005767012687427913,"('server', 'obviously', 'bad')",2,0.0005768676088837611
54,"('take',)",9.0,0.0025944076102623233,"('rice', 'burnt')",2.0,0.0005767012687427913,"('chicken', 'obviously', 'precooked')",2,0.0005768676088837611
55,"('driver',)",9.0,0.0025944076102623233,"('sat', 'another')",2.0,0.0005767012687427913,"('edamame', 'never', 'saw')",2,0.0005768676088837611
56,"('2',)",9.0,0.0025944076102623233,"('crusted', 'dried')",2.0,0.0005767012687427913,"('free', 'edamame', 'never')",2,0.0005768676088837611
57,"('im',)",9.0,0.0025944076102623233,"('another', '45')",2.0,0.0005767012687427913,"('good', 'free', 'edamame')",2,0.0005768676088837611
58,"('spicy',)",9.0,0.0025944076102623233,"('across', 'surface')",2.0,0.0005767012687427913,"('rice', 'good', 'free')",2,0.0005768676088837611
59,"('walked',)",9.0,0.0025944076102623233,"('clean', 'tables')",2.0,0.0005767012687427913,"('dry', 'rice', 'good')",2,0.0005768676088837611
60,"('right',)",9.0,0.0025944076102623233,"('ive', 'coming')",2.0,0.0005767012687427913,"('tough', 'dry', 'rice')",2,0.0005768676088837611
61,"('long',)",9.0,0.0025944076102623233,"('fingers', 'across')",2.0,0.0005767012687427913,"('meat', 'tough', 'dry')",2,0.0005768676088837611
62,"('ever',)",9.0,0.0025944076102623233,"('wasabi', 'several')",2.0,0.0005767012687427913,"('reheated', 'meat', 'tough')",2,0.0005768676088837611
63,"('come',)",9.0,0.0025944076102623233,"('time', 'dinner')",2.0,0.0005767012687427913,"('precooked', 'reheated', 'meat')",2,0.0005768676088837611
64,"('now',)",8.0,0.0023061400980109543,"('menu', 'also')",2.0,0.0005767012687427913,"('obviously', 'precooked', 'reheated')",2,0.0005768676088837611
65,"('tasted',)",8.0,0.0023061400980109543,"('running', 'fingers')",2.0,0.0005767012687427913,"('cooked', 'chicken', 'obviously')",2,0.0005768676088837611
66,"('arrived',)",8.0,0.0023061400980109543,"('meals', 'eaten')",2.0,0.0005767012687427913,"('saw', 'waitress', 'time')",2,0.0005768676088837611
67,"('20',)",8.0,0.0023061400980109543,"('check', 'us')",2.0,0.0005767012687427913,"('way', 'cooked', 'chicken')",2,0.0005768676088837611
68,"('eat',)",8.0,0.0023061400980109543,"('best', 'can')",2.0,0.0005767012687427913,"('vegetables', 'way', 'cooked')",2,0.0005768676088837611
