,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('order',)",24.0,0.011538461538461539,"('stir', 'fry')",4.0,0.001924001924001924,"('agedashi', 'tofu', 'japanese')",2,0.0009624639076034649
1,"('roll',)",22.0,0.010576923076923078,"('will', 'back')",4.0,0.001924001924001924,"('baked', 'salmon', 'roll')",2,0.0009624639076034649
2,"('good',)",21.0,0.010096153846153847,"('minutes', 'later')",4.0,0.001924001924001924,"('id', 'go', 'back')",2,0.0009624639076034649
3,"('service',)",18.0,0.008653846153846154,"('another', 'star')",3.0,0.001443001443001443,"('minutes', 'later', 'server')",2,0.0009624639076034649
4,"('back',)",16.0,0.007692307692307693,"('snow', 'white')",3.0,0.001443001443001443,"('like', 'egg', 'drop')",2,0.0009624639076034649
5,"('like',)",14.0,0.006730769230769231,"('will', 'never')",3.0,0.001443001443001443,"('later', 'server', 'returned')",2,0.0009624639076034649
6,"('osake',)",13.0,0.00625,"('miso', 'soup')",3.0,0.001443001443001443,"('server', 'returned', 'saying')",2,0.0009624639076034649
7,"('will',)",13.0,0.00625,"('across', 'street')",3.0,0.001443001443001443,"('snow', 'white', 'roll')",2,0.0009624639076034649
8,"('dont',)",12.0,0.0057692307692307696,"('yellowtail', 'roll')",3.0,0.001443001443001443,"('tofu', 'japanese', 'pickles')",2,0.0009624639076034649
9,"('fish',)",11.0,0.005288461538461539,"('pork', 'belly')",2.0,0.000962000962000962,"('goes', 'another', 'star')",2,0.0009624639076034649
10,"('nashville',)",11.0,0.005288461538461539,"('order', 'two')",2.0,0.000962000962000962,"('terrible', 'ah', 'putting')",1,0.00048123195380173246
11,"('didnt',)",11.0,0.005288461538461539,"('full', 'price')",2.0,0.000962000962000962,"('seemed', 'though', 'concerned')",1,0.00048123195380173246
12,"('go',)",11.0,0.005288461538461539,"('last', 'months')",2.0,0.000962000962000962,"('scallops', 'roll', 'turned')",1,0.00048123195380173246
13,"('ordered',)",11.0,0.005288461538461539,"('8', 'people')",2.0,0.000962000962000962,"('top', 'scallops', 'roll')",1,0.00048123195380173246
14,"('menu',)",10.0,0.004807692307692308,"('go', 'order')",2.0,0.000962000962000962,"('nighton', 'top', 'scallops')",1,0.00048123195380173246
15,"('got',)",10.0,0.004807692307692308,"('service', 'friendly')",2.0,0.000962000962000962,"('friday', 'nighton', 'top')",1,0.00048123195380173246
16,"('time',)",10.0,0.004807692307692308,"('happy', 'hour')",2.0,0.000962000962000962,"('time', 'friday', 'nighton')",1,0.00048123195380173246
17,"('asked',)",10.0,0.004807692307692308,"('normally', 'love')",2.0,0.000962000962000962,"('closing', 'time', 'friday')",1,0.00048123195380173246
18,"('waitress',)",10.0,0.004807692307692308,"('tasted', 'fresh')",2.0,0.000962000962000962,"('shift', 'closing', 'time')",1,0.00048123195380173246
19,"('tuna',)",9.0,0.004326923076923077,"('spicy', 'tuna')",2.0,0.000962000962000962,"('working', 'shift', 'closing')",1,0.00048123195380173246
20,"('even',)",9.0,0.004326923076923077,"('disappointed', 'service')",2.0,0.000962000962000962,"('clocking', 'working', 'shift')",1,0.00048123195380173246
