,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('always',)",10.0,0.02127659574468085,"('yum', 'yum')",4.0,0.008528784648187633,"('yum', 'yum', 'sauce')",3,0.00641025641025641
1,"('yum',)",9.0,0.019148936170212766,"('lunch', 'prices')",3.0,0.006396588486140725,"('first', 'time', 'lunch')",1,0.002136752136752137
2,"('good',)",8.0,0.01702127659574468,"('doesnt', 'look')",3.0,0.006396588486140725,"('prices', 'roll', 'weekend')",1,0.002136752136752137
3,"('sauce',)",6.0,0.01276595744680851,"('yum', 'sauce')",3.0,0.006396588486140725,"('economic', 'times', 'always')",1,0.002136752136752137
4,"('get',)",6.0,0.01276595744680851,"('always', 'get')",2.0,0.0042643923240938165,"('awesome', 'economic', 'times')",1,0.002136752136752137
5,"('great',)",6.0,0.01276595744680851,"('sauce', 'extra')",2.0,0.0042643923240938165,"('thats', 'awesome', 'economic')",1,0.002136752136752137
6,"('outside',)",6.0,0.01276595744680851,"('always', 'fresh')",2.0,0.0042643923240938165,"('bucks', 'thats', 'awesome')",1,0.002136752136752137
7,"('lunch',)",6.0,0.01276595744680851,"('always', 'good')",2.0,0.0042643923240938165,"('40', 'bucks', 'thats')",1,0.002136752136752137
8,"('hibachi',)",5.0,0.010638297872340425,"('hibachi', 'chicken')",2.0,0.0042643923240938165,"('feed', '40', 'bucks')",1,0.002136752136752137
9,"('can',)",5.0,0.010638297872340425,"('inside', 'nice')",2.0,0.0042643923240938165,"('four', 'feed', '40')",1,0.002136752136752137
10,"('chicken',)",4.0,0.00851063829787234,"('dont', 'know')",2.0,0.0042643923240938165,"('family', 'four', 'feed')",1,0.002136752136752137
11,"('rice',)",4.0,0.00851063829787234,"('reasonable', 'price')",2.0,0.0042643923240938165,"('take', 'family', 'four')",1,0.002136752136752137
12,"('places',)",4.0,0.00851063829787234,"('spicy', 'rice')",2.0,0.0042643923240938165,"('can', 'take', 'family')",1,0.002136752136752137
13,"('better',)",4.0,0.00851063829787234,"('first', 'time')",2.0,0.0042643923240938165,"('weekend', 'can', 'take')",1,0.002136752136752137
14,"('cant',)",4.0,0.00851063829787234,"('good', 'try')",1.0,0.0021321961620469083,"('roll', 'weekend', 'can')",1,0.002136752136752137
15,"('doesnt',)",4.0,0.00851063829787234,"('prices', 'roll')",1.0,0.0021321961620469083,"('lunch', 'prices', 'roll')",1,0.002136752136752137
16,"('prices',)",4.0,0.00851063829787234,"('feed', '40')",1.0,0.0021321961620469083,"('portions', 'reasonable', 'price')",1,0.002136752136752137
17,"('dont',)",4.0,0.00851063829787234,"('four', 'feed')",1.0,0.0021321961620469083,"('let', 'lunch', 'prices')",1,0.002136752136752137
18,"('amazing',)",4.0,0.00851063829787234,"('family', 'four')",1.0,0.0021321961620469083,"('wait', 'let', 'lunch')",1,0.002136752136752137
19,"('first',)",4.0,0.00851063829787234,"('take', 'family')",1.0,0.0021321961620469083,"('without', 'wait', 'let')",1,0.002136752136752137
20,"('portions',)",3.0,0.006382978723404255,"('flavor', 'works')",1.0,0.0021321961620469083,"('sit', 'without', 'wait')",1,0.002136752136752137
21,"('know',)",3.0,0.006382978723404255,"('can', 'take')",1.0,0.0021321961620469083,"('get', 'sit', 'without')",1,0.002136752136752137
22,"('look',)",3.0,0.006382978723404255,"('weekend', 'can')",1.0,0.0021321961620469083,"('always', 'get', 'sit')",1,0.002136752136752137
23,"('inside',)",3.0,0.006382978723404255,"('works', 'great')",1.0,0.0021321961620469083,"('can', 'always', 'get')",1,0.002136752136752137
24,"('ive',)",3.0,0.006382978723404255,"('roll', 'weekend')",1.0,0.0021321961620469083,"('church', 'can', 'always')",1,0.002136752136752137
25,"('thats',)",3.0,0.006382978723404255,"('let', 'lunch')",1.0,0.0021321961620469083,"('cone', 'church', 'can')",1,0.002136752136752137
26,"('reasonable',)",3.0,0.006382978723404255,"('sauce', 'good')",1.0,0.0021321961620469083,"('love', 'cone', 'church')",1,0.002136752136752137
27,"('love',)",3.0,0.006382978723404255,"('wait', 'let')",1.0,0.0021321961620469083,"('well', 'love', 'cone')",1,0.002136752136752137
