,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('hibachi',)",26.0,0.020967741935483872,"('haru', 'asian')",4.0,0.003228410008071025,"('restaurant', 'trees', 'roof')",2,0.0016155088852988692
1,"('restaurant',)",19.0,0.01532258064516129,"('hibachi', 'room')",3.0,0.002421307506053269,"('20', 'dinner', 'checks')",2,0.0016155088852988692
2,"('great',)",13.0,0.010483870967741936,"('id', 'say')",3.0,0.002421307506053269,"('judge', 'restaurant', 'trees')",2,0.0016155088852988692
3,"('haru',)",12.0,0.00967741935483871,"('dining', 'room')",3.0,0.002421307506053269,"('pad', 'see', 'yu')",2,0.0016155088852988692
4,"('meal',)",10.0,0.008064516129032258,"('highly', 'recommend')",3.0,0.002421307506053269,"('dont', 'judge', 'restaurant')",2,0.0016155088852988692
5,"('service',)",10.0,0.008064516129032258,"('fried', 'ice')",2.0,0.0016142050040355124,"('fried', 'ice', 'cream')",2,0.0016155088852988692
6,"('us',)",10.0,0.008064516129032258,"('ice', 'cream')",2.0,0.0016142050040355124,"('tonight', 'third', 'visit')",1,0.0008077544426494346
7,"('good',)",9.0,0.007258064516129033,"('20', 'dinner')",2.0,0.0016142050040355124,"('great', 'good', 'prices')",1,0.0008077544426494346
8,"('came',)",8.0,0.0064516129032258064,"('hibachi', 'chef')",2.0,0.0016142050040355124,"('service', 'wonderfully', 'relaxed')",1,0.0008077544426494346
9,"('really',)",8.0,0.0064516129032258064,"('dinner', 'checks')",2.0,0.0016142050040355124,"('friendly', 'service', 'wonderfully')",1,0.0008077544426494346
10,"('staff',)",8.0,0.0064516129032258064,"('basil', 'sauce')",2.0,0.0016142050040355124,"('prices', 'friendly', 'service')",1,0.0008077544426494346
11,"('asian',)",8.0,0.0064516129032258064,"('haru', 'went')",2.0,0.0016142050040355124,"('good', 'prices', 'friendly')",1,0.0008077544426494346
12,"('like',)",8.0,0.0064516129032258064,"('staff', 'nice')",2.0,0.0016142050040355124,"('takeout', 'great', 'good')",1,0.0008077544426494346
13,"('room',)",8.0,0.0064516129032258064,"('asian', 'meal')",2.0,0.0016142050040355124,"('relaxed', 'atmosphere', 'served')",1,0.0008077544426494346
14,"('back',)",7.0,0.00564516129032258,"('tried', 'hibachi')",2.0,0.0016142050040355124,"('usual', 'takeout', 'great')",1,0.0008077544426494346
15,"('went',)",7.0,0.00564516129032258,"('first', 'time')",2.0,0.0016142050040355124,"('beyond', 'usual', 'takeout')",1,0.0008077544426494346
16,"('want',)",7.0,0.00564516129032258,"('cant', 'wait')",2.0,0.0016142050040355124,"('meal', 'beyond', 'usual')",1,0.0008077544426494346
17,"('people',)",6.0,0.004838709677419355,"('years', 'old')",2.0,0.0016142050040355124,"('asian', 'meal', 'beyond')",1,0.0008077544426494346
18,"('go',)",6.0,0.004838709677419355,"('dont', 'judge')",2.0,0.0016142050040355124,"('good', 'asian', 'meal')",1,0.0008077544426494346
19,"('night',)",6.0,0.004838709677419355,"('fried', 'rice')",2.0,0.0016142050040355124,"('want', 'good', 'asian')",1,0.0008077544426494346
20,"('will',)",6.0,0.004838709677419355,"('restaurant', 'trees')",2.0,0.0016142050040355124,"('wonderfully', 'relaxed', 'atmosphere')",1,0.0008077544426494346
21,"('fantastic',)",6.0,0.004838709677419355,"('wait', 'staff')",2.0,0.0016142050040355124,"('atmosphere', 'served', 'courses')",1,0.0008077544426494346
22,"('roll',)",6.0,0.004838709677419355,"('30', 'people')",2.0,0.0016142050040355124,"('local', 'spot', 'want')",1,0.0008077544426494346
