,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",56.0,0.016964556195092396,"('highly', 'recommend')",14.0,0.004242424242424243,"('far', 'best', 'restaurant')",3,0.0009093664746892998
1,"('service',)",50.0,0.015146925174189639,"('will', 'back')",10.0,0.0030303030303030303,"('soup', 'salad', 'good')",2,0.0006062443164595332
2,"('good',)",47.0,0.014238109663738261,"('treasure', 'valley')",8.0,0.0024242424242424242,"('ones', 'freshness', 'excellent')",2,0.0006062443164595332
3,"('best',)",36.0,0.01090578612541654,"('friendly', 'service')",8.0,0.0024242424242424242,"('fujiyama', 'opened', 'meridian')",2,0.0006062443164595332
4,"('fresh',)",35.0,0.010602847621932747,"('spicy', 'tuna')",7.0,0.0021212121212121214,"('opened', 'meridian', 'spot')",2,0.0006062443164595332
5,"('fish',)",35.0,0.010602847621932747,"('miso', 'soup')",7.0,0.0021212121212121214,"('meridian', 'spot', 'thing')",2,0.0006062443164595332
6,"('will',)",30.0,0.009088155104513784,"('great', 'service')",7.0,0.0021212121212121214,"('spot', 'thing', 'wished')",2,0.0006062443164595332
7,"('friendly',)",29.0,0.008785216601029992,"('bento', 'box')",6.0,0.0018181818181818182,"('will', 'definitely', 'coming')",2,0.0006062443164595332
8,"('restaurant',)",27.0,0.008179339594062406,"('will', 'definitely')",6.0,0.0018181818181818182,"('definitely', 'coming', 'back')",2,0.0006062443164595332
9,"('back',)",27.0,0.008179339594062406,"('best', 'restaurant')",5.0,0.0015151515151515152,"('wished', 'also', 'used')",2,0.0006062443164595332
10,"('fujiyama',)",27.0,0.008179339594062406,"('boise', 'location')",5.0,0.0015151515151515152,"('also', 'used', 'sauces')",2,0.0006062443164595332
11,"('boise',)",26.0,0.007876401090578612,"('boise', 'area')",5.0,0.0015151515151515152,"('used', 'sauces', 'especially')",2,0.0006062443164595332
12,"('meridian',)",26.0,0.007876401090578612,"('quality', 'fish')",5.0,0.0015151515151515152,"('sauces', 'especially', 'creative')",2,0.0006062443164595332
13,"('location',)",25.0,0.007573462587094819,"('teriyaki', 'chicken')",5.0,0.0015151515151515152,"('especially', 'creative', 'ones')",2,0.0006062443164595332
14,"('always',)",24.0,0.007270524083611027,"('friendly', 'helpful')",5.0,0.0015151515151515152,"('creative', 'ones', 'freshness')",2,0.0006062443164595332
15,"('nice',)",23.0,0.0069675855801272345,"('fish', 'fresh')",5.0,0.0015151515151515152,"('freshness', 'excellent', 'saw')",2,0.0006062443164595332
16,"('amazing',)",23.0,0.0069675855801272345,"('friendly', 'staff')",4.0,0.0012121212121212121,"('anxiously', 'awaited', 'fujiyama')",2,0.0006062443164595332
17,"('roll',)",22.0,0.006664647076643442,"('go', 'back')",4.0,0.0012121212121212121,"('excellent', 'saw', 'nice')",2,0.0006062443164595332
18,"('lunch',)",22.0,0.006664647076643442,"('first', 'time')",4.0,0.0012121212121212121,"('saw', 'nice', 'looking')",2,0.0006062443164595332
19,"('love',)",22.0,0.006664647076643442,"('fresh', 'fish')",4.0,0.0012121212121212121,"('nice', 'looking', 'platters')",2,0.0006062443164595332
20,"('delicious',)",20.0,0.006058770069675856,"('good', 'japanese')",4.0,0.0012121212121212121,"('looking', 'platters', 'boat')",2,0.0006062443164595332
21,"('staff',)",20.0,0.006058770069675856,"('come', 'back')",4.0,0.0012121212121212121,"('platters', 'boat', 'combo')",2,0.0006062443164595332
22,"('excellent',)",20.0,0.006058770069675856,"('california', 'roll')",4.0,0.0012121212121212121,"('fish', 'tasted', 'fresh')",2,0.0006062443164595332
23,"('get',)",20.0,0.006058770069675856,"('super', 'friendly')",4.0,0.0012121212121212121,"('boat', 'combo', 'pass')",2,0.0006062443164595332
24,"('time',)",20.0,0.006058770069675856,"('always', 'good')",4.0,0.0012121212121212121,"('salmon', 'skin', 'salad')",2,0.0006062443164595332
25,"('go',)",19.0,0.005755831566192063,"('super', 'nice')",4.0,0.0012121212121212121,"('beef', 'bento', 'box')",2,0.0006062443164595332
26,"('also',)",19.0,0.005755831566192063,"('generous', 'portions')",4.0,0.0012121212121212121,"('seated', 'right', 'away')",2,0.0006062443164595332
27,"('recommend',)",18.0,0.00545289306270827,"('amazing', 'service')",4.0,0.0012121212121212121,"('will', 'definitely', 'back')",2,0.0006062443164595332
28,"('super',)",18.0,0.00545289306270827,"('new', 'location')",4.0,0.0012121212121212121,"('sweet', 'potato', 'fries')",2,0.0006062443164595332
29,"('highly',)",17.0,0.0051499545592244775,"('easily', 'best')",4.0,0.0012121212121212121,"('awaited', 'fujiyama', 'opened')",2,0.0006062443164595332
30,"('sashimi',)",17.0,0.0051499545592244775,"('friendly', 'attentive')",4.0,0.0012121212121212121,"('thing', 'wished', 'also')",2,0.0006062443164595332
31,"('us',)",16.0,0.004847016055740685,"('hot', 'tea')",3.0,0.0009090909090909091,"('best', 'service', 'ive')",2,0.0006062443164595332
32,"('dinner',)",15.0,0.004544077552256892,"('every', 'time')",3.0,0.0009090909090909091,"('service', 'always', 'good')",2,0.0006062443164595332
33,"('clean',)",15.0,0.004544077552256892,"('meridian', 'location')",3.0,0.0009090909090909091,"('miso', 'soup', 'salad')",2,0.0006062443164595332
34,"('new',)",13.0,0.003938200545289306,"('soup', 'salad')",3.0,0.0009090909090909091,"('much', 'miso', 'soup')",2,0.0006062443164595332
35,"('menu',)",13.0,0.003938200545289306,"('long', 'time')",3.0,0.0009090909090909091,"('every', 'time', 'come')",2,0.0006062443164595332
36,"('quality',)",13.0,0.003938200545289306,"('nice', 'staff')",3.0,0.0009090909090909091,"('super', 'nice', 'staff')",2,0.0006062443164595332
37,"('birthday',)",13.0,0.003938200545289306,"('going', 'back')",3.0,0.0009090909090909091,"('everything', 'tasted', 'amazing')",2,0.0006062443164595332
38,"('try',)",13.0,0.003938200545289306,"('fresh', 'delicious')",3.0,0.0009090909090909091,"('delicious', 'great', 'service')",2,0.0006062443164595332
39,"('japanese',)",13.0,0.003938200545289306,"('right', 'away')",3.0,0.0009090909090909091,"('service', 'highly', 'recommend')",2,0.0006062443164595332
40,"('well',)",13.0,0.003938200545289306,"('staff', 'clean')",3.0,0.0009090909090909091,"('best', 'places', 'boise')",2,0.0006062443164595332
41,"('come',)",13.0,0.003938200545289306,"('far', 'best')",3.0,0.0009090909090909091,"('rice', 'also', 'good')",1,0.0003031221582297666
42,"('everything',)",12.0,0.0036352620418055137,"('tasting', 'fish')",3.0,0.0009090909090909091,"('try', 'variety', 'liked')",1,0.0003031221582297666
43,"('ordered',)",12.0,0.0036352620418055137,"('great', 'sashimi')",3.0,0.0009090909090909091,"('variety', 'liked', 'fried')",1,0.0003031221582297666
44,"('spicy',)",12.0,0.0036352620418055137,"('staff', 'friendly')",3.0,0.0009090909090909091,"('liked', 'fried', 'rice')",1,0.0003031221582297666
45,"('order',)",11.0,0.003332323538321721,"('coming', 'back')",3.0,0.0009090909090909091,"('fried', 'rice', 'also')",1,0.0003031221582297666
46,"('like',)",11.0,0.003332323538321721,"('lunch', 'special')",3.0,0.0009090909090909091,"('second', 'option', 'try')",1,0.0003031221582297666
47,"('rice',)",11.0,0.003332323538321721,"('good', 'job')",3.0,0.0009090909090909091,"('also', 'good', 'great')",1,0.0003031221582297666
48,"('really',)",11.0,0.003332323538321721,"('fujiyama', 'boise')",3.0,0.0009090909090909091,"('good', 'great', 'great')",1,0.0003031221582297666
49,"('miso',)",11.0,0.003332323538321721,"('fujiyama', 'meridian')",2.0,0.0006060606060606061,"('rice', 'excellent', 'friendly')",1,0.0003031221582297666
50,"('valley',)",11.0,0.003332323538321721,"('back', 'try')",2.0,0.0006060606060606061,"('great', 'service', 'ate')",1,0.0003031221582297666
51,"('cant',)",11.0,0.003332323538321721,"('every', 'bite')",2.0,0.0006060606060606061,"('service', 'ate', 'fresh')",1,0.0003031221582297666
52,"('soup',)",11.0,0.003332323538321721,"('everything', 'tasted')",2.0,0.0006060606060606061,"('ate', 'fresh', 'great')",1,0.0003031221582297666
53,"('salmon',)",11.0,0.003332323538321721,"('came', 'birthday')",2.0,0.0006060606060606061,"('fried', 'rice', 'excellent')",1,0.0003031221582297666
54,"('make',)",10.0,0.003029385034837928,"('time', 'come')",2.0,0.0006060606060606061,"('fresh', 'great', 'staff')",1,0.0003031221582297666
55,"('favorite',)",10.0,0.003029385034837928,"('smokey', 'tempura')",2.0,0.0006060606060606061,"('great', 'great', 'service')",1,0.0003031221582297666
56,"('ive',)",10.0,0.003029385034837928,"('fried', 'rice')",2.0,0.0006060606060606061,"('friendly', 'service', 'menu')",1,0.0003031221582297666
57,"('places',)",10.0,0.003029385034837928,"('service', 'highly')",2.0,0.0006060606060606061,"('option', 'try', 'variety')",1,0.0003031221582297666
58,"('attentive',)",10.0,0.003029385034837928,"('new', 'spot')",2.0,0.0006060606060606061,"('excellent', 'friendly', 'service')",1,0.0003031221582297666
59,"('never',)",10.0,0.003029385034837928,"('delicious', 'great')",2.0,0.0006060606060606061,"('portions', 'opted', 'second')",1,0.0003031221582297666
60,"('area',)",10.0,0.003029385034837928,"('good', 'great')",2.0,0.0006060606060606061,"('appetizer', 'portions', 'opted')",1,0.0003031221582297666
61,"('came',)",10.0,0.003029385034837928,"('tasted', 'amazing')",2.0,0.0006060606060606061,"('staff', 'clean', 'restaurant')",1,0.0003031221582297666
