,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('roll',)",14.0,0.01263537906137184,"('order', 'sheet')",5.0,0.004516711833785004,"('order', 'sheet', 'us')",2,0.0018083182640144665
1,"('order',)",14.0,0.01263537906137184,"('10', 'minutes')",3.0,0.0027100271002710027,"('sometimes', 'makes', 'breaks')",1,0.0009041591320072332
2,"('get',)",12.0,0.010830324909747292,"('refused', 'share')",2.0,0.0018066847335140017,"('times', 'cause', 'love')",1,0.0009041591320072332
3,"('good',)",12.0,0.010830324909747292,"('roll', 'order')",2.0,0.0018066847335140017,"('three', 'times', 'cause')",1,0.0009041591320072332
4,"('didnt',)",12.0,0.010830324909747292,"('lakeview', 'area')",2.0,0.0018066847335140017,"('tried', 'three', 'times')",1,0.0009041591320072332
5,"('us',)",11.0,0.009927797833935019,"('greet', 'us')",2.0,0.0018066847335140017,"('ive', 'tried', 'three')",1,0.0009041591320072332
6,"('restaurant',)",9.0,0.008122743682310469,"('will', 'never')",2.0,0.0018066847335140017,"('breaks', 'ive', 'tried')",1,0.0009041591320072332
7,"('service',)",8.0,0.007220216606498195,"('avocado', 'roll')",2.0,0.0018066847335140017,"('makes', 'breaks', 'ive')",1,0.0009041591320072332
8,"('will',)",8.0,0.007220216606498195,"('wont', 'back')",2.0,0.0018066847335140017,"('service', 'aweful', 'arent')",1,0.0009041591320072332
9,"('first',)",8.0,0.007220216606498195,"('squid', 'steak')",2.0,0.0018066847335140017,"('love', 'live', 'lv')",1,0.0009041591320072332
10,"('like',)",8.0,0.007220216606498195,"('didnt', 'receive')",2.0,0.0018066847335140017,"('rice', 'sometimes', 'makes')",1,0.0009041591320072332
11,"('time',)",7.0,0.00631768953068592,"('fried', 'roll')",2.0,0.0018066847335140017,"('knows', 'rice', 'sometimes')",1,0.0009041591320072332
12,"('minutes',)",6.0,0.005415162454873646,"('sat', 'bar')",2.0,0.0018066847335140017,"('fan', 'knows', 'rice')",1,0.0009041591320072332
13,"('come',)",6.0,0.005415162454873646,"('fact', 'dont')",2.0,0.0018066847335140017,"('every', 'fan', 'knows')",1,0.0009041591320072332
14,"('never',)",6.0,0.005415162454873646,"('go', 'front')",2.0,0.0018066847335140017,"('taste', 'every', 'fan')",1,0.0009041591320072332
15,"('check',)",6.0,0.005415162454873646,"('will', 'last')",2.0,0.0018066847335140017,"('good', 'taste', 'every')",1,0.0009041591320072332
16,"('lakeview',)",6.0,0.005415162454873646,"('last', 'time')",2.0,0.0018066847335140017,"('cause', 'love', 'live')",1,0.0009041591320072332
17,"('dont',)",6.0,0.005415162454873646,"('places', 'can')",2.0,0.0018066847335140017,"('live', 'lv', 'worth')",1,0.0009041591320072332
18,"('bar',)",6.0,0.005415162454873646,"('raw', 'fish')",2.0,0.0018066847335140017,"('fresh', 'rice', 'good')",1,0.0009041591320072332
19,"('last',)",6.0,0.005415162454873646,"('roll', 'didnt')",2.0,0.0018066847335140017,"('lv', 'worth', 'time')",1,0.0009041591320072332
20,"('bad',)",6.0,0.005415162454873646,"('sheet', 'us')",2.0,0.0018066847335140017,"('worth', 'time', 'forget')",1,0.0009041591320072332
21,"('since',)",5.0,0.004512635379061372,"('get', 'menu')",2.0,0.0018066847335140017,"('time', 'forget', 'drive')",1,0.0009041591320072332
22,"('way',)",5.0,0.004512635379061372,"('every', 'time')",2.0,0.0018066847335140017,"('forget', 'drive', 'extra')",1,0.0009041591320072332
23,"('now',)",5.0,0.004512635379061372,"('time', 'forget')",1.0,0.0009033423667570009,"('drive', 'extra', 'five')",1,0.0009041591320072332
24,"('ordered',)",5.0,0.004512635379061372,"('live', 'lv')",1.0,0.0009033423667570009,"('extra', 'five', 'minutes')",1,0.0009041591320072332
25,"('im',)",5.0,0.004512635379061372,"('lv', 'worth')",1.0,0.0009033423667570009,"('five', 'minutes', 'midcitys')",1,0.0009041591320072332
26,"('right',)",5.0,0.004512635379061372,"('worth', 'time')",1.0,0.0009033423667570009,"('minutes', 'midcitys', 'little')",1,0.0009041591320072332
27,"('area',)",5.0,0.004512635379061372,"('love', 'live')",1.0,0.0009033423667570009,"('midcitys', 'little', 'tokyo')",1,0.0009041591320072332
28,"('menu',)",5.0,0.004512635379061372,"('cause', 'love')",1.0,0.0009033423667570009,"('little', 'tokyo', 'japanese')",1,0.0009041591320072332
