,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",50.0,0.016318537859007835,"('lemongrass', 'soup')",9.0,0.002938295788442703,"('hot', 'sour', 'lemongrass')",4,0.0013063357282821686
1,"('great',)",41.0,0.013381201044386422,"('highly', 'recommend')",8.0,0.002611818478615736,"('sour', 'lemongrass', 'soup')",3,0.0009797517962116264
2,"('roll',)",26.0,0.008485639686684074,"('will', 'definitely')",7.0,0.002285341168788769,"('best', 'ive', 'ever')",2,0.0006531678641410843
3,"('singapore',)",26.0,0.008485639686684074,"('strip', 'mall')",7.0,0.002285341168788769,"('lemongrass', 'soup', 'outstanding')",2,0.0006531678641410843
4,"('always',)",25.0,0.008159268929503917,"('ive', 'ever')",6.0,0.0019588638589618022,"('green', 'dragon', 'roll')",2,0.0006531678641410843
5,"('ive',)",24.0,0.007832898172323759,"('really', 'good')",5.0,0.001632386549134835,"('jazz', 'music', 'playing')",2,0.0006531678641410843
6,"('service',)",24.0,0.007832898172323759,"('best', 'ive')",4.0,0.001305909239307868,"('music', 'playing', 'background')",2,0.0006531678641410843
7,"('will',)",23.0,0.007506527415143603,"('green', 'dragon')",4.0,0.001305909239307868,"('oh', 'god', 'roll')",2,0.0006531678641410843
8,"('time',)",23.0,0.007506527415143603,"('nice', 'people')",4.0,0.001305909239307868,"('highly', 'recommend', 'singapore')",2,0.0006531678641410843
9,"('lunch',)",21.0,0.00685378590078329,"('hot', 'sour')",4.0,0.001305909239307868,"('lunch', 'special', 'comes')",2,0.0006531678641410843
10,"('delicious',)",21.0,0.00685378590078329,"('sour', 'lemongrass')",4.0,0.001305909239307868,"('roll', 'best', 'ive')",2,0.0006531678641410843
11,"('best',)",21.0,0.00685378590078329,"('pretty', 'good')",4.0,0.001305909239307868,"('main', 'course', 'tried')",2,0.0006531678641410843
12,"('small',)",20.0,0.006527415143603133,"('friendly', 'service')",4.0,0.001305909239307868,"('crab', 'bom', 'bom')",2,0.0006531678641410843
13,"('restaurant',)",20.0,0.006527415143603133,"('singapore', 'noodles')",4.0,0.001305909239307868,"('always', 'remember', 'name')",2,0.0006531678641410843
14,"('soup',)",20.0,0.006527415143603133,"('must', 'try')",4.0,0.001305909239307868,"('pineapple', 'fried', 'rice')",2,0.0006531678641410843
15,"('like',)",19.0,0.006201044386422976,"('will', 'back')",4.0,0.001305909239307868,"('will', 'definitely', 'back')",2,0.0006531678641410843
16,"('nice',)",19.0,0.006201044386422976,"('never', 'disappointed')",4.0,0.001305909239307868,"('amicable', 'leave', 'enjoy')",1,0.00032658393207054214
17,"('fresh',)",19.0,0.006201044386422976,"('lunch', 'specials')",3.0,0.0009794319294809011,"('screen', 'day', 'welcome')",1,0.00032658393207054214
18,"('back',)",18.0,0.00587467362924282,"('lunch', 'special')",3.0,0.0009794319294809011,"('peace', 'sitting', 'front')",1,0.00032658393207054214
19,"('also',)",18.0,0.00587467362924282,"('music', 'playing')",3.0,0.0009794319294809011,"('favorite', 'great', 'eat')",1,0.00032658393207054214
20,"('rice',)",17.0,0.005548302872062663,"('must', 'say')",3.0,0.0009794319294809011,"('sitting', 'front', 'computer')",1,0.00032658393207054214
21,"('menu',)",16.0,0.005221932114882507,"('pad', 'thai')",3.0,0.0009794319294809011,"('front', 'computer', 'screen')",1,0.00032658393207054214
22,"('try',)",15.0,0.00489556135770235,"('south', 'jersey')",3.0,0.0009794319294809011,"('computer', 'screen', 'day')",1,0.00032658393207054214
23,"('definitely',)",15.0,0.00489556135770235,"('come', 'back')",3.0,0.0009794319294809011,"('peace', 'favorite', 'great')",1,0.00032658393207054214
24,"('get',)",15.0,0.00489556135770235,"('definitely', 'recommend')",3.0,0.0009794319294809011,"('welcome', 'unwind', 'two')",1,0.00032658393207054214
25,"('really',)",15.0,0.00489556135770235,"('great', 'little')",3.0,0.0009794319294809011,"('day', 'welcome', 'unwind')",1,0.00032658393207054214
26,"('friendly',)",14.0,0.0045691906005221935,"('fried', 'rice')",3.0,0.0009794319294809011,"('incredibly', 'amicable', 'leave')",1,0.00032658393207054214
27,"('recommend',)",14.0,0.0045691906005221935,"('miso', 'soup')",3.0,0.0009794319294809011,"('unwind', 'two', 'owners')",1,0.00032658393207054214
28,"('well',)",14.0,0.0045691906005221935,"('ive', 'tried')",3.0,0.0009794319294809011,"('two', 'owners', 'work')",1,0.00032658393207054214
29,"('eat',)",13.0,0.004242819843342037,"('great', 'meal')",3.0,0.0009794319294809011,"('owners', 'work', 'incredibly')",1,0.00032658393207054214
30,"('tried',)",13.0,0.004242819843342037,"('rice', 'pudding')",3.0,0.0009794319294809011,"('meal', 'peace', 'sitting')",1,0.00032658393207054214
31,"('area',)",13.0,0.004242819843342037,"('everything', 'fresh')",3.0,0.0009794319294809011,"('enjoy', 'peace', 'favorite')",1,0.00032658393207054214
32,"('came',)",12.0,0.0039164490861618795,"('remember', 'name')",3.0,0.0009794319294809011,"('leave', 'enjoy', 'peace')",1,0.00032658393207054214
33,"('chicken',)",12.0,0.0039164490861618795,"('favorite', 'quick')",2.0,0.000652954619653934,"('work', 'incredibly', 'amicable')",1,0.00032658393207054214
34,"('day',)",12.0,0.0039164490861618795,"('hidden', 'gem')",2.0,0.000652954619653934,"('enjoy', 'nice', 'quality')",1,0.00032658393207054214
35,"('everything',)",11.0,0.0035900783289817234,"('quick', 'lunch')",2.0,0.000652954619653934,"('quality', 'meal', 'peace')",1,0.00032658393207054214
36,"('can',)",11.0,0.0035900783289817234,"('lunch', 'dinner')",2.0,0.000652954619653934,"('12', 'months', 'theres')",1,0.00032658393207054214
37,"('love',)",11.0,0.0035900783289817234,"('restaurant', 'clean')",2.0,0.000652954619653934,"('pm', 'ive', 'come')",1,0.00032658393207054214
38,"('never',)",11.0,0.0035900783289817234,"('good', 'also')",2.0,0.000652954619653934,"('ive', 'come', 'two')",1,0.00032658393207054214
39,"('im',)",11.0,0.0035900783289817234,"('prices', 'good')",2.0,0.000652954619653934,"('come', 'two', 'three')",1,0.00032658393207054214
40,"('ever',)",11.0,0.0035900783289817234,"('good', 'prices')",2.0,0.000652954619653934,"('two', 'three', 'times')",1,0.00032658393207054214
41,"('go',)",11.0,0.0035900783289817234,"('restaurant', 'yelp')",2.0,0.000652954619653934,"('three', 'times', 'month')",1,0.00032658393207054214
42,"('must',)",11.0,0.0035900783289817234,"('roll', 'best')",2.0,0.000652954619653934,"('times', 'month', 'last')",1,0.00032658393207054214
43,"('places',)",10.0,0.0032637075718015664,"('years', 'ago')",2.0,0.000652954619653934,"('month', 'last', '12')",1,0.00032658393207054214
44,"('lemongrass',)",10.0,0.0032637075718015664,"('im', 'always')",2.0,0.000652954619653934,"('last', '12', 'months')",1,0.00032658393207054214
45,"('meal',)",10.0,0.0032637075718015664,"('dunkin', 'donuts')",2.0,0.000652954619653934,"('months', 'theres', 'places')",1,0.00032658393207054214
46,"('highly',)",10.0,0.0032637075718015664,"('good', 'small')",2.0,0.000652954619653934,"('nice', 'quality', 'meal')",1,0.00032658393207054214
47,"('ordered',)",10.0,0.0032637075718015664,"('best', 'places')",2.0,0.000652954619653934,"('theres', 'places', 'around')",1,0.00032658393207054214
48,"('got',)",10.0,0.0032637075718015664,"('tempura', 'roll')",2.0,0.000652954619653934,"('places', 'around', 'outskirts')",1,0.00032658393207054214
49,"('work',)",10.0,0.0032637075718015664,"('reasonably', 'priced')",2.0,0.000652954619653934,"('around', 'outskirts', 'philly')",1,0.00032658393207054214
50,"('strip',)",10.0,0.0032637075718015664,"('spicy', 'tuna')",2.0,0.000652954619653934,"('outskirts', 'philly', 'can')",1,0.00032658393207054214
51,"('people',)",9.0,0.00293733681462141,"('chicken', 'tempura')",2.0,0.000652954619653934,"('philly', 'can', 'sit')",1,0.00032658393207054214
52,"('salad',)",9.0,0.00293733681462141,"('soup', 'outstanding')",2.0,0.000652954619653934,"('can', 'sit', 'enjoy')",1,0.00032658393207054214
53,"('quick',)",9.0,0.00293733681462141,"('hit', 'spot')",2.0,0.000652954619653934,"('sit', 'enjoy', 'nice')",1,0.00032658393207054214
54,"('spot',)",9.0,0.00293733681462141,"('simon', 'lee')",2.0,0.000652954619653934,"('eat', 'awesome', 'cheese')",1,0.00032658393207054214
55,"('two',)",9.0,0.00293733681462141,"('small', 'restaurant')",2.0,0.000652954619653934,"('great', 'eat', 'awesome')",1,0.00032658393207054214
56,"('say',)",9.0,0.00293733681462141,"('avocado', 'roll')",2.0,0.000652954619653934,"('amazing', 'everything', 'soooo')",1,0.00032658393207054214
57,"('going',)",9.0,0.00293733681462141,"('dishes', 'try')",2.0,0.000652954619653934,"('awesome', 'cheese', 'cake')",1,0.00032658393207054214
58,"('come',)",9.0,0.00293733681462141,"('2', 'years')",2.0,0.000652954619653934,"('favorite', 'loves', 'vegetarian')",1,0.00032658393207054214
59,"('2',)",9.0,0.00293733681462141,"('something', 'new')",2.0,0.000652954619653934,"('ice', 'makes', 'big')",1,0.00032658393207054214
60,"('little',)",9.0,0.00293733681462141,"('used', 'yelp')",2.0,0.000652954619653934,"('makes', 'big', 'difference')",1,0.00032658393207054214
61,"('noodles',)",9.0,0.00293733681462141,"('strip', 'malls')",2.0,0.000652954619653934,"('big', 'difference', 'taste')",1,0.00032658393207054214
62,"('quality',)",8.0,0.0026109660574412533,"('wanted', 'keep')",2.0,0.000652954619653934,"('difference', 'taste', '2')",1,0.00032658393207054214
63,"('salmon',)",8.0,0.0026109660574412533,"('way', 'way')",2.0,0.000652954619653934,"('taste', '2', 'year')",1,0.00032658393207054214
64,"('give',)",8.0,0.0026109660574412533,"('delicious', 'love')",2.0,0.000652954619653934,"('2', 'year', 'old')",1,0.00032658393207054214
65,"('bit',)",8.0,0.0026109660574412533,"('yelp', 'reviews')",2.0,0.000652954619653934,"('year', 'old', 'sons')",1,0.00032658393207054214
66,"('special',)",8.0,0.0026109660574412533,"('recommend', 'singapore')",2.0,0.000652954619653934,"('old', 'sons', 'favorite')",1,0.00032658393207054214
67,"('right',)",8.0,0.0026109660574412533,"('loved', 'much')",2.0,0.000652954619653934,"('sons', 'favorite', 'loves')",1,0.00032658393207054214
68,"('didnt',)",8.0,0.0026109660574412533,"('almost', 'every')",2.0,0.000652954619653934,"('loves', 'vegetarian', 'fried')",1,0.00032658393207054214
69,"('still',)",8.0,0.0026109660574412533,"('bom', 'bom')",2.0,0.000652954619653934,"('served', 'bed', 'ice')",1,0.00032658393207054214
70,"('spicy',)",8.0,0.0026109660574412533,"('crab', 'bom')",2.0,0.000652954619653934,"('vegetarian', 'fried', 'dumpling')",1,0.00032658393207054214
71,"('tuna',)",8.0,0.0026109660574412533,"('friendly', 'staff')",2.0,0.000652954619653934,"('fried', 'dumpling', 'appetizer')",1,0.00032658393207054214
72,"('taste',)",8.0,0.0026109660574412533,"('ordered', 'singaporean')",2.0,0.000652954619653934,"('dumpling', 'appetizer', 'ordered')",1,0.00032658393207054214
73,"('dinner',)",8.0,0.0026109660574412533,"('customer', 'service')",2.0,0.000652954619653934,"('appetizer', 'ordered', 'menu')",1,0.00032658393207054214
74,"('week',)",8.0,0.0026109660574412533,"('5', 'minutes')",2.0,0.000652954619653934,"('ordered', 'menu', 'items')",1,0.00032658393207054214
75,"('take',)",8.0,0.0026109660574412533,"('mount', 'laurel')",2.0,0.000652954619653934,"('menu', 'items', 'first')",1,0.00032658393207054214
76,"('attentive',)",7.0,0.0022845953002610967,"('special', 'comes')",2.0,0.000652954619653934,"('items', 'first', 'time')",1,0.00032658393207054214
77,"('even',)",7.0,0.0022845953002610967,"('cute', 'little')",2.0,0.000652954619653934,"('first', 'time', 'loved')",1,0.00032658393207054214
78,"('now',)",7.0,0.0022845953002610967,"('small', 'strip')",2.0,0.000652954619653934,"('time', 'loved', 'much')",1,0.00032658393207054214
79,"('dishes',)",7.0,0.0022845953002610967,"('relatively', 'small')",2.0,0.000652954619653934,"('bed', 'ice', 'makes')",1,0.00032658393207054214
80,"('loved',)",7.0,0.0022845953002610967,"('look', 'forward')",2.0,0.000652954619653934,"('sashimi', 'served', 'bed')",1,0.00032658393207054214
81,"('chef',)",7.0,0.0022845953002610967,"('ive', 'ordered')",2.0,0.000652954619653934,"('cheese', 'cake', 'amazing')",1,0.00032658393207054214
82,"('night',)",7.0,0.0022845953002610967,"('roll', 'everything')",2.0,0.000652954619653934,"('2', 'good', 'gets')",1,0.00032658393207054214
83,"('us',)",7.0,0.0022845953002610967,"('fresh', 'tasty')",2.0,0.000652954619653934,"('cake', 'amazing', 'everything')",1,0.00032658393207054214
84,"('sauce',)",7.0,0.0022845953002610967,"('soooo', 'good')",2.0,0.000652954619653934,"('4', '7', 'pm')",1,0.00032658393207054214
85,"('used',)",7.0,0.0022845953002610967,"('second', 'time')",2.0,0.000652954619653934,"('everything', 'soooo', 'good')",1,0.00032658393207054214
86,"('first',)",7.0,0.0022845953002610967,"('great', 'fresh')",2.0,0.000652954619653934,"('soooo', 'good', 'great')",1,0.00032658393207054214
87,"('flavor',)",7.0,0.0022845953002610967,"('roll', 'good')",2.0,0.000652954619653934,"('good', 'great', 'flavor')",1,0.00032658393207054214
88,"('mall',)",7.0,0.0022845953002610967,"('staff', 'friendly')",2.0,0.000652954619653934,"('great', 'flavor', 'everything')",1,0.00032658393207054214
89,"('fried',)",7.0,0.0022845953002610967,"('oh', 'god')",2.0,0.000652954619653934,"('flavor', 'everything', 'sashimi')",1,0.00032658393207054214
90,"('ill',)",7.0,0.0022845953002610967,"('go', 'back')",2.0,0.000652954619653934,"('everything', 'sashimi', '2')",1,0.00032658393207054214
91,"('jersey',)",7.0,0.0022845953002610967,"('three', 'times')",2.0,0.000652954619653934,"('sashimi', '2', 'good')",1,0.00032658393207054214
92,"('prices',)",7.0,0.0022845953002610967,"('year', 'old')",2.0,0.000652954619653934,"('good', 'gets', 'many')",1,0.00032658393207054214
93,"('way',)",7.0,0.0022845953002610967,"('course', 'tried')",2.0,0.000652954619653934,"('go', 'sashimi', 'served')",1,0.00032658393207054214
94,"('pretty',)",7.0,0.0022845953002610967,"('main', 'course')",2.0,0.000652954619653934,"('gets', 'many', 'restaurants')",1,0.00032658393207054214
