,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('can',)",28.0,0.03444034440344403,"('can', 'eat')",21.0,0.02586206896551724,"('can', 'eat', 'menu')",3,0.0036991368680641184
1,"('eat',)",23.0,0.028290282902829027,"('eat', 'menu')",3.0,0.003694581280788177,"('can', 'eat', 'dinner')",3,0.0036991368680641184
2,"('good',)",13.0,0.015990159901599015,"('eat', 'dinner')",3.0,0.003694581280788177,"('16', 'can', 'eat')",2,0.002466091245376079
3,"('price',)",11.0,0.013530135301353014,"('will', 'definitely')",3.0,0.003694581280788177,"('underrated', 'hole', 'wall')",1,0.0012330456226880395
4,"('menu',)",9.0,0.01107011070110701,"('raw', 'fish')",2.0,0.0024630541871921183,"('guys', 'solve', 'problem')",1,0.0012330456226880395
5,"('order',)",9.0,0.01107011070110701,"('come', 'least')",2.0,0.0024630541871921183,"('unless', 'group', 'really')",1,0.0012330456226880395
6,"('also',)",8.0,0.00984009840098401,"('great', 'price')",2.0,0.0024630541871921183,"('group', 'really', 'couldnt')",1,0.0012330456226880395
7,"('lunch',)",7.0,0.008610086100861008,"('order', 'individually')",2.0,0.0024630541871921183,"('really', 'couldnt', 'get')",1,0.0012330456226880395
8,"('restaurant',)",7.0,0.008610086100861008,"('can', 'order')",2.0,0.0024630541871921183,"('couldnt', 'get', 'variety')",1,0.0012330456226880395
9,"('want',)",6.0,0.007380073800738007,"('ice', 'cream')",2.0,0.0024630541871921183,"('get', 'variety', 'without')",1,0.0012330456226880395
10,"('delicious',)",6.0,0.007380073800738007,"('also', 'included')",2.0,0.0024630541871921183,"('variety', 'without', 'getting')",1,0.0012330456226880395
11,"('appetizers',)",6.0,0.007380073800738007,"('blown', 'away')",2.0,0.0024630541871921183,"('without', 'getting', 'full')",1,0.0012330456226880395
12,"('great',)",6.0,0.007380073800738007,"('lunch', 'special')",2.0,0.0024630541871921183,"('getting', 'full', 'guys')",1,0.0012330456226880395
13,"('like',)",5.0,0.006150061500615006,"('can', 'beat')",2.0,0.0024630541871921183,"('full', 'guys', 'solve')",1,0.0012330456226880395
14,"('choices',)",5.0,0.006150061500615006,"('16', 'can')",2.0,0.0024630541871921183,"('problem', 'order', 'four')",1,0.0012330456226880395
15,"('get',)",5.0,0.006150061500615006,"('can', 'use')",2.0,0.0024630541871921183,"('solve', 'problem', 'order')",1,0.0012330456226880395
16,"('come',)",5.0,0.006150061500615006,"('1199', 'can')",2.0,0.0024630541871921183,"('experience', 'places', 'unless')",1,0.0012330456226880395
17,"('dinner',)",5.0,0.006150061500615006,"('salad', 'appetizers')",2.0,0.0024630541871921183,"('order', 'four', 'pieces')",1,0.0012330456226880395
18,"('will',)",5.0,0.006150061500615006,"('price', 'cant')",2.0,0.0024630541871921183,"('four', 'pieces', 'versus')",1,0.0012330456226880395
19,"('variety',)",5.0,0.006150061500615006,"('started', 'coming')",2.0,0.0024630541871921183,"('pieces', 'versus', 'six')",1,0.0012330456226880395
20,"('restaurants',)",5.0,0.006150061500615006,"('places', 'unless')",1.0,0.0012315270935960591,"('versus', 'six', 'eight')",1,0.0012330456226880395
21,"('definitely',)",4.0,0.004920049200492005,"('includes', 'appetizers')",1.0,0.0012315270935960591,"('six', 'eight', 'like')",1,0.0012330456226880395
22,"('beat',)",4.0,0.004920049200492005,"('four', 'pieces')",1.0,0.0012315270935960591,"('eight', 'like', 'can')",1,0.0012330456226880395
23,"('unlimited',)",4.0,0.004920049200492005,"('pieces', 'versus')",1.0,0.0012315270935960591,"('like', 'can', 'eat')",1,0.0012330456226880395
24,"('back',)",4.0,0.004920049200492005,"('versus', 'six')",1.0,0.0012315270935960591,"('can', 'eat', 'come')",1,0.0012330456226880395
25,"('end',)",4.0,0.004920049200492005,"('six', 'eight')",1.0,0.0012315270935960591,"('places', 'unless', 'group')",1,0.0012330456226880395
26,"('1199',)",4.0,0.004920049200492005,"('eight', 'like')",1.0,0.0012315270935960591,"('group', 'experience', 'places')",1,0.0012330456226880395
27,"('different',)",4.0,0.004920049200492005,"('like', 'can')",1.0,0.0012315270935960591,"('come', 'least', 'six')",1,0.0012330456226880395
28,"('first',)",4.0,0.004920049200492005,"('lunch', 'includes')",1.0,0.0012315270935960591,"('eat', 'group', 'experience')",1,0.0012330456226880395
29,"('cant',)",4.0,0.004920049200492005,"('order', 'four')",1.0,0.0012315270935960591,"('said', 'want', 'extremely')",1,0.0012330456226880395
30,"('group',)",4.0,0.004920049200492005,"('eat', 'come')",1.0,0.0012315270935960591,"('want', 'extremely', 'reasonably')",1,0.0012330456226880395
31,"('quality',)",4.0,0.004920049200492005,"('least', 'six')",1.0,0.0012315270935960591,"('extremely', 'reasonably', 'priced')",1,0.0012330456226880395
32,"('may',)",4.0,0.004920049200492005,"('six', 'times')",1.0,0.0012315270935960591,"('reasonably', 'priced', 'fresh')",1,0.0012330456226880395
33,"('well',)",4.0,0.004920049200492005,"('times', 'lunch')",1.0,0.0012315270935960591,"('priced', 'fresh', 'can')",1,0.0012330456226880395
34,"('spot',)",4.0,0.004920049200492005,"('lunch', 'never')",1.0,0.0012315270935960591,"('fresh', 'can', 'eat')",1,0.0012330456226880395
35,"('groupon',)",4.0,0.004920049200492005,"('eat', 'lunch')",1.0,0.0012315270935960591,"('can', 'eat', 'definitely')",1,0.0012330456226880395
36,"('per',)",4.0,0.004920049200492005,"('never', 'felt')",1.0,0.0012315270935960591,"('eat', 'definitely', 'check')",1,0.0012330456226880395
