,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",18.0,0.015241320914479255,"('definitely', 'back')",5.0,0.00423728813559322,"('will', 'definitely', 'back')",5,0.004240882103477523
1,"('restaurant',)",18.0,0.015241320914479255,"('will', 'definitely')",5.0,0.00423728813559322,"('definitely', 'coming', 'back')",2,0.0016963528413910093
2,"('delicious',)",18.0,0.015241320914479255,"('monkey', 'brain')",5.0,0.00423728813559322,"('japanese', 'style', 'restaurant')",2,0.0016963528413910093
3,"('fresh',)",14.0,0.011854360711261643,"('first', 'time')",4.0,0.003389830508474576,"('roll', 'tempura', 'philly')",2,0.0016963528413910093
4,"('back',)",13.0,0.01100762066045724,"('highly', 'recommend')",3.0,0.002542372881355932,"('first', 'time', 'coming')",2,0.0016963528413910093
5,"('came',)",11.0,0.009314140558848433,"('fresh', 'delicious')",3.0,0.002542372881355932,"('recommend', 'bulgogi', 'tacos')",2,0.0016963528413910093
6,"('amazing',)",11.0,0.009314140558848433,"('bang', 'shrimp')",3.0,0.002542372881355932,"('tempura', 'philly', 'roll')",2,0.0016963528413910093
7,"('will',)",11.0,0.009314140558848433,"('everything', 'delicious')",3.0,0.002542372881355932,"('mothers', 'birthday', 'shrimp')",1,0.0008481764206955047
8,"('everything',)",10.0,0.00846740050804403,"('bulgogi', 'tacos')",3.0,0.002542372881355932,"('dinner', 'mothers', 'birthday')",1,0.0008481764206955047
9,"('tanoshii',)",10.0,0.00846740050804403,"('something', 'new')",2.0,0.001694915254237288,"('birthday', 'shrimp', 'appetizer')",1,0.0008481764206955047
10,"('good',)",10.0,0.00846740050804403,"('staff', 'super')",2.0,0.001694915254237288,"('gyoza', 'delicious', 'ordered')",1,0.0008481764206955047
11,"('definitely',)",9.0,0.007620660457239628,"('date', 'night')",2.0,0.001694915254237288,"('appetizer', 'wasabi', 'shumai')",1,0.0008481764206955047
12,"('dinner',)",9.0,0.007620660457239628,"('philly', 'roll')",2.0,0.001694915254237288,"('enjoyed', 'dinner', 'mothers')",1,0.0008481764206955047
13,"('recommend',)",9.0,0.007620660457239628,"('eat', 'restaurant')",2.0,0.001694915254237288,"('wasabi', 'shumai', 'complimentary')",1,0.0008481764206955047
14,"('new',)",9.0,0.007620660457239628,"('cdc', 'guidelines')",2.0,0.001694915254237288,"('really', 'enjoyed', 'dinner')",1,0.0008481764206955047
