,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('can',)",156.0,0.019809523809523808,"('can', 'eat')",112.0,0.014224028448056897,"('green', 'tea', 'ice')",12,0.0015241966213641559
1,"('eat',)",142.0,0.01803174603174603,"('broad', 'ripple')",26.0,0.003302006604013208,"('tea', 'ice', 'cream')",11,0.0013971802362504762
2,"('good',)",109.0,0.013841269841269842,"('ice', 'cream')",23.0,0.002921005842011684,"('can', 'eat', 'menu')",8,0.0010161310809094373
3,"('great',)",88.0,0.011174603174603174,"('fried', 'rice')",19.0,0.002413004826009652,"('definitely', 'go', 'back')",6,0.0007620983106820779
4,"('order',)",77.0,0.009777777777777778,"('will', 'definitely')",16.0,0.002032004064008128,"('wait', 'go', 'back')",6,0.0007620983106820779
5,"('get',)",71.0,0.009015873015873015,"('go', 'back')",15.0,0.00190500381000762,"('can', 'eat', 'option')",5,0.0006350819255683983
6,"('service',)",69.0,0.008761904761904762,"('green', 'tea')",12.0,0.001524003048006096,"('cant', 'wait', 'go')",5,0.0006350819255683983
7,"('menu',)",69.0,0.008761904761904762,"('tea', 'ice')",12.0,0.001524003048006096,"('can', 'eat', 'lunch')",5,0.0006350819255683983
8,"('lunch',)",67.0,0.008507936507936508,"('crab', 'rangoon')",11.0,0.0013970027940055881,"('get', 'money', 'worth')",5,0.0006350819255683983
9,"('roll',)",62.0,0.007873015873015874,"('really', 'good')",11.0,0.0013970027940055881,"('leave', '7', 'pieces')",5,0.0006350819255683983
10,"('definitely',)",60.0,0.007619047619047619,"('pretty', 'good')",10.0,0.00127000254000508,"('can', 'eat', 'places')",5,0.0006350819255683983
11,"('will',)",60.0,0.007619047619047619,"('moneys', 'worth')",9.0,0.001143002286004572,"('sexy', 'girl', 'roll')",5,0.0006350819255683983
12,"('back',)",57.0,0.007238095238095238,"('sexy', 'girl')",9.0,0.001143002286004572,"('lunch', 'can', 'eat')",5,0.0006350819255683983
13,"('go',)",55.0,0.006984126984126984,"('made', 'order')",8.0,0.001016002032004064,"('will', 'definitely', 'back')",4,0.0005080655404547187
14,"('watami',)",53.0,0.00673015873015873,"('eat', 'menu')",8.0,0.001016002032004064,"('2199', 'can', 'eat')",4,0.0005080655404547187
15,"('like',)",48.0,0.006095238095238095,"('miso', 'soup')",8.0,0.001016002032004064,"('1', 'per', 'piece')",4,0.0005080655404547187
16,"('dinner',)",48.0,0.006095238095238095,"('staff', 'friendly')",8.0,0.001016002032004064,"('definitely', 'got', 'moneys')",4,0.0005080655404547187
17,"('price',)",48.0,0.006095238095238095,"('highly', 'recommend')",7.0,0.000889001778003556,"('price', 'can', 'eat')",4,0.0005080655404547187
18,"('time',)",43.0,0.0054603174603174605,"('great', 'service')",7.0,0.000889001778003556,"('will', 'definitely', 'go')",4,0.0005080655404547187
19,"('really',)",42.0,0.005333333333333333,"('7', 'pieces')",7.0,0.000889001778003556,"('definitely', 'coming', 'back')",3,0.00038104915534103897
20,"('fresh',)",37.0,0.004698412698412698,"('dry', 'erase')",7.0,0.000889001778003556,"('can', 'eat', 'dinner')",3,0.00038104915534103897
21,"('best',)",36.0,0.004571428571428572,"('cant', 'wait')",7.0,0.000889001778003556,"('nice', 'design', 'restaurant')",3,0.00038104915534103897
22,"('friendly',)",36.0,0.004571428571428572,"('can', 'get')",7.0,0.000889001778003556,"('design', 'restaurant', 'still')",3,0.00038104915534103897
23,"('restaurant',)",36.0,0.004571428571428572,"('dynamite', 'roll')",7.0,0.000889001778003556,"('restaurant', 'still', 'brand')",3,0.00038104915534103897
24,"('also',)",36.0,0.004571428571428572,"('per', 'piece')",6.0,0.000762001524003048,"('still', 'brand', 'new')",3,0.00038104915534103897
25,"('love',)",34.0,0.004317460317460317,"('cant', 'beat')",6.0,0.000762001524003048,"('brand', 'new', 'higher')",3,0.00038104915534103897
26,"('everything',)",34.0,0.004317460317460317,"('wait', 'go')",6.0,0.000762001524003048,"('higher', 'recommend', 'indy')",3,0.00038104915534103897
27,"('delicious',)",33.0,0.004190476190476191,"('pleasantly', 'surprised')",6.0,0.000762001524003048,"('recommend', 'indy', 'everything')",3,0.00038104915534103897
28,"('staff',)",32.0,0.004063492063492063,"('soup', 'salad')",6.0,0.000762001524003048,"('got', 'moneys', 'worth')",3,0.00038104915534103897
29,"('sashimi',)",32.0,0.004063492063492063,"('first', 'time')",6.0,0.000762001524003048,"('everything', 'will', 'say')",3,0.00038104915534103897
30,"('quality',)",32.0,0.004063492063492063,"('definitely', 'recommend')",6.0,0.000762001524003048,"('indy', 'everything', 'will')",3,0.00038104915534103897
31,"('worth',)",31.0,0.003936507936507937,"('snow', 'mountain')",6.0,0.000762001524003048,"('dinner', 'can', 'eat')",3,0.00038104915534103897
32,"('rice',)",31.0,0.003936507936507937,"('bang', 'buck')",6.0,0.000762001524003048,"('will', 'say', 'must')",3,0.00038104915534103897
33,"('try',)",31.0,0.003936507936507937,"('will', 'back')",6.0,0.000762001524003048,"('say', 'must', 'try')",3,0.00038104915534103897
34,"('nice',)",30.0,0.0038095238095238095,"('service', 'great')",6.0,0.000762001524003048,"('dry', 'erase', 'marker')",3,0.00038104915534103897
35,"('fried',)",30.0,0.0038095238095238095,"('good', 'quality')",6.0,0.000762001524003048,"('snow', 'mountain', 'roll')",3,0.00038104915534103897
36,"('im',)",28.0,0.0035555555555555557,"('definitely', 'back')",6.0,0.000762001524003048,"('order', 'great', 'nice')",3,0.00038104915534103897
37,"('well',)",28.0,0.0035555555555555557,"('make', 'sure')",6.0,0.000762001524003048,"('can', 'eat', 'great')",3,0.00038104915534103897
