,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",37.0,0.022492401215805473,"('spicy', 'tuna')",8.0,0.004866180048661801,"('bronze', 'pebble', 'roll')",4,0.002434570906877663
1,"('kelp',)",24.0,0.01458966565349544,"('crab', 'rangoon')",7.0,0.004257907542579075,"('perfect', 'date', 'night')",3,0.0018259281801582471
2,"('great',)",20.0,0.0121580547112462,"('date', 'night')",6.0,0.0036496350364963502,"('roll', 'eel', 'roll')",2,0.0012172854534388314
3,"('good',)",17.0,0.01033434650455927,"('will', 'definitely')",5.0,0.0030413625304136255,"('kids', 'bento', 'box')",2,0.0012172854534388314
4,"('origami',)",15.0,0.00911854103343465,"('pebble', 'roll')",5.0,0.0030413625304136255,"('ocean', 'roll', 'amazing')",2,0.0012172854534388314
5,"('delicious',)",15.0,0.00911854103343465,"('bronze', 'pebble')",5.0,0.0030413625304136255,"('eight', 'wonders', 'roll')",2,0.0012172854534388314
6,"('ordered',)",15.0,0.00911854103343465,"('eel', 'roll')",4.0,0.0024330900243309003,"('roll', 'bronze', 'pebble')",2,0.0012172854534388314
7,"('time',)",13.0,0.007902735562310031,"('tuna', 'salmon')",4.0,0.0024330900243309003,"('amazing', 'next', 'time')",2,0.0012172854534388314
8,"('tuna',)",13.0,0.007902735562310031,"('next', 'time')",4.0,0.0024330900243309003,"('night', 'date', 'night')",2,0.0012172854534388314
9,"('try',)",12.0,0.00729483282674772,"('ocean', 'roll')",4.0,0.0024330900243309003,"('will', 'definitely', 'back')",2,0.0012172854534388314
10,"('spicy',)",12.0,0.00729483282674772,"('first', 'time')",3.0,0.0018248175182481751,"('third', 'time', 'ate')",1,0.0006086427267194157
11,"('amazing',)",12.0,0.00729483282674772,"('perfect', 'date')",3.0,0.0018248175182481751,"('time', 'ate', 'cant')",1,0.0006086427267194157
12,"('crab',)",11.0,0.006686930091185411,"('restaurant', 'clean')",3.0,0.0018248175182481751,"('ate', 'cant', 'wait')",1,0.0006086427267194157
13,"('really',)",11.0,0.006686930091185411,"('definitely', 'back')",3.0,0.0018248175182481751,"('ever', 'third', 'time')",1,0.0006086427267194157
14,"('well',)",11.0,0.006686930091185411,"('roll', 'delicious')",3.0,0.0018248175182481751,"('ive', 'ever', 'third')",1,0.0006086427267194157
15,"('night',)",11.0,0.006686930091185411,"('roll', 'eight')",3.0,0.0018248175182481751,"('cant', 'wait', 'go')",1,0.0006086427267194157
16,"('got',)",11.0,0.006686930091185411,"('tempura', 'flakes')",3.0,0.0018248175182481751,"('think', 'ive', 'ever')",1,0.0006086427267194157
17,"('definitely',)",10.0,0.0060790273556231,"('2', 'classic')",3.0,0.0018248175182481751,"('crunchiest', 'think', 'ive')",1,0.0006086427267194157
18,"('go',)",10.0,0.0060790273556231,"('roll', 'amazing')",3.0,0.0018248175182481751,"('went', 'last', 'night')",1,0.0006086427267194157
19,"('like',)",10.0,0.0060790273556231,"('looks', 'like')",3.0,0.0018248175182481751,"('go', 'back', 'first')",1,0.0006086427267194157
20,"('new',)",10.0,0.0060790273556231,"('eight', 'wonders')",3.0,0.0018248175182481751,"('fried', 'crunchiest', 'think')",1,0.0006086427267194157
21,"('will',)",10.0,0.0060790273556231,"('miso', 'soup')",2.0,0.0012165450121654502,"('try', 'fried', 'crunchiest')",1,0.0006086427267194157
22,"('little',)",10.0,0.0060790273556231,"('ginger', 'salad')",2.0,0.0012165450121654502,"('fried', 'try', 'fried')",1,0.0006086427267194157
23,"('order',)",10.0,0.0060790273556231,"('chose', 'panko')",2.0,0.0012165450121654502,"('like', 'fried', 'try')",1,0.0006086427267194157
24,"('2',)",9.0,0.00547112462006079,"('highly', 'recommend')",2.0,0.0012165450121654502,"('lunch', 'like', 'fried')",1,0.0006086427267194157
25,"('fresh',)",9.0,0.00547112462006079,"('tuna', 'nachos')",2.0,0.0012165450121654502,"('even', 'lunch', 'like')",1,0.0006086427267194157
26,"('back',)",8.0,0.004863221884498481,"('super', 'fresh')",2.0,0.0012165450121654502,"('night', 'even', 'lunch')",1,0.0006086427267194157
27,"('nice',)",8.0,0.004863221884498481,"('give', 'try')",2.0,0.0012165450121654502,"('date', 'night', 'even')",1,0.0006086427267194157
28,"('sauce',)",8.0,0.004863221884498481,"('service', 'great')",2.0,0.0012165450121654502,"('regret', 'date', 'night')",1,0.0006086427267194157
29,"('eel',)",8.0,0.004863221884498481,"('customer', 'service')",2.0,0.0012165450121654502,"('wait', 'go', 'back')",1,0.0006086427267194157
30,"('location',)",8.0,0.004863221884498481,"('good', 'ordered')",2.0,0.0012165450121654502,"('time', 'girlfriends', 'brother')",1,0.0006086427267194157
31,"('also',)",8.0,0.004863221884498481,"('sad', 'see')",2.0,0.0012165450121654502,"('back', 'first', 'time')",1,0.0006086427267194157
32,"('super',)",8.0,0.004863221884498481,"('ordered', 'picnic')",2.0,0.0012165450121654502,"('first', 'time', 'girlfriends')",1,0.0006086427267194157
33,"('get',)",8.0,0.004863221884498481,"('roll', 'eel')",2.0,0.0012165450121654502,"('starters', 'solid', 'build')",1,0.0006086427267194157
34,"('special',)",7.0,0.00425531914893617,"('happy', 'hour')",2.0,0.0012165450121654502,"('much', 'starters', 'solid')",1,0.0006086427267194157
35,"('date',)",7.0,0.00425531914893617,"('35', 'stars')",2.0,0.0012165450121654502,"('origami', 'much', 'starters')",1,0.0006086427267194157
36,"('came',)",7.0,0.00425531914893617,"('poke', 'bowl')",2.0,0.0012165450121654502,"('missing', 'origami', 'much')",1,0.0006086427267194157
37,"('rangoon',)",7.0,0.00425531914893617,"('try', 'kelp')",2.0,0.0012165450121654502,"('ventured', 'missing', 'origami')",1,0.0006086427267194157
38,"('service',)",7.0,0.00425531914893617,"('kelp', 'origami')",2.0,0.0012165450121654502,"('glad', 'ventured', 'missing')",1,0.0006086427267194157
39,"('pebble',)",6.0,0.00364741641337386,"('beautiful', 'interior')",2.0,0.0012165450121654502,"('eating', 'glad', 'ventured')",1,0.0006086427267194157
40,"('ive',)",6.0,0.00364741641337386,"('really', 'good')",2.0,0.0012165450121654502,"('comfortable', 'eating', 'glad')",1,0.0006086427267194157
41,"('fried',)",6.0,0.00364741641337386,"('birthday', 'dinner')",2.0,0.0012165450121654502,"('feel', 'comfortable', 'eating')",1,0.0006086427267194157
42,"('meal',)",6.0,0.00364741641337386,"('even', 'though')",2.0,0.0012165450121654502,"('friend', 'feel', 'comfortable')",1,0.0006086427267194157
43,"('eight',)",6.0,0.00364741641337386,"('go', 'back')",2.0,0.0012165450121654502,"('date', 'friend', 'feel')",1,0.0006086427267194157
44,"('restaurant',)",6.0,0.00364741641337386,"('super', 'friendly')",2.0,0.0012165450121654502,"('middle', 'date', 'friend')",1,0.0006086427267194157
45,"('top',)",6.0,0.00364741641337386,"('delicious', 'great')",2.0,0.0012165450121654502,"('table', 'middle', 'date')",1,0.0006086427267194157
46,"('thats',)",5.0,0.00303951367781155,"('kids', 'bento')",2.0,0.0012165450121654502,"('nice', 'table', 'middle')",1,0.0006086427267194157
47,"('price',)",5.0,0.00303951367781155,"('spicy', 'mayo')",2.0,0.0012165450121654502,"('needed', 'nice', 'table')",1,0.0006086427267194157
48,"('perfect',)",5.0,0.00303951367781155,"('bento', 'box')",2.0,0.0012165450121654502,"('thats', 'needed', 'nice')",1,0.0006086427267194157
49,"('best',)",5.0,0.00303951367781155,"('side', 'found')",2.0,0.0012165450121654502,"('space', 'thats', 'needed')",1,0.0006086427267194157
50,"('friendly',)",5.0,0.00303951367781155,"('roll', 'get')",2.0,0.0012165450121654502,"('family', 'space', 'thats')",1,0.0006086427267194157
51,"('made',)",5.0,0.00303951367781155,"('roll', 'bronze')",2.0,0.0012165450121654502,"('big', 'family', 'space')",1,0.0006086427267194157
52,"('different',)",5.0,0.00303951367781155,"('amazing', 'next')",2.0,0.0012165450121654502,"('come', 'big', 'family')",1,0.0006086427267194157
53,"('im',)",5.0,0.00303951367781155,"('got', 'seated')",2.0,0.0012165450121654502,"('brother', 'come', 'big')",1,0.0006086427267194157
54,"('inside',)",5.0,0.00303951367781155,"('really', 'nice')",2.0,0.0012165450121654502,"('girlfriends', 'brother', 'come')",1,0.0006086427267194157
55,"('went',)",5.0,0.00303951367781155,"('ive', 'ever')",2.0,0.0012165450121654502,"('fare', 'will', 'regret')",1,0.0006086427267194157
56,"('salmon',)",5.0,0.00303951367781155,"('salmon', 'eel')",2.0,0.0012165450121654502,"('will', 'regret', 'date')",1,0.0006086427267194157
57,"('however',)",5.0,0.00303951367781155,"('great', 'eat')",2.0,0.0012165450121654502,"('really', 'nice', 'prices')",1,0.0006086427267194157
58,"('first',)",5.0,0.00303951367781155,"('wonders', 'roll')",2.0,0.0012165450121654502,"('prices', 'fare', 'will')",1,0.0006086427267194157
59,"('coming',)",5.0,0.00303951367781155,"('8', 'wonders')",2.0,0.0012165450121654502,"('normal', 'colored', 'tempura')",1,0.0006086427267194157
60,"('staff',)",5.0,0.00303951367781155,"('take', 'photo')",2.0,0.0012165450121654502,"('thing', 'preferred', 'normal')",1,0.0006086427267194157
61,"('think',)",5.0,0.00303951367781155,"('california', 'roll')",2.0,0.0012165450121654502,"('personal', 'thing', 'preferred')",1,0.0006086427267194157
62,"('classic',)",5.0,0.00303951367781155,"('specialty', 'roll')",2.0,0.0012165450121654502,"('totally', 'personal', 'thing')",1,0.0006086427267194157
63,"('wonders',)",5.0,0.00303951367781155,"('sauce', 'side')",2.0,0.0012165450121654502,"('bits', 'totally', 'personal')",1,0.0006086427267194157
64,"('even',)",5.0,0.00303951367781155,"('tasted', 'fresh')",2.0,0.0012165450121654502,"('bacon', 'bits', 'totally')",1,0.0006086427267194157
65,"('right',)",5.0,0.00303951367781155,"('night', 'date')",2.0,0.0012165450121654502,"('like', 'bacon', 'bits')",1,0.0006086427267194157
66,"('tempura',)",5.0,0.00303951367781155,"('two', 'classic')",2.0,0.0012165450121654502,"('looks', 'like', 'bacon')",1,0.0006086427267194157
67,"('next',)",5.0,0.00303951367781155,"('thats', 'needed')",1.0,0.0006082725060827251,"('though', 'looks', 'like')",1,0.0006086427267194157
68,"('spot',)",5.0,0.00303951367781155,"('open', '11')",1.0,0.0006082725060827251,"('threw', 'though', 'looks')",1,0.0006086427267194157
69,"('bronze',)",5.0,0.00303951367781155,"('needed', 'nice')",1.0,0.0006082725060827251,"('kind', 'threw', 'though')",1,0.0006086427267194157
70,"('decided',)",4.0,0.0024316109422492403,"('friend', 'feel')",1.0,0.0006082725060827251,"('top', 'kind', 'threw')",1,0.0006086427267194157
71,"('ocean',)",4.0,0.0024316109422492403,"('nice', 'table')",1.0,0.0006082725060827251,"('flakes', 'top', 'kind')",1,0.0006086427267194157
72,"('come',)",4.0,0.0024316109422492403,"('table', 'middle')",1.0,0.0006082725060827251,"('tempura', 'flakes', 'top')",1,0.0006086427267194157
73,"('pm',)",4.0,0.0024316109422492403,"('space', 'thats')",1.0,0.0006082725060827251,"('red', 'tempura', 'flakes')",1,0.0006086427267194157
74,"('used',)",4.0,0.0024316109422492403,"('middle', 'date')",1.0,0.0006082725060827251,"('sauce', 'red', 'tempura')",1,0.0006086427267194157
75,"('give',)",4.0,0.0024316109422492403,"('kelp', 'open')",1.0,0.0006082725060827251,"('amount', 'sauce', 'red')",1,0.0006086427267194157
76,"('atmosphere',)",4.0,0.0024316109422492403,"('date', 'friend')",1.0,0.0006082725060827251,"('perfect', 'amount', 'sauce')",1,0.0006086427267194157
77,"('ubereats',)",4.0,0.0024316109422492403,"('appreciate', 'kelp')",1.0,0.0006082725060827251,"('roll', 'perfect', 'amount')",1,0.0006086427267194157
78,"('side',)",4.0,0.0024316109422492403,"('fried', 'crunchiest')",1.0,0.0006082725060827251,"('pebble', 'roll', 'perfect')",1,0.0006086427267194157
79,"('recommend',)",4.0,0.0024316109422492403,"('price', 'appreciate')",1.0,0.0006082725060827251,"('bronzed', 'pebble', 'roll')",1,0.0006086427267194157
80,"('didnt',)",4.0,0.0024316109422492403,"('feel', 'comfortable')",1.0,0.0006082725060827251,"('roll', 'bronzed', 'pebble')",1,0.0006086427267194157
81,"('happy',)",4.0,0.0024316109422492403,"('comfortable', 'eating')",1.0,0.0006082725060827251,"('preferred', 'normal', 'colored')",1,0.0006086427267194157
82,"('always',)",4.0,0.0024316109422492403,"('build', 'burrito')",1.0,0.0006082725060827251,"('colored', 'tempura', 'flakes')",1,0.0006086427267194157
83,"('menu',)",4.0,0.0024316109422492403,"('colored', 'tempura')",1.0,0.0006082725060827251,"('nice', 'prices', 'fare')",1,0.0006086427267194157
84,"('tampa',)",4.0,0.0024316109422492403,"('solid', 'build')",1.0,0.0006082725060827251,"('tempura', 'flakes', 'thought')",1,0.0006086427267194157
85,"('everything',)",4.0,0.0024316109422492403,"('starters', 'solid')",1.0,0.0006082725060827251,"('build', 'burrito', 'works')",1,0.0006086427267194157
86,"('red',)",4.0,0.0024316109422492403,"('much', 'starters')",1.0,0.0006082725060827251,"('workers', 'really', 'nice')",1,0.0006086427267194157
