,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('order',)",11.0,0.022964509394572025,"('went', 'back')",2.0,0.0041841004184100415,"('got', 'takeout', 'good')",1,0.0020964360587002098
1,"('like',)",6.0,0.012526096033402923,"('much', 'rice')",2.0,0.0041841004184100415,"('went', 'pick', 'order')",1,0.0020964360587002098
2,"('back',)",5.0,0.010438413361169102,"('wont', 'back')",2.0,0.0041841004184100415,"('organization', 'orders', 'instead')",1,0.0020964360587002098
3,"('rice',)",5.0,0.010438413361169102,"('got', 'takeout')",1.0,0.0020920502092050207,"('horrifying', 'organization', 'orders')",1,0.0020964360587002098
4,"('orders',)",5.0,0.010438413361169102,"('pick', 'order')",1.0,0.0020920502092050207,"('witness', 'horrifying', 'organization')",1,0.0020964360587002098
5,"('staff',)",5.0,0.010438413361169102,"('organization', 'orders')",1.0,0.0020920502092050207,"('1', 'witness', 'horrifying')",1,0.0020964360587002098
6,"('restaurant',)",5.0,0.010438413361169102,"('horrifying', 'organization')",1.0,0.0020920502092050207,"('get', '1', 'witness')",1,0.0020964360587002098
7,"('didnt',)",4.0,0.008350730688935281,"('witness', 'horrifying')",1.0,0.0020920502092050207,"('didnt', 'get', '1')",1,0.0020964360587002098
8,"('went',)",4.0,0.008350730688935281,"('1', 'witness')",1.0,0.0020920502092050207,"('1205', 'didnt', 'get')",1,0.0020964360587002098
9,"('399',)",4.0,0.008350730688935281,"('get', '1')",1.0,0.0020920502092050207,"('ready', '1205', 'didnt')",1,0.0020964360587002098
10,"('another',)",4.0,0.008350730688935281,"('didnt', 'get')",1.0,0.0020920502092050207,"('suppose', 'ready', '1205')",1,0.0020964360587002098
11,"('2',)",3.0,0.006263048016701462,"('1205', 'didnt')",1.0,0.0020920502092050207,"('today', 'suppose', 'ready')",1,0.0020964360587002098
12,"('go',)",3.0,0.006263048016701462,"('ready', '1205')",1.0,0.0020920502092050207,"('order', 'today', 'suppose')",1,0.0020964360587002098
13,"('lunch',)",3.0,0.006263048016701462,"('suppose', 'ready')",1.0,0.0020920502092050207,"('pick', 'order', 'today')",1,0.0020964360587002098
14,"('bad',)",3.0,0.006263048016701462,"('today', 'suppose')",1.0,0.0020920502092050207,"('company', 'went', 'pick')",1,0.0020964360587002098
15,"('long',)",3.0,0.006263048016701462,"('order', 'today')",1.0,0.0020920502092050207,"('instead', 'getting', 'orders')",1,0.0020964360587002098
16,"('smell',)",3.0,0.006263048016701462,"('company', 'went')",1.0,0.0020920502092050207,"('pickup', 'company', 'went')",1,0.0020964360587002098
17,"('dirty',)",3.0,0.006263048016701462,"('went', 'pick')",1.0,0.0020920502092050207,"('drive', 'pickup', 'company')",1,0.0020964360587002098
