,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",276.0,0.022417153996101363,"('santa', 'barbara')",61.0,0.004954918365689221,"('spicy', 'tuna', 'roll')",11,0.0008935824532900081
1,"('good',)",188.0,0.015269655620532813,"('come', 'back')",29.0,0.002355616927950613,"('lion', 'king', 'roll')",9,0.0007311129163281885
2,"('great',)",172.0,0.01397011046133853,"('spicy', 'tuna')",27.0,0.00219316058809195,"('spicy', 'garlic', 'edamame')",9,0.0007311129163281885
3,"('service',)",147.0,0.011939571150097465,"('hurricane', 'roll')",25.0,0.002030704248233287,"('restaurant', 'santa', 'barbara')",8,0.0006498781478472786
4,"('fresh',)",125.0,0.010152696556205328,"('great', 'service')",23.0,0.0018682479083746244,"('red', 'dragon', 'roll')",7,0.0005686433793663688
5,"('delicious',)",102.0,0.008284600389863547,"('tower', 'roll')",20.0,0.00162456339858663,"('will', 'definitely', 'back')",7,0.0005686433793663688
6,"('restaurant',)",98.0,0.007959714100064977,"('dragon', 'roll')",20.0,0.00162456339858663,"('roll', 'lion', 'king')",5,0.00040617384240454913
7,"('yume',)",92.0,0.007472384665367121,"('japanese', 'restaurant')",20.0,0.00162456339858663,"('definitely', 'come', 'back')",5,0.00040617384240454913
8,"('back',)",86.0,0.006985055230669265,"('service', 'great')",19.0,0.0015433352286572985,"('roll', 'spicy', 'tuna')",5,0.00040617384240454913
9,"('like',)",82.0,0.006660168940870695,"('lion', 'king')",19.0,0.0015433352286572985,"('green', 'dragon', 'roll')",5,0.00040617384240454913
10,"('really',)",81.0,0.006578947368421052,"('miso', 'soup')",18.0,0.001462107058727967,"('salmon', 'skin', 'roll')",4,0.0003249390739236393
11,"('ramen',)",77.0,0.006254061078622482,"('highly', 'recommend')",15.0,0.0012184225489399723,"('roll', 'red', 'dragon')",4,0.0003249390739236393
12,"('spicy',)",71.0,0.005766731643924626,"('will', 'definitely')",15.0,0.0012184225489399723,"('great', 'great', 'service')",4,0.0003249390739236393
13,"('japanese',)",65.0,0.00527940220922677,"('service', 'good')",14.0,0.0011371943790106408,"('rock', 'n', 'roll')",4,0.0003249390739236393
14,"('ordered',)",64.0,0.005198180636777128,"('sat', 'bar')",14.0,0.0011371943790106408,"('definitely', 'coming', 'back')",4,0.0003249390739236393
15,"('santa',)",64.0,0.005198180636777128,"('garlic', 'edamame')",14.0,0.0011371943790106408,"('roll', 'wrapped', 'cucumber')",4,0.0003249390739236393
16,"('best',)",63.0,0.005116959064327485,"('really', 'good')",14.0,0.0011371943790106408,"('roll', 'hurricane', 'roll')",4,0.0003249390739236393
17,"('also',)",62.0,0.0050357374918778425,"('will', 'back')",13.0,0.0010559662090813093,"('come', 'back', 'try')",4,0.0003249390739236393
18,"('fish',)",61.0,0.0049545159194282,"('fresh', 'fish')",13.0,0.0010559662090813093,"('white', 'dragon', 'roll')",4,0.0003249390739236393
19,"('ive',)",61.0,0.0049545159194282,"('tuna', 'roll')",11.0,0.0008935098692226465,"('best', 'santa', 'barbara')",4,0.0003249390739236393
20,"('definitely',)",61.0,0.0049545159194282,"('roll', 'spicy')",11.0,0.0008935098692226465,"('give', 'try', 'wont')",3,0.00024370430544272948
21,"('barbara',)",61.0,0.0049545159194282,"('state', 'street')",10.0,0.000812281699293315,"('fried', 'eel', 'asparagus')",3,0.00024370430544272948
22,"('will',)",59.0,0.004792072774528915,"('mexicali', 'roll')",10.0,0.000812281699293315,"('santa', 'barbara', 'will')",3,0.00024370430544272948
23,"('amazing',)",55.0,0.004467186484730344,"('007', 'roll')",10.0,0.000812281699293315,"('mango', 'mango', 'roll')",3,0.00024370430544272948
24,"('well',)",51.0,0.004142300194931774,"('coming', 'back')",10.0,0.000812281699293315,"('deep', 'fried', 'shrimp')",3,0.00024370430544272948
25,"('get',)",51.0,0.004142300194931774,"('next', 'time')",10.0,0.000812281699293315,"('cant', 'go', 'wrong')",3,0.00024370430544272948
26,"('try',)",50.0,0.004061078622482131,"('pretty', 'good')",10.0,0.000812281699293315,"('ordered', 'hot', 'sake')",3,0.00024370430544272948
27,"('go',)",50.0,0.004061078622482131,"('yume', 'tower')",10.0,0.000812281699293315,"('service', 'really', 'good')",3,0.00024370430544272948
28,"('come',)",49.0,0.003979857050032488,"('ive', 'never')",9.0,0.0007310535293639835,"('seafood', 'ceviche', 'salad')",3,0.00024370430544272948
29,"('salmon',)",48.0,0.003898635477582846,"('reasonably', 'priced')",9.0,0.0007310535293639835,"('authentic', 'japanese', 'restaurant')",3,0.00024370430544272948
30,"('tuna',)",48.0,0.003898635477582846,"('pork', 'ramen')",9.0,0.0007310535293639835,"('great', 'service', 'good')",3,0.00024370430544272948
31,"('friendly',)",48.0,0.003898635477582846,"('friendly', 'staff')",9.0,0.0007310535293639835,"('summer', 'fresh', 'roll')",3,0.00024370430544272948
32,"('love',)",48.0,0.003898635477582846,"('spicy', 'garlic')",9.0,0.0007310535293639835,"('fish', 'always', 'fresh')",3,0.00024370430544272948
33,"('staff',)",47.0,0.003817413905133203,"('red', 'dragon')",9.0,0.0007310535293639835,"('avocado', 'salmon', 'roll')",3,0.00024370430544272948
34,"('little',)",46.0,0.0037361923326835605,"('king', 'roll')",9.0,0.0007310535293639835,"('started', 'seafood', 'ceviche')",3,0.00024370430544272948
35,"('bar',)",46.0,0.0037361923326835605,"('green', 'dragon')",8.0,0.0006498253594346519,"('dancing', 'pants', 'roll')",3,0.00024370430544272948
36,"('sb',)",46.0,0.0037361923326835605,"('seared', 'salmon')",8.0,0.0006498253594346519,"('back', 'next', 'time')",3,0.00024370430544272948
37,"('time',)",45.0,0.003654970760233918,"('definitely', 'come')",8.0,0.0006498253594346519,"('went', 'first', 'time')",3,0.00024370430544272948
38,"('recommend',)",44.0,0.0035737491877842753,"('crunch', 'roll')",8.0,0.0006498253594346519,"('will', 'come', 'back')",3,0.00024370430544272948
39,"('order',)",44.0,0.0035737491877842753,"('go', 'back')",8.0,0.0006498253594346519,"('definitely', 'going', 'back')",3,0.00024370430544272948
40,"('came',)",41.0,0.0033300844704353474,"('definitely', 'back')",8.0,0.0006498253594346519,"('tempura', 'ice', 'cream')",3,0.00024370430544272948
41,"('im',)",41.0,0.0033300844704353474,"('first', 'time')",8.0,0.0006498253594346519,"('shrimp', 'tempura', 'roll')",3,0.00024370430544272948
42,"('nice',)",41.0,0.0033300844704353474,"('restaurant', 'santa')",8.0,0.0006498253594346519,"('salad', 'miso', 'soup')",3,0.00024370430544272948
43,"('can',)",41.0,0.0033300844704353474,"('fresh', 'delicious')",8.0,0.0006498253594346519,"('japanese', 'restaurant', 'santa')",3,0.00024370430544272948
44,"('favorite',)",40.0,0.003248862897985705,"('roll', 'great')",7.0,0.0005685971895053204,"('best', 'japanese', 'restaurant')",3,0.00024370430544272948
45,"('sauce',)",40.0,0.003248862897985705,"('quality', 'fish')",7.0,0.0005685971895053204,"('traditional', 'caribbean', 'style')",2,0.00016246953696181965
46,"('sashimi',)",39.0,0.003167641325536062,"('ive', 'ever')",7.0,0.0005685971895053204,"('told', 'go', 'fresh')",2,0.00016246953696181965
47,"('super',)",39.0,0.003167641325536062,"('ice', 'cream')",7.0,0.0005685971895053204,"('stick', 'ricebased', 'maki')",2,0.00016246953696181965
48,"('always',)",38.0,0.0030864197530864196,"('cold', 'ramen')",7.0,0.0005685971895053204,"('maki', 'something', 'told')",2,0.00016246953696181965
49,"('dinner',)",37.0,0.003005198180636777,"('roll', 'delicious')",7.0,0.0005685971895053204,"('ricebased', 'maki', 'something')",2,0.00016246953696181965
50,"('hurricane',)",36.0,0.0029239766081871343,"('best', 'ive')",7.0,0.0005685971895053204,"('quite', 'like', 'ceviche')",2,0.00016246953696181965
51,"('everything',)",36.0,0.0029239766081871343,"('cream', 'cheese')",7.0,0.0005685971895053204,"('like', 'ceviche', 'traditional')",2,0.00016246953696181965
52,"('got',)",36.0,0.0029239766081871343,"('ive', 'tried')",7.0,0.0005685971895053204,"('lion', 'king', 'hurricane')",2,0.00016246953696181965
53,"('soup',)",35.0,0.0028427550357374917,"('service', 'friendly')",7.0,0.0005685971895053204,"('something', 'told', 'go')",2,0.00016246953696181965
54,"('tower',)",35.0,0.0028427550357374917,"('authentic', 'japanese')",7.0,0.0005685971895053204,"('harsh', 'acetic', 'rich')",2,0.00016246953696181965
55,"('never',)",35.0,0.0028427550357374917,"('salmon', 'roll')",7.0,0.0005685971895053204,"('caribbean', 'style', 'can')",2,0.00016246953696181965
56,"('menu',)",34.0,0.002761533463287849,"('white', 'dragon')",7.0,0.0005685971895053204,"('fresh', 'summer', 'roll')",2,0.00016246953696181965
57,"('perfect',)",34.0,0.002761533463287849,"('seafood', 'pancake')",7.0,0.0005685971895053204,"('style', 'can', 'harsh')",2,0.00016246953696181965
58,"('much',)",33.0,0.0026803118908382065,"('roll', 'fresh')",7.0,0.0005685971895053204,"('usually', 'stick', 'ricebased')",2,0.00016246953696181965
59,"('tried',)",32.0,0.002599090318388564,"('spicy', 'edamame')",7.0,0.0005685971895053204,"('stand', 'usually', 'stick')",2,0.00016246953696181965
60,"('shrimp',)",32.0,0.002599090318388564,"('far', 'best')",7.0,0.0005685971895053204,"('allowed', 'stand', 'usually')",2,0.00016246953696181965
61,"('tempura',)",32.0,0.002599090318388564,"('always', 'fresh')",7.0,0.0005685971895053204,"('can', 'harsh', 'acetic')",2,0.00016246953696181965
62,"('lunch',)",31.0,0.0025178687459389212,"('wait', 'staff')",6.0,0.00048736901957598897,"('flavors', 'allowed', 'stand')",2,0.00016246953696181965
63,"('spot',)",31.0,0.0025178687459389212,"('green', 'tea')",6.0,0.00048736901957598897,"('ceviche', 'traditional', 'caribbean')",2,0.00016246953696181965
64,"('quality',)",31.0,0.0025178687459389212,"('give', 'try')",6.0,0.00048736901957598897,"('delicious', 'fresh', 'also')",2,0.00016246953696181965
65,"('excellent',)",30.0,0.0024366471734892786,"('even', 'better')",6.0,0.00048736901957598897,"('rich', 'flavors', 'allowed')",2,0.00016246953696181965
66,"('dragon',)",30.0,0.0024366471734892786,"('amazing', 'fresh')",6.0,0.00048736901957598897,"('acetic', 'rich', 'flavors')",2,0.00016246953696181965
67,"('dont',)",29.0,0.002355425601039636,"('5', 'stars')",6.0,0.00048736901957598897,"('go', 'fresh', 'summer')",2,0.00016246953696181965
68,"('made',)",29.0,0.002355425601039636,"('chili', 'poppers')",6.0,0.00048736901957598897,"('will', 'definitely', 'returning')",2,0.00016246953696181965
69,"('new',)",29.0,0.002355425601039636,"('shrimp', 'tempura')",6.0,0.00048736901957598897,"('summer', 'roll', 'wrapped')",2,0.00016246953696181965
70,"('edamame',)",28.0,0.0022742040285899934,"('crab', 'meat')",6.0,0.00048736901957598897,"('wrapped', 'cucumber', 'im')",2,0.00016246953696181965
71,"('different',)",28.0,0.0022742040285899934,"('roll', 'best')",6.0,0.00048736901957598897,"('ice', 'water', 'tea')",2,0.00016246953696181965
72,"('us',)",28.0,0.0022742040285899934,"('roll', 'really')",6.0,0.00048736901957598897,"('water', 'tea', 'cant')",2,0.00016246953696181965
73,"('rice',)",28.0,0.0022742040285899934,"('service', 'excellent')",6.0,0.00048736901957598897,"('tea', 'cant', 'beat')",2,0.00016246953696181965
74,"('attentive',)",28.0,0.0022742040285899934,"('delicious', 'fresh')",6.0,0.00048736901957598897,"('cant', 'beat', 'convenience')",2,0.00016246953696181965
75,"('tasty',)",28.0,0.0022742040285899934,"('never', 'tried')",6.0,0.00048736901957598897,"('beat', 'convenience', 'ill')",2,0.00016246953696181965
76,"('better',)",27.0,0.0021929824561403508,"('service', 'always')",6.0,0.00048736901957598897,"('convenience', 'ill', 'definitely')",2,0.00016246953696181965
77,"('even',)",27.0,0.0021929824561403508,"('salmon', 'skin')",6.0,0.00048736901957598897,"('ill', 'definitely', 'going')",2,0.00016246953696181965
78,"('atmosphere',)",27.0,0.0021929824561403508,"('ceviche', 'salad')",6.0,0.00048736901957598897,"('bean', 'ice', 'cream')",2,0.00016246953696181965
79,"('right',)",27.0,0.0021929824561403508,"('yellow', 'tail')",6.0,0.00048736901957598897,"('red', 'bean', 'ice')",2,0.00016246953696181965
80,"('fried',)",27.0,0.0021929824561403508,"('power', 'roll')",5.0,0.0004061408496466575,"('japanese', 'santa', 'barbara')",2,0.00016246953696181965
81,"('pretty',)",26.0,0.002111760883690708,"('restaurant', 'sb')",5.0,0.0004061408496466575,"('try', 'wont', 'disappointed')",2,0.00016246953696181965
82,"('didnt',)",26.0,0.002111760883690708,"('really', 'fresh')",5.0,0.0004061408496466575,"('spot', 'santa', 'barbara')",2,0.00016246953696181965
