,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('japanese',)",44.0,0.016188373804267846,"('miso', 'soup')",7.0,0.002576370997423629,"('japanese', 'restaurant', 'tucson')",3,0.0011045655375552283
1,"('ramen',)",40.0,0.014716703458425313,"('japanese', 'restaurant')",7.0,0.002576370997423629,"('two', 'thumbs', 'roll')",3,0.0011045655375552283
2,"('good',)",32.0,0.01177336276674025,"('california', 'roll')",7.0,0.002576370997423629,"('la', 'carte', 'menu')",3,0.0011045655375552283
3,"('yukari',)",32.0,0.01177336276674025,"('japanese', 'restaurants')",6.0,0.002208317997791682,"('go', 'back', 'try')",2,0.0007363770250368188
4,"('roll',)",31.0,0.011405445180279618,"('go', 'back')",5.0,0.001840264998159735,"('give', 'complimentary', 'bowl')",2,0.0007363770250368188
5,"('tucson',)",26.0,0.009565857247976454,"('also', 'ordered')",5.0,0.001840264998159735,"('japanese', 'restaurants', 'tucson')",2,0.0007363770250368188
6,"('service',)",24.0,0.008830022075055188,"('best', 'japanese')",4.0,0.001472211998527788,"('pork', 'katsu', 'curry')",2,0.0007363770250368188
7,"('like',)",23.0,0.008462104488594555,"('curry', 'udon')",4.0,0.001472211998527788,"('going', 'back', 'soon')",2,0.0007363770250368188
8,"('menu',)",22.0,0.008094186902133923,"('la', 'carte')",4.0,0.001472211998527788,"('spicy', 'crunchy', 'roll')",2,0.0007363770250368188
9,"('go',)",21.0,0.00772626931567329,"('katsu', 'curry')",3.0,0.001104158998895841,"('miso', 'soup', 'good')",2,0.0007363770250368188
10,"('also',)",20.0,0.007358351729212656,"('las', 'vegas')",3.0,0.001104158998895841,"('good', 'ramen', 'tucson')",2,0.0007363770250368188
11,"('sashimi',)",18.0,0.006622516556291391,"('thumbs', 'roll')",3.0,0.001104158998895841,"('best', 'japanese', 'restaurant')",2,0.0007363770250368188
12,"('best',)",18.0,0.006622516556291391,"('two', 'thumbs')",3.0,0.001104158998895841,"('japanese', 'restaurants', 'town')",2,0.0007363770250368188
13,"('restaurant',)",17.0,0.006254598969830758,"('carte', 'menu')",3.0,0.001104158998895841,"('will', 'going', 'back')",2,0.0007363770250368188
14,"('fresh',)",16.0,0.005886681383370125,"('ramen', 'udon')",3.0,0.001104158998895841,"('set', 'bar', 'high')",1,0.0003681885125184094
15,"('delicious',)",16.0,0.005886681383370125,"('raw', 'fish')",3.0,0.001104158998895841,"('bar', 'high', 'certainly')",1,0.0003681885125184094
16,"('chef',)",16.0,0.005886681383370125,"('coming', 'back')",3.0,0.001104158998895841,"('much', 'tempura', 'failed')",1,0.0003681885125184094
17,"('back',)",15.0,0.005518763796909493,"('restaurants', 'tucson')",3.0,0.001104158998895841,"('tempura', 'failed', 'impress')",1,0.0003681885125184094
