,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('can',)",37.0,0.017177344475394613,"('can', 'eat')",26.0,0.012076172782164421,"('can', 'eat', 'menu')",5,0.0023234200743494425
1,"('eat',)",32.0,0.014856081708449397,"('will', 'definitely')",6.0,0.002786809103576405,"('will', 'definitely', 'back')",3,0.0013940520446096654
2,"('great',)",25.0,0.01160631383472609,"('eat', 'menu')",5.0,0.0023223409196470044,"('can', 'eat', 'dinner')",3,0.0013940520446096654
3,"('service',)",20.0,0.009285051067780872,"('great', 'service')",5.0,0.0023223409196470044,"('can', 'eat', 'made')",3,0.0013940520446096654
4,"('also',)",18.0,0.008356545961002786,"('definitely', 'back')",4.0,0.0018578727357176034,"('variety', 'choose', 'sashimi')",2,0.0009293680297397769
5,"('roll',)",18.0,0.008356545961002786,"('much', 'much')",4.0,0.0018578727357176034,"('try', 'variety', 'choose')",2,0.0009293680297397769
6,"('delicious',)",16.0,0.007428040854224698,"('new', 'location')",4.0,0.0018578727357176034,"('choose', 'sashimi', 'teppan')",2,0.0009293680297397769
7,"('order',)",16.0,0.007428040854224698,"('service', 'great')",4.0,0.0018578727357176034,"('sashimi', 'teppan', 'udon')",2,0.0009293680297397769
8,"('definitely',)",15.0,0.006963788300835654,"('moneys', 'worth')",4.0,0.0018578727357176034,"('teppan', 'udon', 'roll')",2,0.0009293680297397769
9,"('good',)",15.0,0.006963788300835654,"('miso', 'soup')",4.0,0.0018578727357176034,"('dessert', 'price', 'reasonable')",2,0.0009293680297397769
10,"('get',)",15.0,0.006963788300835654,"('good', 'quality')",4.0,0.0018578727357176034,"('udon', 'roll', 'many')",2,0.0009293680297397769
11,"('go',)",14.0,0.0064995357474466105,"('pretty', 'good')",4.0,0.0018578727357176034,"('roll', 'many', 'interesting')",2,0.0009293680297397769
12,"('much',)",14.0,0.0064995357474466105,"('go', 'back')",4.0,0.0018578727357176034,"('many', 'interesting', 'appetizers')",2,0.0009293680297397769
13,"('try',)",14.0,0.0064995357474466105,"('tempura', 'shrimp')",4.0,0.0018578727357176034,"('interesting', 'appetizers', 'dessert')",2,0.0009293680297397769
14,"('tempura',)",13.0,0.0060352831940575676,"('chicken', 'teriyaki')",3.0,0.0013934045517882026,"('red', 'snapper', 'sashimi')",2,0.0009293680297397769
15,"('back',)",13.0,0.0060352831940575676,"('love', 'can')",3.0,0.0013934045517882026,"('appetizers', 'dessert', 'price')",2,0.0009293680297397769
16,"('new',)",13.0,0.0060352831940575676,"('cream', 'cheese')",3.0,0.0013934045517882026,"('eat', 'made', 'order')",2,0.0009293680297397769
17,"('always',)",13.0,0.0060352831940575676,"('every', 'time')",3.0,0.0013934045517882026,"('eat', 'didnt', 'expect')",2,0.0009293680297397769
18,"('menu',)",13.0,0.0060352831940575676,"('eat', 'made')",3.0,0.0013934045517882026,"('price', 'reasonable', 'comparing')",2,0.0009293680297397769
19,"('will',)",12.0,0.005571030640668524,"('everything', 'menu')",3.0,0.0013934045517882026,"('buffet', 'used', 'try')",2,0.0009293680297397769
20,"('im',)",12.0,0.005571030640668524,"('price', 'reasonable')",3.0,0.0013934045517882026,"('reasonable', 'comparing', 'quality')",2,0.0009293680297397769
21,"('nice',)",12.0,0.005571030640668524,"('fried', 'rice')",3.0,0.0013934045517882026,"('comparing', 'quality', 'waitress')",2,0.0009293680297397769
22,"('even',)",11.0,0.00510677808727948,"('highly', 'recommend')",3.0,0.0013934045517882026,"('pretty', 'good', 'quality')",2,0.0009293680297397769
23,"('love',)",11.0,0.00510677808727948,"('left', 'happy')",3.0,0.0013934045517882026,"('quality', 'waitress', 'nice')",2,0.0009293680297397769
24,"('everything',)",11.0,0.00510677808727948,"('happy', 'hour')",3.0,0.0013934045517882026,"('waitress', 'nice', 'well')",2,0.0009293680297397769
25,"('dont',)",11.0,0.00510677808727948,"('eat', 'dinner')",3.0,0.0013934045517882026,"('nice', 'well', 'overall')",2,0.0009293680297397769
26,"('fresh',)",11.0,0.00510677808727948,"('bang', 'buck')",3.0,0.0013934045517882026,"('well', 'overall', 'awesome')",2,0.0009293680297397769
27,"('well',)",10.0,0.004642525533890436,"('ru', 'sans')",3.0,0.0013934045517882026,"('overall', 'awesome', 'will')",2,0.0009293680297397769
28,"('rice',)",10.0,0.004642525533890436,"('buffet', 'used')",2.0,0.0009289363678588017,"('awesome', 'will', 'come')",2,0.0009293680297397769
29,"('cant',)",10.0,0.004642525533890436,"('better', 'buffet')",2.0,0.0009289363678588017,"('will', 'come', 'often')",2,0.0009293680297397769
30,"('quality',)",10.0,0.004642525533890436,"('used', 'try')",2.0,0.0009289363678588017,"('come', 'often', 'now')",2,0.0009293680297397769
31,"('time',)",10.0,0.004642525533890436,"('teppan', 'udon')",2.0,0.0009289363678588017,"('time', 'im', 'rusans')",2,0.0009293680297397769
32,"('amazing',)",10.0,0.004642525533890436,"('try', 'variety')",2.0,0.0009289363678588017,"('got', 'moneys', 'worth')",2,0.0009293680297397769
33,"('buffet',)",9.0,0.004178272980501393,"('variety', 'choose')",2.0,0.0009289363678588017,"('love', 'can', 'eat')",2,0.0009293680297397769
34,"('salmon',)",9.0,0.004178272980501393,"('choose', 'sashimi')",2.0,0.0009289363678588017,"('used', 'try', 'variety')",2,0.0009293680297397769
35,"('really',)",9.0,0.004178272980501393,"('sashimi', 'teppan')",2.0,0.0009289363678588017,"('orders', 'per', 'person')",2,0.0009293680297397769
36,"('lunch',)",9.0,0.004178272980501393,"('udon', 'roll')",2.0,0.0009289363678588017,"('better', 'buffet', 'used')",2,0.0009293680297397769
37,"('best',)",9.0,0.004178272980501393,"('roll', 'many')",2.0,0.0009289363678588017,"('didnt', 'expect', 'much')",2,0.0009293680297397769
38,"('like',)",9.0,0.004178272980501393,"('many', 'interesting')",2.0,0.0009289363678588017,"('much', 'better', 'buffet')",2,0.0009293680297397769
39,"('ordered',)",9.0,0.004178272980501393,"('interesting', 'appetizers')",2.0,0.0009289363678588017,"('definitely', 'go', 'back')",2,0.0009293680297397769
40,"('got',)",9.0,0.004178272980501393,"('appetizers', 'dessert')",2.0,0.0009289363678588017,"('buffet', 'can', 'eat')",2,0.0009293680297397769
41,"('price',)",9.0,0.004178272980501393,"('much', 'better')",2.0,0.0009289363678588017,"('im', 'can', 'eat')",2,0.0009293680297397769
42,"('88',)",9.0,0.004178272980501393,"('service', 'good')",2.0,0.0009289363678588017,"('get', 'can', 'eat')",2,0.0009293680297397769
43,"('sashimi',)",8.0,0.003714020427112349,"('however', 'much')",2.0,0.0009289363678588017,"('left', 'happy', 'full')",2,0.0009293680297397769
44,"('went',)",8.0,0.003714020427112349,"('got', 'moneys')",2.0,0.0009289363678588017,"('can', 'eat', 'didnt')",2,0.0009293680297397769
45,"('tried',)",8.0,0.003714020427112349,"('per', 'person')",2.0,0.0009289363678588017,"('expect', 'much', 'buffet')",2,0.0009293680297397769
46,"('ive',)",8.0,0.003714020427112349,"('always', 'excellent')",2.0,0.0009289363678588017,"('much', 'buffet', 'however')",2,0.0009293680297397769
47,"('didnt',)",8.0,0.003714020427112349,"('even', 'better')",2.0,0.0009289363678588017,"('buffet', 'however', 'much')",2,0.0009293680297397769
48,"('recommend',)",8.0,0.003714020427112349,"('happy', 'full')",2.0,0.0009289363678588017,"('get', 'moneys', 'worth')",2,0.0009293680297397769
49,"('dinner',)",8.0,0.003714020427112349,"('exotic', 'maki')",2.0,0.0009289363678588017,"('however', 'much', 'much')",2,0.0009293680297397769
50,"('spicy',)",8.0,0.003714020427112349,"('shrimp', 'tempura')",2.0,0.0009289363678588017,"('much', 'much', 'much')",2,0.0009293680297397769
51,"('made',)",8.0,0.003714020427112349,"('definitely', 'go')",2.0,0.0009289363678588017,"('much', 'much', 'better')",2,0.0009293680297397769
52,"('nashville',)",7.0,0.0032497678737233053,"('buffet', 'however')",2.0,0.0009289363678588017,"('get', 'chicken', 'teriyaki')",1,0.00046468401486988845
53,"('friendly',)",7.0,0.0032497678737233053,"('bushido', 'roll')",2.0,0.0009289363678588017,"('come', 'get', 'chicken')",1,0.00046468401486988845
54,"('happy',)",7.0,0.0032497678737233053,"('dessert', 'price')",2.0,0.0009289363678588017,"('eat', 'come', 'get')",1,0.00046468401486988845
