,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('us',)",16.0,0.011764705882352941,"('first', 'visit')",4.0,0.0029433406916850625,"('didnt', 'seem', 'fresh')",2,0.0014727540500736377
1,"('waitress',)",14.0,0.010294117647058823,"('green', 'tea')",3.0,0.002207505518763797,"('amount', 'stated', 'menu')",2,0.0014727540500736377
2,"('restaurant',)",12.0,0.008823529411764706,"('didnt', 'seem')",3.0,0.002207505518763797,"('youre', 'going', 'eat')",2,0.0014727540500736377
3,"('time',)",12.0,0.008823529411764706,"('30', 'minutes')",3.0,0.002207505518763797,"('never', 'going', 'back')",2,0.0014727540500736377
4,"('didnt',)",11.0,0.008088235294117648,"('next', 'us')",3.0,0.002207505518763797,"('right', 'next', 'us')",2,0.0014727540500736377
5,"('order',)",11.0,0.008088235294117648,"('several', 'times')",2.0,0.0014716703458425313,"('took', '30', 'minutes')",2,0.0014727540500736377
6,"('ordered',)",11.0,0.008088235294117648,"('stated', 'menu')",2.0,0.0014716703458425313,"('request', 'never', 'returned')",1,0.0007363770250368188
7,"('came',)",10.0,0.007352941176470588,"('amount', 'stated')",2.0,0.0014716703458425313,"('simple', 'request', 'never')",1,0.0007363770250368188
8,"('service',)",9.0,0.006617647058823529,"('took', '30')",2.0,0.0014716703458425313,"('every', 'simple', 'request')",1,0.0007363770250368188
9,"('eat',)",9.0,0.006617647058823529,"('miso', 'soup')",2.0,0.0014716703458425313,"('flag', 'every', 'simple')",1,0.0007363770250368188
10,"('like',)",8.0,0.0058823529411764705,"('server', 'brought')",2.0,0.0014716703458425313,"('restaurant', 'flag', 'every')",1,0.0007363770250368188
11,"('2',)",8.0,0.0058823529411764705,"('going', 'eat')",2.0,0.0014716703458425313,"('entire', 'restaurant', 'flag')",1,0.0007363770250368188
12,"('rice',)",8.0,0.0058823529411764705,"('didnt', 'apologize')",2.0,0.0014716703458425313,"('time', 'entire', 'restaurant')",1,0.0007363770250368188
13,"('server',)",8.0,0.0058823529411764705,"('youre', 'going')",2.0,0.0014716703458425313,"('high', 'hopes', 'second')",1,0.0007363770250368188
14,"('udon',)",8.0,0.0058823529411764705,"('another', 'waitress')",2.0,0.0014716703458425313,"('never', 'returned', 'table')",1,0.0007363770250368188
15,"('never',)",7.0,0.005147058823529412,"('seem', 'fresh')",2.0,0.0014716703458425313,"('scowled', 'entire', 'time')",1,0.0007363770250368188
16,"('ever',)",7.0,0.005147058823529412,"('everything', 'else')",2.0,0.0014716703458425313,"('jessica', 'scowled', 'entire')",1,0.0007363770250368188
17,"('table',)",7.0,0.005147058823529412,"('5', 'stars')",2.0,0.0014716703458425313,"('server', 'jessica', 'scowled')",1,0.0007363770250368188
18,"('really',)",7.0,0.005147058823529412,"('2', '3')",2.0,0.0014716703458425313,"('ever', 'server', 'jessica')",1,0.0007363770250368188
19,"('first',)",7.0,0.005147058823529412,"('never', 'going')",2.0,0.0014716703458425313,"('anywhere', 'ever', 'server')",1,0.0007363770250368188
20,"('minutes',)",6.0,0.004411764705882353,"('going', 'back')",2.0,0.0014716703458425313,"('experienced', 'anywhere', 'ever')",1,0.0007363770250368188
21,"('many',)",6.0,0.004411764705882353,"('sat', 'us')",2.0,0.0014716703458425313,"('ever', 'experienced', 'anywhere')",1,0.0007363770250368188
22,"('experience',)",6.0,0.004411764705882353,"('walked', 'away')",2.0,0.0014716703458425313,"('worst', 'ever', 'experienced')",1,0.0007363770250368188
23,"('great',)",6.0,0.004411764705882353,"('dont', 'know')",2.0,0.0014716703458425313,"('service', 'worst', 'ever')",1,0.0007363770250368188
24,"('another',)",6.0,0.004411764705882353,"('chicken', 'katsu')",2.0,0.0014716703458425313,"('entire', 'time', 'entire')",1,0.0007363770250368188
25,"('back',)",6.0,0.004411764705882353,"('bento', 'box')",2.0,0.0014716703458425313,"('returned', 'table', 'anyone')",1,0.0007363770250368188
26,"('right',)",6.0,0.004411764705882353,"('right', 'next')",2.0,0.0014716703458425313,"('lunch', 'fine', 'service')",1,0.0007363770250368188
27,"('get',)",6.0,0.004411764705882353,"('last', 'time')",2.0,0.0014716703458425313,"('table', 'anyone', 'else')",1,0.0007363770250368188
28,"('bento',)",6.0,0.004411764705882353,"('bibimbap', 'waiter')",2.0,0.0014716703458425313,"('arms', 'get', 'anyones')",1,0.0007363770250368188
29,"('dont',)",6.0,0.004411764705882353,"('customer', 'service')",2.0,0.0014716703458425313,"('wave', 'arms', 'get')",1,0.0007363770250368188
30,"('even',)",6.0,0.004411764705882353,"('tasted', 'like')",2.0,0.0014716703458425313,"('stand', 'wave', 'arms')",1,0.0007363770250368188
31,"('gyoza',)",6.0,0.004411764705882353,"('came', 'back')",2.0,0.0014716703458425313,"('times', 'stand', 'wave')",1,0.0007363770250368188
32,"('seemed',)",6.0,0.004411764705882353,"('eating', 'didnt')",2.0,0.0014716703458425313,"('three', 'times', 'stand')",1,0.0007363770250368188
33,"('visit',)",6.0,0.004411764705882353,"('nabeyaki', 'udon')",2.0,0.0014716703458425313,"('two', 'three', 'times')",1,0.0007363770250368188
34,"('well',)",6.0,0.004411764705882353,"('garage', 'doors')",2.0,0.0014716703458425313,"('fact', 'two', 'three')",1,0.0007363770250368188
35,"('brought',)",5.0,0.003676470588235294,"('rice', 'vinegar')",2.0,0.0014716703458425313,"('dodged', 'fact', 'two')",1,0.0007363770250368188
36,"('going',)",5.0,0.003676470588235294,"('water', 'glasses')",2.0,0.0014716703458425313,"('husband', 'dodged', 'fact')",1,0.0007363770250368188
37,"('menu',)",5.0,0.003676470588235294,"('visit', 'first')",2.0,0.0014716703458425313,"('us', 'husband', 'dodged')",1,0.0007363770250368188
38,"('bad',)",5.0,0.003676470588235294,"('second', 'visit')",2.0,0.0014716703458425313,"('plates', 'us', 'husband')",1,0.0007363770250368188
