,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('best',)",19.0,0.009205426356589148,"('whipped', 'cream')",7.0,0.0033931168201648087,"('espresso', 'whipped', 'cream')",4,0.0019398642095053346
1,"('good',)",16.0,0.007751937984496124,"('ice', 'cream')",6.0,0.00290838584585555,"('perfect', 'ending', 'wonderful')",2,0.0009699321047526673
2,"('dessert',)",16.0,0.007751937984496124,"('fresh', 'delicious')",4.0,0.0019389238972370335,"('cookies', 'espresso', 'whipped')",2,0.0009699321047526673
3,"('cream',)",16.0,0.007751937984496124,"('cookies', 'espresso')",4.0,0.0019389238972370335,"('makes', 'us', 'feel')",2,0.0009699321047526673
4,"('h2o',)",15.0,0.007267441860465116,"('oatmeal', 'cookie')",4.0,0.0019389238972370335,"('joe', 'pesci', 'roll')",2,0.0009699321047526673
5,"('cookies',)",15.0,0.007267441860465116,"('espresso', 'whipped')",4.0,0.0019389238972370335,"('warm', 'oven', 'espresso')",2,0.0009699321047526673
6,"('love',)",14.0,0.006782945736434108,"('two', 'brothers')",3.0,0.001454192922927775,"('indy', 'work', 'figured')",1,0.00048496605237633366
7,"('ive',)",14.0,0.006782945736434108,"('save', 'room')",3.0,0.001454192922927775,"('share', 'nice', 'enough')",1,0.00048496605237633366
8,"('fresh',)",14.0,0.006782945736434108,"('espresso', 'cream')",3.0,0.001454192922927775,"('cheese', 'ordered', 'salad')",1,0.00048496605237633366
9,"('well',)",13.0,0.006298449612403101,"('highly', 'recommend')",3.0,0.001454192922927775,"('ordered', 'salad', 'share')",1,0.00048496605237633366
10,"('cookie',)",13.0,0.006298449612403101,"('start', 'finish')",3.0,0.001454192922927775,"('salad', 'share', 'nice')",1,0.00048496605237633366
11,"('great',)",13.0,0.006298449612403101,"('warm', 'oven')",3.0,0.001454192922927775,"('nice', 'enough', 'split')",1,0.00048496605237633366
12,"('delicious',)",12.0,0.005813953488372093,"('makes', 'us')",3.0,0.001454192922927775,"('basil', 'manchego', 'cheese')",1,0.00048496605237633366
13,"('really',)",12.0,0.005813953488372093,"('last', 'time')",3.0,0.001454192922927775,"('enough', 'split', 'us')",1,0.00048496605237633366
14,"('tuna',)",12.0,0.005813953488372093,"('best', 'ive')",3.0,0.001454192922927775,"('split', 'us', 'plate')",1,0.00048496605237633366
15,"('try',)",12.0,0.005813953488372093,"('ive', 'ever')",3.0,0.001454192922927775,"('us', 'plate', 'nice')",1,0.00048496605237633366
16,"('menu',)",12.0,0.005813953488372093,"('pork', 'buns')",3.0,0.001454192922927775,"('plate', 'nice', 'touchthe')",1,0.00048496605237633366
17,"('espresso',)",11.0,0.005329457364341085,"('tuna', 'avocado')",2.0,0.0009694619486185168,"('nice', 'touchthe', 'menu')",1,0.00048496605237633366
18,"('roll',)",11.0,0.005329457364341085,"('broad', 'ripple')",2.0,0.0009694619486185168,"('touchthe', 'menu', 'probably')",1,0.00048496605237633366
19,"('like',)",11.0,0.005329457364341085,"('espresso', 'creme')",2.0,0.0009694619486185168,"('manchego', 'cheese', 'ordered')",1,0.00048496605237633366
20,"('pork',)",10.0,0.0048449612403100775,"('well', 'done')",2.0,0.0009694619486185168,"('tomatoes', 'guacamole', 'along')",1,0.00048496605237633366
21,"('time',)",10.0,0.0048449612403100775,"('times', 'past')",2.0,0.0009694619486185168,"('along', 'basil', 'manchego')",1,0.00048496605237633366
22,"('dont',)",10.0,0.0048449612403100775,"('oven', 'espresso')",2.0,0.0009694619486185168,"('guacamole', 'along', 'basil')",1,0.00048496605237633366
23,"('back',)",10.0,0.0048449612403100775,"('pork', 'belly')",2.0,0.0009694619486185168,"('probably', '16', 'different')",1,0.00048496605237633366
24,"('made',)",10.0,0.0048449612403100775,"('good', 'atmosphere')",2.0,0.0009694619486185168,"('ripe', 'tomatoes', 'guacamole')",1,0.00048496605237633366
25,"('us',)",10.0,0.0048449612403100775,"('room', 'dessert')",2.0,0.0009694619486185168,"('skinned', 'ripe', 'tomatoes')",1,0.00048496605237633366
