,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",57.0,0.011823273179838207,"('bento', 'box')",14.0,0.002904564315352697,"('soft', 'shell', 'crab')",5,0.0010375596596804316
1,"('good',)",56.0,0.011615847334577888,"('louis', 'roll')",12.0,0.0024896265560165973,"('chicken', 'bento', 'box')",4,0.0008300477277443454
2,"('roll',)",43.0,0.008919311346193736,"('miso', 'soup')",11.0,0.002282157676348548,"('spicy', 'tuna', 'roll')",4,0.0008300477277443454
3,"('get',)",38.0,0.00788218211989214,"('bento', 'boxes')",9.0,0.0018672199170124482,"('bento', 'box', 'teriyaki')",3,0.0006225357958082589
4,"('like',)",38.0,0.00788218211989214,"('green', 'tea')",8.0,0.0016597510373443983,"('box', 'teriyaki', 'chicken')",3,0.0006225357958082589
5,"('always',)",37.0,0.0076747562746318195,"('staff', 'friendly')",8.0,0.0016597510373443983,"('go', 'back', 'dont')",2,0.0004150238638721727
6,"('noodles',)",36.0,0.0074673304293715,"('teriyaki', 'chicken')",7.0,0.0014522821576763486,"('great', 'family', 'owned')",2,0.0004150238638721727
7,"('japanese',)",34.0,0.007052478738850861,"('dont', 'let')",7.0,0.0014522821576763486,"('ive', 'never', 'anything')",2,0.0004150238638721727
8,"('best',)",31.0,0.006430201203069903,"('beaten', 'path')",7.0,0.0014522821576763486,"('never', 'anything', 'bad')",2,0.0004150238638721727
9,"('little',)",29.0,0.006015349512549264,"('ichiban', 'noodles')",7.0,0.0014522821576763486,"('hot', 'green', 'tea')",2,0.0004150238638721727
10,"('restaurant',)",29.0,0.006015349512549264,"('spicy', 'tuna')",6.0,0.0012448132780082987,"('hidden', 'gem', 'castleton')",2,0.0004150238638721727
11,"('also',)",26.0,0.005393071976768305,"('tuna', 'roll')",6.0,0.0012448132780082987,"('dont', 'let', 'outside')",2,0.0004150238638721727
12,"('service',)",25.0,0.005185646131507986,"('ice', 'cream')",6.0,0.0012448132780082987,"('bowl', 'shoyu', 'udon')",2,0.0004150238638721727
13,"('delicious',)",25.0,0.005185646131507986,"('looks', 'like')",6.0,0.0012448132780082987,"('definitely', 'come', 'back')",2,0.0004150238638721727
14,"('ichiban',)",24.0,0.004978220286247666,"('hole', 'wall')",6.0,0.0012448132780082987,"('wait', 'go', 'back')",2,0.0004150238638721727
15,"('small',)",24.0,0.004978220286247666,"('always', 'get')",6.0,0.0012448132780082987,"('went', 'friday', 'night')",2,0.0004150238638721727
16,"('dont',)",24.0,0.004978220286247666,"('soft', 'shell')",5.0,0.001037344398340249,"('fresh', 'high', 'quality')",2,0.0004150238638721727
17,"('try',)",24.0,0.004978220286247666,"('fried', 'rice')",5.0,0.001037344398340249,"('places', 'beaten', 'path')",2,0.0004150238638721727
18,"('will',)",23.0,0.004770794440987347,"('crab', 'roll')",5.0,0.001037344398340249,"('salad', 'white', 'rice')",2,0.0004150238638721727
19,"('bento',)",23.0,0.004770794440987347,"('never', 'disappointed')",5.0,0.001037344398340249,"('rice', 'steamed', 'veggies')",2,0.0004150238638721727
20,"('staff',)",23.0,0.004770794440987347,"('shell', 'crab')",5.0,0.001037344398340249,"('miso', 'soup', 'green')",2,0.0004150238638721727
21,"('time',)",23.0,0.004770794440987347,"('come', 'back')",5.0,0.001037344398340249,"('soup', 'green', 'tea')",2,0.0004150238638721727
22,"('nice',)",23.0,0.004770794440987347,"('first', 'time')",5.0,0.001037344398340249,"('louis', 'roll', 'delicious')",2,0.0004150238638721727
23,"('box',)",23.0,0.004770794440987347,"('shrimp', 'tempura')",4.0,0.0008298755186721991,"('teriyaki', 'chicken', 'nigiri')",2,0.0004150238638721727
24,"('ive',)",23.0,0.004770794440987347,"('ive', 'never')",4.0,0.0008298755186721991,"('looks', 'like', 'fireworks')",2,0.0004150238638721727
25,"('really',)",22.0,0.0045633685957270275,"('next', 'time')",4.0,0.0008298755186721991,"('like', 'fireworks', 'stand')",2,0.0004150238638721727
26,"('prices',)",22.0,0.0045633685957270275,"('softshell', 'crab')",4.0,0.0008298755186721991,"('soba', 'ramen', 'udon')",2,0.0004150238638721727
27,"('back',)",21.0,0.0043559427504667085,"('japanese', 'restaurant')",4.0,0.0008298755186721991,"('ive', 'never', 'disappointed')",2,0.0004150238638721727
28,"('fresh',)",21.0,0.0043559427504667085,"('chicken', 'bento')",4.0,0.0008298755186721991,"('fried', 'rice', 'steamed')",2,0.0004150238638721727
29,"('friendly',)",21.0,0.0043559427504667085,"('hidden', 'gem')",4.0,0.0008298755186721991,"('let', 'outside', 'fool')",2,0.0004150238638721727
30,"('go',)",20.0,0.004148516905206389,"('go', 'back')",4.0,0.0008298755186721991,"('holeinthewall', 'places', 'beaten')",2,0.0004150238638721727
31,"('definitely',)",20.0,0.004148516905206389,"('great', 'service')",4.0,0.0008298755186721991,"('red', 'bean', 'ice')",2,0.0004150238638721727
32,"('fish',)",19.0,0.00394109105994607,"('try', 'noodles')",3.0,0.0006224066390041493,"('shell', 'crab', 'roll')",2,0.0004150238638721727
33,"('favorite',)",19.0,0.00394109105994607,"('will', 'definitely')",3.0,0.0006224066390041493,"('spicy', 'crab', 'roll')",2,0.0004150238638721727
34,"('can',)",19.0,0.00394109105994607,"('dont', 'put')",3.0,0.0006224066390041493,"('always', 'get', 'shrimp')",2,0.0004150238638721727
35,"('much',)",19.0,0.00394109105994607,"('went', 'friday')",3.0,0.0006224066390041493,"('bean', 'ice', 'cream')",2,0.0004150238638721727
