,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",126.0,0.015373352855051245,"('crazy', 'roll')",21.0,0.0025625381330079315,"('daily', 'drink', 'specials')",5,0.00061020258725897
1,"('roll',)",115.0,0.014031234748657882,"('miso', 'soup')",20.0,0.0024405125076266015,"('best', 'ive', 'ever')",4,0.000488162069807176
2,"('great',)",106.0,0.012933138116154222,"('half', 'price')",15.0,0.0018303843807199512,"('soft', 'shell', 'crab')",4,0.000488162069807176
3,"('service',)",88.0,0.010736944851146901,"('south', 'side')",14.0,0.0017083587553386212,"('never', 'bad', 'meal')",4,0.000488162069807176
4,"('always',)",87.0,0.01061493411420205,"('service', 'always')",14.0,0.0017083587553386212,"('miso', 'soup', 'salad')",4,0.000488162069807176
5,"('ichiban',)",77.0,0.009394826744753539,"('shrimp', 'tempura')",10.0,0.0012202562538133007,"('will', 'definitely', 'back')",3,0.000366121552355382
6,"('best',)",76.0,0.009272816007808687,"('every', 'time')",10.0,0.0012202562538133007,"('great', 'miso', 'soup')",3,0.000366121552355382
7,"('love',)",68.0,0.008296730112249878,"('soup', 'salad')",10.0,0.0012202562538133007,"('shell', 'crab', 'roll')",3,0.000366121552355382
8,"('go',)",65.0,0.007930697901415325,"('service', 'great')",9.0,0.0010982306284319707,"('will', 'definitely', 'go')",3,0.000366121552355382
9,"('get',)",65.0,0.007930697901415325,"('staff', 'friendly')",9.0,0.0010982306284319707,"('crispy', 'salmon', 'skin')",3,0.000366121552355382
10,"('restaurant',)",55.0,0.006710590531966813,"('will', 'definitely')",9.0,0.0010982306284319707,"('like', 'places', 'ive')",3,0.000366121552355382
11,"('time',)",49.0,0.005978526110297706,"('happy', 'hour')",9.0,0.0010982306284319707,"('roll', 'cliff', 'roll')",3,0.000366121552355382
12,"('ive',)",49.0,0.005978526110297706,"('spicy', 'tuna')",8.0,0.0009762050030506406,"('service', 'always', 'excellent')",3,0.000366121552355382
13,"('fresh',)",46.0,0.005612493899463153,"('always', 'fresh')",8.0,0.0009762050030506406,"('general', 'tsos', 'chicken')",3,0.000366121552355382
14,"('delicious',)",46.0,0.005612493899463153,"('pretty', 'good')",8.0,0.0009762050030506406,"('roll', 'dream', 'roll')",3,0.000366121552355382
15,"('favorite',)",44.0,0.005368472425573451,"('good', 'service')",8.0,0.0009762050030506406,"('best', 'south', 'side')",3,0.000366121552355382
16,"('also',)",43.0,0.0052464616886285995,"('drink', 'specials')",8.0,0.0009762050030506406,"('hot', 'sour', 'soup')",3,0.000366121552355382
17,"('staff',)",42.0,0.005124450951683748,"('best', 'ive')",8.0,0.0009762050030506406,"('every', 'time', 'go')",3,0.000366121552355382
18,"('well',)",39.0,0.004758418740849195,"('highly', 'recommend')",8.0,0.0009762050030506406,"('south', 'side', 'great')",3,0.000366121552355382
19,"('soup',)",39.0,0.004758418740849195,"('always', 'good')",8.0,0.0009762050030506406,"('every', 'mouthful', 'delicious')",2,0.000244081034903588
20,"('never',)",38.0,0.004636408003904344,"('always', 'great')",8.0,0.0009762050030506406,"('mondays', '57', 'half')",2,0.000244081034903588
21,"('every',)",37.0,0.0045143972669594926,"('really', 'good')",8.0,0.0009762050030506406,"('furniture', 'fairly', 'fancy')",2,0.000244081034903588
22,"('like',)",37.0,0.0045143972669594926,"('california', 'roll')",7.0,0.0008541793776693106,"('fairly', 'fancy', 'looking')",2,0.000244081034903588
23,"('nice',)",35.0,0.00427037579306979,"('favorite', 'restaurant')",7.0,0.0008541793776693106,"('roll', 'crazy', 'roll')",2,0.000244081034903588
24,"('can',)",35.0,0.00427037579306979,"('go', 'back')",7.0,0.0008541793776693106,"('fancy', 'looking', 'laid')",2,0.000244081034903588
25,"('will',)",35.0,0.00427037579306979,"('go', 'ichiban')",7.0,0.0008541793776693106,"('looking', 'laid', 'back')",2,0.000244081034903588
26,"('bar',)",34.0,0.004148365056124939,"('strip', 'mall')",7.0,0.0008541793776693106,"('someone', 'silence', 'table')",2,0.000244081034903588
27,"('friendly',)",34.0,0.004148365056124939,"('fried', 'rice')",7.0,0.0008541793776693106,"('favorite', 'crispy', 'salmon')",2,0.000244081034903588
28,"('even',)",33.0,0.004026354319180088,"('can', 'get')",6.0,0.0007321537522879804,"('salmon', 'skin', 'roll')",2,0.000244081034903588
29,"('sammy',)",33.0,0.004026354319180088,"('dragon', 'roll')",6.0,0.0007321537522879804,"('nice', 'wonderful', 'furniture')",2,0.000244081034903588
30,"('price',)",32.0,0.003904343582235237,"('ive', 'ever')",6.0,0.0007321537522879804,"('57', 'half', 'price')",2,0.000244081034903588
31,"('salad',)",31.0,0.0037823328452903857,"('reasonably', 'priced')",6.0,0.0007321537522879804,"('laid', 'back', 'atmosphere')",2,0.000244081034903588
32,"('little',)",31.0,0.0037823328452903857,"('ive', 'tried')",6.0,0.0007321537522879804,"('back', 'atmosphere', 'restaurant')",2,0.000244081034903588
33,"('lunch',)",30.0,0.0036603221083455345,"('never', 'bad')",6.0,0.0007321537522879804,"('atmosphere', 'restaurant', 'spaced')",2,0.000244081034903588
34,"('ordered',)",29.0,0.0035383113714006834,"('best', 'town')",6.0,0.0007321537522879804,"('restaurant', 'spaced', 'well')",2,0.000244081034903588
35,"('us',)",29.0,0.0035383113714006834,"('lunch', 'specials')",6.0,0.0007321537522879804,"('spaced', 'well', 'dont')",2,0.000244081034903588
36,"('indy',)",29.0,0.0035383113714006834,"('daily', 'drink')",6.0,0.0007321537522879804,"('wonderful', 'furniture', 'fairly')",2,0.000244081034903588
37,"('back',)",29.0,0.0035383113714006834,"('great', 'service')",6.0,0.0007321537522879804,"('decor', 'nice', 'wonderful')",2,0.000244081034903588
38,"('quality',)",28.0,0.003416300634455832,"('service', 'good')",6.0,0.0007321537522879804,"('mouthful', 'delicious', 'savor')",2,0.000244081034903588
39,"('tried',)",28.0,0.003416300634455832,"('date', 'night')",5.0,0.0006101281269066504,"('hitting', 'great', 'go')",2,0.000244081034903588
40,"('atmosphere',)",27.0,0.003294289897510981,"('every', 'single')",5.0,0.0006101281269066504,"('delicious', 'savor', 'moment')",2,0.000244081034903588
41,"('japanese',)",27.0,0.003294289897510981,"('make', 'sure')",5.0,0.0006101281269066504,"('savor', 'moment', 'surprisingly')",2,0.000244081034903588
42,"('definitely',)",27.0,0.003294289897510981,"('first', 'time')",5.0,0.0006101281269066504,"('moment', 'surprisingly', 'daily')",2,0.000244081034903588
