,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",18.0,0.017029328287606435,"('miso', 'soup')",5.0,0.004734848484848485,"('nom', 'nom', 'nom')",2,0.0018957345971563982
1,"('lunch',)",15.0,0.014191106906338695,"('moshi', 'moshi')",4.0,0.003787878787878788,"('enjoyed', 'las', 'vegas')",2,0.0018957345971563982
2,"('great',)",15.0,0.014191106906338695,"('nom', 'nom')",3.0,0.002840909090909091,"('able', 'finish', 'guess')",1,0.0009478672985781991
3,"('numa',)",14.0,0.013245033112582781,"('really', 'nice')",3.0,0.002840909090909091,"('finish', 'guess', 'good')",1,0.0009478672985781991
4,"('fish',)",12.0,0.011352885525070956,"('las', 'vegas')",3.0,0.002840909090909091,"('guess', 'good', 'sign')",1,0.0009478672985781991
5,"('moshi',)",9.0,0.008514664143803218,"('lunch', 'specials')",3.0,0.002840909090909091,"('good', 'sign', 'never')",1,0.0009478672985781991
6,"('nice',)",9.0,0.008514664143803218,"('quality', 'quantity')",2.0,0.001893939393939394,"('sign', 'never', 'heard')",1,0.0009478672985781991
7,"('service',)",9.0,0.008514664143803218,"('flying', 'fish')",2.0,0.001893939393939394,"('never', 'heard', 'much')",1,0.0009478672985781991
8,"('got',)",8.0,0.007568590350047304,"('happy', 'see')",2.0,0.001893939393939394,"('prices', 'great', 'atmosphere')",1,0.0009478672985781991
9,"('get',)",8.0,0.007568590350047304,"('dont', 'want')",2.0,0.001893939393939394,"('heard', 'much', 'full')",1,0.0009478672985781991
10,"('roll',)",8.0,0.007568590350047304,"('reasonably', 'priced')",2.0,0.001893939393939394,"('much', 'full', 'ill')",1,0.0009478672985781991
11,"('definitely',)",7.0,0.006622516556291391,"('will', 'definitely')",2.0,0.001893939393939394,"('full', 'ill', 'come')",1,0.0009478672985781991
12,"('like',)",7.0,0.006622516556291391,"('sit', 'bar')",2.0,0.001893939393939394,"('ill', 'come', 'maybe')",1,0.0009478672985781991
13,"('really',)",7.0,0.006622516556291391,"('really', 'enjoyed')",2.0,0.001893939393939394,"('come', 'maybe', 'check')",1,0.0009478672985781991
14,"('never',)",7.0,0.006622516556291391,"('always', 'fresh')",2.0,0.001893939393939394,"('maybe', 'check', 'dinner')",1,0.0009478672985781991
15,"('will',)",7.0,0.006622516556291391,"('raw', 'fish')",2.0,0.001893939393939394,"('check', 'dinner', 'prices')",1,0.0009478672985781991
16,"('back',)",7.0,0.006622516556291391,"('enjoyed', 'las')",2.0,0.001893939393939394,"('dinner', 'prices', 'great')",1,0.0009478672985781991
17,"('decor',)",6.0,0.005676442762535478,"('service', 'great')",2.0,0.001893939393939394,"('quiet', 'good', 'service')",1,0.0009478672985781991
18,"('fresh',)",6.0,0.005676442762535478,"('tuna', 'roll')",2.0,0.001893939393939394,"('reasonably', 'priced', 'tasty')",1,0.0009478672985781991
19,"('soup',)",6.0,0.005676442762535478,"('tofu', 'teriyaki')",2.0,0.001893939393939394,"('great', 'atmosphere', 'great')",1,0.0009478672985781991
20,"('miso',)",6.0,0.005676442762535478,"('recommend', 'numa')",2.0,0.001893939393939394,"('atmosphere', 'great', 'great')",1,0.0009478672985781991
21,"('can',)",6.0,0.005676442762535478,"('great', 'atmosphere')",2.0,0.001893939393939394,"('great', 'great', 'price')",1,0.0009478672985781991
22,"('time',)",6.0,0.005676442762535478,"('prices', 'great')",2.0,0.001893939393939394,"('great', 'price', 'gone')",1,0.0009478672985781991
23,"('pieces',)",5.0,0.004730368968779565,"('teriyaki', 'bento')",2.0,0.001893939393939394,"('price', 'gone', 'numa')",1,0.0009478672985781991
