,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('rice',)",11.0,0.024608501118568233,"('fried', 'rice')",4.0,0.008968609865470852,"('ordered', 'bento', 'box')",1,0.0022471910112359553
1,"('best',)",6.0,0.013422818791946308,"('chicken', 'teriyaki')",3.0,0.006726457399103139,"('ate', 'first', 'last')",1,0.0022471910112359553
2,"('shrimp',)",6.0,0.013422818791946308,"('save', 'money')",2.0,0.004484304932735426,"('theyre', 'rushed', 'fast')",1,0.0022471910112359553
3,"('time',)",6.0,0.013422818791946308,"('rainbow', 'roll')",2.0,0.004484304932735426,"('compare', 'theyre', 'rushed')",1,0.0022471910112359553
4,"('fried',)",6.0,0.013422818791946308,"('taste', 'like')",2.0,0.004484304932735426,"('can', 'compare', 'theyre')",1,0.0022471910112359553
5,"('roll',)",5.0,0.011185682326621925,"('fried', 'shrimp')",2.0,0.004484304932735426,"('good', 'can', 'compare')",1,0.0022471910112359553
6,"('ordered',)",5.0,0.011185682326621925,"('second', 'time')",2.0,0.004484304932735426,"('really', 'good', 'can')",1,0.0022471910112359553
7,"('chicken',)",4.0,0.008948545861297539,"('ate', 'first')",1.0,0.002242152466367713,"('know', 'really', 'good')",1,0.0022471910112359553
8,"('teriyaki',)",4.0,0.008948545861297539,"('good', 'can')",1.0,0.002242152466367713,"('state', 'know', 'really')",1,0.0022471910112359553
9,"('taste',)",4.0,0.008948545861297539,"('really', 'good')",1.0,0.002242152466367713,"('washington', 'state', 'know')",1,0.0022471910112359553
10,"('like',)",4.0,0.008948545861297539,"('know', 'really')",1.0,0.002242152466367713,"('time', 'washington', 'state')",1,0.0022471910112359553
11,"('restaurant',)",4.0,0.008948545861297539,"('state', 'know')",1.0,0.002242152466367713,"('last', 'time', 'washington')",1,0.0022471910112359553
12,"('bad',)",4.0,0.008948545861297539,"('washington', 'state')",1.0,0.002242152466367713,"('first', 'last', 'time')",1,0.0022471910112359553
13,"('well',)",4.0,0.008948545861297539,"('time', 'washington')",1.0,0.002242152466367713,"('dad', 'ate', 'first')",1,0.0022471910112359553
14,"('bland',)",4.0,0.008948545861297539,"('last', 'time')",1.0,0.002242152466367713,"('fast', 'environment', 'got')",1,0.0022471910112359553
15,"('got',)",3.0,0.006711409395973154,"('first', 'last')",1.0,0.002242152466367713,"('back', 'dad', 'ate')",1,0.0022471910112359553
16,"('meat',)",3.0,0.006711409395973154,"('back', 'dad')",1.0,0.002242152466367713,"('coming', 'back', 'dad')",1,0.0022471910112359553
