,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",4.0,0.12121212121212122,"('great', 'service')",3.0,0.09375,"('hubby', 'got', 'poisoning')",1,0.03225806451612903
1,"('service',)",3.0,0.09090909090909091,"('hubby', 'got')",1.0,0.03125,"('love', 'great', 'service')",1,0.03225806451612903
2,"('good',)",3.0,0.09090909090909091,"('got', 'poisoning')",1.0,0.03125,"('great', 'service', 'excellent')",1,0.03225806451612903
3,"('nice',)",2.0,0.06060606060606061,"('service', 'excellent')",1.0,0.03125,"('nice', 'great', 'service')",1,0.03225806451612903
4,"('excellent',)",2.0,0.06060606060606061,"('nice', 'great')",1.0,0.03125,"('service', 'nice', 'great')",1,0.03225806451612903
5,"('love',)",2.0,0.06060606060606061,"('service', 'nice')",1.0,0.03125,"('great', 'service', 'nice')",1,0.03225806451612903
6,"('friendly',)",1.0,0.030303030303030304,"('great', 'great')",1.0,0.03125,"('great', 'great', 'service')",1,0.03225806451612903
7,"('enjoyed',)",1.0,0.030303030303030304,"('enjoyed', 'great')",1.0,0.03125,"('enjoyed', 'great', 'great')",1,0.03225806451612903
8,"('tempura',)",1.0,0.030303030303030304,"('tempura', 'enjoyed')",1.0,0.03125,"('tempura', 'enjoyed', 'great')",1,0.03225806451612903
9,"('variety',)",1.0,0.030303030303030304,"('excellent', 'tempura')",1.0,0.03125,"('excellent', 'tempura', 'enjoyed')",1,0.03225806451612903
10,"('entertaining',)",1.0,0.030303030303030304,"('variety', 'excellent')",1.0,0.03125,"('variety', 'excellent', 'tempura')",1,0.03225806451612903
11,"('hibachi',)",1.0,0.030303030303030304,"('good', 'variety')",1.0,0.03125,"('good', 'variety', 'excellent')",1,0.03225806451612903
12,"('hubby',)",1.0,0.030303030303030304,"('love', 'good')",1.0,0.03125,"('love', 'good', 'variety')",1,0.03225806451612903
13,"('got',)",1.0,0.030303030303030304,"('service', 'love')",1.0,0.03125,"('service', 'love', 'good')",1,0.03225806451612903
14,"('people',)",1.0,0.030303030303030304,"('love', 'great')",1.0,0.03125,"('great', 'service', 'love')",1,0.03225806451612903
15,"('delicious',)",1.0,0.030303030303030304,"('entertaining', 'love')",1.0,0.03125,"('entertaining', 'love', 'great')",1,0.03225806451612903
16,"('taste',)",1.0,0.030303030303030304,"('hibachi', 'entertaining')",1.0,0.03125,"('got', 'poisoning', 'nuff')",1,0.03225806451612903
17,"('fresh',)",1.0,0.030303030303030304,"('good', 'hibachi')",1.0,0.03125,"('hibachi', 'entertaining', 'love')",1,0.03225806451612903
18,"('amazing',)",1.0,0.030303030303030304,"('friendly', 'good')",1.0,0.03125,"('good', 'hibachi', 'entertaining')",1,0.03225806451612903
19,"('said',)",1.0,0.030303030303030304,"('nice', 'friendly')",1.0,0.03125,"('friendly', 'good', 'hibachi')",1,0.03225806451612903
20,"('nuff',)",1.0,0.030303030303030304,"('people', 'nice')",1.0,0.03125,"('nice', 'friendly', 'good')",1,0.03225806451612903
21,"('poisoning',)",1.0,0.030303030303030304,"('good', 'people')",1.0,0.03125,"('people', 'nice', 'friendly')",1,0.03225806451612903
22,"('name',)",1.0,0.030303030303030304,"('delicious', 'good')",1.0,0.03125,"('good', 'people', 'nice')",1,0.03225806451612903
23,,,,"('taste', 'delicious')",1.0,0.03125,"('delicious', 'good', 'people')",1,0.03225806451612903
24,,,,"('fresh', 'taste')",1.0,0.03125,"('taste', 'delicious', 'good')",1,0.03225806451612903
25,,,,"('amazing', 'fresh')",1.0,0.03125,"('fresh', 'taste', 'delicious')",1,0.03225806451612903
26,,,,"('said', 'amazing')",1.0,0.03125,"('amazing', 'fresh', 'taste')",1,0.03225806451612903
27,,,,"('nuff', 'said')",1.0,0.03125,"('said', 'amazing', 'fresh')",1,0.03225806451612903
28,,,,"('poisoning', 'nuff')",1.0,0.03125,"('nuff', 'said', 'amazing')",1,0.03225806451612903
29,,,,"('excellent', 'name')",1.0,0.03125,"('poisoning', 'nuff', 'said')",1,0.03225806451612903
30,,,,,,,"('service', 'excellent', 'name')",1,0.03225806451612903
