,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('service',)",5.0,0.03676470588235294,"('order', 'took')",3.0,0.022222222222222223,"('took', '1', 'hour')",2,0.014925373134328358
1,"('good',)",4.0,0.029411764705882353,"('1', 'hour')",2.0,0.014814814814814815,"('order', 'took', '1')",2,0.014925373134328358
2,"('love',)",4.0,0.029411764705882353,"('time', 'ive')",2.0,0.014814814814814815,"('empty', 'came', 'eventually')",1,0.007462686567164179
3,"('lunch',)",4.0,0.029411764705882353,"('took', '1')",2.0,0.014814814814814815,"('thai', 'shrimp', 'pad')",1,0.007462686567164179
4,"('hour',)",3.0,0.022058823529411766,"('great', 'service')",2.0,0.014814814814814815,"('1', 'hour', 'overpried')",1,0.007462686567164179
5,"('great',)",3.0,0.022058823529411766,"('pad', 'thai')",2.0,0.014814814814814815,"('overpriced', 'order', 'took')",1,0.007462686567164179
6,"('order',)",3.0,0.022058823529411766,"('empty', 'came')",1.0,0.007407407407407408,"('hour', 'overpriced', 'order')",1,0.007462686567164179
7,"('pad',)",3.0,0.022058823529411766,"('mao', 'order')",1.0,0.007407407407407408,"('1', 'hour', 'overpriced')",1,0.007462686567164179
8,"('took',)",3.0,0.022058823529411766,"('shrimp', 'pad')",1.0,0.007407407407407408,"('pried', 'order', 'took')",1,0.007462686567164179
9,"('1',)",2.0,0.014705882352941176,"('pad', 'kee')",1.0,0.007407407407407408,"('hour', 'pried', 'order')",1,0.007462686567164179
10,"('want',)",2.0,0.014705882352941176,"('kee', 'mao')",1.0,0.007407407407407408,"('took', 'hour', 'pried')",1,0.007462686567164179
11,"('nivas',)",2.0,0.014705882352941176,"('took', 'hour')",1.0,0.007407407407407408,"('order', 'took', 'hour')",1,0.007462686567164179
12,"('slow',)",2.0,0.014705882352941176,"('great', 'pad')",1.0,0.007407407407407408,"('mao', 'order', 'took')",1,0.007462686567164179
13,"('im',)",2.0,0.014705882352941176,"('hour', 'pried')",1.0,0.007407407407407408,"('kee', 'mao', 'order')",1,0.007462686567164179
14,"('delicious',)",2.0,0.014705882352941176,"('pried', 'order')",1.0,0.007407407407407408,"('pad', 'kee', 'mao')",1,0.007462686567164179
15,"('thai',)",2.0,0.014705882352941176,"('hour', 'overpriced')",1.0,0.007407407407407408,"('shrimp', 'pad', 'kee')",1,0.007462686567164179
16,"('amazing',)",2.0,0.014705882352941176,"('overpriced', 'order')",1.0,0.007407407407407408,"('pad', 'thai', 'shrimp')",1,0.007462686567164179
17,"('empty',)",2.0,0.014705882352941176,"('thai', 'shrimp')",1.0,0.007407407407407408,"('came', 'eventually', 'filled')",1,0.007462686567164179
18,"('ive',)",2.0,0.014705882352941176,"('love', 'delicious')",1.0,0.007407407407407408,"('great', 'pad', 'thai')",1,0.007462686567164179
19,"('excellent',)",2.0,0.014705882352941176,"('delicious', 'great')",1.0,0.007407407407407408,"('delicious', 'great', 'pad')",1,0.007462686567164179
20,"('yum',)",2.0,0.014705882352941176,"('overpried', 'want')",1.0,0.007407407407407408,"('love', 'delicious', 'great')",1,0.007462686567164179
21,"('curry',)",2.0,0.014705882352941176,"('service', 'love')",1.0,0.007407407407407408,"('service', 'love', 'delicious')",1,0.007462686567164179
22,"('time',)",2.0,0.014705882352941176,"('excellent', 'great')",1.0,0.007407407407407408,"('great', 'service', 'love')",1,0.007462686567164179
23,"('first',)",2.0,0.014705882352941176,"('yum', 'excellent')",1.0,0.007407407407407408,"('excellent', 'great', 'service')",1,0.007462686567164179
24,"('well',)",1.0,0.007352941176470588,"('home', 'yum')",1.0,0.007407407407407408,"('yum', 'excellent', 'great')",1,0.007462686567164179
25,"('people',)",1.0,0.007352941176470588,"('way', 'home')",1.0,0.007407407407407408,"('home', 'yum', 'excellent')",1,0.007462686567164179
