,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",10.0,0.0684931506849315,"('amazing', 'great')",2.0,0.013793103448275862,"('favorite', 'spot', 'chinese')",2,0.013888888888888888
1,"('good',)",8.0,0.0547945205479452,"('west', 'chester')",2.0,0.013793103448275862,"('lunch', 'special', '2')",1,0.006944444444444444
2,"('service',)",4.0,0.0273972602739726,"('great', 'service')",2.0,0.013793103448275862,"('time', 'come', 'treated')",1,0.006944444444444444
3,"('spot',)",3.0,0.02054794520547945,"('favorite', 'spot')",2.0,0.013793103448275862,"('roll', 'salmon', 'roll')",1,0.006944444444444444
4,"('chinese',)",3.0,0.02054794520547945,"('spot', 'chinese')",2.0,0.013793103448275862,"('salmon', 'roll', 'great')",1,0.006944444444444444
5,"('best',)",3.0,0.02054794520547945,"('lunch', 'special')",1.0,0.006896551724137931,"('roll', 'great', 'service')",1,0.006944444444444444
6,"('roll',)",3.0,0.02054794520547945,"('salmon', 'roll')",1.0,0.006896551724137931,"('great', 'service', 'every')",1,0.006944444444444444
7,"('love',)",2.0,0.0136986301369863,"('roll', 'great')",1.0,0.006896551724137931,"('service', 'every', 'time')",1,0.006944444444444444
8,"('soup',)",2.0,0.0136986301369863,"('service', 'every')",1.0,0.006896551724137931,"('every', 'time', 'come')",1,0.006944444444444444
9,"('favorite',)",2.0,0.0136986301369863,"('every', 'time')",1.0,0.006896551724137931,"('come', 'treated', 'well')",1,0.006944444444444444
10,"('asian',)",2.0,0.0136986301369863,"('time', 'come')",1.0,0.006896551724137931,"('looking', 'good', 'places')",1,0.006944444444444444
11,"('quality',)",2.0,0.0136986301369863,"('treated', 'well')",1.0,0.006896551724137931,"('treated', 'well', 'amazing')",1,0.006944444444444444
12,"('amazing',)",2.0,0.0136986301369863,"('come', 'treated')",1.0,0.006896551724137931,"('well', 'amazing', 'great')",1,0.006944444444444444
13,"('downingtown',)",2.0,0.0136986301369863,"('downingtown', 'roll')",1.0,0.006896551724137931,"('amazing', 'great', 'good')",1,0.006944444444444444
14,"('time',)",2.0,0.0136986301369863,"('well', 'amazing')",1.0,0.006896551724137931,"('great', 'good', 'high')",1,0.006944444444444444
15,"('come',)",2.0,0.0136986301369863,"('great', 'good')",1.0,0.006896551724137931,"('good', 'high', 'quality')",1,0.006944444444444444
16,"('close',)",2.0,0.0136986301369863,"('good', 'high')",1.0,0.006896551724137931,"('high', 'quality', 'asian')",1,0.006944444444444444
17,"('west',)",2.0,0.0136986301369863,"('high', 'quality')",1.0,0.006896551724137931,"('downingtown', 'roll', 'salmon')",1,0.006944444444444444
18,"('miso',)",2.0,0.0136986301369863,"('roll', 'salmon')",1.0,0.006896551724137931,"('good', 'downingtown', 'roll')",1,0.006944444444444444
19,"('chester',)",2.0,0.0136986301369863,"('good', 'downingtown')",1.0,0.006896551724137931,"('laziness', 'good', 'downingtown')",1,0.006944444444444444
20,"('laziness',)",1.0,0.00684931506849315,"('asian', 'good')",1.0,0.006896551724137931,"('white', 'rice', 'two')",1,0.006944444444444444
21,"('lunch',)",1.0,0.00684931506849315,"('rice', 'two')",1.0,0.006896551724137931,"('places', 'now', 'close')",1,0.006944444444444444
22,"('supermarket',)",1.0,0.00684931506849315,"('now', 'close')",1.0,0.006896551724137931,"('now', 'close', 'job')",1,0.006944444444444444
23,"('tied',)",1.0,0.00684931506849315,"('close', 'job')",1.0,0.006896551724137931,"('close', 'job', 'fuck')",1,0.006944444444444444
24,"('fucking',)",1.0,0.00684931506849315,"('job', 'fuck')",1.0,0.006896551724137931,"('job', 'fuck', 'run')",1,0.006944444444444444
25,"('next',)",1.0,0.00684931506849315,"('fuck', 'run')",1.0,0.006896551724137931,"('fuck', 'run', 'white')",1,0.006944444444444444
26,"('hours',)",1.0,0.00684931506849315,"('run', 'white')",1.0,0.006896551724137931,"('run', 'white', 'rice')",1,0.006944444444444444
27,"('two',)",1.0,0.00684931506849315,"('white', 'rice')",1.0,0.006896551724137931,"('rice', 'two', 'hours')",1,0.006944444444444444
28,"('rice',)",1.0,0.00684931506849315,"('two', 'hours')",1.0,0.006896551724137931,"('tied', 'laziness', 'good')",1,0.006944444444444444
29,"('white',)",1.0,0.00684931506849315,"('laziness', 'good')",1.0,0.006896551724137931,"('two', 'hours', 'close')",1,0.006944444444444444
