,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('tempura',)",2.0,0.0392156862745098,"('spicy', 'tuna')",1,0.02,"('spicy', 'tuna', 'cucumber')",1.0,0.02040816326530612
1,"('sure',)",2.0,0.0392156862745098,"('tempura', 'isnt')",1,0.02,"('except', 'california', 'roll')",1.0,0.02040816326530612
2,"('rice',)",1.0,0.0196078431372549,"('roll', 'okay')",1,0.02,"('roll', 'okay', 'deluxe')",1.0,0.02040816326530612
3,"('roll',)",1.0,0.0196078431372549,"('okay', 'deluxe')",1,0.02,"('okay', 'deluxe', 'bento')",1.0,0.02040816326530612
4,"('okay',)",1.0,0.0196078431372549,"('deluxe', 'bento')",1,0.02,"('deluxe', 'bento', 'waste')",1.0,0.02040816326530612
5,"('deluxe',)",1.0,0.0196078431372549,"('bento', 'waste')",1,0.02,"('bento', 'waste', 'money')",1.0,0.02040816326530612
6,"('bento',)",1.0,0.0196078431372549,"('waste', 'money')",1,0.02,"('waste', 'money', 'mostly')",1.0,0.02040816326530612
7,"('waste',)",1.0,0.0196078431372549,"('money', 'mostly')",1,0.02,"('money', 'mostly', 'lettuce')",1.0,0.02040816326530612
8,"('money',)",1.0,0.0196078431372549,"('mostly', 'lettuce')",1,0.02,"('mostly', 'lettuce', 'white')",1.0,0.02040816326530612
9,"('mostly',)",1.0,0.0196078431372549,"('lettuce', 'white')",1,0.02,"('lettuce', 'white', 'rice')",1.0,0.02040816326530612
10,"('lettuce',)",1.0,0.0196078431372549,"('white', 'rice')",1,0.02,"('white', 'rice', 'tempura')",1.0,0.02040816326530612
11,"('white',)",1.0,0.0196078431372549,"('rice', 'tempura')",1,0.02,"('rice', 'tempura', 'isnt')",1.0,0.02040816326530612
12,"('spicy',)",1.0,0.0196078431372549,"('isnt', 'made')",1,0.02,"('tempura', 'isnt', 'made')",1.0,0.02040816326530612
13,"('except',)",1.0,0.0196078431372549,"('tuna', 'cucumber')",1,0.02,"('isnt', 'made', 'real')",1.0,0.02040816326530612
14,"('isnt',)",1.0,0.0196078431372549,"('made', 'real')",1,0.02,"('made', 'real', 'tempura')",1.0,0.02040816326530612
15,"('made',)",1.0,0.0196078431372549,"('real', 'tempura')",1,0.02,"('real', 'tempura', 'batter')",1.0,0.02040816326530612
16,"('real',)",1.0,0.0196078431372549,"('tempura', 'batter')",1,0.02,"('tempura', 'batter', 'sure')",1.0,0.02040816326530612
17,"('batter',)",1.0,0.0196078431372549,"('batter', 'sure')",1,0.02,"('batter', 'sure', 'kind')",1.0,0.02040816326530612
18,"('kind',)",1.0,0.0196078431372549,"('sure', 'kind')",1,0.02,"('sure', 'kind', 'sauce')",1.0,0.02040816326530612
19,"('sauce',)",1.0,0.0196078431372549,"('kind', 'sauce')",1,0.02,"('kind', 'sauce', 'meat')",1.0,0.02040816326530612
20,"('meat',)",1.0,0.0196078431372549,"('sauce', 'meat')",1,0.02,"('sauce', 'meat', 'sure')",1.0,0.02040816326530612
21,"('teriyaki',)",1.0,0.0196078431372549,"('meat', 'sure')",1,0.02,"('meat', 'sure', 'teriyaki')",1.0,0.02040816326530612
22,"('word',)",1.0,0.0196078431372549,"('sure', 'teriyaki')",1,0.02,"('sure', 'teriyaki', 'word')",1.0,0.02040816326530612
23,"('california',)",1.0,0.0196078431372549,"('teriyaki', 'word')",1,0.02,"('california', 'roll', 'okay')",1.0,0.02040816326530612
24,"('know',)",1.0,0.0196078431372549,"('california', 'roll')",1,0.02,"('know', 'except', 'california')",1.0,0.02040816326530612
25,"('tuna',)",1.0,0.0196078431372549,"('except', 'california')",1,0.02,"('tuna', 'cucumber', 'completely')",1.0,0.02040816326530612
26,"('dont',)",1.0,0.0196078431372549,"('know', 'except')",1,0.02,"('dont', 'know', 'except')",1.0,0.02040816326530612
27,"('cucumber',)",1.0,0.0196078431372549,"('dont', 'know')",1,0.02,"('cucumber', 'completely', 'tasteless')",1.0,0.02040816326530612
28,"('completely',)",1.0,0.0196078431372549,"('cucumber', 'completely')",1,0.02,"('completely', 'tasteless', 'longer')",1.0,0.02040816326530612
29,"('tasteless',)",1.0,0.0196078431372549,"('completely', 'tasteless')",1,0.02,"('tasteless', 'longer', 'give')",1.0,0.02040816326530612
30,"('longer',)",1.0,0.0196078431372549,"('tasteless', 'longer')",1,0.02,"('longer', 'give', 'stamped')",1.0,0.02040816326530612
31,"('give',)",1.0,0.0196078431372549,"('longer', 'give')",1,0.02,"('give', 'stamped', 'frequent')",1.0,0.02040816326530612
32,"('stamped',)",1.0,0.0196078431372549,"('give', 'stamped')",1,0.02,"('stamped', 'frequent', 'buyer')",1.0,0.02040816326530612
33,"('frequent',)",1.0,0.0196078431372549,"('stamped', 'frequent')",1,0.02,"('frequent', 'buyer', 'cards')",1.0,0.02040816326530612
34,"('buyer',)",1.0,0.0196078431372549,"('frequent', 'buyer')",1,0.02,"('buyer', 'cards', 'ugh')",1.0,0.02040816326530612
35,"('cards',)",1.0,0.0196078431372549,"('buyer', 'cards')",1,0.02,"('cards', 'ugh', 'poor')",1.0,0.02040816326530612
36,"('ugh',)",1.0,0.0196078431372549,"('cards', 'ugh')",1,0.02,"('ugh', 'poor', 'customer')",1.0,0.02040816326530612
37,"('poor',)",1.0,0.0196078431372549,"('ugh', 'poor')",1,0.02,"('poor', 'customer', 'service')",1.0,0.02040816326530612
38,"('customer',)",1.0,0.0196078431372549,"('poor', 'customer')",1,0.02,"('customer', 'service', 'try')",1.0,0.02040816326530612
39,"('service',)",1.0,0.0196078431372549,"('customer', 'service')",1,0.02,"('service', 'try', 'combo')",1.0,0.02040816326530612
40,"('try',)",1.0,0.0196078431372549,"('service', 'try')",1,0.02,"('try', 'combo', 'deal')",1.0,0.02040816326530612
41,"('combo',)",1.0,0.0196078431372549,"('try', 'combo')",1,0.02,"('combo', 'deal', 'sub')",1.0,0.02040816326530612
42,"('deal',)",1.0,0.0196078431372549,"('combo', 'deal')",1,0.02,"('deal', 'sub', 'par')",1.0,0.02040816326530612
43,"('sub',)",1.0,0.0196078431372549,"('deal', 'sub')",1,0.02,"('sub', 'par', 'wondering')",1.0,0.02040816326530612
44,"('par',)",1.0,0.0196078431372549,"('sub', 'par')",1,0.02,"('par', 'wondering', 'talking')",1.0,0.02040816326530612
45,"('wondering',)",1.0,0.0196078431372549,"('par', 'wondering')",1,0.02,"('wondering', 'talking', 'snack')",1.0,0.02040816326530612
46,"('talking',)",1.0,0.0196078431372549,"('wondering', 'talking')",1,0.02,"('talking', 'snack', 'dont')",1.0,0.02040816326530612
47,"('snack',)",1.0,0.0196078431372549,"('talking', 'snack')",1,0.02,"('snack', 'dont', 'know')",1.0,0.02040816326530612
48,"('yuck',)",1.0,0.0196078431372549,"('snack', 'dont')",1,0.02,"('teriyaki', 'word', 'yuck')",1.0,0.02040816326530612
49,,,,"('word', 'yuck')",1,0.02,,,
