,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",8.0,0.03389830508474576,"('can', 'eat')",3.0,0.01276595744680851,"('quick', 'service', 'yeah')",1,0.004273504273504274
1,"('service',)",8.0,0.03389830508474576,"('great', 'price')",2.0,0.00851063829787234,"('nigiri', 'scallop', 'weakness')",1,0.004273504273504274
2,"('good',)",6.0,0.025423728813559324,"('5', 'stars')",2.0,0.00851063829787234,"('youcan', 'eat', 'order')",1,0.004273504273504274
3,"('best',)",6.0,0.025423728813559324,"('horrible', 'service')",2.0,0.00851063829787234,"('eat', 'order', 'order')",1,0.004273504273504274
4,"('lunch',)",6.0,0.025423728813559324,"('nigiri', 'scallop')",1.0,0.00425531914893617,"('order', 'order', 'hadnt')",1,0.004273504273504274
5,"('can',)",6.0,0.025423728813559324,"('eat', 'order')",1.0,0.00425531914893617,"('order', 'hadnt', 'shown')",1,0.004273504273504274
6,"('eat',)",4.0,0.01694915254237288,"('order', 'order')",1.0,0.00425531914893617,"('hadnt', 'shown', '30')",1,0.004273504273504274
7,"('stars',)",3.0,0.012711864406779662,"('order', 'hadnt')",1.0,0.00425531914893617,"('shown', '30', 'mins')",1,0.004273504273504274
8,"('price',)",3.0,0.012711864406779662,"('hadnt', 'shown')",1.0,0.00425531914893617,"('30', 'mins', 'later')",1,0.004273504273504274
9,"('time',)",3.0,0.012711864406779662,"('shown', '30')",1.0,0.00425531914893617,"('mins', 'later', 'really')",1,0.004273504273504274
10,"('ya',)",3.0,0.012711864406779662,"('30', 'mins')",1.0,0.00425531914893617,"('later', 'really', 'didnt')",1,0.004273504273504274
11,"('try',)",3.0,0.012711864406779662,"('mins', 'later')",1.0,0.00425531914893617,"('really', 'didnt', 'care')",1,0.004273504273504274
12,"('dinner',)",3.0,0.012711864406779662,"('later', 'really')",1.0,0.00425531914893617,"('didnt', 'care', 'nigiri')",1,0.004273504273504274
13,"('5',)",3.0,0.012711864406779662,"('really', 'didnt')",1.0,0.00425531914893617,"('care', 'nigiri', 'scallop')",1,0.004273504273504274
14,"('always',)",3.0,0.012711864406779662,"('didnt', 'care')",1.0,0.00425531914893617,"('scallop', 'weakness', '1st')",1,0.004273504273504274
15,"('horrible',)",3.0,0.012711864406779662,"('care', 'nigiri')",1.0,0.00425531914893617,"('horrible', 'quality', 'point')",1,0.004273504273504274
