,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",10.0,0.03773584905660377,"('well', 'back')",2.0,0.007575757575757576,"('fun', 'nice', 'decor')",1,0.0038022813688212928
1,"('good',)",6.0,0.022641509433962263,"('ginger', 'ale')",2.0,0.007575757575757576,"('service', 'well', 'back')",1,0.0038022813688212928
2,"('om',)",5.0,0.018867924528301886,"('nice', 'decor')",2.0,0.007575757575757576,"('back', 'checking', 'lunch')",1,0.0038022813688212928
3,"('fantastic',)",4.0,0.01509433962264151,"('pad', 'thai')",2.0,0.007575757575757576,"('checking', 'lunch', 'great')",1,0.0038022813688212928
4,"('well',)",4.0,0.01509433962264151,"('good', 'service')",2.0,0.007575757575757576,"('lunch', 'great', 'reasonable')",1,0.0038022813688212928
5,"('staff',)",4.0,0.01509433962264151,"('pretty', 'good')",2.0,0.007575757575757576,"('great', 'reasonable', 'prices')",1,0.0038022813688212928
6,"('thai',)",3.0,0.011320754716981131,"('tuna', 'tower')",1.0,0.003787878787878788,"('reasonable', 'prices', 'nice')",1,0.0038022813688212928
7,"('service',)",3.0,0.011320754716981131,"('butterfish', 'tuna')",1.0,0.003787878787878788,"('prices', 'nice', 'atmosphere')",1,0.0038022813688212928
8,"('restaurant',)",3.0,0.011320754716981131,"('roasted', 'butterfish')",1.0,0.003787878787878788,"('nice', 'atmosphere', 'staff')",1,0.0038022813688212928
9,"('pretty',)",3.0,0.011320754716981131,"('pan', 'roasted')",1.0,0.003787878787878788,"('atmosphere', 'staff', 'attentivr')",1,0.0038022813688212928
10,"('fresh',)",3.0,0.011320754716981131,"('attentivr', 'pan')",1.0,0.003787878787878788,"('staff', 'attentivr', 'pan')",1,0.0038022813688212928
11,"('nice',)",3.0,0.011320754716981131,"('staff', 'attentivr')",1.0,0.003787878787878788,"('attentivr', 'pan', 'roasted')",1,0.0038022813688212928
