,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",6.0,0.10714285714285714,"('love', 'great')",2,0.03636363636363636,"('ill', 'never', 'go')",1,0.018518518518518517
1,"('lunch',)",3.0,0.05357142857142857,"('ill', 'never')",1,0.01818181818181818,"('great', 'hibachi', 'great')",1,0.018518518518518517
2,"('love',)",2.0,0.03571428571428571,"('great', 'good')",1,0.01818181818181818,"('lunch', 'menu', 'pay')",1,0.018518518518518517
3,"('mongolian',)",2.0,0.03571428571428571,"('pay', '9')",1,0.01818181818181818,"('menu', 'pay', '9')",1,0.018518518518518517
4,"('atmosphere',)",2.0,0.03571428571428571,"('9', '4')",1,0.01818181818181818,"('pay', '9', '4')",1,0.018518518518518517
5,"('good',)",2.0,0.03571428571428571,"('4', 'year')",1,0.01818181818181818,"('9', '4', 'year')",1,0.018518518518518517
6,"('ill',)",1.0,0.017857142857142856,"('year', 'old')",1,0.01818181818181818,"('4', 'year', 'old')",1,0.018518518518518517
7,"('stuff',)",1.0,0.017857142857142856,"('old', 'eat')",1,0.01818181818181818,"('year', 'old', 'eat')",1,0.018518518518518517
8,"('pay',)",1.0,0.017857142857142856,"('eat', 'lunch')",1,0.01818181818181818,"('old', 'eat', 'lunch')",1,0.018518518518518517
9,"('9',)",1.0,0.017857142857142856,"('lunch', 'great')",1,0.01818181818181818,"('eat', 'lunch', 'great')",1,0.018518518518518517
10,"('4',)",1.0,0.017857142857142856,"('great', 'atmosphere')",1,0.01818181818181818,"('lunch', 'great', 'atmosphere')",1,0.018518518518518517
11,"('year',)",1.0,0.017857142857142856,"('atmosphere', 'great')",1,0.01818181818181818,"('great', 'atmosphere', 'great')",1,0.018518518518518517
12,"('old',)",1.0,0.017857142857142856,"('great', 'hibachi')",1,0.01818181818181818,"('atmosphere', 'great', 'hibachi')",1,0.018518518518518517
13,"('eat',)",1.0,0.017857142857142856,"('hibachi', 'great')",1,0.01818181818181818,"('hibachi', 'great', 'good')",1,0.018518518518518517
14,"('hibachi',)",1.0,0.017857142857142856,"('good', 'stuff')",1,0.01818181818181818,"('never', 'go', 'back')",1,0.018518518518518517
15,"('unique',)",1.0,0.017857142857142856,"('lunch', 'menu')",1,0.01818181818181818,"('great', 'good', 'stuff')",1,0.018518518518518517
16,"('wow',)",1.0,0.017857142857142856,"('stuff', 'wow')",1,0.01818181818181818,"('good', 'stuff', 'wow')",1,0.018518518518518517
17,"('kids',)",1.0,0.017857142857142856,"('wow', 'great')",1,0.01818181818181818,"('stuff', 'wow', 'great')",1,0.018518518518518517
18,"('restaurant',)",1.0,0.017857142857142856,"('great', 'unique')",1,0.01818181818181818,"('wow', 'great', 'unique')",1,0.018518518518518517
19,"('bismal',)",1.0,0.017857142857142856,"('unique', 'restaurant')",1,0.01818181818181818,"('great', 'unique', 'restaurant')",1,0.018518518518518517
20,"('service',)",1.0,0.017857142857142856,"('restaurant', 'bismal')",1,0.01818181818181818,"('unique', 'restaurant', 'bismal')",1,0.018518518518518517
21,"('cant',)",1.0,0.017857142857142856,"('bismal', 'service')",1,0.01818181818181818,"('restaurant', 'bismal', 'service')",1,0.018518518518518517
22,"('imagine',)",1.0,0.017857142857142856,"('service', 'atmosphere')",1,0.01818181818181818,"('bismal', 'service', 'atmosphere')",1,0.018518518518518517
23,"('much',)",1.0,0.017857142857142856,"('atmosphere', 'cant')",1,0.01818181818181818,"('service', 'atmosphere', 'cant')",1,0.018518518518518517
24,"('menu',)",1.0,0.017857142857142856,"('cant', 'imagine')",1,0.01818181818181818,"('atmosphere', 'cant', 'imagine')",1,0.018518518518518517
25,"('isnt',)",1.0,0.017857142857142856,"('imagine', 'much')",1,0.01818181818181818,"('cant', 'imagine', 'much')",1,0.018518518518518517
26,"('avoid',)",1.0,0.017857142857142856,"('menu', 'pay')",1,0.01818181818181818,"('kids', 'lunch', 'menu')",1,0.018518518518518517
27,"('bbq',)",1.0,0.017857142857142856,"('kids', 'lunch')",1,0.01818181818181818,"('avoid', 'kids', 'lunch')",1,0.018518518518518517
28,"('go',)",1.0,0.017857142857142856,"('never', 'go')",1,0.01818181818181818,"('happening', 'avoid', 'kids')",1,0.018518518518518517
29,"('back',)",1.0,0.017857142857142856,"('avoid', 'kids')",1,0.01818181818181818,"('isnt', 'happening', 'avoid')",1,0.018518518518518517
30,"('weekday',)",1.0,0.017857142857142856,"('go', 'back')",1,0.01818181818181818,"('go', 'back', 'love')",1,0.018518518518518517
31,"('bowl',)",1.0,0.017857142857142856,"('back', 'love')",1,0.01818181818181818,"('back', 'love', 'great')",1,0.018518518518518517
32,"('850',)",1.0,0.017857142857142856,"('great', 'weekday')",1,0.01818181818181818,"('love', 'great', 'weekday')",1,0.018518518518518517
33,"('full',)",1.0,0.017857142857142856,"('weekday', 'lunch')",1,0.01818181818181818,"('great', 'weekday', 'lunch')",1,0.018518518518518517
34,"('belly',)",1.0,0.017857142857142856,"('lunch', 'mongolian')",1,0.01818181818181818,"('weekday', 'lunch', 'mongolian')",1,0.018518518518518517
35,"('masks',)",1.0,0.017857142857142856,"('mongolian', 'bowl')",1,0.01818181818181818,"('lunch', 'mongolian', 'bowl')",1,0.018518518518518517
36,"('happening',)",1.0,0.017857142857142856,"('bowl', '850')",1,0.01818181818181818,"('mongolian', 'bowl', '850')",1,0.018518518518518517
37,"('arent',)",1.0,0.017857142857142856,"('850', 'full')",1,0.01818181818181818,"('bowl', '850', 'full')",1,0.018518518518518517
38,"('worn',)",1.0,0.017857142857142856,"('full', 'belly')",1,0.01818181818181818,"('850', 'full', 'belly')",1,0.018518518518518517
39,"('properly',)",1.0,0.017857142857142856,"('belly', 'love')",1,0.01818181818181818,"('full', 'belly', 'love')",1,0.018518518518518517
40,"('enforced',)",1.0,0.017857142857142856,"('great', 'mongolian')",1,0.01818181818181818,"('belly', 'love', 'great')",1,0.018518518518518517
41,"('social',)",1.0,0.017857142857142856,"('mongolian', 'bbq')",1,0.01818181818181818,"('love', 'great', 'mongolian')",1,0.018518518518518517
42,"('distancing',)",1.0,0.017857142857142856,"('bbq', 'good')",1,0.01818181818181818,"('great', 'mongolian', 'bbq')",1,0.018518518518518517
43,"('never',)",1.0,0.017857142857142856,"('good', 'masks')",1,0.01818181818181818,"('mongolian', 'bbq', 'good')",1,0.018518518518518517
44,"('worse',)",1.0,0.017857142857142856,"('masks', 'arent')",1,0.01818181818181818,"('bbq', 'good', 'masks')",1,0.018518518518518517
45,,,,"('arent', 'worn')",1,0.01818181818181818,"('good', 'masks', 'arent')",1,0.018518518518518517
46,,,,"('worn', 'properly')",1,0.01818181818181818,"('masks', 'arent', 'worn')",1,0.018518518518518517
47,,,,"('properly', 'enforced')",1,0.01818181818181818,"('arent', 'worn', 'properly')",1,0.018518518518518517
48,,,,"('enforced', 'social')",1,0.01818181818181818,"('worn', 'properly', 'enforced')",1,0.018518518518518517
49,,,,"('social', 'distancing')",1,0.01818181818181818,"('properly', 'enforced', 'social')",1,0.018518518518518517
50,,,,"('distancing', 'isnt')",1,0.01818181818181818,"('enforced', 'social', 'distancing')",1,0.018518518518518517
51,,,,"('isnt', 'happening')",1,0.01818181818181818,"('social', 'distancing', 'isnt')",1,0.018518518518518517
52,,,,"('happening', 'avoid')",1,0.01818181818181818,"('distancing', 'isnt', 'happening')",1,0.018518518518518517
53,,,,"('much', 'worse')",1,0.01818181818181818,"('imagine', 'much', 'worse')",1,0.018518518518518517
