,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",9.0,0.04326923076923077,"('spring', 'roll')",2.0,0.00966183574879227,"('first', 'time', 'can')",1,0.0048543689320388345
1,"('good',)",7.0,0.03365384615384615,"('tom', 'yum')",2.0,0.00966183574879227,"('lunch', 'til', '3')",1,0.0048543689320388345
2,"('thai',)",6.0,0.028846153846153848,"('first', 'time')",1.0,0.004830917874396135,"('good', 'stuff', 'excellent')",1,0.0048543689320388345
3,"('lunch',)",5.0,0.02403846153846154,"('3', 'really')",1.0,0.004830917874396135,"('stuff', 'excellent', 'love')",1,0.0048543689320388345
4,"('excellent',)",4.0,0.019230769230769232,"('excellent', 'love')",1.0,0.004830917874396135,"('excellent', 'love', 'chicken')",1,0.0048543689320388345
5,"('curry',)",4.0,0.019230769230769232,"('love', 'chicken')",1.0,0.004830917874396135,"('love', 'chicken', 'pad')",1,0.0048543689320388345
6,"('delicious',)",4.0,0.019230769230769232,"('chicken', 'pad')",1.0,0.004830917874396135,"('chicken', 'pad', 'thai')",1,0.0048543689320388345
7,"('yum',)",3.0,0.014423076923076924,"('pad', 'thai')",1.0,0.004830917874396135,"('pad', 'thai', 'spicy')",1,0.0048543689320388345
8,"('roll',)",3.0,0.014423076923076924,"('thai', 'spicy')",1.0,0.004830917874396135,"('thai', 'spicy', 'tom')",1,0.0048543689320388345
9,"('service',)",3.0,0.014423076923076924,"('spicy', 'tom')",1.0,0.004830917874396135,"('spicy', 'tom', 'yum')",1,0.0048543689320388345
10,"('nice',)",3.0,0.014423076923076924,"('yum', 'lunch')",1.0,0.004830917874396135,"('tom', 'yum', 'lunch')",1,0.0048543689320388345
11,"('chicken',)",3.0,0.014423076923076924,"('lunch', 'til')",1.0,0.004830917874396135,"('yum', 'lunch', 'til')",1,0.0048543689320388345
12,"('tom',)",2.0,0.009615384615384616,"('til', '3')",1.0,0.004830917874396135,"('til', '3', 'really')",1,0.0048543689320388345
13,"('best',)",2.0,0.009615384615384616,"('good', 'deal')",1.0,0.004830917874396135,"('thai', 'tea', 'good')",1,0.0048543689320388345
14,"('sashimi',)",2.0,0.009615384615384616,"('really', 'good')",1.0,0.004830917874396135,"('3', 'really', 'good')",1,0.0048543689320388345
15,"('will',)",2.0,0.009615384615384616,"('good', 'stuff')",1.0,0.004830917874396135,"('really', 'good', 'deal')",1,0.0048543689320388345
16,"('loved',)",2.0,0.009615384615384616,"('deal', 'great')",1.0,0.004830917874396135,"('good', 'deal', 'great')",1,0.0048543689320388345
17,"('atmosphere',)",2.0,0.009615384615384616,"('great', 'make')",1.0,0.004830917874396135,"('deal', 'great', 'make')",1,0.0048543689320388345
18,"('yummy',)",2.0,0.009615384615384616,"('make', 'reservation')",1.0,0.004830917874396135,"('great', 'make', 'reservation')",1,0.0048543689320388345
19,"('rice',)",2.0,0.009615384615384616,"('reservation', 'get')",1.0,0.004830917874396135,"('make', 'reservation', 'get')",1,0.0048543689320388345
20,"('nabu',)",2.0,0.009615384615384616,"('get', 'early')",1.0,0.004830917874396135,"('reservation', 'get', 'early')",1,0.0048543689320388345
21,"('get',)",2.0,0.009615384615384616,"('early', 'busy')",1.0,0.004830917874396135,"('get', 'early', 'busy')",1,0.0048543689320388345
22,"('spring',)",2.0,0.009615384615384616,"('busy', 'yummy')",1.0,0.004830917874396135,"('early', 'busy', 'yummy')",1,0.0048543689320388345
23,"('soup',)",2.0,0.009615384615384616,"('yummy', 'highly')",1.0,0.004830917874396135,"('busy', 'yummy', 'highly')",1,0.0048543689320388345
24,"('like',)",2.0,0.009615384615384616,"('stuff', 'excellent')",1.0,0.004830917874396135,"('tea', 'good', 'stuff')",1,0.0048543689320388345
25,"('better',)",2.0,0.009615384615384616,"('tea', 'good')",1.0,0.004830917874396135,"('check', 'thai', 'tea')",1,0.0048543689320388345
26,"('family',)",2.0,0.009615384615384616,"('recommend', 'asiansushi')",1.0,0.004830917874396135,"('highly', 'recommend', 'asiansushi')",1,0.0048543689320388345
27,"('really',)",2.0,0.009615384615384616,"('beat', 'rush')",1.0,0.004830917874396135,"('1115', 'lunch', 'beat')",1,0.0048543689320388345
28,"('red',)",2.0,0.009615384615384616,"('red', 'currygot')",1.0,0.004830917874396135,"('must', 'good', 'red')",1,0.0048543689320388345
