,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",2.0,0.08,"('great', 'service')",2,0.08333333333333333,"('great', 'service', 'amazing')",1,0.043478260869565216
1,"('amazing',)",2.0,0.08,"('soup', 'hibachi')",1,0.041666666666666664,"('tiny', 'soup', 'hibachi')",1,0.043478260869565216
2,"('service',)",2.0,0.08,"('best', 'super')",1,0.041666666666666664,"('people', 'best', 'super')",1,0.043478260869565216
3,"('delicious',)",1.0,0.04,"('people', 'best')",1,0.041666666666666664,"('nice', 'people', 'best')",1,0.043478260869565216
4,"('super',)",1.0,0.04,"('nice', 'people')",1,0.041666666666666664,"('favorite', 'nice', 'people')",1,0.043478260869565216
5,"('best',)",1.0,0.04,"('favorite', 'nice')",1,0.041666666666666664,"('combo', 'favorite', 'nice')",1,0.043478260869565216
6,"('people',)",1.0,0.04,"('combo', 'favorite')",1,0.041666666666666664,"('stake', 'combo', 'favorite')",1,0.043478260869565216
7,"('nice',)",1.0,0.04,"('stake', 'combo')",1,0.041666666666666664,"('chicken', 'stake', 'combo')",1,0.043478260869565216
8,"('favorite',)",1.0,0.04,"('chicken', 'stake')",1,0.041666666666666664,"('delicious', 'chicken', 'stake')",1,0.043478260869565216
9,"('combo',)",1.0,0.04,"('delicious', 'chicken')",1,0.041666666666666664,"('hibachi', 'delicious', 'chicken')",1,0.043478260869565216
10,"('stake',)",1.0,0.04,"('hibachi', 'delicious')",1,0.041666666666666664,"('soup', 'hibachi', 'delicious')",1,0.043478260869565216
11,"('chicken',)",1.0,0.04,"('tiny', 'soup')",1,0.041666666666666664,"('small', 'tiny', 'soup')",1,0.043478260869565216
12,"('hibachi',)",1.0,0.04,"('service', 'amazing')",1,0.041666666666666664,"('service', 'amazing', 'great')",1,0.043478260869565216
13,"('soup',)",1.0,0.04,"('small', 'tiny')",1,0.041666666666666664,"('amazing', 'small', 'tiny')",1,0.043478260869565216
14,"('tiny',)",1.0,0.04,"('amazing', 'small')",1,0.041666666666666664,"('exelent', 'amazing', 'small')",1,0.043478260869565216
15,"('small',)",1.0,0.04,"('exelent', 'amazing')",1,0.041666666666666664,"('ate', 'exelent', 'amazing')",1,0.043478260869565216
16,"('exelent',)",1.0,0.04,"('ate', 'exelent')",1,0.041666666666666664,"('years', 'ate', 'exelent')",1,0.043478260869565216
17,"('ate',)",1.0,0.04,"('years', 'ate')",1,0.041666666666666664,"('many', 'years', 'ate')",1,0.043478260869565216
18,"('years',)",1.0,0.04,"('many', 'years')",1,0.041666666666666664,"('love', 'many', 'years')",1,0.043478260869565216
19,"('many',)",1.0,0.04,"('love', 'many')",1,0.041666666666666664,"('service', 'love', 'many')",1,0.043478260869565216
20,"('love',)",1.0,0.04,"('service', 'love')",1,0.041666666666666664,"('great', 'service', 'love')",1,0.043478260869565216
21,"('affordable',)",1.0,0.04,"('amazing', 'great')",1,0.041666666666666664,"('amazing', 'great', 'service')",1,0.043478260869565216
22,,,,"('super', 'affordable')",1,0.041666666666666664,"('best', 'super', 'affordable')",1,0.043478260869565216
