,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('employee',)",1,0.027777777777777776,"('employee', 'holiday')",1.0,0.02857142857142857,"('employee', 'holiday', 'partygot')",1.0,0.029411764705882353
1,"('holiday',)",1,0.027777777777777776,"('understaffed', 'great')",1.0,0.02857142857142857,"('horrific', 'understaffed', 'great')",1.0,0.029411764705882353
2,"('stay',)",1,0.027777777777777776,"('stay', 'night')",1.0,0.02857142857142857,"('prepared', 'stay', 'night')",1.0,0.029411764705882353
3,"('night',)",1,0.027777777777777776,"('night', 'dining')",1.0,0.02857142857142857,"('stay', 'night', 'dining')",1.0,0.029411764705882353
4,"('dining',)",1,0.027777777777777776,"('dining', 'since')",1.0,0.02857142857142857,"('night', 'dining', 'since')",1.0,0.029411764705882353
5,"('since',)",1,0.027777777777777776,"('since', 'service')",1.0,0.02857142857142857,"('dining', 'since', 'service')",1.0,0.029411764705882353
6,"('service',)",1,0.027777777777777776,"('service', 'horrific')",1.0,0.02857142857142857,"('since', 'service', 'horrific')",1.0,0.029411764705882353
7,"('horrific',)",1,0.027777777777777776,"('horrific', 'understaffed')",1.0,0.02857142857142857,"('service', 'horrific', 'understaffed')",1.0,0.029411764705882353
8,"('understaffed',)",1,0.027777777777777776,"('great', 'better')",1.0,0.02857142857142857,"('understaffed', 'great', 'better')",1.0,0.029411764705882353
9,"('great',)",1,0.027777777777777776,"('rightbe', 'prepared')",1.0,0.02857142857142857,"('holiday', 'partygot', 'early')",1.0,0.029411764705882353
10,"('better',)",1,0.027777777777777776,"('better', 'control')",1.0,0.02857142857142857,"('great', 'better', 'control')",1.0,0.029411764705882353
11,"('control',)",1,0.027777777777777776,"('control', 'salt')",1.0,0.02857142857142857,"('better', 'control', 'salt')",1.0,0.029411764705882353
12,"('salt',)",1,0.027777777777777776,"('salt', 'sugars')",1.0,0.02857142857142857,"('control', 'salt', 'sugars')",1.0,0.029411764705882353
13,"('sugars',)",1,0.027777777777777776,"('sugars', 'terrible')",1.0,0.02857142857142857,"('salt', 'sugars', 'terrible')",1.0,0.029411764705882353
14,"('terrible',)",1,0.027777777777777776,"('terrible', 'dont')",1.0,0.02857142857142857,"('sugars', 'terrible', 'dont')",1.0,0.029411764705882353
15,"('dont',)",1,0.027777777777777776,"('dont', 'come')",1.0,0.02857142857142857,"('terrible', 'dont', 'come')",1.0,0.029411764705882353
16,"('come',)",1,0.027777777777777776,"('prepared', 'stay')",1.0,0.02857142857142857,"('rightbe', 'prepared', 'stay')",1.0,0.029411764705882353
17,"('prepared',)",1,0.027777777777777776,"('get', 'rightbe')",1.0,0.02857142857142857,"('get', 'rightbe', 'prepared')",1.0,0.029411764705882353
18,"('rightbe',)",1,0.027777777777777776,"('holiday', 'partygot')",1.0,0.02857142857142857,"('cant', 'get', 'rightbe')",1.0,0.029411764705882353
19,"('get',)",1,0.027777777777777776,"('plummeted', 'drastically')",1.0,0.02857142857142857,"('steak', 'cant', 'get')",1.0,0.029411764705882353
20,"('plummeted',)",1,0.027777777777777776,"('partygot', 'early')",1.0,0.02857142857142857,"('order', 'steak', 'cant')",1.0,0.029411764705882353
21,"('partygot',)",1,0.027777777777777776,"('early', 'beverage')",1.0,0.02857142857142857,"('never', 'order', 'steak')",1.0,0.029411764705882353
22,"('early',)",1,0.027777777777777776,"('beverage', 'overpriced')",1.0,0.02857142857142857,"('months', 'never', 'order')",1.0,0.029411764705882353
23,"('beverage',)",1,0.027777777777777776,"('overpriced', 'terribly')",1.0,0.02857142857142857,"('12', 'months', 'never')",1.0,0.029411764705882353
24,"('overpriced',)",1,0.027777777777777776,"('terribly', 'quality')",1.0,0.02857142857142857,"('last', '12', 'months')",1.0,0.029411764705882353
25,"('terribly',)",1,0.027777777777777776,"('quality', 'plummeted')",1.0,0.02857142857142857,"('drastically', 'last', '12')",1.0,0.029411764705882353
26,"('quality',)",1,0.027777777777777776,"('drastically', 'last')",1.0,0.02857142857142857,"('plummeted', 'drastically', 'last')",1.0,0.029411764705882353
27,"('drastically',)",1,0.027777777777777776,"('cant', 'get')",1.0,0.02857142857142857,"('quality', 'plummeted', 'drastically')",1.0,0.029411764705882353
28,"('cant',)",1,0.027777777777777776,"('last', '12')",1.0,0.02857142857142857,"('terribly', 'quality', 'plummeted')",1.0,0.029411764705882353
29,"('last',)",1,0.027777777777777776,"('12', 'months')",1.0,0.02857142857142857,"('overpriced', 'terribly', 'quality')",1.0,0.029411764705882353
30,"('12',)",1,0.027777777777777776,"('months', 'never')",1.0,0.02857142857142857,"('beverage', 'overpriced', 'terribly')",1.0,0.029411764705882353
31,"('months',)",1,0.027777777777777776,"('never', 'order')",1.0,0.02857142857142857,"('early', 'beverage', 'overpriced')",1.0,0.029411764705882353
32,"('never',)",1,0.027777777777777776,"('order', 'steak')",1.0,0.02857142857142857,"('partygot', 'early', 'beverage')",1.0,0.029411764705882353
33,"('order',)",1,0.027777777777777776,"('steak', 'cant')",1.0,0.02857142857142857,"('dont', 'come', 'unless')",1.0,0.029411764705882353
34,"('steak',)",1,0.027777777777777776,"('come', 'unless')",1.0,0.02857142857142857,,,
35,"('unless',)",1,0.027777777777777776,,,,,,
