,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",3.0,0.04,"('pan', 'seared')",1,0.013513513513513514,"('pan', 'seared', 'sea')",1.0,0.0136986301369863
1,"('bar',)",2.0,0.02666666666666667,"('fun', 'cant')",1,0.013513513513513514,"('delightful', 'wine', 'super')",1.0,0.0136986301369863
2,"('rick',)",2.0,0.02666666666666667,"('experience', 'much')",1,0.013513513513513514,"('experience', 'much', 'fun')",1.0,0.0136986301369863
3,"('bartender',)",2.0,0.02666666666666667,"('made', 'experience')",1,0.013513513513513514,"('made', 'experience', 'much')",1.0,0.0136986301369863
4,"('time',)",2.0,0.02666666666666667,"('savannah', 'made')",1,0.013513513513513514,"('savannah', 'made', 'experience')",1.0,0.0136986301369863
5,"('equally',)",1.0,0.013333333333333334,"('manager', 'savannah')",1,0.013513513513513514,"('manager', 'savannah', 'made')",1.0,0.0136986301369863
6,"('delicious',)",1.0,0.013333333333333334,"('rick', 'manager')",1,0.013513513513513514,"('rick', 'manager', 'savannah')",1.0,0.0136986301369863
7,"('top',)",1.0,0.013333333333333334,"('bartender', 'rick')",1,0.013513513513513514,"('bartender', 'rick', 'manager')",1.0,0.0136986301369863
8,"('manager',)",1.0,0.013333333333333334,"('top', 'bartender')",1,0.013513513513513514,"('top', 'bartender', 'rick')",1.0,0.0136986301369863
9,"('cant',)",1.0,0.013333333333333334,"('delicious', 'top')",1,0.013513513513513514,"('delicious', 'top', 'bartender')",1.0,0.0136986301369863
10,"('made',)",1.0,0.013333333333333334,"('equally', 'delicious')",1,0.013513513513513514,"('equally', 'delicious', 'top')",1.0,0.0136986301369863
11,"('experience',)",1.0,0.013333333333333334,"('side', 'equally')",1,0.013513513513513514,"('side', 'equally', 'delicious')",1.0,0.0136986301369863
12,"('much',)",1.0,0.013333333333333334,"('browns', 'side')",1,0.013513513513513514,"('browns', 'side', 'equally')",1.0,0.0136986301369863
13,"('side',)",1.0,0.013333333333333334,"('hash', 'browns')",1,0.013513513513513514,"('hash', 'browns', 'side')",1.0,0.0136986301369863
14,"('fun',)",1.0,0.013333333333333334,"('salad', 'hash')",1,0.013513513513513514,"('salad', 'hash', 'browns')",1.0,0.0136986301369863
15,"('browns',)",1.0,0.013333333333333334,"('chopped', 'salad')",1,0.013513513513513514,"('chopped', 'salad', 'hash')",1.0,0.0136986301369863
16,"('hash',)",1.0,0.013333333333333334,"('super', 'chopped')",1,0.013513513513513514,"('super', 'chopped', 'salad')",1.0,0.0136986301369863
17,"('savannah',)",1.0,0.013333333333333334,"('much', 'fun')",1,0.013513513513513514,"('much', 'fun', 'cant')",1.0,0.0136986301369863
18,"('pan',)",1.0,0.013333333333333334,"('cant', 'wait')",1,0.013513513513513514,"('fun', 'cant', 'wait')",1.0,0.0136986301369863
19,"('chopped',)",1.0,0.013333333333333334,"('seared', 'sea')",1,0.013513513513513514,"('cant', 'wait', 'come')",1.0,0.0136986301369863
20,"('wait',)",1.0,0.013333333333333334,"('wait', 'come')",1,0.013513513513513514,"('service', 'overpriced', 'omg')",1.0,0.0136986301369863
21,"('highly',)",1.0,0.013333333333333334,"('fabulous', 'highly')",1,0.013513513513513514,"('sides', 'fabulous', 'highly')",1.0,0.0136986301369863
22,"('fabulous',)",1.0,0.013333333333333334,"('sides', 'fabulous')",1,0.013513513513513514,"('steaks', 'sides', 'fabulous')",1.0,0.0136986301369863
23,"('sides',)",1.0,0.013333333333333334,"('steaks', 'sides')",1,0.013513513513513514,"('outstanding', 'steaks', 'sides')",1.0,0.0136986301369863
24,"('steaks',)",1.0,0.013333333333333334,"('outstanding', 'steaks')",1,0.013513513513513514,"('amazing', 'outstanding', 'steaks')",1.0,0.0136986301369863
25,"('outstanding',)",1.0,0.013333333333333334,"('amazing', 'outstanding')",1,0.013513513513513514,"('omg', 'amazing', 'outstanding')",1.0,0.0136986301369863
26,"('amazing',)",1.0,0.013333333333333334,"('omg', 'amazing')",1,0.013513513513513514,"('overpriced', 'omg', 'amazing')",1.0,0.0136986301369863
27,"('omg',)",1.0,0.013333333333333334,"('overpriced', 'omg')",1,0.013513513513513514,"('poor', 'service', 'overpriced')",1.0,0.0136986301369863
28,"('overpriced',)",1.0,0.013333333333333334,"('service', 'overpriced')",1,0.013513513513513514,"('wait', 'come', 'back')",1.0,0.0136986301369863
29,"('service',)",1.0,0.013333333333333334,"('poor', 'service')",1,0.013513513513513514,"('hotel', 'poor', 'service')",1.0,0.0136986301369863
30,"('poor',)",1.0,0.013333333333333334,"('hotel', 'poor')",1,0.013513513513513514,"('comfortable', 'hotel', 'poor')",1.0,0.0136986301369863
31,"('hotel',)",1.0,0.013333333333333334,"('comfortable', 'hotel')",1,0.013513513513513514,"('spot', 'comfortable', 'hotel')",1.0,0.0136986301369863
32,"('comfortable',)",1.0,0.013333333333333334,"('spot', 'comfortable')",1,0.013513513513513514,"('great', 'spot', 'comfortable')",1.0,0.0136986301369863
33,"('spot',)",1.0,0.013333333333333334,"('great', 'spot')",1,0.013513513513513514,"('back', 'great', 'spot')",1.0,0.0136986301369863
34,"('back',)",1.0,0.013333333333333334,"('back', 'great')",1,0.013513513513513514,"('come', 'back', 'great')",1.0,0.0136986301369863
35,"('come',)",1.0,0.013333333333333334,"('come', 'back')",1,0.013513513513513514,"('wine', 'super', 'chopped')",1.0,0.0136986301369863
36,"('salad',)",1.0,0.013333333333333334,"('wine', 'super')",1,0.013513513513513514,"('absolutely', 'delightful', 'wine')",1.0,0.0136986301369863
37,"('delightful',)",1.0,0.013333333333333334,"('delightful', 'wine')",1,0.013513513513513514,"('seared', 'sea', 'bass')",1.0,0.0136986301369863
38,"('super',)",1.0,0.013333333333333334,"('absolutely', 'delightful')",1,0.013513513513513514,"('filet', 'absolutely', 'delightful')",1.0,0.0136986301369863
39,"('seated',)",1.0,0.013333333333333334,"('filet', 'absolutely')",1,0.013513513513513514,"('jennifer', 'sit', 'bar')",1.0,0.0136986301369863
40,"('sea',)",1.0,0.013333333333333334,"('jennifer', 'sit')",1,0.013513513513513514,"('seated', 'jennifer', 'sit')",1.0,0.0136986301369863
41,"('bass',)",1.0,0.013333333333333334,"('seated', 'jennifer')",1,0.013513513513513514,"('ask', 'seated', 'jennifer')",1.0,0.0136986301369863
42,"('flaky',)",1.0,0.013333333333333334,"('ask', 'seated')",1,0.013513513513513514,"('regret', 'ask', 'seated')",1.0,0.0136986301369863
43,"('tasty',)",1.0,0.013333333333333334,"('regret', 'ask')",1,0.013513513513513514,"('wont', 'regret', 'ask')",1.0,0.0136986301369863
44,"('make',)",1.0,0.013333333333333334,"('wont', 'regret')",1,0.013513513513513514,"('u', 'wont', 'regret')",1.0,0.0136986301369863
45,"('reservation',)",1.0,0.013333333333333334,"('u', 'wont')",1,0.013513513513513514,"('turf', 'u', 'wont')",1.0,0.0136986301369863
46,"('order',)",1.0,0.013333333333333334,"('turf', 'u')",1,0.013513513513513514,"('surf', 'turf', 'u')",1.0,0.0136986301369863
47,"('surf',)",1.0,0.013333333333333334,"('surf', 'turf')",1,0.013513513513513514,"('order', 'surf', 'turf')",1.0,0.0136986301369863
48,"('turf',)",1.0,0.013333333333333334,"('order', 'surf')",1,0.013513513513513514,"('reservation', 'order', 'surf')",1.0,0.0136986301369863
49,"('u',)",1.0,0.013333333333333334,"('reservation', 'order')",1,0.013513513513513514,"('make', 'reservation', 'order')",1.0,0.0136986301369863
50,"('wont',)",1.0,0.013333333333333334,"('make', 'reservation')",1,0.013513513513513514,"('tasty', 'make', 'reservation')",1.0,0.0136986301369863
51,"('regret',)",1.0,0.013333333333333334,"('tasty', 'make')",1,0.013513513513513514,"('flaky', 'tasty', 'make')",1.0,0.0136986301369863
52,"('ask',)",1.0,0.013333333333333334,"('flaky', 'tasty')",1,0.013513513513513514,"('bass', 'flaky', 'tasty')",1.0,0.0136986301369863
53,"('jennifer',)",1.0,0.013333333333333334,"('bass', 'flaky')",1,0.013513513513513514,"('sea', 'bass', 'flaky')",1.0,0.0136986301369863
54,"('wine',)",1.0,0.013333333333333334,"('sea', 'bass')",1,0.013513513513513514,"('sit', 'bar', 'enjoy')",1.0,0.0136986301369863
55,"('sit',)",1.0,0.013333333333333334,"('sit', 'bar')",1,0.013513513513513514,"('bar', 'enjoy', 'time')",1.0,0.0136986301369863
56,"('enjoy',)",1.0,0.013333333333333334,"('bar', 'enjoy')",1,0.013513513513513514,"('enjoy', 'time', 'rick')",1.0,0.0136986301369863
57,"('makes',)",1.0,0.013333333333333334,"('enjoy', 'time')",1,0.013513513513513514,"('story', 'tremendous', 'time')",1.0,0.0136986301369863
58,"('cocktails',)",1.0,0.013333333333333334,"('story', 'tremendous')",1,0.013513513513513514,"('views', 'filet', 'absolutely')",1.0,0.0136986301369863
59,"('always',)",1.0,0.013333333333333334,"('views', 'filet')",1,0.013513513513513514,"('great', 'views', 'filet')",1.0,0.0136986301369863
60,"('funny',)",1.0,0.013333333333333334,"('great', 'views')",1,0.013513513513513514,"('bar', 'great', 'views')",1.0,0.0136986301369863
61,"('story',)",1.0,0.013333333333333334,"('bar', 'great')",1,0.013513513513513514,"('ate', 'bar', 'great')",1.0,0.0136986301369863
62,"('tremendous',)",1.0,0.013333333333333334,"('ate', 'bar')",1,0.013513513513513514,"('time', 'ate', 'bar')",1.0,0.0136986301369863
63,"('ate',)",1.0,0.013333333333333334,"('time', 'ate')",1,0.013513513513513514,"('tremendous', 'time', 'ate')",1.0,0.0136986301369863
64,"('views',)",1.0,0.013333333333333334,"('tremendous', 'time')",1,0.013513513513513514,"('funny', 'story', 'tremendous')",1.0,0.0136986301369863
65,"('filet',)",1.0,0.013333333333333334,"('funny', 'story')",1,0.013513513513513514,"('time', 'rick', 'bartender')",1.0,0.0136986301369863
66,"('absolutely',)",1.0,0.013333333333333334,"('time', 'rick')",1,0.013513513513513514,"('always', 'funny', 'story')",1.0,0.0136986301369863
