,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('special',)",3.0,0.075,"('lunch', 'special')",2.0,0.05128205128205128,"('okay', 'nothing', 'special')",1,0.02631578947368421
1,"('lunch',)",3.0,0.075,"('soup', 'salad')",2.0,0.05128205128205128,"('list', 'soup', 'salad')",1,0.02631578947368421
2,"('u',)",2.0,0.05,"('okay', 'nothing')",1.0,0.02564102564102564,"('roll', 'new', 'lunch')",1,0.02631578947368421
3,"('salad',)",2.0,0.05,"('two', 'list')",1.0,0.02564102564102564,"('new', 'lunch', 'menu')",1,0.02631578947368421
4,"('try',)",2.0,0.05,"('roll', 'new')",1.0,0.02564102564102564,"('lunch', 'menu', 'lunch')",1,0.02631578947368421
5,"('soup',)",2.0,0.05,"('new', 'lunch')",1.0,0.02564102564102564,"('menu', 'lunch', 'special')",1,0.02631578947368421
6,"('995',)",1.0,0.025,"('lunch', 'menu')",1.0,0.02564102564102564,"('lunch', 'special', 'two')",1,0.02631578947368421
7,"('3pm',)",1.0,0.025,"('menu', 'lunch')",1.0,0.02564102564102564,"('special', 'two', 'list')",1,0.02631578947368421
8,"('move',)",1.0,0.025,"('special', 'two')",1.0,0.02564102564102564,"('two', 'list', 'soup')",1,0.02631578947368421
9,"('2',)",1.0,0.025,"('list', 'soup')",1.0,0.02564102564102564,"('soup', 'salad', '995')",1,0.02631578947368421
10,"('list',)",1.0,0.025,"('try', 'bubba')",1.0,0.02564102564102564,"('nothing', 'special', 'lunchbox')",1,0.02631578947368421
11,"('two',)",1.0,0.025,"('salad', '995')",1.0,0.02564102564102564,"('salad', '995', '3pm')",1,0.02631578947368421
12,"('menu',)",1.0,0.025,"('995', '3pm')",1.0,0.02564102564102564,"('995', '3pm', 'lunch')",1,0.02631578947368421
13,"('miso',)",1.0,0.025,"('3pm', 'lunch')",1.0,0.02564102564102564,"('3pm', 'lunch', 'special')",1,0.02631578947368421
14,"('new',)",1.0,0.025,"('special', '2')",1.0,0.02564102564102564,"('lunch', 'special', '2')",1,0.02631578947368421
15,"('roll',)",1.0,0.025,"('2', 'miso')",1.0,0.02564102564102564,"('special', '2', 'miso')",1,0.02631578947368421
16,"('bubba',)",1.0,0.025,"('miso', 'soup')",1.0,0.02564102564102564,"('2', 'miso', 'soup')",1,0.02631578947368421
17,"('okay',)",1.0,0.025,"('bubba', 'roll')",1.0,0.02564102564102564,"('miso', 'soup', 'salad')",1,0.02631578947368421
18,"('nothing',)",1.0,0.025,"('move', 'try')",1.0,0.02564102564102564,"('bubba', 'roll', 'new')",1,0.02631578947368421
19,"('grill',)",1.0,0.025,"('nothing', 'special')",1.0,0.02564102564102564,"('try', 'bubba', 'roll')",1,0.02631578947368421
20,"('way',)",1.0,0.025,"('u', 'move')",1.0,0.02564102564102564,"('move', 'try', 'bubba')",1,0.02631578947368421
21,"('island',)",1.0,0.025,"('special', 'lunchbox')",1.0,0.02564102564102564,"('u', 'move', 'try')",1,0.02631578947368421
22,"('second',)",1.0,0.025,"('lunchbox', 'shrimp')",1.0,0.02564102564102564,"('special', 'lunchbox', 'shrimp')",1,0.02631578947368421
23,"('love',)",1.0,0.025,"('shrimp', 'tempura')",1.0,0.02564102564102564,"('lunchbox', 'shrimp', 'tempura')",1,0.02631578947368421
24,"('closed',)",1.0,0.025,"('tempura', 'mood')",1.0,0.02564102564102564,"('shrimp', 'tempura', 'mood')",1,0.02631578947368421
25,"('will',)",1.0,0.025,"('mood', 'area')",1.0,0.02564102564102564,"('tempura', 'mood', 'area')",1,0.02631578947368421
26,"('area',)",1.0,0.025,"('area', 'will')",1.0,0.02564102564102564,"('mood', 'area', 'will')",1,0.02631578947368421
27,"('mood',)",1.0,0.025,"('will', 'try')",1.0,0.02564102564102564,"('area', 'will', 'try')",1,0.02631578947368421
28,"('tempura',)",1.0,0.025,"('try', 'closed')",1.0,0.02564102564102564,"('will', 'try', 'closed')",1,0.02631578947368421
29,"('shrimp',)",1.0,0.025,"('closed', 'love')",1.0,0.02564102564102564,"('try', 'closed', 'love')",1,0.02631578947368421
30,"('lunchbox',)",1.0,0.025,"('love', 'second')",1.0,0.02564102564102564,"('closed', 'love', 'second')",1,0.02631578947368421
31,"('950',)",1.0,0.025,"('second', 'island')",1.0,0.02564102564102564,"('love', 'second', 'island')",1,0.02631578947368421
32,,,,"('island', 'way')",1.0,0.02564102564102564,"('second', 'island', 'way')",1,0.02631578947368421
33,,,,"('way', 'grill')",1.0,0.02564102564102564,"('island', 'way', 'grill')",1,0.02631578947368421
34,,,,"('grill', 'u')",1.0,0.02564102564102564,"('way', 'grill', 'u')",1,0.02631578947368421
35,,,,"('u', 'u')",1.0,0.02564102564102564,"('grill', 'u', 'u')",1,0.02631578947368421
36,,,,"('salad', '950')",1.0,0.02564102564102564,"('u', 'u', 'move')",1,0.02631578947368421
37,,,,,,,"('soup', 'salad', '950')",1,0.02631578947368421
