,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",66.0,0.09415121255349501,"('great', 'service')",14.0,0.02,"('great', 'happy', 'hour')",4,0.005722460658082976
1,"('service',)",33.0,0.047075606276747506,"('service', 'great')",8.0,0.011428571428571429,"('great', 'great', 'service')",3,0.004291845493562232
2,"('roll',)",21.0,0.029957203994293864,"('happy', 'hour')",7.0,0.01,"('will', 'definitely', 'back')",2,0.002861230329041488
3,"('good',)",13.0,0.018544935805991442,"('great', 'great')",5.0,0.007142857142857143,"('nice', 'atmosphere', 'great')",2,0.002861230329041488
4,"('best',)",12.0,0.017118402282453638,"('drunken', 'fish')",4.0,0.005714285714285714,"('great', 'service', 'great')",2,0.002861230329041488
5,"('server',)",10.0,0.014265335235378032,"('great', 'atmosphere')",4.0,0.005714285714285714,"('service', 'great', 'great')",2,0.002861230329041488
6,"('happy',)",9.0,0.012838801711840228,"('great', 'happy')",4.0,0.005714285714285714,"('quick', 'service', 'great')",2,0.002861230329041488
7,"('love',)",9.0,0.012838801711840228,"('mango', 'roll')",4.0,0.005714285714285714,"('great', 'service', 'best')",2,0.002861230329041488
8,"('will',)",7.0,0.009985734664764621,"('service', 'nice')",3.0,0.004285714285714286,"('service', 'staff', 'friendly')",1,0.001430615164520744
9,"('amazing',)",7.0,0.009985734664764621,"('quick', 'service')",3.0,0.004285714285714286,"('jen', 'amazing', 'waitress')",1,0.001430615164520744
10,"('back',)",7.0,0.009985734664764621,"('will', 'back')",3.0,0.004285714285714286,"('amazing', 'waitress', 'came')",1,0.001430615164520744
11,"('always',)",7.0,0.009985734664764621,"('great', 'server')",2.0,0.002857142857142857,"('waitress', 'came', 'quick')",1,0.001430615164520744
12,"('hour',)",7.0,0.009985734664764621,"('top', 'notch')",2.0,0.002857142857142857,"('came', 'quick', 'service')",1,0.001430615164520744
13,"('awesome',)",6.0,0.008559201141226819,"('definitely', 'back')",2.0,0.002857142857142857,"('great', 'service', 'staff')",1,0.001430615164520744
14,"('lunch',)",6.0,0.008559201141226819,"('will', 'definitely')",2.0,0.002857142857142857,"('try', 'eat', 'early')",1,0.001430615164520744
15,"('atmosphere',)",6.0,0.008559201141226819,"('awesome', 'great')",2.0,0.002857142857142857,"('roll', 'die', 'jen')",1,0.001430615164520744
16,"('staff',)",5.0,0.007132667617689016,"('jamie', 'great')",2.0,0.002857142857142857,"('staff', 'friendly', 'drinks')",1,0.001430615164520744
17,"('nice',)",5.0,0.007132667617689016,"('great', 'time')",2.0,0.002857142857142857,"('friendly', 'drinks', 'top')",1,0.001430615164520744
18,"('coming',)",5.0,0.007132667617689016,"('paul', 'great')",2.0,0.002857142857142857,"('drinks', 'top', 'notch')",1,0.001430615164520744
19,"('drunken',)",5.0,0.007132667617689016,"('nice', 'atmosphere')",2.0,0.002857142857142857,"('top', 'notch', 'great')",1,0.001430615164520744
20,"('eat',)",5.0,0.007132667617689016,"('atmosphere', 'great')",2.0,0.002857142857142857,"('notch', 'great', 'quality')",1,0.001430615164520744
21,"('quick',)",5.0,0.007132667617689016,"('service', 'best')",2.0,0.002857142857142857,"('great', 'quality', 'loved')",1,0.001430615164520744
22,"('average',)",5.0,0.007132667617689016,"('tiger', 'roll')",2.0,0.002857142857142857,"('quality', 'loved', 'night')",1,0.001430615164520744
23,"('fish',)",5.0,0.007132667617689016,"('made', 'great')",2.0,0.002857142857142857,"('die', 'jen', 'amazing')",1,0.001430615164520744
24,"('friendly',)",5.0,0.007132667617689016,"('love', 'great')",2.0,0.002857142857142857,"('good', 'music', 'mango')",1,0.001430615164520744
25,"('ever',)",4.0,0.005706134094151213,"('recommend', 'great')",2.0,0.002857142857142857,"('mango', 'roll', 'die')",1,0.001430615164520744
26,"('spicy',)",4.0,0.005706134094151213,"('highly', 'recommend')",2.0,0.002857142857142857,"('music', 'mango', 'roll')",1,0.001430615164520744
27,"('jason',)",4.0,0.005706134094151213,"('staff', 'friendly')",2.0,0.002857142857142857,"('back', 'great', 'spicy')",1,0.001430615164520744
28,"('mango',)",4.0,0.005706134094151213,"('time', 'great')",2.0,0.002857142857142857,"('great', 'spicy', 'salmon')",1,0.001430615164520744
29,"('recommend',)",4.0,0.005706134094151213,"('lobster', 'spring')",2.0,0.002857142857142857,"('spicy', 'salmon', 'spicy')",1,0.001430615164520744
30,"('menu',)",4.0,0.005706134094151213,"('server', 'jason')",2.0,0.002857142857142857,"('salmon', 'spicy', 'tuna')",1,0.001430615164520744
31,"('worth',)",4.0,0.005706134094151213,"('best', 'server')",2.0,0.002857142857142857,"('spicy', 'tuna', 'big')",1,0.001430615164520744
32,"('sean',)",4.0,0.005706134094151213,"('love', 'coming')",2.0,0.002857142857142857,"('tuna', 'big', 'way')",1,0.001430615164520744
33,"('kendra',)",3.0,0.0042796005706134095,"('great', 'friendly')",2.0,0.002857142857142857,"('big', 'way', 'roll')",1,0.001430615164520744
34,"('try',)",3.0,0.0042796005706134095,"('big', 'way')",1.0,0.0014285714285714286,"('way', 'roll', 'lil')",1,0.001430615164520744
35,"('jamie',)",3.0,0.0042796005706134095,"('way', 'roll')",1.0,0.0014285714285714286,"('roll', 'lil', 'hard')",1,0.001430615164520744
36,"('time',)",3.0,0.0042796005706134095,"('roll', 'lil')",1.0,0.0014285714285714286,"('lil', 'hard', 'find')",1,0.001430615164520744
37,"('jen',)",3.0,0.0042796005706134095,"('lil', 'hard')",1.0,0.0014285714285714286,"('hard', 'find', 'worth')",1,0.001430615164520744
38,"('fast',)",3.0,0.0042796005706134095,"('average', 'best')",1.0,0.0014285714285714286,"('find', 'worth', 'effort')",1,0.001430615164520744
39,"('waitress',)",3.0,0.0042796005706134095,"('good', 'average')",1.0,0.0014285714285714286,"('worth', 'effort', 'great')",1,0.001430615164520744
40,"('drinks',)",3.0,0.0042796005706134095,"('tuna', 'big')",1.0,0.0014285714285714286,"('effort', 'great', 'service')",1,0.001430615164520744
41,"('fantastic',)",3.0,0.0042796005706134095,"('average', 'average')",1.0,0.0014285714285714286,"('great', 'service', 'delicious')",1,0.001430615164520744
42,"('waiter',)",3.0,0.0042796005706134095,"('sushinator', 'average')",1.0,0.0014285714285714286,"('service', 'delicious', 'good')",1,0.001430615164520744
43,"('bar',)",3.0,0.0042796005706134095,"('us', 'sushinator')",1.0,0.0014285714285714286,"('delicious', 'good', 'music')",1,0.001430615164520744
44,"('paul',)",3.0,0.0042796005706134095,"('hard', 'find')",1.0,0.0014285714285714286,"('loved', 'night', 'friends')",1,0.001430615164520744
45,"('delicious',)",3.0,0.0042796005706134095,"('find', 'worth')",1.0,0.0014285714285714286,"('friends', 'will', 'definitely')",1,0.001430615164520744
46,"('philly',)",3.0,0.0042796005706134095,"('care', 'us')",1.0,0.0014285714285714286,"('night', 'friends', 'will')",1,0.001430615164520744
47,"('still',)",3.0,0.0042796005706134095,"('best', 'poor')",1.0,0.0014285714285714286,"('hard', 'love', 'worst')",1,0.001430615164520744
48,"('ive',)",3.0,0.0042796005706134095,"('spicy', 'salmon')",1.0,0.0014285714285714286,"('avoid', 'closed', 'remodel')",1,0.001430615164520744
49,"('friends',)",3.0,0.0042796005706134095,"('spicy', 'tuna')",1.0,0.0014285714285714286,"('closed', 'remodel', 'effective')",1,0.001430615164520744
50,"('town',)",3.0,0.0042796005706134095,"('salmon', 'spicy')",1.0,0.0014285714285714286,"('remodel', 'effective', '91613')",1,0.001430615164520744
51,"('give',)",2.0,0.0028530670470756064,"('effort', 'great')",1.0,0.0014285714285714286,"('effective', '91613', 'amazing')",1,0.001430615164520744
52,"('lovely',)",2.0,0.0028530670470756064,"('great', 'spicy')",1.0,0.0014285714285714286,"('91613', 'amazing', 'roll')",1,0.001430615164520744
53,"('die',)",2.0,0.0028530670470756064,"('back', 'great')",1.0,0.0014285714285714286,"('amazing', 'roll', 'rice')",1,0.001430615164520744
54,"('top',)",2.0,0.0028530670470756064,"('service', 'will')",1.0,0.0014285714285714286,"('roll', 'rice', 'hard')",1,0.001430615164520744
55,"('notch',)",2.0,0.0028530670470756064,"('poor', 'service')",1.0,0.0014285714285714286,"('rice', 'hard', 'love')",1,0.001430615164520744
56,"('loved',)",2.0,0.0028530670470756064,"('friendly', 'service')",1.0,0.0014285714285714286,"('love', 'worst', 'service')",1,0.001430615164520744
57,"('definitely',)",2.0,0.0028530670470756064,"('fast', 'friendly')",1.0,0.0014285714285714286,"('poor', 'service', 'avoid')",1,0.001430615164520744
58,"('drink',)",2.0,0.0028530670470756064,"('quick', 'fast')",1.0,0.0014285714285714286,"('worst', 'service', 'ever')",1,0.001430615164520744
59,"('lobster',)",2.0,0.0028530670470756064,"('service', 'avoid')",1.0,0.0014285714285714286,"('service', 'ever', 'give')",1,0.001430615164520744
60,"('spring',)",2.0,0.0028530670470756064,"('best', 'quick')",1.0,0.0014285714285714286,"('ever', 'give', 'zero')",1,0.001430615164520744
61,"('becky',)",2.0,0.0028530670470756064,"('avoid', 'closed')",1.0,0.0014285714285714286,"('give', 'zero', 'stars')",1,0.001430615164520744
62,"('made',)",2.0,0.0028530670470756064,"('closed', 'remodel')",1.0,0.0014285714285714286,"('zero', 'stars', 'nan')",1,0.001430615164520744
63,"('come',)",2.0,0.0028530670470756064,"('worth', 'effort')",1.0,0.0014285714285714286,"('stars', 'nan', 'super')",1,0.001430615164520744
64,"('sauce',)",2.0,0.0028530670470756064,"('took', 'care')",1.0,0.0014285714285714286,"('nan', 'super', 'tasty')",1,0.001430615164520744
65,"('per',)",2.0,0.0028530670470756064,"('service', 'delicious')",1.0,0.0014285714285714286,"('super', 'tasty', 'enjoyed')",1,0.001430615164520744
