,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('lunch',)",5.0,0.07352941176470588,"('lunch', 'special')",3.0,0.04477611940298507,"('lunch', 'special', '795')",1,0.015151515151515152
1,"('dinner',)",4.0,0.058823529411764705,"('lunch', 'specials')",2.0,0.029850746268656716,"('specials', 'hibachi', 'table')",1,0.015151515151515152
2,"('special',)",3.0,0.04411764705882353,"('township', 'line')",2.0,0.029850746268656716,"('late', 'dinner', '795')",1,0.015151515151515152
3,"('specials',)",3.0,0.04411764705882353,"('road', 'late')",1.0,0.014925373134328358,"('dinner', '795', 'lunch')",1,0.015151515151515152
4,"('late',)",2.0,0.029411764705882353,"('dinner', '795')",1.0,0.014925373134328358,"('795', 'lunch', 'specials')",1,0.015151515151515152
5,"('road',)",2.0,0.029411764705882353,"('795', 'lunch')",1.0,0.014925373134328358,"('lunch', 'specials', 'monsat')",1,0.015151515151515152
6,"('795',)",2.0,0.029411764705882353,"('specials', 'monsat')",1.0,0.014925373134328358,"('specials', 'monsat', 'wide')",1,0.015151515151515152
7,"('byob',)",2.0,0.029411764705882353,"('monsat', 'wide')",1.0,0.014925373134328358,"('monsat', 'wide', 'variety')",1,0.015151515151515152
8,"('line',)",2.0,0.029411764705882353,"('wide', 'variety')",1.0,0.014925373134328358,"('wide', 'variety', 'cross')",1,0.015151515151515152
9,"('township',)",2.0,0.029411764705882353,"('variety', 'cross')",1.0,0.014925373134328358,"('variety', 'cross', 'cultural')",1,0.015151515151515152
10,"('discount',)",1.0,0.014705882352941176,"('cross', 'cultural')",1.0,0.014925373134328358,"('cross', 'cultural', 'tour')",1,0.015151515151515152
11,"('early',)",1.0,0.014705882352941176,"('cultural', 'tour')",1.0,0.014925373134328358,"('cultural', 'tour', 'late')",1,0.015151515151515152
12,"('wide',)",1.0,0.014705882352941176,"('tour', 'late')",1.0,0.014925373134328358,"('tour', 'late', 'early')",1,0.015151515151515152
13,"('variety',)",1.0,0.014705882352941176,"('late', 'early')",1.0,0.014925373134328358,"('late', 'early', 'bird')",1,0.015151515151515152
14,"('cross',)",1.0,0.014705882352941176,"('early', 'bird')",1.0,0.014925373134328358,"('early', 'bird', 'specials')",1,0.015151515151515152
15,"('cultural',)",1.0,0.014705882352941176,"('bird', 'specials')",1.0,0.014925373134328358,"('bird', 'specials', 'hibachi')",1,0.015151515151515152
16,"('tour',)",1.0,0.014705882352941176,"('specials', 'hibachi')",1.0,0.014925373134328358,"('hibachi', 'table', 'seated')",1,0.015151515151515152
17,"('bird',)",1.0,0.014705882352941176,"('hibachi', 'table')",1.0,0.014925373134328358,"('special', '795', 'dinner')",1,0.015151515151515152
