,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('party',)",2,0.06666666666666667,"('whatchu', 'doin')",1,0.034482758620689655,"('whatchu', 'doin', 'club')",1.0,0.03571428571428571
1,"('middle',)",1,0.03333333333333333,"('middle', 'night')",1,0.034482758620689655,"('doin', 'club', 'thursday')",1.0,0.03571428571428571
2,"('winning',)",1,0.03333333333333333,"('know', 'winning')",1,0.034482758620689655,"('lottery', 'know', 'winning')",1.0,0.03571428571428571
3,"('know',)",1,0.03333333333333333,"('lottery', 'know')",1,0.034482758620689655,"('hit', 'lottery', 'know')",1.0,0.03571428571428571
4,"('lottery',)",1,0.03333333333333333,"('hit', 'lottery')",1,0.034482758620689655,"('like', 'hit', 'lottery')",1.0,0.03571428571428571
5,"('hit',)",1,0.03333333333333333,"('like', 'hit')",1,0.034482758620689655,"('celebrating', 'like', 'hit')",1.0,0.03571428571428571
6,"('like',)",1,0.03333333333333333,"('celebrating', 'like')",1,0.034482758620689655,"('party', 'celebrating', 'like')",1.0,0.03571428571428571
7,"('celebrating',)",1,0.03333333333333333,"('party', 'celebrating')",1,0.034482758620689655,"('anniversary', 'party', 'celebrating')",1.0,0.03571428571428571
8,"('anniversary',)",1,0.03333333333333333,"('anniversary', 'party')",1,0.034482758620689655,"('3rd', 'anniversary', 'party')",1.0,0.03571428571428571
9,"('3rd',)",1,0.03333333333333333,"('3rd', 'anniversary')",1,0.034482758620689655,"('tani', '3rd', 'anniversary')",1.0,0.03571428571428571
10,"('tani',)",1,0.03333333333333333,"('tani', '3rd')",1,0.034482758620689655,"('day', 'tani', '3rd')",1.0,0.03571428571428571
11,"('day',)",1,0.03333333333333333,"('day', 'tani')",1,0.034482758620689655,"('started', 'day', 'tani')",1.0,0.03571428571428571
12,"('started',)",1,0.03333333333333333,"('started', 'day')",1,0.034482758620689655,"('night', 'started', 'day')",1.0,0.03571428571428571
13,"('night',)",1,0.03333333333333333,"('night', 'started')",1,0.034482758620689655,"('middle', 'night', 'started')",1.0,0.03571428571428571
14,"('whatchu',)",1,0.03333333333333333,"('party', 'middle')",1,0.034482758620689655,"('party', 'middle', 'night')",1.0,0.03571428571428571
15,"('doin',)",1,0.03333333333333333,"('doin', 'club')",1,0.034482758620689655,"('listening', 'party', 'middle')",1.0,0.03571428571428571
16,"('listening',)",1,0.03333333333333333,"('listening', 'party')",1,0.034482758620689655,"('autograf', 'listening', 'party')",1.0,0.03571428571428571
17,"('autograf',)",1,0.03333333333333333,"('autograf', 'listening')",1,0.034482758620689655,"('god', 'autograf', 'listening')",1.0,0.03571428571428571
18,"('god',)",1,0.03333333333333333,"('god', 'autograf')",1,0.034482758620689655,"('oh', 'god', 'autograf')",1.0,0.03571428571428571
19,"('oh',)",1,0.03333333333333333,"('oh', 'god')",1,0.034482758620689655,"('called', 'oh', 'god')",1.0,0.03571428571428571
20,"('called',)",1,0.03333333333333333,"('called', 'oh')",1,0.034482758620689655,"('roll', 'called', 'oh')",1.0,0.03571428571428571
21,"('roll',)",1,0.03333333333333333,"('roll', 'called')",1,0.034482758620689655,"('amazing', 'roll', 'called')",1.0,0.03571428571428571
22,"('amazing',)",1,0.03333333333333333,"('amazing', 'roll')",1,0.034482758620689655,"('loud', 'amazing', 'roll')",1.0,0.03571428571428571
23,"('loud',)",1,0.03333333333333333,"('loud', 'amazing')",1,0.034482758620689655,"('service', 'loud', 'amazing')",1.0,0.03571428571428571
24,"('service',)",1,0.03333333333333333,"('service', 'loud')",1,0.034482758620689655,"('bad', 'service', 'loud')",1.0,0.03571428571428571
25,"('bad',)",1,0.03333333333333333,"('bad', 'service')",1,0.034482758620689655,"('thursday', 'bad', 'service')",1.0,0.03571428571428571
26,"('thursday',)",1,0.03333333333333333,"('thursday', 'bad')",1,0.034482758620689655,"('club', 'thursday', 'bad')",1.0,0.03571428571428571
27,"('club',)",1,0.03333333333333333,"('club', 'thursday')",1,0.034482758620689655,"('know', 'winning', 'gatorade')",1.0,0.03571428571428571
28,"('gatorade',)",1,0.03333333333333333,"('winning', 'gatorade')",1,0.034482758620689655,,,
