,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('roll',)",7.0,0.027131782945736434,"('happy', 'hour')",4.0,0.01556420233463035,"('restaurants', 'doesnt', 'close')",1,0.00390625
1,"('service',)",6.0,0.023255813953488372,"('alaska', 'roll')",2.0,0.007782101167315175,"('doesnt', 'close', 'lunch')",1,0.00390625
2,"('get',)",5.0,0.01937984496124031,"('half', 'price')",2.0,0.007782101167315175,"('wine', 'sake', 'appetizers')",1,0.00390625
3,"('lunch',)",5.0,0.01937984496124031,"('beer', 'wine')",2.0,0.007782101167315175,"('sake', 'appetizers', '50')",1,0.00390625
4,"('great',)",5.0,0.01937984496124031,"('spicy', 'tuna')",2.0,0.007782101167315175,"('appetizers', '50', 'good')",1,0.00390625
5,"('happy',)",5.0,0.01937984496124031,"('restaurants', 'doesnt')",1.0,0.0038910505836575876,"('50', 'good', 'convenient')",1,0.00390625
6,"('good',)",4.0,0.015503875968992248,"('good', 'sign')",1.0,0.0038910505836575876,"('good', 'convenient', 'theyre')",1,0.00390625
7,"('hour',)",4.0,0.015503875968992248,"('never', 'good')",1.0,0.0038910505836575876,"('convenient', 'theyre', 'fast')",1,0.00390625
8,"('best',)",4.0,0.015503875968992248,"('empty', 'never')",1.0,0.0038910505836575876,"('theyre', 'fast', 'expensive')",1,0.00390625
9,"('friendly',)",3.0,0.011627906976744186,"('amazing', 'empty')",1.0,0.0038910505836575876,"('fast', 'expensive', 'mediocre')",1,0.00390625
10,"('half',)",3.0,0.011627906976744186,"('cucumber', 'avocado')",1.0,0.0038910505836575876,"('expensive', 'mediocre', 'salmon')",1,0.00390625
11,"('special',)",3.0,0.011627906976744186,"('avocado', 'amazing')",1.0,0.0038910505836575876,"('mediocre', 'salmon', 'cucumber')",1,0.00390625
12,"('wont',)",3.0,0.011627906976744186,"('service', 'great')",1.0,0.0038910505836575876,"('salmon', 'cucumber', 'avocado')",1,0.00390625
13,"('bit',)",3.0,0.011627906976744186,"('salmon', 'cucumber')",1.0,0.0038910505836575876,"('cucumber', 'avocado', 'amazing')",1,0.00390625
14,"('appetizers',)",3.0,0.011627906976744186,"('mediocre', 'salmon')",1.0,0.0038910505836575876,"('avocado', 'amazing', 'empty')",1,0.00390625
15,"('tuna',)",3.0,0.011627906976744186,"('expensive', 'mediocre')",1.0,0.0038910505836575876,"('amazing', 'empty', 'never')",1,0.00390625
16,"('find',)",2.0,0.007751937984496124,"('fast', 'expensive')",1.0,0.0038910505836575876,"('empty', 'never', 'good')",1,0.00390625
17,"('really',)",2.0,0.007751937984496124,"('theyre', 'fast')",1.0,0.0038910505836575876,"('never', 'good', 'sign')",1,0.00390625
18,"('price',)",2.0,0.007751937984496124,"('sign', 'service')",1.0,0.0038910505836575876,"('good', 'sign', 'service')",1,0.00390625
19,"('fast',)",2.0,0.007751937984496124,"('light', 'lunchtoo')",1.0,0.0038910505836575876,"('sign', 'service', 'great')",1,0.00390625
20,"('apps',)",2.0,0.007751937984496124,"('great', 'light')",1.0,0.0038910505836575876,"('service', 'great', 'light')",1,0.00390625
21,"('avocado',)",2.0,0.007751937984496124,"('good', 'convenient')",1.0,0.0038910505836575876,"('great', 'light', 'lunchtoo')",1,0.00390625
22,"('much',)",2.0,0.007751937984496124,"('lunchtoo', 'hot')",1.0,0.0038910505836575876,"('light', 'lunchtoo', 'hot')",1,0.00390625
23,"('beer',)",2.0,0.007751937984496124,"('hot', 'anything')",1.0,0.0038910505836575876,"('lunchtoo', 'hot', 'anything')",1,0.00390625
24,"('wine',)",2.0,0.007751937984496124,"('anything', 'else')",1.0,0.0038910505836575876,"('hot', 'anything', 'else')",1,0.00390625
25,"('never',)",2.0,0.007751937984496124,"('else', 'loved')",1.0,0.0038910505836575876,"('anything', 'else', 'loved')",1,0.00390625
26,"('groupon',)",2.0,0.007751937984496124,"('loved', 'people')",1.0,0.0038910505836575876,"('else', 'loved', 'people')",1,0.00390625
27,"('along',)",2.0,0.007751937984496124,"('people', 'service')",1.0,0.0038910505836575876,"('loved', 'people', 'service')",1,0.00390625
28,"('alaska',)",2.0,0.007751937984496124,"('service', 'delish')",1.0,0.0038910505836575876,"('people', 'service', 'delish')",1,0.00390625
29,"('spicy',)",2.0,0.007751937984496124,"('delish', 'quick')",1.0,0.0038910505836575876,"('service', 'delish', 'quick')",1,0.00390625
30,"('attentive',)",2.0,0.007751937984496124,"('quick', 'service')",1.0,0.0038910505836575876,"('delish', 'quick', 'service')",1,0.00390625
31,"('else',)",2.0,0.007751937984496124,"('service', 'friendly')",1.0,0.0038910505836575876,"('beer', 'wine', 'sake')",1,0.00390625
