,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",8.0,0.04419889502762431,"('best', 'area')",2.0,0.011111111111111112,"('music', 'got', 'sssssooooooo')",1,0.00558659217877095
1,"('best',)",6.0,0.03314917127071823,"('spicy', 'mayo')",2.0,0.011111111111111112,"('polite', 'also', 'amazing')",1,0.00558659217877095
2,"('excellent',)",4.0,0.022099447513812154,"('good', 'lunch')",2.0,0.011111111111111112,"('nice', 'timely', 'make')",1,0.00558659217877095
3,"('menu',)",4.0,0.022099447513812154,"('good', 'service')",2.0,0.011111111111111112,"('timely', 'make', 'reservation')",1,0.00558659217877095
4,"('good',)",4.0,0.022099447513812154,"('make', 'reservation')",2.0,0.011111111111111112,"('make', 'reservation', 'busy')",1,0.00558659217877095
5,"('get',)",3.0,0.016574585635359115,"('lunch', 'great')",1.0,0.005555555555555556,"('reservation', 'busy', 'reason')",1,0.00558659217877095
6,"('reservation',)",3.0,0.016574585635359115,"('lunch', 'menu')",1.0,0.005555555555555556,"('busy', 'reason', 'good')",1,0.00558659217877095
7,"('service',)",3.0,0.016574585635359115,"('service', 'nice')",1.0,0.005555555555555556,"('reason', 'good', 'lunch')",1,0.00558659217877095
8,"('lunch',)",3.0,0.016574585635359115,"('nice', 'timely')",1.0,0.005555555555555556,"('good', 'lunch', 'menu')",1,0.00558659217877095
9,"('spicy',)",3.0,0.016574585635359115,"('timely', 'make')",1.0,0.005555555555555556,"('lunch', 'menu', 'great')",1,0.00558659217877095
10,"('better',)",3.0,0.016574585635359115,"('reservation', 'busy')",1.0,0.005555555555555556,"('menu', 'great', 'best')",1,0.00558659217877095
11,"('make',)",3.0,0.016574585635359115,"('busy', 'reason')",1.0,0.005555555555555556,"('great', 'best', 'area')",1,0.00558659217877095
12,"('special',)",2.0,0.011049723756906077,"('reason', 'good')",1.0,0.005555555555555556,"('best', 'area', 'dont')",1,0.00558659217877095
13,"('everything',)",2.0,0.011049723756906077,"('menu', 'great')",1.0,0.005555555555555556,"('area', 'dont', 'miss')",1,0.00558659217877095
14,"('blue',)",2.0,0.011049723756906077,"('shrimp', 'good')",1.0,0.005555555555555556,"('dont', 'miss', 'blue')",1,0.00558659217877095
15,"('taco',)",2.0,0.011049723756906077,"('great', 'best')",1.0,0.005555555555555556,"('miss', 'blue', 'shrimp')",1,0.00558659217877095
16,"('tuna',)",2.0,0.011049723756906077,"('prepared', 'good')",1.0,0.005555555555555556,"('blue', 'shrimp', 'good')",1,0.00558659217877095
17,"('umai',)",2.0,0.011049723756906077,"('great', 'prices')",1.0,0.005555555555555556,"('shrimp', 'good', 'lunch')",1,0.00558659217877095
18,"('atmosphere',)",2.0,0.011049723756906077,"('area', 'dont')",1.0,0.005555555555555556,"('good', 'lunch', 'great')",1,0.00558659217877095
19,"('reservations',)",2.0,0.011049723756906077,"('dont', 'miss')",1.0,0.005555555555555556,"('lunch', 'great', 'prices')",1,0.00558659217877095
20,"('love',)",2.0,0.011049723756906077,"('miss', 'blue')",1.0,0.005555555555555556,"('great', 'prices', 'polite')",1,0.00558659217877095
21,"('byob',)",2.0,0.011049723756906077,"('blue', 'shrimp')",1.0,0.005555555555555556,"('service', 'nice', 'timely')",1,0.00558659217877095
22,"('chef',)",2.0,0.011049723756906077,"('music', 'got')",1.0,0.005555555555555556,"('good', 'service', 'nice')",1,0.00558659217877095
23,"('ever',)",2.0,0.011049723756906077,"('come', 'prepared')",1.0,0.005555555555555556,"('prepared', 'good', 'service')",1,0.00558659217877095
24,"('area',)",2.0,0.011049723756906077,"('polite', 'also')",1.0,0.005555555555555556,"('make', 'reservations', '24')",1,0.00558659217877095
25,"('delicious',)",2.0,0.011049723756906077,"('sure', 'come')",1.0,0.005555555555555556,"('reservation', 'sure', 'try')",1,0.00558659217877095
26,"('alaskan',)",2.0,0.011049723756906077,"('reservation', 'sure')",1.0,0.005555555555555556,"('sure', 'try', 'box')",1,0.00558659217877095
27,"('mayo',)",2.0,0.011049723756906077,"('sure', 'try')",1.0,0.005555555555555556,"('try', 'box', 'lunch')",1,0.00558659217877095
28,"('ray',)",2.0,0.011049723756906077,"('try', 'box')",1.0,0.005555555555555556,"('box', 'lunch', 'delicious')",1,0.00558659217877095
29,"('try',)",2.0,0.011049723756906077,"('box', 'lunch')",1.0,0.005555555555555556,"('lunch', 'delicious', 'exceeded')",1,0.00558659217877095
30,"('nice',)",2.0,0.011049723756906077,"('lunch', 'delicious')",1.0,0.005555555555555556,"('delicious', 'exceeded', 'expectations')",1,0.00558659217877095
31,"('sure',)",2.0,0.011049723756906077,"('delicious', 'exceeded')",1.0,0.005555555555555556,"('exceeded', 'expectations', 'make')",1,0.00558659217877095
32,"('amazing',)",2.0,0.011049723756906077,"('exceeded', 'expectations')",1.0,0.005555555555555556,"('expectations', 'make', 'reservations')",1,0.00558659217877095
33,"('come',)",1.0,0.0055248618784530384,"('expectations', 'make')",1.0,0.005555555555555556,"('reservations', '24', 'hours')",1,0.00558659217877095
34,"('prepared',)",1.0,0.0055248618784530384,"('make', 'reservations')",1.0,0.005555555555555556,"('come', 'prepared', 'good')",1,0.00558659217877095
35,"('24',)",1.0,0.0055248618784530384,"('reservations', '24')",1.0,0.005555555555555556,"('24', 'hours', 'advance')",1,0.00558659217877095
36,"('check',)",1.0,0.0055248618784530384,"('24', 'hours')",1.0,0.005555555555555556,"('hours', 'advance', 'get')",1,0.00558659217877095
37,"('5',)",1.0,0.0055248618784530384,"('hours', 'advance')",1.0,0.005555555555555556,"('advance', 'get', '5')",1,0.00558659217877095
38,"('advance',)",1.0,0.0055248618784530384,"('advance', 'get')",1.0,0.005555555555555556,"('get', '5', 'check')",1,0.00558659217877095
39,"('hours',)",1.0,0.0055248618784530384,"('get', '5')",1.0,0.005555555555555556,"('5', 'check', 'byob')",1,0.00558659217877095
40,"('busy',)",1.0,0.0055248618784530384,"('5', 'check')",1.0,0.005555555555555556,"('check', 'byob', 'sure')",1,0.00558659217877095
41,"('expectations',)",1.0,0.0055248618784530384,"('check', 'byob')",1.0,0.005555555555555556,"('byob', 'sure', 'come')",1,0.00558659217877095
42,"('exceeded',)",1.0,0.0055248618784530384,"('byob', 'sure')",1.0,0.005555555555555556,"('sure', 'come', 'prepared')",1,0.00558659217877095
43,"('box',)",1.0,0.0055248618784530384,"('prices', 'polite')",1.0,0.005555555555555556,"('prices', 'polite', 'also')",1,0.00558659217877095
44,"('timely',)",1.0,0.0055248618784530384,"('also', 'amazing')",1.0,0.005555555555555556,"('also', 'amazing', 'japanese')",1,0.00558659217877095
45,"('music',)",1.0,0.0055248618784530384,"('love', 'everything')",1.0,0.005555555555555556,"('everything', 'make', 'reservation')",1,0.00558659217877095
46,"('reason',)",1.0,0.0055248618784530384,"('always', 'great')",1.0,0.005555555555555556,"('amazing', 'japanese', 'cuisine')",1,0.00558659217877095
47,"('ownerchef',)",1.0,0.0055248618784530384,"('service', 'best')",1.0,0.005555555555555556,"('great', 'excellent', 'service')",1,0.00558659217877095
48,"('staff',)",1.0,0.0055248618784530384,"('best', 'tuna')",1.0,0.005555555555555556,"('excellent', 'service', 'best')",1,0.00558659217877095
49,"('tasting',)",1.0,0.0055248618784530384,"('tuna', 'ever')",1.0,0.005555555555555556,"('service', 'best', 'tuna')",1,0.00558659217877095
50,"('pricy',)",1.0,0.0055248618784530384,"('ever', 'best')",1.0,0.005555555555555556,"('best', 'tuna', 'ever')",1,0.00558659217877095
51,"('time',)",1.0,0.0055248618784530384,"('best', 'money')",1.0,0.005555555555555556,"('tuna', 'ever', 'best')",1,0.00558659217877095
52,"('always',)",1.0,0.0055248618784530384,"('money', 'three')",1.0,0.005555555555555556,"('ever', 'best', 'money')",1,0.00558659217877095
53,"('states',)",1.0,0.0055248618784530384,"('three', 'states')",1.0,0.005555555555555556,"('best', 'money', 'three')",1,0.00558659217877095
54,"('three',)",1.0,0.0055248618784530384,"('states', 'always')",1.0,0.005555555555555556,"('money', 'three', 'states')",1,0.00558659217877095
55,"('money',)",1.0,0.0055248618784530384,"('great', 'great')",1.0,0.005555555555555556,"('three', 'states', 'always')",1,0.00558659217877095
56,"('awesome',)",1.0,0.0055248618784530384,"('great', 'excellent')",1.0,0.005555555555555556,"('states', 'always', 'great')",1,0.00558659217877095
57,"('dinner',)",1.0,0.0055248618784530384,"('great', 'atmosphere')",1.0,0.005555555555555556,"('always', 'great', 'great')",1,0.00558659217877095
58,"('friendly',)",1.0,0.0055248618784530384,"('atmosphere', 'great')",1.0,0.005555555555555556,"('great', 'great', 'atmosphere')",1,0.00558659217877095
59,"('wonderful',)",1.0,0.0055248618784530384,"('great', 'time')",1.0,0.005555555555555556,"('great', 'atmosphere', 'great')",1,0.00558659217877095
60,"('dont',)",1.0,0.0055248618784530384,"('time', 'pricy')",1.0,0.005555555555555556,"('atmosphere', 'great', 'time')",1,0.00558659217877095
61,"('pleasant',)",1.0,0.0055248618784530384,"('pricy', 'great')",1.0,0.005555555555555556,"('great', 'time', 'pricy')",1,0.00558659217877095
62,"('enjoy',)",1.0,0.0055248618784530384,"('great', 'tasting')",1.0,0.005555555555555556,"('time', 'pricy', 'great')",1,0.00558659217877095
63,"('appetizer',)",1.0,0.0055248618784530384,"('tasting', 'staff')",1.0,0.005555555555555556,"('pricy', 'great', 'tasting')",1,0.00558659217877095
64,"('anything',)",1.0,0.0055248618784530384,"('staff', 'ran')",1.0,0.005555555555555556,"('great', 'tasting', 'staff')",1,0.00558659217877095
65,"('cuisine',)",1.0,0.0055248618784530384,"('excellent', 'service')",1.0,0.005555555555555556,"('tasting', 'staff', 'ran')",1,0.00558659217877095
66,"('japanese',)",1.0,0.0055248618784530384,"('ever', 'great')",1.0,0.005555555555555556,"('ever', 'great', 'excellent')",1,0.00558659217877095
67,"('morei',)",1.0,0.0055248618784530384,"('amazing', 'japanese')",1.0,0.005555555555555556,"('best', 'ever', 'great')",1,0.00558659217877095
68,"('polite',)",1.0,0.0055248618784530384,"('service', 'wonderful')",1.0,0.005555555555555556,"('awesome', 'best', 'ever')",1,0.00558659217877095
69,"('prices',)",1.0,0.0055248618784530384,"('japanese', 'cuisine')",1.0,0.005555555555555556,"('good', 'service', 'wonderful')",1,0.00558659217877095
70,"('shrimp',)",1.0,0.0055248618784530384,"('cuisine', 'try')",1.0,0.005555555555555556,"('japanese', 'cuisine', 'try')",1,0.00558659217877095
71,"('miss',)",1.0,0.0055248618784530384,"('try', 'anything')",1.0,0.005555555555555556,"('cuisine', 'try', 'anything')",1,0.00558659217877095
72,"('also',)",1.0,0.0055248618784530384,"('anything', 'appetizer')",1.0,0.005555555555555556,"('try', 'anything', 'appetizer')",1,0.00558659217877095
73,"('must',)",1.0,0.0055248618784530384,"('appetizer', 'menu')",1.0,0.005555555555555556,"('anything', 'appetizer', 'menu')",1,0.00558659217877095
74,"('say',)",1.0,0.0055248618784530384,"('menu', 'enjoy')",1.0,0.005555555555555556,"('appetizer', 'menu', 'enjoy')",1,0.00558659217877095
75,"('k',)",1.0,0.0055248618784530384,"('enjoy', 'pleasant')",1.0,0.005555555555555556,"('menu', 'enjoy', 'pleasant')",1,0.00558659217877095
76,"('fresh',)",1.0,0.0055248618784530384,"('pleasant', 'good')",1.0,0.005555555555555556,"('enjoy', 'pleasant', 'good')",1,0.00558659217877095
77,"('extra',)",1.0,0.0055248618784530384,"('wonderful', 'ownerchef')",1.0,0.005555555555555556,"('pleasant', 'good', 'service')",1,0.00558659217877095
78,"('helpful',)",1.0,0.0055248618784530384,"('best', 'ever')",1.0,0.005555555555555556,"('service', 'wonderful', 'ownerchef')",1,0.00558659217877095
79,"('paul',)",1.0,0.0055248618784530384,"('ownerchef', 'friendly')",1.0,0.005555555555555556,"('excellent', 'awesome', 'best')",1,0.00558659217877095
80,"('fin',)",1.0,0.0055248618784530384,"('friendly', 'atmosphere')",1.0,0.005555555555555556,"('wonderful', 'ownerchef', 'friendly')",1,0.00558659217877095
81,"('country',)",1.0,0.0055248618784530384,"('atmosphere', 'delicious')",1.0,0.005555555555555556,"('ownerchef', 'friendly', 'atmosphere')",1,0.00558659217877095
82,"('restaurant',)",1.0,0.0055248618784530384,"('delicious', 'dinner')",1.0,0.005555555555555556,"('friendly', 'atmosphere', 'delicious')",1,0.00558659217877095
83,"('favorite',)",1.0,0.0055248618784530384,"('dinner', 'best')",1.0,0.005555555555555556,"('atmosphere', 'delicious', 'dinner')",1,0.00558659217877095
84,"('far',)",1.0,0.0055248618784530384,"('area', 'excellent')",1.0,0.005555555555555556,"('delicious', 'dinner', 'best')",1,0.00558659217877095
85,"('still',)",1.0,0.0055248618784530384,"('excellent', 'awesome')",1.0,0.005555555555555556,"('dinner', 'best', 'area')",1,0.00558659217877095
86,"('yummy',)",1.0,0.0055248618784530384,"('awesome', 'best')",1.0,0.005555555555555556,"('best', 'area', 'excellent')",1,0.00558659217877095
87,"('advice',)",1.0,0.0055248618784530384,"('everything', 'make')",1.0,0.005555555555555556,"('area', 'excellent', 'awesome')",1,0.00558659217877095
88,"('tae',)",1.0,0.0055248618784530384,"('ray', 'love')",1.0,0.005555555555555556,"('make', 'reservation', 'sure')",1,0.00558659217877095
89,"('em',)",1.0,0.0055248618784530384,"('got', 'sssssooooooo')",1.0,0.005555555555555556,"('love', 'everything', 'make')",1,0.00558659217877095
90,"('spider',)",1.0,0.0055248618784530384,"('restaurant', 'country')",1.0,0.005555555555555556,"('got', 'sssssooooooo', 'much')",1,0.00558659217877095
91,"('big',)",1.0,0.0055248618784530384,"('yummy', 'get')",1.0,0.005555555555555556,"('fresh', 'open', 'advice')",1,0.00558659217877095
