,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",4.0,0.08333333333333333,"('fountains', 'plaza')",1,0.02127659574468085,"('fountains', 'plaza', 'close')",1.0,0.021739130434782608
1,"('fresh',)",3.0,0.0625,"('shrimp', 'tempura')",1,0.02127659574468085,"('especially', 'shrimp', 'tempura')",1.0,0.021739130434782608
2,"('super',)",2.0,0.041666666666666664,"('service', 'high')",1,0.02127659574468085,"('pleasant', 'service', 'high')",1.0,0.021739130434782608
3,"('excellent',)",2.0,0.041666666666666664,"('high', 'quality')",1,0.02127659574468085,"('service', 'high', 'quality')",1.0,0.021739130434782608
4,"('good',)",2.0,0.041666666666666664,"('quality', 'impressed')",1,0.02127659574468085,"('high', 'quality', 'impressed')",1.0,0.021739130434782608
5,"('pleasant',)",1.0,0.020833333333333332,"('impressed', 'will')",1,0.02127659574468085,"('quality', 'impressed', 'will')",1.0,0.021739130434782608
6,"('service',)",1.0,0.020833333333333332,"('will', 'back')",1,0.02127659574468085,"('impressed', 'will', 'back')",1.0,0.021739130434782608
7,"('high',)",1.0,0.020833333333333332,"('back', 'really')",1,0.02127659574468085,"('will', 'back', 'really')",1.0,0.021739130434782608
8,"('quality',)",1.0,0.020833333333333332,"('really', 'great')",1,0.02127659574468085,"('back', 'really', 'great')",1.0,0.021739130434782608
9,"('impressed',)",1.0,0.020833333333333332,"('great', 'especially')",1,0.02127659574468085,"('really', 'great', 'especially')",1.0,0.021739130434782608
10,"('will',)",1.0,0.020833333333333332,"('especially', 'shrimp')",1,0.02127659574468085,"('great', 'especially', 'shrimp')",1.0,0.021739130434782608
11,"('back',)",1.0,0.020833333333333332,"('tempura', 'fresh')",1,0.02127659574468085,"('shrimp', 'tempura', 'fresh')",1.0,0.021739130434782608
12,"('really',)",1.0,0.020833333333333332,"('amazing', 'pleasant')",1,0.02127659574468085,"('plaza', 'close', 'house')",1.0,0.021739130434782608
13,"('staff',)",1.0,0.020833333333333332,"('fresh', 'good')",1,0.02127659574468085,"('tempura', 'fresh', 'good')",1.0,0.021739130434782608
14,"('especially',)",1.0,0.020833333333333332,"('good', 'sashimi')",1,0.02127659574468085,"('fresh', 'good', 'sashimi')",1.0,0.021739130434782608
15,"('shrimp',)",1.0,0.020833333333333332,"('sashimi', 'great')",1,0.02127659574468085,"('good', 'sashimi', 'great')",1.0,0.021739130434782608
16,"('tempura',)",1.0,0.020833333333333332,"('great', 'habachi')",1,0.02127659574468085,"('sashimi', 'great', 'habachi')",1.0,0.021739130434782608
17,"('sashimi',)",1.0,0.020833333333333332,"('habachi', 'super')",1,0.02127659574468085,"('great', 'habachi', 'super')",1.0,0.021739130434782608
18,"('habachi',)",1.0,0.020833333333333332,"('super', 'fresh')",1,0.02127659574468085,"('habachi', 'super', 'fresh')",1.0,0.021739130434782608
19,"('taste',)",1.0,0.020833333333333332,"('fresh', 'great')",1,0.02127659574468085,"('super', 'fresh', 'great')",1.0,0.021739130434782608
20,"('always',)",1.0,0.020833333333333332,"('great', 'taste')",1,0.02127659574468085,"('fresh', 'great', 'taste')",1.0,0.021739130434782608
21,"('amazing',)",1.0,0.020833333333333332,"('taste', 'always')",1,0.02127659574468085,"('great', 'taste', 'always')",1.0,0.021739130434782608
22,"('fountains',)",1.0,0.020833333333333332,"('pleasant', 'service')",1,0.02127659574468085,"('amazing', 'pleasant', 'service')",1.0,0.021739130434782608
23,"('friendly',)",1.0,0.020833333333333332,"('staff', 'amazing')",1,0.02127659574468085,"('staff', 'amazing', 'pleasant')",1.0,0.021739130434782608
