,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('roll',)",4.0,0.046511627906976744,"('french', 'quarter')",2,0.023529411764705882,"('order', 'ph', 'make')",1,0.011904761904761904
1,"('friendly',)",3.0,0.03488372093023256,"('order', 'ph')",1,0.011764705882352941,"('sit', 'bar', 'nan')",1,0.011904761904761904
2,"('service',)",2.0,0.023255813953488372,"('sit', 'bar')",1,0.011764705882352941,"('best', 'sushiasian', 'french')",1,0.011904761904761904
3,"('french',)",2.0,0.023255813953488372,"('best', 'sushiasian')",1,0.011764705882352941,"('absolute', 'best', 'sushiasian')",1,0.011904761904761904
4,"('good',)",2.0,0.023255813953488372,"('absolute', 'best')",1,0.011764705882352941,"('roll', 'absolute', 'best')",1,0.011904761904761904
5,"('dome',)",2.0,0.023255813953488372,"('roll', 'absolute')",1,0.011764705882352941,"('hurricane', 'roll', 'absolute')",1,0.011904761904761904
6,"('amazing',)",2.0,0.023255813953488372,"('hurricane', 'roll')",1,0.011764705882352941,"('jay', 'hurricane', 'roll')",1,0.011904761904761904
7,"('love',)",2.0,0.023255813953488372,"('jay', 'hurricane')",1,0.011764705882352941,"('ask', 'jay', 'hurricane')",1,0.011904761904761904
8,"('quarter',)",2.0,0.023255813953488372,"('ask', 'jay')",1,0.011764705882352941,"('nan', 'ask', 'jay')",1,0.011904761904761904
9,"('ph',)",2.0,0.023255813953488372,"('nan', 'ask')",1,0.011764705882352941,"('bar', 'nan', 'ask')",1,0.011904761904761904
10,"('ask',)",2.0,0.023255813953488372,"('bar', 'nan')",1,0.011764705882352941,"('pleasant', 'sit', 'bar')",1,0.011904761904761904
11,"('pleasant',)",1.0,0.011627906976744186,"('pleasant', 'sit')",1,0.011764705882352941,"('ph', 'make', 'sure')",1,0.011904761904761904
12,"('sit',)",1.0,0.011627906976744186,"('bs', 'get')",1,0.011764705882352941,"('english', 'pleasant', 'sit')",1,0.011904761904761904
13,"('sushiasian',)",1.0,0.011627906976744186,"('english', 'pleasant')",1,0.011764705882352941,"('speaks', 'english', 'pleasant')",1,0.011904761904761904
14,"('bar',)",1.0,0.011627906976744186,"('speaks', 'english')",1,0.011764705882352941,"('friendly', 'speaks', 'english')",1,0.011904761904761904
15,"('english',)",1.0,0.011627906976744186,"('friendly', 'speaks')",1,0.011764705882352941,"('chef', 'friendly', 'speaks')",1,0.011904761904761904
16,"('speaks',)",1.0,0.011627906976744186,"('chef', 'friendly')",1,0.011764705882352941,"('loveeeee', 'chef', 'friendly')",1,0.011904761904761904
17,"('chef',)",1.0,0.011627906976744186,"('loveeeee', 'chef')",1,0.011764705882352941,"('sweeeetttt', 'loveeeee', 'chef')",1,0.011904761904761904
18,"('nan',)",1.0,0.011627906976744186,"('sweeeetttt', 'loveeeee')",1,0.011764705882352941,"('dome', 'sweeeetttt', 'loveeeee')",1,0.011904761904761904
19,"('jay',)",1.0,0.011627906976744186,"('dome', 'sweeeetttt')",1,0.011764705882352941,"('get', 'dome', 'sweeeetttt')",1,0.011904761904761904
20,"('hurricane',)",1.0,0.011627906976744186,"('sushiasian', 'french')",1,0.011764705882352941,"('sushiasian', 'french', 'quarter')",1,0.011904761904761904
