,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",3.0,0.04838709677419355,"('delicious', 'outside')",1,0.01639344262295082,"('delicious', 'outside', 'looks')",1.0,0.016666666666666666
1,"('delicious',)",2.0,0.03225806451612903,"('pretty', 'good')",1,0.01639344262295082,"('outside', 'looks', 'little')",1.0,0.016666666666666666
2,"('service',)",2.0,0.03225806451612903,"('service', 'like')",1,0.01639344262295082,"('good', 'service', 'like')",1.0,0.016666666666666666
3,"('awesome',)",2.0,0.03225806451612903,"('like', 'crafty')",1,0.01639344262295082,"('service', 'like', 'crafty')",1.0,0.016666666666666666
4,"('least',)",2.0,0.03225806451612903,"('crafty', 'plates')",1,0.01639344262295082,"('like', 'crafty', 'plates')",1.0,0.016666666666666666
5,"('used',)",1.0,0.016129032258064516,"('plates', 'awesome')",1,0.01639344262295082,"('crafty', 'plates', 'awesome')",1.0,0.016666666666666666
6,"('good',)",1.0,0.016129032258064516,"('awesome', 'awesome')",1,0.01639344262295082,"('plates', 'awesome', 'awesome')",1.0,0.016666666666666666
7,"('like',)",1.0,0.016129032258064516,"('awesome', 'prices')",1,0.01639344262295082,"('awesome', 'awesome', 'prices')",1.0,0.016666666666666666
8,"('crafty',)",1.0,0.016129032258064516,"('prices', 'will')",1,0.01639344262295082,"('awesome', 'prices', 'will')",1.0,0.016666666666666666
9,"('plates',)",1.0,0.016129032258064516,"('will', 'definitely')",1,0.01639344262295082,"('prices', 'will', 'definitely')",1.0,0.016666666666666666
10,"('prices',)",1.0,0.016129032258064516,"('definitely', 'going')",1,0.01639344262295082,"('will', 'definitely', 'going')",1.0,0.016666666666666666
11,"('will',)",1.0,0.016129032258064516,"('going', 'back')",1,0.01639344262295082,"('definitely', 'going', 'back')",1.0,0.016666666666666666
12,"('definitely',)",1.0,0.016129032258064516,"('back', 'used')",1,0.01639344262295082,"('going', 'back', 'used')",1.0,0.016666666666666666
13,"('going',)",1.0,0.016129032258064516,"('used', 'least')",1,0.01639344262295082,"('back', 'used', 'least')",1.0,0.016666666666666666
14,"('back',)",1.0,0.016129032258064516,"('least', '4')",1,0.01639344262295082,"('used', 'least', '4')",1.0,0.016666666666666666
15,"('4',)",1.0,0.016129032258064516,"('4', 'stars')",1,0.01639344262295082,"('least', '4', 'stars')",1.0,0.016666666666666666
16,"('yum',)",1.0,0.016129032258064516,"('stars', 'last')",1,0.01639344262295082,"('4', 'stars', 'last')",1.0,0.016666666666666666
17,"('stars',)",1.0,0.016129032258064516,"('last', 'year')",1,0.01639344262295082,"('stars', 'last', 'year')",1.0,0.016666666666666666
18,"('last',)",1.0,0.016129032258064516,"('year', 'quality')",1,0.01639344262295082,"('last', 'year', 'quality')",1.0,0.016666666666666666
19,"('year',)",1.0,0.016129032258064516,"('quality', 'gone')",1,0.01639344262295082,"('year', 'quality', 'gone')",1.0,0.016666666666666666
20,"('quality',)",1.0,0.016129032258064516,"('gone', 'way')",1,0.01639344262295082,"('quality', 'gone', 'way')",1.0,0.016666666666666666
21,"('gone',)",1.0,0.016129032258064516,"('way', 'delicious')",1,0.01639344262295082,"('gone', 'way', 'delicious')",1.0,0.016666666666666666
22,"('way',)",1.0,0.016129032258064516,"('delicious', 'service')",1,0.01639344262295082,"('way', 'delicious', 'service')",1.0,0.016666666666666666
23,"('big',)",1.0,0.016129032258064516,"('service', 'great')",1,0.01639344262295082,"('delicious', 'service', 'great')",1.0,0.016666666666666666
24,"('servings',)",1.0,0.016129032258064516,"('great', 'big')",1,0.01639344262295082,"('service', 'great', 'big')",1.0,0.016666666666666666
25,"('ambience',)",1.0,0.016129032258064516,"('big', 'servings')",1,0.01639344262295082,"('great', 'big', 'servings')",1.0,0.016666666666666666
26,"('bit',)",1.0,0.016129032258064516,"('servings', 'ambience')",1,0.01639344262295082,"('big', 'servings', 'ambience')",1.0,0.016666666666666666
27,"('cold',)",1.0,0.016129032258064516,"('ambience', 'bit')",1,0.01639344262295082,"('servings', 'ambience', 'bit')",1.0,0.016666666666666666
28,"('pretty',)",1.0,0.016129032258064516,"('bit', 'cold')",1,0.01639344262295082,"('ambience', 'bit', 'cold')",1.0,0.016666666666666666
29,"('roll',)",1.0,0.016129032258064516,"('good', 'service')",1,0.01639344262295082,"('pretty', 'good', 'service')",1.0,0.016666666666666666
30,"('outside',)",1.0,0.016129032258064516,"('yum', 'pretty')",1,0.01639344262295082,"('yum', 'pretty', 'good')",1.0,0.016666666666666666
31,"('santana',)",1.0,0.016129032258064516,"('outside', 'looks')",1,0.01639344262295082,"('roll', 'yum', 'pretty')",1.0,0.016666666666666666
32,"('looks',)",1.0,0.016129032258064516,"('roll', 'yum')",1,0.01639344262295082,"('love', 'favorite', 'restaurant')",1.0,0.016666666666666666
33,"('little',)",1.0,0.016129032258064516,"('looks', 'little')",1,0.01639344262295082,"('looks', 'little', 'sketch')",1.0,0.016666666666666666
34,"('sketch',)",1.0,0.016129032258064516,"('little', 'sketch')",1,0.01639344262295082,"('little', 'sketch', 'fine')",1.0,0.016666666666666666
35,"('fine',)",1.0,0.016129032258064516,"('sketch', 'fine')",1,0.01639344262295082,"('sketch', 'fine', 'inside')",1.0,0.016666666666666666
36,"('inside',)",1.0,0.016129032258064516,"('fine', 'inside')",1,0.01639344262295082,"('fine', 'inside', 'great')",1.0,0.016666666666666666
37,"('can',)",1.0,0.016129032258064516,"('inside', 'great')",1,0.01639344262295082,"('inside', 'great', 'can')",1.0,0.016666666666666666
38,"('eat',)",1.0,0.016129032258064516,"('great', 'can')",1,0.01639344262295082,"('great', 'can', 'eat')",1.0,0.016666666666666666
39,"('everyday',)",1.0,0.016129032258064516,"('can', 'eat')",1,0.01639344262295082,"('can', 'eat', 'everyday')",1.0,0.016666666666666666
40,"('2195',)",1.0,0.016129032258064516,"('eat', 'everyday')",1,0.01639344262295082,"('eat', 'everyday', '2195')",1.0,0.016666666666666666
41,"('ginza',)",1.0,0.016129032258064516,"('everyday', '2195')",1,0.01639344262295082,"('everyday', '2195', 'ginza')",1.0,0.016666666666666666
42,"('girl',)",1.0,0.016129032258064516,"('2195', 'ginza')",1,0.01639344262295082,"('2195', 'ginza', 'girl')",1.0,0.016666666666666666
43,"('love',)",1.0,0.016129032258064516,"('ginza', 'girl')",1,0.01639344262295082,"('ginza', 'girl', 'love')",1.0,0.016666666666666666
44,"('favorite',)",1.0,0.016129032258064516,"('girl', 'love')",1,0.01639344262295082,"('girl', 'love', 'favorite')",1.0,0.016666666666666666
