,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('roll',)",5.0,0.0641025641025641,"('spicy', 'girl')",2.0,0.025974025974025976,"('spicy', 'girl', 'roll')",2,0.02631578947368421
1,"('chicken',)",3.0,0.038461538461538464,"('girl', 'roll')",2.0,0.025974025974025976,"('hot', 'sour', 'soup')",2,0.02631578947368421
2,"('get',)",3.0,0.038461538461538464,"('hot', 'sour')",2.0,0.025974025974025976,"('girl', 'roll', 'best')",2,0.02631578947368421
3,"('hot',)",3.0,0.038461538461538464,"('sour', 'soup')",2.0,0.025974025974025976,"('great', 'local', 'asian')",1,0.013157894736842105
4,"('sour',)",3.0,0.038461538461538464,"('roll', 'best')",2.0,0.025974025974025976,"('special', 'roll', 'wonderful')",1,0.013157894736842105
5,"('soup',)",3.0,0.038461538461538464,"('great', 'local')",1.0,0.012987012987012988,"('cheap', 'tasty', 'always')",1,0.013157894736842105
6,"('sweet',)",2.0,0.02564102564102564,"('wonderful', 'family')",1.0,0.012987012987012988,"('businesses', 'cheap', 'tasty')",1,0.013157894736842105
7,"('always',)",2.0,0.02564102564102564,"('tasty', 'always')",1.0,0.012987012987012988,"('run', 'businesses', 'cheap')",1,0.013157894736842105
8,"('good',)",2.0,0.02564102564102564,"('cheap', 'tasty')",1.0,0.012987012987012988,"('family', 'run', 'businesses')",1,0.013157894736842105
9,"('order',)",2.0,0.02564102564102564,"('businesses', 'cheap')",1.0,0.012987012987012988,"('wonderful', 'family', 'run')",1,0.013157894736842105
10,"('cheap',)",2.0,0.02564102564102564,"('run', 'businesses')",1.0,0.012987012987012988,"('roll', 'wonderful', 'family')",1,0.013157894736842105
11,"('best',)",2.0,0.02564102564102564,"('family', 'run')",1.0,0.012987012987012988,"('roll', 'best', 'special')",1,0.013157894736842105
12,"('girl',)",2.0,0.02564102564102564,"('best', 'special')",1.0,0.012987012987012988,"('best', 'special', 'roll')",1,0.013157894736842105
13,"('spicy',)",2.0,0.02564102564102564,"('roll', 'wonderful')",1.0,0.012987012987012988,"('always', 'get', 'honey')",1,0.013157894736842105
14,"('special',)",1.0,0.01282051282051282,"('special', 'roll')",1.0,0.012987012987012988,"('roll', 'spicy', 'girl')",1,0.013157894736842105
15,"('wonderful',)",1.0,0.01282051282051282,"('get', 'honey')",1.0,0.012987012987012988,"('best', 'roll', 'spicy')",1,0.013157894736842105
16,"('family',)",1.0,0.01282051282051282,"('roll', 'spicy')",1.0,0.012987012987012988,"('roll', 'best', 'roll')",1,0.013157894736842105
17,"('run',)",1.0,0.01282051282051282,"('best', 'roll')",1.0,0.012987012987012988,"('sheeeze', 'spicy', 'girl')",1,0.013157894736842105
18,"('businesses',)",1.0,0.01282051282051282,"('always', 'get')",1.0,0.012987012987012988,"('tasty', 'always', 'get')",1,0.013157894736842105
19,"('great',)",1.0,0.01282051282051282,"('chicken', 'good')",1.0,0.012987012987012988,"('get', 'honey', 'chicken')",1,0.013157894736842105
20,"('tasty',)",1.0,0.01282051282051282,"('honey', 'chicken')",1.0,0.012987012987012988,"('sour', 'soup', 'sheeeze')",1,0.013157894736842105
21,"('honey',)",1.0,0.01282051282051282,"('suck', 'good')",1.0,0.012987012987012988,"('cheap', 'suck', 'good')",1,0.013157894736842105
22,"('dish',)",1.0,0.01282051282051282,"('orders', 'always')",1.0,0.012987012987012988,"('frequently', 'orders', 'always')",1,0.013157894736842105
23,"('potato',)",1.0,0.01282051282051282,"('frequently', 'orders')",1.0,0.012987012987012988,"('order', 'frequently', 'orders')",1,0.013157894736842105
24,"('amazing',)",1.0,0.01282051282051282,"('order', 'frequently')",1.0,0.012987012987012988,"('delivery', 'order', 'frequently')",1,0.013157894736842105
25,"('suck',)",1.0,0.01282051282051282,"('delivery', 'order')",1.0,0.012987012987012988,"('fast', 'delivery', 'order')",1,0.013157894736842105
26,"('fast',)",1.0,0.01282051282051282,"('fast', 'delivery')",1.0,0.012987012987012988,"('good', 'fast', 'delivery')",1,0.013157894736842105
27,"('delivery',)",1.0,0.01282051282051282,"('good', 'fast')",1.0,0.012987012987012988,"('suck', 'good', 'fast')",1,0.013157894736842105
28,"('frequently',)",1.0,0.01282051282051282,"('cheap', 'suck')",1.0,0.012987012987012988,"('amazing', 'cheap', 'suck')",1,0.013157894736842105
29,"('orders',)",1.0,0.01282051282051282,"('soup', 'sheeeze')",1.0,0.012987012987012988,"('honey', 'chicken', 'good')",1,0.013157894736842105
30,"('sheeeze',)",1.0,0.01282051282051282,"('amazing', 'cheap')",1.0,0.012987012987012988,"('roll', 'amazing', 'cheap')",1,0.013157894736842105
31,"('love',)",1.0,0.01282051282051282,"('roll', 'amazing')",1.0,0.012987012987012988,"('potato', 'roll', 'amazing')",1,0.013157894736842105
32,"('eggplant',)",1.0,0.01282051282051282,"('potato', 'roll')",1.0,0.012987012987012988,"('sweet', 'potato', 'roll')",1,0.013157894736842105
33,"('sesame',)",1.0,0.01282051282051282,"('sweet', 'potato')",1.0,0.012987012987012988,"('get', 'sweet', 'potato')",1,0.013157894736842105
34,"('asian',)",1.0,0.01282051282051282,"('get', 'sweet')",1.0,0.012987012987012988,"('good', 'get', 'sweet')",1,0.013157894736842105
35,"('fusion',)",1.0,0.01282051282051282,"('good', 'get')",1.0,0.012987012987012988,"('chicken', 'good', 'get')",1,0.013157894736842105
