,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('roll',)",6.0,0.058823529411764705,"('hours', 'wrong')",1,0.009900990099009901,"('hours', 'wrong', 'open')",1.0,0.01
1,"('lunch',)",3.0,0.029411764705882353,"('dont', 'know')",1,0.009900990099009901,"('people', 'dont', 'know')",1.0,0.01
2,"('good',)",2.0,0.0196078431372549,"('town', 'next')",1,0.009900990099009901,"('best', 'town', 'next')",1.0,0.01
3,"('gets',)",2.0,0.0196078431372549,"('best', 'town')",1,0.009900990099009901,"('places', 'best', 'town')",1.0,0.01
4,"('open',)",2.0,0.0196078431372549,"('places', 'best')",1,0.009900990099009901,"('2', 'places', 'best')",1.0,0.01
5,"('people',)",2.0,0.0196078431372549,"('2', 'places')",1,0.009900990099009901,"('menu', '2', 'places')",1.0,0.01
6,"('new',)",2.0,0.0196078431372549,"('menu', '2')",1,0.009900990099009901,"('fish', 'menu', '2')",1.0,0.01
7,"('best',)",2.0,0.0196078431372549,"('fish', 'menu')",1,0.009900990099009901,"('get', 'fish', 'menu')",1.0,0.01
8,"('menu',)",2.0,0.0196078431372549,"('get', 'fish')",1,0.009900990099009901,"('family', 'get', 'fish')",1.0,0.01
9,"('maybe',)",1.0,0.00980392156862745,"('family', 'get')",1,0.009900990099009901,"('owned', 'family', 'get')",1.0,0.01
10,"('next',)",1.0,0.00980392156862745,"('owned', 'family')",1,0.009900990099009901,"('know', 'owned', 'family')",1.0,0.01
11,"('town',)",1.0,0.00980392156862745,"('know', 'owned')",1,0.009900990099009901,"('dont', 'know', 'owned')",1.0,0.01
12,"('places',)",1.0,0.00980392156862745,"('people', 'dont')",1,0.009900990099009901,"('reviews', 'people', 'dont')",1.0,0.01
13,"('2',)",1.0,0.00980392156862745,"('available', 'cute')",1,0.009900990099009901,"('wrong', 'open', 'lunch')",1.0,0.01
14,"('fish',)",1.0,0.00980392156862745,"('reviews', 'people')",1,0.009900990099009901,"('amazing', 'reviews', 'people')",1.0,0.01
15,"('owned',)",1.0,0.00980392156862745,"('amazing', 'reviews')",1,0.009900990099009901,"('gets', 'amazing', 'reviews')",1.0,0.01
16,"('get',)",1.0,0.00980392156862745,"('gets', 'amazing')",1,0.009900990099009901,"('zionsville', 'gets', 'amazing')",1.0,0.01
17,"('family',)",1.0,0.00980392156862745,"('zionsville', 'gets')",1,0.009900990099009901,"('tegry', 'zionsville', 'gets')",1.0,0.01
18,"('grants',)",1.0,0.00980392156862745,"('tegry', 'zionsville')",1,0.009900990099009901,"('yet', 'tegry', 'zionsville')",1.0,0.01
19,"('know',)",1.0,0.00980392156862745,"('yet', 'tegry')",1,0.009900990099009901,"('okay', 'yet', 'tegry')",1.0,0.01
20,"('dont',)",1.0,0.00980392156862745,"('okay', 'yet')",1,0.009900990099009901,"('say', 'okay', 'yet')",1.0,0.01
21,"('reviews',)",1.0,0.00980392156862745,"('say', 'okay')",1,0.009900990099009901,"('people', 'say', 'okay')",1.0,0.01
22,"('amazing',)",1.0,0.00980392156862745,"('people', 'say')",1,0.009900990099009901,"('good', 'people', 'say')",1.0,0.01
23,"('zionsville',)",1.0,0.00980392156862745,"('good', 'people')",1,0.009900990099009901,"('cute', 'good', 'people')",1.0,0.01
24,"('noah',)",1.0,0.00980392156862745,"('next', 'maybe')",1,0.009900990099009901,"('town', 'next', 'maybe')",1.0,0.01
25,"('20',)",1.0,0.00980392156862745,"('maybe', 'noah')",1,0.009900990099009901,"('next', 'maybe', 'noah')",1.0,0.01
26,"('made',)",1.0,0.00980392156862745,"('noah', 'grants')",1,0.009900990099009901,"('maybe', 'noah', 'grants')",1.0,0.01
27,"('world',)",1.0,0.00980392156862745,"('grants', 'made')",1,0.009900990099009901,"('noah', 'grants', 'made')",1.0,0.01
28,"('english',)",1.0,0.00980392156862745,"('least', 'english')",1,0.009900990099009901,"('speaks', 'least', 'english')",1.0,0.01
29,"('least',)",1.0,0.00980392156862745,"('speaks', 'least')",1,0.009900990099009901,"('woman', 'speaks', 'least')",1.0,0.01
30,"('speaks',)",1.0,0.00980392156862745,"('woman', 'speaks')",1,0.009900990099009901,"('sure', 'woman', 'speaks')",1.0,0.01
31,"('woman',)",1.0,0.00980392156862745,"('sure', 'woman')",1,0.009900990099009901,"('back', 'sure', 'woman')",1.0,0.01
32,"('sure',)",1.0,0.00980392156862745,"('back', 'sure')",1,0.009900990099009901,"('go', 'back', 'sure')",1.0,0.01
33,"('back',)",1.0,0.00980392156862745,"('go', 'back')",1,0.009900990099009901,"('will', 'go', 'back')",1.0,0.01
