,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('service',)",10.0,0.041666666666666664,"('happy', 'hour')",3.0,0.012552301255230125,"('choice', 'hibachi', 'fast')",1,0.004201680672268907
1,"('good',)",9.0,0.0375,"('service', 'good')",2.0,0.008368200836820083,"('ones', 'fresh', 'cant')",1,0.004201680672268907
2,"('great',)",8.0,0.03333333333333333,"('good', 'service')",2.0,0.008368200836820083,"('love', 'rice', 'noodles')",1,0.004201680672268907
3,"('roll',)",6.0,0.025,"('always', 'good')",2.0,0.008368200836820083,"('rice', 'noodles', 'always')",1,0.004201680672268907
4,"('hibachi',)",6.0,0.025,"('rice', 'noodles')",2.0,0.008368200836820083,"('noodles', 'always', 'good')",1,0.004201680672268907
5,"('best',)",5.0,0.020833333333333332,"('good', 'great')",1.0,0.0041841004184100415,"('always', 'good', 'great')",1,0.004201680672268907
6,"('love',)",5.0,0.020833333333333332,"('hard', 'families')",1.0,0.0041841004184100415,"('good', 'great', 'baby')",1,0.004201680672268907
7,"('always',)",5.0,0.020833333333333332,"('tables', 'hard')",1.0,0.0041841004184100415,"('great', 'baby', 'changing')",1,0.004201680672268907
8,"('happy',)",5.0,0.020833333333333332,"('changing', 'tables')",1.0,0.0041841004184100415,"('baby', 'changing', 'tables')",1,0.004201680672268907
9,"('ever',)",3.0,0.0125,"('baby', 'changing')",1.0,0.0041841004184100415,"('changing', 'tables', 'hard')",1,0.004201680672268907
10,"('rice',)",3.0,0.0125,"('great', 'baby')",1.0,0.0041841004184100415,"('tables', 'hard', 'families')",1,0.004201680672268907
11,"('chefs',)",3.0,0.0125,"('choice', 'hibachi')",1.0,0.0041841004184100415,"('hard', 'families', 'little')",1,0.004201680672268907
12,"('go',)",3.0,0.0125,"('noodles', 'always')",1.0,0.0041841004184100415,"('families', 'little', 'ones')",1,0.004201680672268907
13,"('hour',)",3.0,0.0125,"('little', 'ones')",1.0,0.0041841004184100415,"('little', 'ones', 'fresh')",1,0.004201680672268907
14,"('amazing',)",3.0,0.0125,"('love', 'rice')",1.0,0.0041841004184100415,"('fresh', 'cant', 'beat')",1,0.004201680672268907
15,"('time',)",3.0,0.0125,"('idiots', 'love')",1.0,0.0041841004184100415,"('mean', 'idiots', 'love')",1,0.004201680672268907
16,"('bar',)",2.0,0.008333333333333333,"('mean', 'idiots')",1.0,0.0041841004184100415,"('cant', 'beat', 'quality')",1,0.004201680672268907
17,"('noodles',)",2.0,0.008333333333333333,"('families', 'little')",1.0,0.0041841004184100415,"('beat', 'quality', 'quantity')",1,0.004201680672268907
18,"('teriyaki',)",2.0,0.008333333333333333,"('fresh', 'cant')",1.0,0.0041841004184100415,"('quality', 'quantity', 'price')",1,0.004201680672268907
19,"('fresh',)",2.0,0.008333333333333333,"('ones', 'fresh')",1.0,0.0041841004184100415,"('quantity', 'price', 'clean')",1,0.004201680672268907
20,"('order',)",2.0,0.008333333333333333,"('worst', 'service')",1.0,0.0041841004184100415,"('price', 'clean', 'love')",1,0.004201680672268907
21,"('tables',)",2.0,0.008333333333333333,"('cant', 'beat')",1.0,0.0041841004184100415,"('clean', 'love', 'happy')",1,0.004201680672268907
22,"('new',)",2.0,0.008333333333333333,"('beat', 'quality')",1.0,0.0041841004184100415,"('love', 'happy', 'hour')",1,0.004201680672268907
23,"('special',)",2.0,0.008333333333333333,"('quality', 'quantity')",1.0,0.0041841004184100415,"('happy', 'hour', 'mth')",1,0.004201680672268907
24,"('mean',)",2.0,0.008333333333333333,"('quantity', 'price')",1.0,0.0041841004184100415,"('hour', 'mth', '6pm')",1,0.004201680672268907
25,"('habachi',)",2.0,0.008333333333333333,"('price', 'clean')",1.0,0.0041841004184100415,"('mth', '6pm', 'best')",1,0.004201680672268907
26,"('will',)",2.0,0.008333333333333333,"('clean', 'love')",1.0,0.0041841004184100415,"('6pm', 'best', 'area')",1,0.004201680672268907
27,"('try',)",2.0,0.008333333333333333,"('love', 'happy')",1.0,0.0041841004184100415,"('best', 'area', 'always')",1,0.004201680672268907
28,"('subpar',)",2.0,0.008333333333333333,"('hour', 'mth')",1.0,0.0041841004184100415,"('idiots', 'love', 'rice')",1,0.004201680672268907
29,"('prices',)",2.0,0.008333333333333333,"('mth', '6pm')",1.0,0.0041841004184100415,"('service', 'mean', 'idiots')",1,0.004201680672268907
30,"('mediocre',)",1.0,0.004166666666666667,"('6pm', 'best')",1.0,0.0041841004184100415,"('always', 'quick', 'friendly')",1,0.004201680672268907
31,"('worst',)",1.0,0.004166666666666667,"('service', 'mean')",1.0,0.0041841004184100415,"('jeffrey', 'jaime', 'alicia')",1,0.004201680672268907
32,"('idiots',)",1.0,0.004166666666666667,"('funny', 'chefs')",1.0,0.0041841004184100415,"('go', 'special', 'roll')",1,0.004201680672268907
33,"('giving',)",1.0,0.004166666666666667,"('chefs', 'worst')",1.0,0.0041841004184100415,"('special', 'roll', 'sitting')",1,0.004201680672268907
34,"('baby',)",1.0,0.004166666666666667,"('w', 'jeffrey')",1.0,0.0041841004184100415,"('roll', 'sitting', 'bar')",1,0.004201680672268907
35,"('changing',)",1.0,0.004166666666666667,"('go', 'special')",1.0,0.0041841004184100415,"('sitting', 'bar', 'great')",1,0.004201680672268907
36,"('hard',)",1.0,0.004166666666666667,"('special', 'roll')",1.0,0.0041841004184100415,"('bar', 'great', 'experience')",1,0.004201680672268907
37,"('families',)",1.0,0.004166666666666667,"('roll', 'sitting')",1.0,0.0041841004184100415,"('great', 'experience', 'like')",1,0.004201680672268907
38,"('little',)",1.0,0.004166666666666667,"('sitting', 'bar')",1.0,0.0041841004184100415,"('experience', 'like', 'habachi')",1,0.004201680672268907
39,"('ones',)",1.0,0.004166666666666667,"('bar', 'great')",1.0,0.0041841004184100415,"('like', 'habachi', 'japanese')",1,0.004201680672268907
40,"('cant',)",1.0,0.004166666666666667,"('great', 'experience')",1.0,0.0041841004184100415,"('habachi', 'japanese', 'enjoying')",1,0.004201680672268907
41,"('fried',)",1.0,0.004166666666666667,"('experience', 'like')",1.0,0.0041841004184100415,"('japanese', 'enjoying', 'w')",1,0.004201680672268907
42,"('beat',)",1.0,0.004166666666666667,"('like', 'habachi')",1.0,0.0041841004184100415,"('enjoying', 'w', 'jeffrey')",1,0.004201680672268907
43,"('funny',)",1.0,0.004166666666666667,"('habachi', 'japanese')",1.0,0.0041841004184100415,"('w', 'jeffrey', 'jaime')",1,0.004201680672268907
44,"('awesome',)",1.0,0.004166666666666667,"('japanese', 'enjoying')",1.0,0.0041841004184100415,"('jaime', 'alicia', 'marta')",1,0.004201680672268907
45,"('quantity',)",1.0,0.004166666666666667,"('enjoying', 'w')",1.0,0.0041841004184100415,"('worst', 'service', 'mean')",1,0.004201680672268907
