,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('sum',)",12.0,0.03908794788273615,"('dim', 'sum')",12.0,0.0392156862745098,"('dim', 'sum', 'great')",2,0.006557377049180328
1,"('dim',)",12.0,0.03908794788273615,"('hot', 'pot')",3.0,0.00980392156862745,"('great', 'dim', 'sum')",2,0.006557377049180328
2,"('chinese',)",8.0,0.026058631921824105,"('shabu', 'shabu')",2.0,0.006535947712418301,"('tried', 'dim', 'sum')",2,0.006557377049180328
3,"('great',)",7.0,0.02280130293159609,"('ive', 'tried')",2.0,0.006535947712418301,"('beef', 'chow', 'fun')",2,0.006557377049180328
4,"('best',)",6.0,0.019543973941368076,"('sum', 'great')",2.0,0.006535947712418301,"('well', 'seasoned', 'awesome')",1,0.003278688524590164
5,"('duck',)",5.0,0.016286644951140065,"('tried', 'dim')",2.0,0.006535947712418301,"('good', 'selection', 'american')",1,0.003278688524590164
6,"('shabu',)",4.0,0.013029315960912053,"('sesame', 'balls')",2.0,0.006535947712418301,"('great', 'good', 'selection')",1,0.003278688524590164
7,"('delicious',)",4.0,0.013029315960912053,"('beef', 'chow')",2.0,0.006535947712418301,"('sum', 'great', 'good')",1,0.003278688524590164
8,"('tampa',)",4.0,0.013029315960912053,"('chow', 'fun')",2.0,0.006535947712418301,"('awesome', 'dim', 'sum')",1,0.003278688524590164
9,"('favorite',)",4.0,0.013029315960912053,"('authentic', 'chinese')",2.0,0.006535947712418301,"('seasoned', 'awesome', 'dim')",1,0.003278688524590164
10,"('awesome',)",3.0,0.009771986970684038,"('great', 'dim')",2.0,0.006535947712418301,"('tonight', 'delicious', 'well')",1,0.003278688524590164
11,"('decent',)",3.0,0.009771986970684038,"('free', 'wi')",1.0,0.0032679738562091504,"('delicious', 'well', 'seasoned')",1,0.003278688524590164
12,"('restaurant',)",3.0,0.009771986970684038,"('awesome', 'free')",1.0,0.0032679738562091504,"('american', 'chinese', 'looking')",1,0.003278688524590164
13,"('hot',)",3.0,0.009771986970684038,"('bring', 'bowl')",1.0,0.0032679738562091504,"('sum', 'tonight', 'delicious')",1,0.003278688524590164
14,"('tried',)",3.0,0.009771986970684038,"('accept', 'apple')",1.0,0.0032679738562091504,"('dim', 'sum', 'tonight')",1,0.003278688524590164
15,"('pot',)",3.0,0.009771986970684038,"('apple', 'pay')",1.0,0.0032679738562091504,"('now', 'tried', 'dim')",1,0.003278688524590164
16,"('ive',)",3.0,0.009771986970684038,"('pay', 'now')",1.0,0.0032679738562091504,"('pay', 'now', 'tried')",1,0.003278688524590164
17,"('try',)",3.0,0.009771986970684038,"('now', 'tried')",1.0,0.0032679738562091504,"('apple', 'pay', 'now')",1,0.003278688524590164
18,"('service',)",3.0,0.009771986970684038,"('will', 'bring')",1.0,0.0032679738562091504,"('selection', 'american', 'chinese')",1,0.003278688524590164
19,"('sauce',)",3.0,0.009771986970684038,"('sum', 'tonight')",1.0,0.0032679738562091504,"('shabu', 'shabu', 'hot')",1,0.003278688524590164
20,"('authentic',)",2.0,0.006514657980456026,"('tonight', 'delicious')",1.0,0.0032679738562091504,"('accept', 'apple', 'pay')",1,0.003278688524590164
21,"('roast',)",2.0,0.006514657980456026,"('sauce', 'will')",1.0,0.0032679738562091504,"('ask', 'sweet', 'soy')",1,0.003278688524590164
22,"('fun',)",2.0,0.006514657980456026,"('soy', 'sauce')",1.0,0.0032679738562091504,"('wonderful', 'dipping', 'pan')",1,0.003278688524590164
23,"('ask',)",2.0,0.006514657980456026,"('sweet', 'soy')",1.0,0.0032679738562091504,"('bowl', 'wonderful', 'dipping')",1,0.003278688524590164
24,"('well',)",2.0,0.006514657980456026,"('delicious', 'well')",1.0,0.0032679738562091504,"('bring', 'bowl', 'wonderful')",1,0.003278688524590164
25,"('beef',)",2.0,0.006514657980456026,"('well', 'seasoned')",1.0,0.0032679738562091504,"('will', 'bring', 'bowl')",1,0.003278688524590164
26,"('now',)",2.0,0.006514657980456026,"('seasoned', 'awesome')",1.0,0.0032679738562091504,"('sauce', 'will', 'bring')",1,0.003278688524590164
27,"('lunch',)",2.0,0.006514657980456026,"('awesome', 'dim')",1.0,0.0032679738562091504,"('soy', 'sauce', 'will')",1,0.003278688524590164
28,"('tofu',)",2.0,0.006514657980456026,"('great', 'good')",1.0,0.0032679738562091504,"('sweet', 'soy', 'sauce')",1,0.003278688524590164
29,"('rice',)",2.0,0.006514657980456026,"('good', 'selection')",1.0,0.0032679738562091504,"('fi', 'ask', 'sweet')",1,0.003278688524590164
30,"('tonight',)",2.0,0.006514657980456026,"('selection', 'american')",1.0,0.0032679738562091504,"('looking', 'authentic', 'chinese')",1,0.003278688524590164
31,"('though',)",2.0,0.006514657980456026,"('ask', 'sweet')",1.0,0.0032679738562091504,"('wi', 'fi', 'ask')",1,0.003278688524590164
32,"('im',)",2.0,0.006514657980456026,"('christmas', 'accept')",1.0,0.0032679738562091504,"('free', 'wi', 'fi')",1,0.003278688524590164
33,"('menu',)",2.0,0.006514657980456026,"('chinese', 'looking')",1.0,0.0032679738562091504,"('awesome', 'free', 'wi')",1,0.003278688524590164
34,"('garlic',)",2.0,0.006514657980456026,"('looking', 'authentic')",1.0,0.0032679738562091504,"('spot', 'awesome', 'free')",1,0.003278688524590164
35,"('love',)",2.0,0.006514657980456026,"('fi', 'ask')",1.0,0.0032679738562091504,"('japanese', 'spot', 'awesome')",1,0.003278688524590164
36,"('good',)",2.0,0.006514657980456026,"('wi', 'fi')",1.0,0.0032679738562091504,"('chinese', 'japanese', 'spot')",1,0.003278688524590164
37,"('chow',)",2.0,0.006514657980456026,"('chinese', 'japanese')",1.0,0.0032679738562091504,"('authentic', 'chinese', 'japanese')",1,0.003278688524590164
38,"('spicy',)",2.0,0.006514657980456026,"('japanese', 'spot')",1.0,0.0032679738562091504,"('chinese', 'looking', 'authentic')",1,0.003278688524590164
39,"('home',)",2.0,0.006514657980456026,"('spot', 'awesome')",1.0,0.0032679738562091504,"('christmas', 'accept', 'apple')",1,0.003278688524590164
40,"('sui',)",2.0,0.006514657980456026,"('american', 'chinese')",1.0,0.0032679738562091504,"('pan', 'fried', 'dumplings')",1,0.003278688524590164
41,"('pricey',)",2.0,0.006514657980456026,"('adequately', 'stay')",1.0,0.0032679738562091504,"('chinese', 'restaurants', 'close')",1,0.003278688524590164
42,"('yet',)",2.0,0.006514657980456026,"('open', 'christmas')",1.0,0.0032679738562091504,"('eaten', 'numerous', 'chinese')",1,0.003278688524590164
43,"('hotpot',)",2.0,0.006514657980456026,"('restaurants', 'close')",1.0,0.0032679738562091504,"('disclaimerhaving', 'eaten', 'numerous')",1,0.003278688524590164
44,"('close',)",2.0,0.006514657980456026,"('great', 'service')",1.0,0.0032679738562091504,"('calories', 'disclaimerhaving', 'eaten')",1,0.003278688524590164
45,"('cooking',)",2.0,0.006514657980456026,"('service', 'heres')",1.0,0.0032679738562091504,"('worth', 'calories', 'disclaimerhaving')",1,0.003278688524590164
46,"('balls',)",2.0,0.006514657980456026,"('heres', 'tip')",1.0,0.0032679738562091504,"('else', 'worth', 'calories')",1,0.003278688524590164
