,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('good',)",22.0,0.03138373751783167,"('happy', 'hour')",15.0,0.02142857142857143,"('reverse', 'happy', 'hour')",2,0.002861230329041488
1,"('great',)",19.0,0.02710413694721826,"('can', 'eat')",8.0,0.011428571428571429,"('cheap', 'happy', 'hour')",2,0.002861230329041488
2,"('hour',)",17.0,0.024251069900142655,"('lunch', 'buffet')",6.0,0.008571428571428572,"('great', 'happy', 'hour')",2,0.002861230329041488
3,"('happy',)",15.0,0.021398002853067047,"('new', 'location')",5.0,0.007142857142857143,"('super', 'packed', 'saturday')",1,0.001430615164520744
4,"('service',)",14.0,0.019971469329529243,"('service', 'good')",3.0,0.004285714285714286,"('buffet', 'little', 'bland')",1,0.001430615164520744
5,"('really',)",10.0,0.014265335235378032,"('tip', 'bar')",3.0,0.004285714285714286,"('9pm', 'highly', 'overrated')",1,0.001430615164520744
6,"('can',)",10.0,0.014265335235378032,"('really', 'good')",3.0,0.004285714285714286,"('highly', 'overrated', 'way')",1,0.001430615164520744
7,"('eat',)",10.0,0.014265335235378032,"('great', 'service')",3.0,0.004285714285714286,"('overrated', 'way', 'overpriced')",1,0.001430615164520744
8,"('buffet',)",10.0,0.014265335235378032,"('say', 'close')",2.0,0.002857142857142857,"('way', 'overpriced', 'low')",1,0.001430615164520744
9,"('love',)",9.0,0.012838801711840228,"('cheap', 'happy')",2.0,0.002857142857142857,"('overpriced', 'low', 'quality')",1,0.001430615164520744
10,"('nice',)",9.0,0.012838801711840228,"('good', 'lunch')",2.0,0.002857142857142857,"('low', 'quality', 'buffet')",1,0.001430615164520744
11,"('new',)",9.0,0.012838801711840228,"('love', 'love')",2.0,0.002857142857142857,"('quality', 'buffet', 'little')",1,0.001430615164520744
12,"('lunch',)",9.0,0.012838801711840228,"('fried', 'rice')",2.0,0.002857142857142857,"('little', 'bland', 'favorite')",1,0.001430615164520744
13,"('like',)",7.0,0.009985734664764621,"('atmosphere', 'good')",2.0,0.002857142857142857,"('can', 'eat', '9pm')",1,0.001430615164520744
14,"('time',)",6.0,0.008559201141226819,"('dont', 'get')",2.0,0.002857142857142857,"('bland', 'favorite', 'person')",1,0.001430615164520744
15,"('pm',)",6.0,0.008559201141226819,"('21', 'can')",2.0,0.002857142857142857,"('favorite', 'person', 'o')",1,0.001430615164520744
16,"('go',)",5.0,0.007132667617689016,"('10', 'pm')",2.0,0.002857142857142857,"('person', 'o', 'great')",1,0.001430615164520744
17,"('location',)",5.0,0.007132667617689016,"('great', 'happy')",2.0,0.002857142857142857,"('o', 'great', 'amazing')",1,0.001430615164520744
18,"('always',)",5.0,0.007132667617689016,"('dinner', 'great')",2.0,0.002857142857142857,"('great', 'amazing', 'atmosphere')",1,0.001430615164520744
19,"('get',)",5.0,0.007132667617689016,"('dont', 'go')",2.0,0.002857142857142857,"('amazing', 'atmosphere', 'good')",1,0.001430615164520744
20,"('roll',)",5.0,0.007132667617689016,"('good', 'service')",2.0,0.002857142857142857,"('atmosphere', 'good', 'sometimes')",1,0.001430615164520744
21,"('dont',)",5.0,0.007132667617689016,"('looks', 'like')",2.0,0.002857142857142857,"('good', 'sometimes', 'slow')",1,0.001430615164520744
22,"('tip',)",4.0,0.005706134094151213,"('w', 'bf')",2.0,0.002857142857142857,"('eat', '9pm', 'highly')",1,0.001430615164520744
23,"('better',)",4.0,0.005706134094151213,"('tootsie', 'roll')",2.0,0.002857142857142857,"('time', 'can', 'eat')",1,0.001430615164520744
24,"('bar',)",4.0,0.005706134094151213,"('sake', 'bombs')",2.0,0.002857142857142857,"('slow', 'service', 'amaze')",1,0.001430615164520744
25,"('parking',)",4.0,0.005706134094151213,"('tuna', 'tots')",2.0,0.002857142857142857,"('hangry', 'time', 'can')",1,0.001430615164520744
26,"('dinner',)",4.0,0.005706134094151213,"('reverse', 'happy')",2.0,0.002857142857142857,"('delicious', 'items', 'must')",1,0.001430615164520744
27,"('far',)",4.0,0.005706134094151213,"('sometimes', 'slow')",1.0,0.0014285714285714286,"('items', 'must', 'eat')",1,0.001430615164520744
28,"('best',)",4.0,0.005706134094151213,"('slow', 'service')",1.0,0.0014285714285714286,"('must', 'eat', 'pack')",1,0.001430615164520744
29,"('amazing',)",4.0,0.005706134094151213,"('service', 'amaze')",1.0,0.0014285714285714286,"('eat', 'pack', 'lunch')",1,0.001430615164520744
30,"('tucson',)",4.0,0.005706134094151213,"('hangry', 'time')",1.0,0.0014285714285714286,"('pack', 'lunch', 'sucks')",1,0.001430615164520744
31,"('money',)",3.0,0.0042796005706134095,"('wait', '7pm')",1.0,0.0014285714285714286,"('lunch', 'sucks', '1st')",1,0.001430615164520744
32,"('awesome',)",3.0,0.0042796005706134095,"('7pm', 'hangry')",1.0,0.0014285714285714286,"('sucks', '1st', 'time')",1,0.001430615164520744
33,"('10',)",3.0,0.0042796005706134095,"('amazing', 'atmosphere')",1.0,0.0014285714285714286,"('1st', 'time', 'eel')",1,0.001430615164520744
34,"('close',)",3.0,0.0042796005706134095,"('amaze', 'california')",1.0,0.0014285714285714286,"('time', 'eel', 'bowl')",1,0.001430615164520744
35,"('come',)",3.0,0.0042796005706134095,"('long', 'wait')",1.0,0.0014285714285714286,"('eel', 'bowl', 'great')",1,0.001430615164520744
36,"('meal',)",3.0,0.0042796005706134095,"('like', 'long')",1.0,0.0014285714285714286,"('bowl', 'great', 'looks')",1,0.001430615164520744
37,"('price',)",3.0,0.0042796005706134095,"('good', 'sometimes')",1.0,0.0014285714285714286,"('great', 'looks', 'like')",1,0.001430615164520744
38,"('favorite',)",3.0,0.0042796005706134095,"('9pm', 'highly')",1.0,0.0014285714285714286,"('looks', 'like', 'long')",1,0.001430615164520744
39,"('say',)",3.0,0.0042796005706134095,"('great', 'amazing')",1.0,0.0014285714285714286,"('like', 'long', 'wait')",1,0.001430615164520744
40,"('decor',)",3.0,0.0042796005706134095,"('o', 'great')",1.0,0.0014285714285714286,"('long', 'wait', '7pm')",1,0.001430615164520744
41,"('ordered',)",3.0,0.0042796005706134095,"('highly', 'overrated')",1.0,0.0014285714285714286,"('wait', '7pm', 'hangry')",1,0.001430615164520744
42,"('calamari',)",3.0,0.0042796005706134095,"('favorite', 'person')",1.0,0.0014285714285714286,"('7pm', 'hangry', 'time')",1,0.001430615164520744
43,"('birthday',)",3.0,0.0042796005706134095,"('time', 'can')",1.0,0.0014285714285714286,"('sometimes', 'slow', 'service')",1,0.001430615164520744
44,"('spot',)",3.0,0.0042796005706134095,"('bland', 'favorite')",1.0,0.0014285714285714286,"('service', 'amaze', 'california')",1,0.001430615164520744
45,"('server',)",3.0,0.0042796005706134095,"('little', 'bland')",1.0,0.0014285714285714286,"('great', 'several', 'delicious')",1,0.001430615164520744
46,"('patio',)",3.0,0.0042796005706134095,"('buffet', 'little')",1.0,0.0014285714285714286,"('try', 'new', 'location')",1,0.001430615164520744
47,"('yum',)",3.0,0.0042796005706134095,"('quality', 'buffet')",1.0,0.0014285714285714286,"('happy', 'hour', 'quick')",1,0.001430615164520744
48,"('crab',)",2.0,0.0028530670470756064,"('eat', '9pm')",1.0,0.0014285714285714286,"('hour', 'quick', 'service')",1,0.001430615164520744
49,"('improved',)",2.0,0.0028530670470756064,"('low', 'quality')",1.0,0.0014285714285714286,"('quick', 'service', 'tonight')",1,0.001430615164520744
50,"('packed',)",2.0,0.0028530670470756064,"('overpriced', 'low')",1.0,0.0014285714285714286,"('service', 'tonight', 'love')",1,0.001430615164520744
51,"('im',)",2.0,0.0028530670470756064,"('way', 'overpriced')",1.0,0.0014285714285714286,"('tonight', 'love', 'vegas')",1,0.001430615164520744
52,"('fried',)",2.0,0.0028530670470756064,"('overrated', 'way')",1.0,0.0014285714285714286,"('love', 'vegas', 'roll')",1,0.001430615164520744
53,"('party',)",2.0,0.0028530670470756064,"('person', 'o')",1.0,0.0014285714285714286,"('vegas', 'roll', 'try')",1,0.001430615164520744
54,"('sashimi',)",2.0,0.0028530670470756064,"('good', 'stuff')",1.0,0.0014285714285714286,"('roll', 'try', 'new')",1,0.001430615164520744
