,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('amazing',)",5.0,0.08333333333333333,"('service', 'clean')",2.0,0.03389830508474576,"('new', 'favorite', 'spot')",1,0.017241379310344827
1,"('fresh',)",3.0,0.05,"('fresh', 'amazing')",2.0,0.03389830508474576,"('excellent', 'fresh', 'amazing')",1,0.017241379310344827
2,"('service',)",3.0,0.05,"('amazing', 'great')",2.0,0.03389830508474576,"('yelp', 'checkin', 'best')",1,0.017241379310344827
3,"('great',)",3.0,0.05,"('new', 'favorite')",1.0,0.01694915254237288,"('checkin', 'best', 'ever')",1,0.017241379310344827
4,"('clean',)",2.0,0.03333333333333333,"('size', 'dessert')",1.0,0.01694915254237288,"('best', 'ever', 'everything')",1,0.017241379310344827
5,"('everything',)",2.0,0.03333333333333333,"('yelp', 'checkin')",1.0,0.01694915254237288,"('ever', 'everything', 'fresh')",1,0.017241379310344827
6,"('hibachi',)",1.0,0.016666666666666666,"('checkin', 'best')",1.0,0.01694915254237288,"('everything', 'fresh', 'amazing')",1,0.017241379310344827
7,"('ever',)",1.0,0.016666666666666666,"('best', 'ever')",1.0,0.01694915254237288,"('fresh', 'amazing', 'great')",1,0.017241379310344827
8,"('free',)",1.0,0.016666666666666666,"('ever', 'everything')",1.0,0.01694915254237288,"('amazing', 'great', 'find')",1,0.017241379310344827
9,"('super',)",1.0,0.016666666666666666,"('everything', 'fresh')",1.0,0.01694915254237288,"('great', 'find', 'great')",1,0.017241379310344827
10,"('full',)",1.0,0.016666666666666666,"('great', 'find')",1.0,0.01694915254237288,"('find', 'great', 'customer')",1,0.017241379310344827
11,"('size',)",1.0,0.016666666666666666,"('find', 'great')",1.0,0.01694915254237288,"('great', 'customer', 'service')",1,0.017241379310344827
12,"('dessert',)",1.0,0.016666666666666666,"('great', 'customer')",1.0,0.01694915254237288,"('customer', 'service', 'excellent')",1,0.017241379310344827
13,"('yelp',)",1.0,0.016666666666666666,"('customer', 'service')",1.0,0.01694915254237288,"('service', 'excellent', 'fresh')",1,0.017241379310344827
14,"('checkin',)",1.0,0.016666666666666666,"('service', 'excellent')",1.0,0.01694915254237288,"('fresh', 'amazing', 'amazing')",1,0.017241379310344827
