,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('best',)",4.0,0.027972027972027972,"('omakase', 'chefs')",2,0.014084507042253521,"('omakase', 'chefs', 'choice')",2,0.014184397163120567
1,"('service',)",4.0,0.027972027972027972,"('chefs', 'choice')",2,0.014084507042253521,"('give', 'hot', 'towels')",1,0.0070921985815602835
2,"('fish',)",3.0,0.02097902097902098,"('give', 'hot')",1,0.007042253521126761,"('emphasis', 'taste', 'fish')",1,0.0070921985815602835
3,"('sashimi',)",3.0,0.02097902097902098,"('taste', 'fish')",1,0.007042253521126761,"('fish', 'yes', 'serve')",1,0.0070921985815602835
4,"('omakase',)",3.0,0.02097902097902098,"('yes', 'serve')",1,0.007042253521126761,"('yes', 'serve', 'lot')",1,0.0070921985815602835
5,"('great',)",3.0,0.02097902097902098,"('serve', 'lot')",1,0.007042253521126761,"('serve', 'lot', 'prefer')",1,0.0070921985815602835
6,"('chefs',)",2.0,0.013986013986013986,"('lot', 'prefer')",1,0.007042253521126761,"('lot', 'prefer', 'traditional')",1,0.0070921985815602835
7,"('amazing',)",2.0,0.013986013986013986,"('prefer', 'traditional')",1,0.007042253521126761,"('prefer', 'traditional', 'sashimi')",1,0.0070921985815602835
8,"('dinner',)",2.0,0.013986013986013986,"('traditional', 'sashimi')",1,0.007042253521126761,"('traditional', 'sashimi', 'sashimi')",1,0.0070921985815602835
9,"('choice',)",2.0,0.013986013986013986,"('sashimi', 'sashimi')",1,0.007042253521126761,"('sashimi', 'sashimi', 'n')",1,0.0070921985815602835
10,"('m',)",2.0,0.013986013986013986,"('sashimi', 'n')",1,0.007042253521126761,"('sashimi', 'n', 'stuff')",1,0.0070921985815602835
11,"('make',)",2.0,0.013986013986013986,"('n', 'stuff')",1,0.007042253521126761,"('n', 'stuff', 'respect')",1,0.0070921985815602835
12,"('quiet',)",2.0,0.013986013986013986,"('stuff', 'respect')",1,0.007042253521126761,"('stuff', 'respect', 'offers')",1,0.0070921985815602835
13,"('area',)",2.0,0.013986013986013986,"('respect', 'offers')",1,0.007042253521126761,"('respect', 'offers', 'krab')",1,0.0070921985815602835
14,"('carrollwood',)",2.0,0.013986013986013986,"('offers', 'krab')",1,0.007042253521126761,"('offers', 'krab', 'crab')",1,0.0070921985815602835
15,"('get',)",2.0,0.013986013986013986,"('krab', 'crab')",1,0.007042253521126761,"('krab', 'crab', 'surami')",1,0.0070921985815602835
16,"('delicious',)",2.0,0.013986013986013986,"('crab', 'surami')",1,0.007042253521126761,"('crab', 'surami', 'awesome')",1,0.0070921985815602835
17,"('fresh',)",2.0,0.013986013986013986,"('fish', 'yes')",1,0.007042253521126761,"('taste', 'fish', 'yes')",1,0.0070921985815602835
18,"('eel',)",1.0,0.006993006993006993,"('restaurant', 'emphasis')",1,0.007042253521126761,"('restaurant', 'emphasis', 'taste')",1,0.0070921985815602835
19,"('spicy',)",1.0,0.006993006993006993,"('emphasis', 'taste')",1,0.007042253521126761,"('amazing', '13course', 'omakase')",1,0.0070921985815602835
20,"('yes',)",1.0,0.006993006993006993,"('awesome', 'right')",1,0.007042253521126761,"('japanese', 'restaurant', 'emphasis')",1,0.0070921985815602835
21,"('taste',)",1.0,0.006993006993006993,"('japanese', 'restaurant')",1,0.007042253521126761,"('quiet', 'japanese', 'restaurant')",1,0.0070921985815602835
22,"('salmon',)",1.0,0.006993006993006993,"('quiet', 'japanese')",1,0.007042253521126761,"('classic', 'quiet', 'japanese')",1,0.0070921985815602835
23,"('emphasis',)",1.0,0.006993006993006993,"('classic', 'quiet')",1,0.007042253521126761,"('m', 'classic', 'quiet')",1,0.0070921985815602835
