,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",6.0,0.06896551724137931,"('restaurant', 'great')",2.0,0.023255813953488372,"('great', 'quality', 'really')",1,0.011764705882352941
1,"('really',)",4.0,0.04597701149425287,"('great', 'service')",2.0,0.023255813953488372,"('favorite', 'delicious', 'topnotch')",1,0.011764705882352941
2,"('delicious',)",4.0,0.04597701149425287,"('great', 'quality')",1.0,0.011627906976744186,"('frequent', 'bar', 'often')",1,0.011764705882352941
3,"('service',)",3.0,0.034482758620689655,"('favorite', 'delicious')",1.0,0.011627906976744186,"('elsmere', 'frequent', 'bar')",1,0.011764705882352941
4,"('roll',)",3.0,0.034482758620689655,"('elsmere', 'frequent')",1.0,0.011627906976744186,"('gem', 'elsmere', 'frequent')",1,0.011764705882352941
5,"('get',)",2.0,0.022988505747126436,"('gem', 'elsmere')",1.0,0.011627906976744186,"('service', 'gem', 'elsmere')",1,0.011764705882352941
6,"('quality',)",2.0,0.022988505747126436,"('service', 'gem')",1.0,0.011627906976744186,"('great', 'service', 'gem')",1,0.011764705882352941
7,"('restaurant',)",2.0,0.022988505747126436,"('quality', 'great')",1.0,0.011627906976744186,"('quality', 'great', 'service')",1,0.011764705882352941
8,"('first',)",2.0,0.022988505747126436,"('topnotch', 'quality')",1.0,0.011627906976744186,"('topnotch', 'quality', 'great')",1,0.011764705882352941
9,"('always',)",2.0,0.022988505747126436,"('delicious', 'topnotch')",1.0,0.011627906976744186,"('delicious', 'topnotch', 'quality')",1,0.011764705882352941
10,"('fresh',)",2.0,0.022988505747126436,"('prices', 'favorite')",1.0,0.011627906976744186,"('prices', 'favorite', 'delicious')",1,0.011764705882352941
11,"('basis',)",1.0,0.011494252873563218,"('bar', 'often')",1.0,0.011627906976744186,"('spot', 'fresh', 'delicious')",1,0.011764705882352941
12,"('name',)",1.0,0.011494252873563218,"('great', 'prices')",1.0,0.011627906976744186,"('great', 'prices', 'favorite')",1,0.011764705882352941
13,"('must',)",1.0,0.011494252873563218,"('yummy', 'great')",1.0,0.011627906976744186,"('yummy', 'great', 'prices')",1,0.011764705882352941
14,"('lover',)",1.0,0.011494252873563218,"('fresh', 'yummy')",1.0,0.011627906976744186,"('fresh', 'yummy', 'great')",1,0.011764705882352941
15,"('japanese',)",1.0,0.011494252873563218,"('really', 'fresh')",1.0,0.011627906976744186,"('really', 'fresh', 'yummy')",1,0.011764705882352941
16,"('love',)",1.0,0.011494252873563218,"('love', 'really')",1.0,0.011627906976744186,"('love', 'really', 'fresh')",1,0.011764705882352941
17,"('yummy',)",1.0,0.011494252873563218,"('lover', 'love')",1.0,0.011627906976744186,"('lover', 'love', 'really')",1,0.011764705882352941
18,"('prices',)",1.0,0.011494252873563218,"('must', 'lover')",1.0,0.011627906976744186,"('must', 'lover', 'love')",1,0.011764705882352941
19,"('favorite',)",1.0,0.011494252873563218,"('delicious', 'must')",1.0,0.011627906976744186,"('delicious', 'must', 'lover')",1,0.011764705882352941
20,"('topnotch',)",1.0,0.011494252873563218,"('frequent', 'bar')",1.0,0.011627906976744186,"('bar', 'often', 'friends')",1,0.011764705882352941
21,"('gem',)",1.0,0.011494252873563218,"('often', 'friends')",1.0,0.011627906976744186,"('often', 'friends', 'company')",1,0.011764705882352941
22,"('elsmere',)",1.0,0.011494252873563218,"('spot', 'fresh')",1.0,0.011627906976744186,"('friends', 'company', 'always')",1,0.011764705882352941
23,"('frequent',)",1.0,0.011494252873563218,"('im', 'always')",1.0,0.011627906976744186,"('company', 'always', 'treated')",1,0.011764705882352941
24,"('try',)",1.0,0.011494252873563218,"('great', 'excellent')",1.0,0.011627906976744186,"('restaurant', 'great', 'excellent')",1,0.011764705882352941
25,"('appetizers',)",1.0,0.011494252873563218,"('japanese', 'restaurant')",1.0,0.011627906976744186,"('japanese', 'restaurant', 'great')",1,0.011764705882352941
26,"('complimentary',)",1.0,0.011494252873563218,"('great', 'japanese')",1.0,0.011627906976744186,"('great', 'japanese', 'restaurant')",1,0.011764705882352941
27,"('bar',)",1.0,0.011494252873563218,"('try', 'great')",1.0,0.011627906976744186,"('try', 'great', 'japanese')",1,0.011764705882352941
28,"('often',)",1.0,0.011494252873563218,"('appetizers', 'try')",1.0,0.011627906976744186,"('appetizers', 'try', 'great')",1,0.011764705882352941
29,"('friends',)",1.0,0.011494252873563218,"('complimentary', 'appetizers')",1.0,0.011627906976744186,"('complimentary', 'appetizers', 'try')",1,0.011764705882352941
30,"('spot',)",1.0,0.011494252873563218,"('welcomed', 'complimentary')",1.0,0.011627906976744186,"('welcomed', 'complimentary', 'appetizers')",1,0.011764705882352941
31,"('welcomed',)",1.0,0.011494252873563218,"('always', 'welcomed')",1.0,0.011627906976744186,"('always', 'welcomed', 'complimentary')",1,0.011764705882352941
32,"('im',)",1.0,0.011494252873563218,"('basis', 'im')",1.0,0.011627906976744186,"('im', 'always', 'welcomed')",1,0.011764705882352941
33,"('treated',)",1.0,0.011494252873563218,"('friends', 'company')",1.0,0.011627906976744186,"('basis', 'im', 'always')",1,0.011764705882352941
34,"('well',)",1.0,0.011494252873563218,"('name', 'basis')",1.0,0.011627906976744186,"('name', 'basis', 'im')",1,0.011764705882352941
35,"('chefs',)",1.0,0.011494252873563218,"('first', 'name')",1.0,0.011627906976744186,"('first', 'name', 'basis')",1,0.011764705882352941
36,"('company',)",1.0,0.011494252873563218,"('chefs', 'first')",1.0,0.011627906976744186,"('chefs', 'first', 'name')",1,0.011764705882352941
