,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",5.0,0.04132231404958678,"('best', 'ever')",2.0,0.016666666666666666,"('spicy', 'tuna', 'crunch')",1,0.008403361344537815
1,"('good',)",4.0,0.03305785123966942,"('service', 'love')",2.0,0.016666666666666666,"('good', 'never', 'failed')",1,0.008403361344537815
2,"('love',)",3.0,0.024793388429752067,"('spicy', 'tuna')",1.0,0.008333333333333333,"('thanksgiveing', 'chrisrtmas', 'day')",1,0.008403361344537815
3,"('fresh',)",3.0,0.024793388429752067,"('good', 'never')",1.0,0.008333333333333333,"('open', 'thanksgiveing', 'chrisrtmas')",1,0.008403361344537815
4,"('best',)",3.0,0.024793388429752067,"('open', 'thanksgiveing')",1.0,0.008333333333333333,"('will', 'open', 'thanksgiveing')",1,0.008403361344537815
5,"('service',)",2.0,0.01652892561983471,"('will', 'open')",1.0,0.008333333333333333,"('delicious', 'will', 'open')",1,0.008403361344537815
6,"('special',)",2.0,0.01652892561983471,"('delicious', 'will')",1.0,0.008333333333333333,"('fresh', 'delicious', 'will')",1,0.008403361344537815
7,"('delicious',)",2.0,0.01652892561983471,"('fresh', 'delicious')",1.0,0.008333333333333333,"('presentation', 'fresh', 'delicious')",1,0.008403361344537815
8,"('hmart',)",2.0,0.01652892561983471,"('presentation', 'fresh')",1.0,0.008333333333333333,"('great', 'presentation', 'fresh')",1,0.008403361344537815
9,"('find',)",2.0,0.01652892561983471,"('great', 'presentation')",1.0,0.008333333333333333,"('back', 'great', 'presentation')",1,0.008403361344537815
10,"('ever',)",2.0,0.01652892561983471,"('back', 'great')",1.0,0.008333333333333333,"('coming', 'back', 'great')",1,0.008403361344537815
11,"('day',)",2.0,0.01652892561983471,"('coming', 'back')",1.0,0.008333333333333333,"('keep', 'coming', 'back')",1,0.008403361344537815
12,"('soup',)",2.0,0.01652892561983471,"('keep', 'coming')",1.0,0.008333333333333333,"('failed', 'keep', 'coming')",1,0.008403361344537815
13,"('eat',)",2.0,0.01652892561983471,"('failed', 'keep')",1.0,0.008333333333333333,"('never', 'failed', 'keep')",1,0.008403361344537815
14,"('order',)",2.0,0.01652892561983471,"('never', 'failed')",1.0,0.008333333333333333,"('always', 'good', 'never')",1,0.008403361344537815
15,"('always',)",2.0,0.01652892561983471,"('always', 'good')",1.0,0.008333333333333333,"('day', 'new', 'years')",1,0.008403361344537815
16,"('quick',)",2.0,0.01652892561983471,"('large', 'take')",1.0,0.008333333333333333,"('closer', 'always', 'good')",1,0.008403361344537815
17,"('regular',)",2.0,0.01652892561983471,"('closer', 'always')",1.0,0.008333333333333333,"('dont', 'closer', 'always')",1,0.008403361344537815
18,"('get',)",2.0,0.01652892561983471,"('dont', 'closer')",1.0,0.008333333333333333,"('u', 'dont', 'closer')",1,0.008403361344537815
19,"('affordable',)",1.0,0.008264462809917356,"('u', 'dont')",1.0,0.008333333333333333,"('pricey', 'u', 'dont')",1,0.008403361344537815
20,"('failed',)",1.0,0.008264462809917356,"('pricey', 'u')",1.0,0.008333333333333333,"('little', 'pricey', 'u')",1,0.008403361344537815
21,"('dinner',)",1.0,0.008264462809917356,"('little', 'pricey')",1.0,0.008333333333333333,"('good', 'little', 'pricey')",1,0.008403361344537815
22,"('presentation',)",1.0,0.008264462809917356,"('good', 'little')",1.0,0.008333333333333333,"('means', 'good', 'little')",1,0.008403361344537815
23,"('back',)",1.0,0.008264462809917356,"('means', 'good')",1.0,0.008333333333333333,"('untill', 'means', 'good')",1,0.008403361344537815
24,"('coming',)",1.0,0.008264462809917356,"('untill', 'means')",1.0,0.008333333333333333,"('regular', 'untill', 'means')",1,0.008403361344537815
25,"('keep',)",1.0,0.008264462809917356,"('regular', 'untill')",1.0,0.008333333333333333,"('fresh', 'regular', 'untill')",1,0.008403361344537815
26,"('never',)",1.0,0.008264462809917356,"('fresh', 'regular')",1.0,0.008333333333333333,"('make', 'fresh', 'regular')",1,0.008403361344537815
27,"('avocado',)",1.0,0.008264462809917356,"('make', 'fresh')",1.0,0.008333333333333333,"('orders', 'make', 'fresh')",1,0.008403361344537815
28,"('closer',)",1.0,0.008264462809917356,"('orders', 'make')",1.0,0.008333333333333333,"('chrisrtmas', 'day', 'new')",1,0.008403361344537815
29,"('kim',)",1.0,0.008264462809917356,"('thanksgiveing', 'chrisrtmas')",1.0,0.008333333333333333,"('new', 'years', 'day')",1,0.008403361344537815
30,"('dont',)",1.0,0.008264462809917356,"('chrisrtmas', 'day')",1.0,0.008333333333333333,"('large', 'take', 'orders')",1,0.008403361344537815
31,"('u',)",1.0,0.008264462809917356,"('day', 'new')",1.0,0.008333333333333333,"('delicious', 'great', 'service')",1,0.008403361344537815
32,"('pricey',)",1.0,0.008264462809917356,"('delicious', 'great')",1.0,0.008333333333333333,"('picking', 'dinner', 'kim')",1,0.008403361344537815
33,"('little',)",1.0,0.008264462809917356,"('dinner', 'kim')",1.0,0.008333333333333333,"('ubereats', 'picking', 'dinner')",1,0.008403361344537815
34,"('means',)",1.0,0.008264462809917356,"('picking', 'dinner')",1.0,0.008333333333333333,"('find', 'ubereats', 'picking')",1,0.008403361344537815
35,"('will',)",1.0,0.008264462809917356,"('ubereats', 'picking')",1.0,0.008333333333333333,"('now', 'find', 'ubereats')",1,0.008403361344537815
36,"('picking',)",1.0,0.008264462809917356,"('find', 'ubereats')",1.0,0.008333333333333333,"('can', 'now', 'find')",1,0.008403361344537815
37,"('open',)",1.0,0.008264462809917356,"('now', 'find')",1.0,0.008333333333333333,"('everything', 'can', 'now')",1,0.008403361344537815
38,"('thanksgiveing',)",1.0,0.008264462809917356,"('can', 'now')",1.0,0.008333333333333333,"('special', 'everything', 'can')",1,0.008403361344537815
39,"('udon',)",1.0,0.008264462809917356,"('everything', 'can')",1.0,0.008333333333333333,"('udon', 'special', 'everything')",1,0.008403361344537815
40,"('hands',)",1.0,0.008264462809917356,"('special', 'everything')",1.0,0.008333333333333333,"('avocado', 'udon', 'special')",1,0.008403361344537815
41,"('days',)",1.0,0.008264462809917356,"('udon', 'special')",1.0,0.008333333333333333,"('love', 'avocado', 'udon')",1,0.008403361344537815
42,"('two',)",1.0,0.008264462809917356,"('avocado', 'udon')",1.0,0.008333333333333333,"('service', 'love', 'avocado')",1,0.008403361344537815
43,"('tray',)",1.0,0.008264462809917356,"('love', 'avocado')",1.0,0.008333333333333333,"('great', 'service', 'love')",1,0.008403361344537815
44,"('everything',)",1.0,0.008264462809917356,"('great', 'service')",1.0,0.008333333333333333,"('affordable', 'delicious', 'great')",1,0.008403361344537815
45,"('party',)",1.0,0.008264462809917356,"('affordable', 'delicious')",1.0,0.008333333333333333,"('years', 'day', 'please')",1,0.008403361344537815
46,"('please',)",1.0,0.008264462809917356,"('new', 'years')",1.0,0.008333333333333333,"('good', 'affordable', 'delicious')",1,0.008403361344537815
47,"('make',)",1.0,0.008264462809917356,"('good', 'affordable')",1.0,0.008333333333333333,"('hands', 'good', 'affordable')",1,0.008403361344537815
48,"('years',)",1.0,0.008264462809917356,"('hands', 'good')",1.0,0.008333333333333333,"('ever', 'hands', 'good')",1,0.008403361344537815
49,"('new',)",1.0,0.008264462809917356,"('ever', 'hands')",1.0,0.008333333333333333,"('best', 'ever', 'hands')",1,0.008403361344537815
50,"('can',)",1.0,0.008264462809917356,"('great', 'best')",1.0,0.008333333333333333,"('great', 'best', 'ever')",1,0.008403361344537815
51,"('now',)",1.0,0.008264462809917356,"('days', 'great')",1.0,0.008333333333333333,"('days', 'great', 'best')",1,0.008403361344537815
52,"('ubereats',)",1.0,0.008264462809917356,"('two', 'days')",1.0,0.008333333333333333,"('two', 'days', 'great')",1,0.008403361344537815
53,"('chrisrtmas',)",1.0,0.008264462809917356,"('tray', 'two')",1.0,0.008333333333333333,"('tray', 'two', 'days')",1,0.008403361344537815
54,"('untill',)",1.0,0.008264462809917356,"('party', 'tray')",1.0,0.008333333333333333,"('party', 'tray', 'two')",1,0.008403361344537815
55,"('spicy',)",1.0,0.008264462809917356,"('order', 'party')",1.0,0.008333333333333333,"('order', 'party', 'tray')",1,0.008403361344537815
56,"('orders',)",1.0,0.008264462809917356,"('please', 'order')",1.0,0.008333333333333333,"('please', 'order', 'party')",1,0.008403361344537815
57,"('dollar',)",1.0,0.008264462809917356,"('day', 'please')",1.0,0.008333333333333333,"('day', 'please', 'order')",1,0.008403361344537815
58,"('perfect',)",1.0,0.008264462809917356,"('years', 'day')",1.0,0.008333333333333333,"('take', 'orders', 'make')",1,0.008403361344537815
59,"('included',)",1.0,0.008264462809917356,"('take', 'orders')",1.0,0.008333333333333333,"('ahead', 'large', 'take')",1,0.008403361344537815
