,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('buffet',)",7.0,0.03977272727272727,"('black', 'pepper')",2.0,0.011428571428571429,"('fried', 'chicken', 'lunch')",1,0.005747126436781609
1,"('great',)",6.0,0.03409090909090909,"('great', 'price')",2.0,0.011428571428571429,"('things', 'much', 'better')",1,0.005747126436781609
2,"('best',)",3.0,0.017045454545454544,"('fried', 'chicken')",1.0,0.005714285714285714,"('sure', 'notice', 'positive')",1,0.005747126436781609
3,"('lunch',)",3.0,0.017045454545454544,"('better', 'deteriorated')",1.0,0.005714285714285714,"('notice', 'positive', 'reviews')",1,0.005747126436781609
4,"('like',)",3.0,0.017045454545454544,"('reviews', 'recent')",1.0,0.005714285714285714,"('positive', 'reviews', 'recent')",1,0.005747126436781609
5,"('price',)",3.0,0.017045454545454544,"('recent', 'ive')",1.0,0.005714285714285714,"('reviews', 'recent', 'ive')",1,0.005747126436781609
6,"('selection',)",3.0,0.017045454545454544,"('ive', 'past')",1.0,0.005714285714285714,"('recent', 'ive', 'past')",1,0.005747126436781609
7,"('hibachi',)",3.0,0.017045454545454544,"('past', 'years')",1.0,0.005714285714285714,"('ive', 'past', 'years')",1,0.005747126436781609
8,"('little',)",2.0,0.011363636363636364,"('years', 'things')",1.0,0.005714285714285714,"('past', 'years', 'things')",1,0.005747126436781609
9,"('time',)",2.0,0.011363636363636364,"('things', 'much')",1.0,0.005714285714285714,"('years', 'things', 'much')",1,0.005747126436781609
10,"('hot',)",2.0,0.011363636363636364,"('much', 'better')",1.0,0.005714285714285714,"('much', 'better', 'deteriorated')",1,0.005747126436781609
11,"('first',)",2.0,0.011363636363636364,"('deteriorated', 'greatly')",1.0,0.005714285714285714,"('will', 'return', 'sure')",1,0.005747126436781609
12,"('shrimp',)",2.0,0.011363636363636364,"('notice', 'positive')",1.0,0.005714285714285714,"('better', 'deteriorated', 'greatly')",1,0.005747126436781609
13,"('pepper',)",2.0,0.011363636363636364,"('greatly', 'delicious')",1.0,0.005714285714285714,"('deteriorated', 'greatly', 'delicious')",1,0.005747126436781609
14,"('black',)",2.0,0.011363636363636364,"('delicious', 'clean')",1.0,0.005714285714285714,"('greatly', 'delicious', 'clean')",1,0.005747126436781609
15,"('good',)",2.0,0.011363636363636364,"('clean', 'hot')",1.0,0.005714285714285714,"('delicious', 'clean', 'hot')",1,0.005747126436781609
16,"('clean',)",2.0,0.011363636363636364,"('hot', 'great')",1.0,0.005714285714285714,"('clean', 'hot', 'great')",1,0.005747126436781609
17,"('sure',)",2.0,0.011363636363636364,"('great', 'buffet')",1.0,0.005714285714285714,"('hot', 'great', 'buffet')",1,0.005747126436781609
18,"('get',)",2.0,0.011363636363636364,"('buffet', 'never')",1.0,0.005714285714285714,"('great', 'buffet', 'never')",1,0.005747126436781609
19,"('chicken',)",2.0,0.011363636363636364,"('never', 'busy')",1.0,0.005714285714285714,"('buffet', 'never', 'busy')",1,0.005747126436781609
20,"('buffetits',)",1.0,0.005681818181818182,"('busy', 'large')",1.0,0.005714285714285714,"('return', 'sure', 'notice')",1,0.005747126436781609
21,"('past',)",1.0,0.005681818181818182,"('positive', 'reviews')",1.0,0.005714285714285714,"('price', 'will', 'return')",1,0.005747126436781609
22,"('delicious',)",1.0,0.005681818181818182,"('sure', 'notice')",1.0,0.005714285714285714,"('busy', 'large', 'groups')",1,0.005747126436781609
23,"('greatly',)",1.0,0.005681818181818182,"('groups', 'handled')",1.0,0.005714285714285714,"('ask', 'soda', 'want')",1,0.005747126436781609
24,"('deteriorated',)",1.0,0.005681818181818182,"('want', 'like')",1.0,0.005714285714285714,"('lunch', 'buffet', 'great')",1,0.005747126436781609
25,"('better',)",1.0,0.005681818181818182,"('great', 'value')",1.0,0.005714285714285714,"('buffet', 'great', 'value')",1,0.005747126436781609
26,"('slick',)",1.0,0.005681818181818182,"('value', 'careful')",1.0,0.005714285714285714,"('great', 'value', 'careful')",1,0.005747126436781609
27,"('much',)",1.0,0.005681818181818182,"('careful', 'little')",1.0,0.005714285714285714,"('value', 'careful', 'little')",1,0.005747126436781609
28,"('things',)",1.0,0.005681818181818182,"('little', 'slick')",1.0,0.005714285714285714,"('careful', 'little', 'slick')",1,0.005747126436781609
29,"('years',)",1.0,0.005681818181818182,"('slick', 'theyll')",1.0,0.005714285714285714,"('little', 'slick', 'theyll')",1,0.005747126436781609
30,"('theyll',)",1.0,0.005681818181818182,"('theyll', 'ask')",1.0,0.005714285714285714,"('slick', 'theyll', 'ask')",1,0.005747126436781609
31,"('ask',)",1.0,0.005681818181818182,"('ask', 'soda')",1.0,0.005714285714285714,"('theyll', 'ask', 'soda')",1,0.005747126436781609
32,"('ive',)",1.0,0.005681818181818182,"('soda', 'want')",1.0,0.005714285714285714,"('soda', 'want', 'like')",1,0.005747126436781609
33,"('opted',)",1.0,0.005681818181818182,"('like', 'part')",1.0,0.005714285714285714,"('great', 'price', 'will')",1,0.005747126436781609
34,"('soda',)",1.0,0.005681818181818182,"('return', 'sure')",1.0,0.005714285714285714,"('want', 'like', 'part')",1,0.005747126436781609
35,"('want',)",1.0,0.005681818181818182,"('part', 'price')",1.0,0.005714285714285714,"('like', 'part', 'price')",1,0.005747126436781609
36,"('recent',)",1.0,0.005681818181818182,"('price', 'buffetits')",1.0,0.005714285714285714,"('part', 'price', 'buffetits')",1,0.005747126436781609
37,"('reviews',)",1.0,0.005681818181818182,"('buffetits', 'best')",1.0,0.005714285714285714,"('price', 'buffetits', 'best')",1,0.005747126436781609
38,"('positive',)",1.0,0.005681818181818182,"('best', 'opted')",1.0,0.005714285714285714,"('buffetits', 'best', 'opted')",1,0.005747126436781609
39,"('never',)",1.0,0.005681818181818182,"('opted', 'great')",1.0,0.005714285714285714,"('best', 'opted', 'great')",1,0.005747126436781609
40,"('return',)",1.0,0.005681818181818182,"('great', 'great')",1.0,0.005714285714285714,"('opted', 'great', 'great')",1,0.005747126436781609
41,"('part',)",1.0,0.005681818181818182,"('price', 'will')",1.0,0.005714285714285714,"('great', 'great', 'price')",1,0.005747126436781609
42,"('will',)",1.0,0.005681818181818182,"('will', 'return')",1.0,0.005714285714285714,"('never', 'busy', 'large')",1,0.005747126436781609
43,"('notice',)",1.0,0.005681818181818182,"('large', 'groups')",1.0,0.005714285714285714,"('large', 'groups', 'handled')",1,0.005747126436781609
44,"('fried',)",1.0,0.005681818181818182,"('handled', 'ease')",1.0,0.005714285714285714,"('chicken', 'lunch', 'new')",1,0.005747126436781609
45,"('busy',)",1.0,0.005681818181818182,"('lunch', 'buffet')",1.0,0.005714285714285714,"('get', '3', 'plates')",1,0.005747126436781609
46,"('always',)",1.0,0.005681818181818182,"('3', 'plates')",1.0,0.005714285714285714,"('hibachi', 'grill', 'love')",1,0.005747126436781609
47,"('come',)",1.0,0.005681818181818182,"('grill', 'love')",1.0,0.005714285714285714,"('grill', 'love', 'hibachi')",1,0.005747126436781609
48,"('awesome',)",1.0,0.005681818181818182,"('love', 'hibachi')",1.0,0.005714285714285714,"('love', 'hibachi', 'get')",1,0.005747126436781609
49,"('nice',)",1.0,0.005681818181818182,"('hibachi', 'get')",1.0,0.005714285714285714,"('hibachi', 'get', 'little')",1,0.005747126436781609
50,"('grill',)",1.0,0.005681818181818182,"('get', 'little')",1.0,0.005714285714285714,"('get', 'little', 'ninjas')",1,0.005747126436781609
51,"('love',)",1.0,0.005681818181818182,"('little', 'ninjas')",1.0,0.005714285714285714,"('little', 'ninjas', 'always')",1,0.005747126436781609
52,"('ninjas',)",1.0,0.005681818181818182,"('ninjas', 'always')",1.0,0.005714285714285714,"('ninjas', 'always', 'get')",1,0.005747126436781609
53,"('3',)",1.0,0.005681818181818182,"('always', 'get')",1.0,0.005714285714285714,"('always', 'get', '3')",1,0.005747126436781609
54,"('large',)",1.0,0.005681818181818182,"('get', '3')",1.0,0.005714285714285714,"('3', 'plates', 'full')",1,0.005747126436781609
55,"('plates',)",1.0,0.005681818181818182,"('plates', 'full')",1.0,0.005714285714285714,"('nice', 'selection', 'hibachi')",1,0.005747126436781609
56,"('full',)",1.0,0.005681818181818182,"('ease', 'staff')",1.0,0.005714285714285714,"('plates', 'full', 'supreme')",1,0.005747126436781609
57,"('supreme',)",1.0,0.005681818181818182,"('full', 'supreme')",1.0,0.005714285714285714,"('full', 'supreme', 'dried')",1,0.005747126436781609
58,"('dried',)",1.0,0.005681818181818182,"('supreme', 'dried')",1.0,0.005714285714285714,"('supreme', 'dried', 'overall')",1,0.005747126436781609
59,"('overall',)",1.0,0.005681818181818182,"('dried', 'overall')",1.0,0.005714285714285714,"('dried', 'overall', 'bad')",1,0.005747126436781609
60,"('bad',)",1.0,0.005681818181818182,"('overall', 'bad')",1.0,0.005714285714285714,"('overall', 'bad', 'quality')",1,0.005747126436781609
61,"('thats',)",1.0,0.005681818181818182,"('bad', 'quality')",1.0,0.005714285714285714,"('bad', 'quality', 'great')",1,0.005747126436781609
62,"('4pm',)",1.0,0.005681818181818182,"('quality', 'great')",1.0,0.005714285714285714,"('quality', 'great', 'clean')",1,0.005747126436781609
63,"('going',)",1.0,0.005681818181818182,"('great', 'clean')",1.0,0.005714285714285714,"('great', 'clean', 'good')",1,0.005747126436781609
64,"('variety',)",1.0,0.005681818181818182,"('clean', 'good')",1.0,0.005714285714285714,"('selection', 'hibachi', 'grill')",1,0.005747126436781609
65,"('wide',)",1.0,0.005681818181818182,"('hibachi', 'grill')",1.0,0.005714285714285714,"('awesome', 'nice', 'selection')",1,0.005747126436781609
66,"('scampered',)",1.0,0.005681818181818182,"('selection', 'hibachi')",1.0,0.005714285714285714,"('groups', 'handled', 'ease')",1,0.005747126436781609
67,"('islands',)",1.0,0.005681818181818182,"('nice', 'selection')",1.0,0.005714285714285714,"('us', 'islands', 'scampered')",1,0.005747126436781609
68,"('us',)",1.0,0.005681818181818182,"('awesome', 'nice')",1.0,0.005714285714285714,"('handled', 'ease', 'staff')",1,0.005747126436781609
69,"('seated',)",1.0,0.005681818181818182,"('staff', 'courteous')",1.0,0.005714285714285714,"('ease', 'staff', 'courteous')",1,0.005747126436781609
70,"('greeted',)",1.0,0.005681818181818182,"('courteous', 'lots')",1.0,0.005714285714285714,"('staff', 'courteous', 'lots')",1,0.005747126436781609
71,"('smiles',)",1.0,0.005681818181818182,"('lots', 'smiles')",1.0,0.005714285714285714,"('courteous', 'lots', 'smiles')",1,0.005747126436781609
72,"('lots',)",1.0,0.005681818181818182,"('smiles', 'greeted')",1.0,0.005714285714285714,"('lots', 'smiles', 'greeted')",1,0.005747126436781609
73,"('courteous',)",1.0,0.005681818181818182,"('greeted', 'seated')",1.0,0.005714285714285714,"('smiles', 'greeted', 'seated')",1,0.005747126436781609
74,"('staff',)",1.0,0.005681818181818182,"('seated', 'us')",1.0,0.005714285714285714,"('greeted', 'seated', 'us')",1,0.005747126436781609
75,"('careful',)",1.0,0.005681818181818182,"('us', 'islands')",1.0,0.005714285714285714,"('seated', 'us', 'islands')",1,0.005747126436781609
76,"('handled',)",1.0,0.005681818181818182,"('islands', 'scampered')",1.0,0.005714285714285714,"('islands', 'scampered', 'wide')",1,0.005747126436781609
77,"('groups',)",1.0,0.005681818181818182,"('scampered', 'wide')",1.0,0.005714285714285714,"('come', 'awesome', 'nice')",1,0.005747126436781609
78,"('ease',)",1.0,0.005681818181818182,"('wide', 'variety')",1.0,0.005714285714285714,"('scampered', 'wide', 'variety')",1,0.005747126436781609
79,"('huge',)",1.0,0.005681818181818182,"('variety', 'like')",1.0,0.005714285714285714,"('wide', 'variety', 'like')",1,0.005747126436781609
80,"('value',)",1.0,0.005681818181818182,"('like', 'going')",1.0,0.005714285714285714,"('variety', 'like', 'going')",1,0.005747126436781609
81,"('workers',)",1.0,0.005681818181818182,"('going', '4pm')",1.0,0.005714285714285714,"('like', 'going', '4pm')",1,0.005747126436781609
