,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",9.0,0.04639175257731959,"('great', 'service')",3.0,0.015544041450777202,"('trust', 'google', 'maps')",1,0.005208333333333333
1,"('fresh',)",5.0,0.02577319587628866,"('highly', 'recommend')",2.0,0.010362694300518135,"('google', 'maps', 'get')",1,0.005208333333333333
2,"('service',)",5.0,0.02577319587628866,"('service', 'great')",2.0,0.010362694300518135,"('fishy', 'staff', 'pleasant')",1,0.005208333333333333
3,"('soup',)",4.0,0.020618556701030927,"('happy', 'hour')",2.0,0.010362694300518135,"('staff', 'pleasant', 'smells')",1,0.005208333333333333
4,"('love',)",4.0,0.020618556701030927,"('trust', 'google')",1.0,0.0051813471502590676,"('pleasant', 'smells', 'awful')",1,0.005208333333333333
5,"('restaurant',)",4.0,0.020618556701030927,"('downhill', 'fast')",1.0,0.0051813471502590676,"('smells', 'awful', 'seems')",1,0.005208333333333333
6,"('yum',)",4.0,0.020618556701030927,"('fishy', 'staff')",1.0,0.0051813471502590676,"('awful', 'seems', 'going')",1,0.005208333333333333
7,"('prices',)",3.0,0.015463917525773196,"('staff', 'pleasant')",1.0,0.0051813471502590676,"('seems', 'going', 'downhill')",1,0.005208333333333333
8,"('good',)",3.0,0.015463917525773196,"('pleasant', 'smells')",1.0,0.0051813471502590676,"('going', 'downhill', 'fast')",1,0.005208333333333333
9,"('best',)",3.0,0.015463917525773196,"('smells', 'awful')",1.0,0.0051813471502590676,"('downhill', 'fast', 'bring')",1,0.005208333333333333
10,"('recommend',)",3.0,0.015463917525773196,"('awful', 'seems')",1.0,0.0051813471502590676,"('fast', 'bring', 'coat')",1,0.005208333333333333
11,"('try',)",3.0,0.015463917525773196,"('seems', 'going')",1.0,0.0051813471502590676,"('bring', 'coat', 'keep')",1,0.005208333333333333
12,"('get',)",3.0,0.015463917525773196,"('going', 'downhill')",1.0,0.0051813471502590676,"('coat', 'keep', 'freezing')",1,0.005208333333333333
13,"('hour',)",2.0,0.010309278350515464,"('bring', 'coat')",1.0,0.0051813471502590676,"('keep', 'freezing', 'restaurant')",1,0.005208333333333333
14,"('whole',)",2.0,0.010309278350515464,"('fast', 'bring')",1.0,0.0051813471502590676,"('freezing', 'restaurant', 'owners')",1,0.005208333333333333
15,"('around',)",2.0,0.010309278350515464,"('fresh', 'never')",1.0,0.0051813471502590676,"('restaurant', 'owners', 'grille')",1,0.005208333333333333
16,"('always',)",2.0,0.010309278350515464,"('coat', 'keep')",1.0,0.0051813471502590676,"('owners', 'grille', '54')",1,0.005208333333333333
17,"('big',)",2.0,0.010309278350515464,"('keep', 'freezing')",1.0,0.0051813471502590676,"('grille', '54', 'closed')",1,0.005208333333333333
18,"('highly',)",2.0,0.010309278350515464,"('freezing', 'restaurant')",1.0,0.0051813471502590676,"('54', 'closed', 'health')",1,0.005208333333333333
19,"('happy',)",2.0,0.010309278350515464,"('restaurant', 'owners')",1.0,0.0051813471502590676,"('closed', 'health', 'violations')",1,0.005208333333333333
20,"('bring',)",2.0,0.010309278350515464,"('owners', 'grille')",1.0,0.0051813471502590676,"('health', 'violations', 'plus')",1,0.005208333333333333
21,"('cant',)",2.0,0.010309278350515464,"('grille', '54')",1.0,0.0051813471502590676,"('violations', 'plus', 'yummy')",1,0.005208333333333333
