,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",10.0,0.049019607843137254,"('crazy', 'dog')",3.0,0.014778325123152709,"('e', 'lee', 'instead')",2,0.009900990099009901
1,"('good',)",8.0,0.0392156862745098,"('lee', 'instead')",2.0,0.009852216748768473,"('robert', 'e', 'lee')",2,0.009900990099009901
2,"('love',)",5.0,0.024509803921568627,"('e', 'lee')",2.0,0.009852216748768473,"('yummy', 'robert', 'e')",2,0.009900990099009901
3,"('service',)",5.0,0.024509803921568627,"('good', 'time')",2.0,0.009852216748768473,"('yummy', 'yummy', 'robert')",2,0.009900990099009901
4,"('yummy',)",4.0,0.0196078431372549,"('robert', 'e')",2.0,0.009852216748768473,"('try', 'yummy', 'yummy')",2,0.009900990099009901
5,"('always',)",3.0,0.014705882352941176,"('yummy', 'robert')",2.0,0.009852216748768473,"('great', 'quality', 'little')",1,0.0049504950495049506
6,"('spot',)",3.0,0.014705882352941176,"('great', 'price')",2.0,0.009852216748768473,"('good', 'always', 'fresh')",1,0.0049504950495049506
7,"('salmon',)",3.0,0.014705882352941176,"('yummy', 'yummy')",2.0,0.009852216748768473,"('high', 'school', 'love')",1,0.0049504950495049506
8,"('go',)",3.0,0.014705882352941176,"('try', 'yummy')",2.0,0.009852216748768473,"('school', 'love', 'favorite')",1,0.0049504950495049506
9,"('small',)",3.0,0.014705882352941176,"('good', 'always')",1.0,0.0049261083743842365,"('love', 'favorite', 'love')",1,0.0049504950495049506
10,"('roll',)",3.0,0.014705882352941176,"('love', 'favorite')",1.0,0.0049261083743842365,"('favorite', 'love', 'love')",1,0.0049504950495049506
11,"('crazy',)",3.0,0.014705882352941176,"('favorite', 'love')",1.0,0.0049261083743842365,"('love', 'love', 'good')",1,0.0049504950495049506
12,"('favorite',)",3.0,0.014705882352941176,"('love', 'love')",1.0,0.0049261083743842365,"('love', 'good', 'always')",1,0.0049504950495049506
13,"('try',)",3.0,0.014705882352941176,"('love', 'good')",1.0,0.0049261083743842365,"('always', 'fresh', 'best')",1,0.0049504950495049506
14,"('dog',)",3.0,0.014705882352941176,"('always', 'fresh')",1.0,0.0049261083743842365,"('going', 'since', 'high')",1,0.0049504950495049506
15,"('going',)",3.0,0.014705882352941176,"('high', 'school')",1.0,0.0049261083743842365,"('fresh', 'best', 'ever')",1,0.0049504950495049506
16,"('robert',)",2.0,0.00980392156862745,"('fresh', 'best')",1.0,0.0049261083743842365,"('best', 'ever', 'inexpensive')",1,0.0049504950495049506
17,"('still',)",2.0,0.00980392156862745,"('best', 'ever')",1.0,0.0049261083743842365,"('ever', 'inexpensive', 'high')",1,0.0049504950495049506
