,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('service',)",5.0,0.049019607843137254,"('best', 'south')",2,0.019801980198019802,"('way', 'better', 'original')",1,0.01
1,"('best',)",4.0,0.0392156862745098,"('odd', 'surroundings')",1,0.009900990099009901,"('ive', 'many', 'odd')",1,0.01
2,"('great',)",3.0,0.029411764705882353,"('staff', 'return')",1,0.009900990099009901,"('clean', 'attentive', 'staff')",1,0.01
3,"('excellent',)",3.0,0.029411764705882353,"('attentive', 'staff')",1,0.009900990099009901,"('fast', 'clean', 'attentive')",1,0.01
4,"('try',)",2.0,0.0196078431372549,"('clean', 'attentive')",1,0.009900990099009901,"('fire', 'fast', 'clean')",1,0.01
5,"('back',)",2.0,0.0196078431372549,"('fast', 'clean')",1,0.009900990099009901,"('rangoon', 'fire', 'fast')",1,0.01
6,"('price',)",2.0,0.0196078431372549,"('fire', 'fast')",1,0.009900990099009901,"('crab', 'rangoon', 'fire')",1,0.01
7,"('crab',)",2.0,0.0196078431372549,"('rangoon', 'fire')",1,0.009900990099009901,"('worth', 'crab', 'rangoon')",1,0.01
8,"('nice',)",2.0,0.0196078431372549,"('crab', 'rangoon')",1,0.009900990099009901,"('ambiance', 'worth', 'crab')",1,0.01
9,"('love',)",2.0,0.0196078431372549,"('worth', 'crab')",1,0.009900990099009901,"('surroundings', 'ambiance', 'worth')",1,0.01
10,"('quality',)",2.0,0.0196078431372549,"('ambiance', 'worth')",1,0.009900990099009901,"('odd', 'surroundings', 'ambiance')",1,0.01
11,"('fresh',)",2.0,0.0196078431372549,"('surroundings', 'ambiance')",1,0.009900990099009901,"('many', 'odd', 'surroundings')",1,0.01
12,"('south',)",2.0,0.0196078431372549,"('many', 'odd')",1,0.009900990099009901,"('good', 'ive', 'many')",1,0.01
13,"('good',)",2.0,0.0196078431372549,"('far', 'excellent')",1,0.009900990099009901,"('better', 'original', 'club')",1,0.01
14,"('club',)",2.0,0.0196078431372549,"('ive', 'many')",1,0.009900990099009901,"('pretty', 'good', 'ive')",1,0.01
15,"('fast',)",2.0,0.0196078431372549,"('good', 'ive')",1,0.009900990099009901,"('price', 'pretty', 'good')",1,0.01
16,"('attentive',)",1.0,0.00980392156862745,"('pretty', 'good')",1,0.009900990099009901,"('ayca', 'price', 'pretty')",1,0.01
17,"('clean',)",1.0,0.00980392156862745,"('price', 'pretty')",1,0.009900990099009901,"('quality', 'ayca', 'price')",1,0.01
18,"('way',)",1.0,0.00980392156862745,"('ayca', 'price')",1,0.009900990099009901,"('excellent', 'quality', 'ayca')",1,0.01
19,"('rangoon',)",1.0,0.00980392156862745,"('quality', 'ayca')",1,0.009900990099009901,"('back', 'excellent', 'quality')",1,0.01
20,"('worth',)",1.0,0.00980392156862745,"('excellent', 'quality')",1,0.009900990099009901,"('will', 'back', 'excellent')",1,0.01
21,"('ambiance',)",1.0,0.00980392156862745,"('back', 'excellent')",1,0.009900990099009901,"('service', 'will', 'back')",1,0.01
22,"('surroundings',)",1.0,0.00980392156862745,"('will', 'back')",1,0.009900990099009901,"('excellent', 'service', 'will')",1,0.01
23,"('odd',)",1.0,0.00980392156862745,"('service', 'will')",1,0.009900990099009901,"('far', 'excellent', 'service')",1,0.01
24,"('many',)",1.0,0.00980392156862745,"('return', 'delicious')",1,0.009900990099009901,"('attentive', 'staff', 'return')",1,0.01
25,"('ive',)",1.0,0.00980392156862745,"('way', 'better')",1,0.009900990099009901,"('staff', 'return', 'delicious')",1,0.01
26,"('pretty',)",1.0,0.00980392156862745,"('delicious', 'fast')",1,0.009900990099009901,"('return', 'delicious', 'fast')",1,0.01
27,"('fire',)",1.0,0.00980392156862745,"('fast', 'avoid')",1,0.009900990099009901,"('delicious', 'fast', 'avoid')",1,0.01
28,"('return',)",1.0,0.00980392156862745,"('waiters', 'nice')",1,0.009900990099009901,"('love', 'waiters', 'nice')",1,0.01
29,"('staff',)",1.0,0.00980392156862745,"('love', 'waiters')",1,0.009900990099009901,"('service', 'love', 'waiters')",1,0.01
30,"('bang',)",1.0,0.00980392156862745,"('service', 'love')",1,0.009900990099009901,"('wonderful', 'service', 'love')",1,0.01
31,"('waiters',)",1.0,0.00980392156862745,"('wonderful', 'service')",1,0.009900990099009901,"('fresh', 'wonderful', 'service')",1,0.01
32,"('wonderful',)",1.0,0.00980392156862745,"('fresh', 'wonderful')",1,0.009900990099009901,"('prices', 'fresh', 'wonderful')",1,0.01
33,"('prices',)",1.0,0.00980392156862745,"('prices', 'fresh')",1,0.009900990099009901,"('great', 'prices', 'fresh')",1,0.01
34,"('always',)",1.0,0.00980392156862745,"('great', 'prices')",1,0.009900990099009901,"('service', 'great', 'prices')",1,0.01
35,"('places',)",1.0,0.00980392156862745,"('service', 'great')",1,0.009900990099009901,"('great', 'service', 'great')",1,0.01
36,"('buck',)",1.0,0.00980392156862745,"('great', 'service')",1,0.009900990099009901,"('fresh', 'great', 'service')",1,0.01
37,"('mediocre',)",1.0,0.00980392156862745,"('fresh', 'great')",1,0.009900990099009901,"('always', 'fresh', 'great')",1,0.01
38,"('will',)",1.0,0.00980392156862745,"('always', 'fresh')",1,0.009900990099009901,"('places', 'always', 'fresh')",1,0.01
39,"('plain',)",1.0,0.00980392156862745,"('places', 'always')",1,0.009900990099009901,"('buck', 'places', 'always')",1,0.01
40,"('interior',)",1.0,0.00980392156862745,"('buck', 'places')",1,0.009900990099009901,"('bang', 'buck', 'places')",1,0.01
41,"('selection',)",1.0,0.00980392156862745,"('bang', 'buck')",1,0.009900990099009901,"('best', 'bang', 'buck')",1,0.01
42,"('limited',)",1.0,0.00980392156862745,"('best', 'bang')",1,0.009900990099009901,"('mediocre', 'best', 'bang')",1,0.01
43,"('avoid',)",1.0,0.00980392156862745,"('mediocre', 'best')",1,0.009900990099009901,"('plain', 'mediocre', 'best')",1,0.01
44,"('delicious',)",1.0,0.00980392156862745,"('plain', 'mediocre')",1,0.009900990099009901,"('interior', 'plain', 'mediocre')",1,0.01
45,"('ayca',)",1.0,0.00980392156862745,"('interior', 'plain')",1,0.009900990099009901,"('selection', 'interior', 'plain')",1,0.01
46,"('rangoons',)",1.0,0.00980392156862745,"('selection', 'interior')",1,0.009900990099009901,"('limited', 'selection', 'interior')",1,0.01
47,"('far',)",1.0,0.00980392156862745,"('limited', 'selection')",1,0.009900990099009901,"('avoid', 'limited', 'selection')",1,0.01
48,"('sideby',)",1.0,0.00980392156862745,"('avoid', 'limited')",1,0.009900990099009901,"('fast', 'avoid', 'limited')",1,0.01
49,"('original',)",1.0,0.00980392156862745,"('excellent', 'service')",1,0.009900990099009901,"('sideby', 'far', 'excellent')",1,0.01
50,"('10th',)",1.0,0.00980392156862745,"('sideby', 'far')",1,0.009900990099009901,"('south', 'sideby', 'far')",1,0.01
51,"('st',)",1.0,0.00980392156862745,"('better', 'original')",1,0.009900990099009901,"('best', 'south', 'sideby')",1,0.01
52,"('sister',)",1.0,0.00980392156862745,"('ayce', 'best')",1,0.009900990099009901,"('ayce', 'best', 'south')",1,0.01
53,"('location',)",1.0,0.00980392156862745,"('dessert', 'love')",1,0.009900990099009901,"('dessert', 'love', 'ayce')",1,0.01
54,"('closer',)",1.0,0.00980392156862745,"('cheesecake', 'dessert')",1,0.009900990099009901,"('cheesecake', 'dessert', 'love')",1,0.01
55,"('meeeee',)",1.0,0.00980392156862745,"('fried', 'cheesecake')",1,0.009900990099009901,"('fried', 'cheesecake', 'dessert')",1,0.01
56,"('dirty',)",1.0,0.00980392156862745,"('try', 'fried')",1,0.009900990099009901,"('try', 'fried', 'cheesecake')",1,0.01
57,"('crowded',)",1.0,0.00980392156862745,"('indi', 'try')",1,0.009900990099009901,"('indi', 'try', 'fried')",1,0.01
58,"('slow',)",1.0,0.00980392156862745,"('best', 'indi')",1,0.009900990099009901,"('best', 'indi', 'try')",1,0.01
59,"('wont',)",1.0,0.00980392156862745,"('back', 'best')",1,0.009900990099009901,"('back', 'best', 'indi')",1,0.01
60,"('indi',)",1.0,0.00980392156862745,"('wont', 'back')",1,0.009900990099009901,"('wont', 'back', 'best')",1,0.01
61,"('fried',)",1.0,0.00980392156862745,"('service', 'wont')",1,0.009900990099009901,"('service', 'wont', 'back')",1,0.01
62,"('cheesecake',)",1.0,0.00980392156862745,"('slow', 'service')",1,0.009900990099009901,"('slow', 'service', 'wont')",1,0.01
63,"('dessert',)",1.0,0.00980392156862745,"('crowded', 'slow')",1,0.009900990099009901,"('crowded', 'slow', 'service')",1,0.01
64,"('ayce',)",1.0,0.00980392156862745,"('dirty', 'crowded')",1,0.009900990099009901,"('dirty', 'crowded', 'slow')",1,0.01
65,"('side',)",1.0,0.00980392156862745,"('meeeee', 'dirty')",1,0.009900990099009901,"('meeeee', 'dirty', 'crowded')",1,0.01
66,"('go',)",1.0,0.00980392156862745,"('closer', 'meeeee')",1,0.009900990099009901,"('closer', 'meeeee', 'dirty')",1,0.01
67,"('hungry',)",1.0,0.00980392156862745,"('location', 'closer')",1,0.009900990099009901,"('location', 'closer', 'meeeee')",1,0.01
68,"('new',)",1.0,0.00980392156862745,"('sister', 'location')",1,0.009900990099009901,"('sister', 'location', 'closer')",1,0.01
69,"('favorite',)",1.0,0.00980392156862745,"('st', 'sister')",1,0.009900990099009901,"('st', 'sister', 'location')",1,0.01
70,"('shrimp',)",1.0,0.00980392156862745,"('10th', 'st')",1,0.009900990099009901,"('10th', 'st', 'sister')",1,0.01
71,"('tempura',)",1.0,0.00980392156862745,"('club', '10th')",1,0.009900990099009901,"('club', '10th', 'st')",1,0.01
72,"('better',)",1.0,0.00980392156862745,"('club', 'club')",1,0.009900990099009901,"('club', 'club', '10th')",1,0.01
