,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('best',)",7.0,0.03932584269662921,"('west', 'bank')",3.0,0.01694915254237288,"('salmon', 'kimchee', 'salad')",2,0.011363636363636364
1,"('service',)",5.0,0.028089887640449437,"('salmon', 'kimchee')",2.0,0.011299435028248588,"('gluten', 'intolerant', 'tamari')",1,0.005681818181818182
2,"('bank',)",4.0,0.02247191011235955,"('kimchee', 'salad')",2.0,0.011299435028248588,"('family', 'bunch', 'addicts')",1,0.005681818181818182
3,"('salmon',)",3.0,0.016853932584269662,"('best', 'service')",2.0,0.011299435028248588,"('parasite', 'free', 'lol')",1,0.005681818181818182
4,"('family',)",3.0,0.016853932584269662,"('gluten', 'intolerant')",1.0,0.005649717514124294,"('free', 'lol', 'great')",1,0.005681818181818182
5,"('west',)",3.0,0.016853932584269662,"('service', 'ice')",1.0,0.005649717514124294,"('lol', 'great', 'price')",1,0.005681818181818182
6,"('salad',)",3.0,0.016853932584269662,"('great', 'price')",1.0,0.005649717514124294,"('great', 'price', 'wont')",1,0.005681818181818182
7,"('great',)",3.0,0.016853932584269662,"('price', 'wont')",1.0,0.005649717514124294,"('price', 'wont', 'break')",1,0.005681818181818182
8,"('kimchee',)",2.0,0.011235955056179775,"('wont', 'break')",1.0,0.005649717514124294,"('wont', 'break', 'bank')",1,0.005681818181818182
9,"('roll',)",2.0,0.011235955056179775,"('break', 'bank')",1.0,0.005649717514124294,"('break', 'bank', 'friendly')",1,0.005681818181818182
10,"('lunch',)",2.0,0.011235955056179775,"('bank', 'friendly')",1.0,0.005649717514124294,"('bank', 'friendly', 'service')",1,0.005681818181818182
11,"('specials',)",2.0,0.011235955056179775,"('friendly', 'service')",1.0,0.005649717514124294,"('friendly', 'service', 'ice')",1,0.005681818181818182
12,"('chef',)",2.0,0.011235955056179775,"('ice', 'cold')",1.0,0.005649717514124294,"('service', 'ice', 'cold')",1,0.005681818181818182
13,"('love',)",2.0,0.011235955056179775,"('free', 'lol')",1.0,0.005649717514124294,"('ice', 'cold', 'beer')",1,0.005681818181818182
14,"('dont',)",2.0,0.011235955056179775,"('cold', 'beer')",1.0,0.005649717514124294,"('cold', 'beer', 'hot')",1,0.005681818181818182
15,"('hot',)",2.0,0.011235955056179775,"('beer', 'hot')",1.0,0.005649717514124294,"('beer', 'hot', 'saki')",1,0.005681818181818182
16,"('four',)",2.0,0.011235955056179775,"('hot', 'saki')",1.0,0.005649717514124294,"('hot', 'saki', 'hard')",1,0.005681818181818182
17,"('really',)",2.0,0.011235955056179775,"('saki', 'hard')",1.0,0.005649717514124294,"('saki', 'hard', 'day')",1,0.005681818181818182
18,"('asahi',)",2.0,0.011235955056179775,"('hard', 'day')",1.0,0.005649717514124294,"('hard', 'day', 'perfect')",1,0.005681818181818182
19,"('well',)",2.0,0.011235955056179775,"('day', 'perfect')",1.0,0.005649717514124294,"('day', 'perfect', 'pairing')",1,0.005681818181818182
20,"('free',)",2.0,0.011235955056179775,"('perfect', 'pairing')",1.0,0.005649717514124294,"('perfect', 'pairing', 'family')",1,0.005681818181818182
21,"('break',)",2.0,0.011235955056179775,"('pairing', 'family')",1.0,0.005649717514124294,"('remain', 'parasite', 'free')",1,0.005681818181818182
22,"('dinner',)",2.0,0.011235955056179775,"('family', 'bunch')",1.0,0.005649717514124294,"('may', 'remain', 'parasite')",1,0.005681818181818182
23,"('available',)",2.0,0.011235955056179775,"('lol', 'great')",1.0,0.005649717514124294,"('decadence', 'may', 'remain')",1,0.005681818181818182
24,"('price',)",1.0,0.0056179775280898875,"('parasite', 'free')",1.0,0.005649717514124294,"('tasty', 'surf', 'clam')",1,0.005681818181818182
25,"('parasite',)",1.0,0.0056179775280898875,"('addicts', 'assorted')",1.0,0.005649717514124294,"('sure', 'tou', 'dont')",1,0.005681818181818182
26,"('remain',)",1.0,0.0056179775280898875,"('delicious', 'chance')",1.0,0.005649717514124294,"('tou', 'dont', 'inhale')",1,0.005681818181818182
27,"('wont',)",1.0,0.0056179775280898875,"('inhale', 'chew')",1.0,0.005649717514124294,"('dont', 'inhale', 'chew')",1,0.005681818181818182
28,"('friendly',)",1.0,0.0056179775280898875,"('chew', 'bomb')",1.0,0.005649717514124294,"('inhale', 'chew', 'bomb')",1,0.005681818181818182
29,"('ice',)",1.0,0.0056179775280898875,"('bomb', 'sinuses')",1.0,0.005649717514124294,"('chew', 'bomb', 'sinuses')",1,0.005681818181818182
30,"('cold',)",1.0,0.0056179775280898875,"('sinuses', 'still')",1.0,0.005649717514124294,"('bomb', 'sinuses', 'still')",1,0.005681818181818182
31,"('beer',)",1.0,0.0056179775280898875,"('still', 'tasty')",1.0,0.005649717514124294,"('sinuses', 'still', 'tasty')",1,0.005681818181818182
32,"('lol',)",1.0,0.0056179775280898875,"('tasty', 'surf')",1.0,0.005649717514124294,"('still', 'tasty', 'surf')",1,0.005681818181818182
33,"('decadence',)",1.0,0.0056179775280898875,"('surf', 'clam')",1.0,0.005649717514124294,"('surf', 'clam', 'delicious')",1,0.005681818181818182
34,"('may',)",1.0,0.0056179775280898875,"('clam', 'delicious')",1.0,0.005649717514124294,"('raw', 'decadence', 'may')",1,0.005681818181818182
35,"('hard',)",1.0,0.0056179775280898875,"('chance', 'wife')",1.0,0.005649717514124294,"('clam', 'delicious', 'chance')",1,0.005681818181818182
36,"('raw',)",1.0,0.0056179775280898875,"('remain', 'parasite')",1.0,0.005649717514124294,"('delicious', 'chance', 'wife')",1,0.005681818181818182
37,"('indulge',)",1.0,0.0056179775280898875,"('wife', 'break')",1.0,0.005649717514124294,"('chance', 'wife', 'break')",1,0.005681818181818182
38,"('spawn',)",1.0,0.0056179775280898875,"('break', 'free')",1.0,0.005649717514124294,"('wife', 'break', 'free')",1,0.005681818181818182
39,"('wife',)",1.0,0.0056179775280898875,"('free', 'spawn')",1.0,0.005649717514124294,"('break', 'free', 'spawn')",1,0.005681818181818182
40,"('chance',)",1.0,0.0056179775280898875,"('spawn', 'indulge')",1.0,0.005649717514124294,"('free', 'spawn', 'indulge')",1,0.005681818181818182
41,"('delicious',)",1.0,0.0056179775280898875,"('indulge', 'raw')",1.0,0.005649717514124294,"('spawn', 'indulge', 'raw')",1,0.005681818181818182
42,"('clam',)",1.0,0.0056179775280898875,"('raw', 'decadence')",1.0,0.005649717514124294,"('indulge', 'raw', 'decadence')",1,0.005681818181818182
43,"('surf',)",1.0,0.0056179775280898875,"('decadence', 'may')",1.0,0.005649717514124294,"('pairing', 'family', 'bunch')",1,0.005681818181818182
