,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('good',)",13.0,0.037037037037037035,"('fresh', 'delicious')",5.0,0.014285714285714285,"('wait', 'go', 'back')",2,0.0057306590257879654
1,"('fresh',)",8.0,0.022792022792022793,"('sure', 'join')",2.0,0.005714285714285714,"('cant', 'wait', 'go')",2,0.0057306590257879654
2,"('delicious',)",8.0,0.022792022792022793,"('first', 'time')",2.0,0.005714285714285714,"('rude', 'yummy', 'tummy')",1,0.0028653295128939827
3,"('great',)",7.0,0.019943019943019943,"('love', 'fresh')",2.0,0.005714285714285714,"('plain', 'rude', 'yummy')",1,0.0028653295128939827
4,"('love',)",6.0,0.017094017094017096,"('rewards', 'program')",2.0,0.005714285714285714,"('today', 'plain', 'rude')",1,0.0028653295128939827
5,"('poke',)",5.0,0.014245014245014245,"('cant', 'wait')",2.0,0.005714285714285714,"('girl', 'today', 'plain')",1,0.0028653295128939827
6,"('get',)",5.0,0.014245014245014245,"('wait', 'go')",2.0,0.005714285714285714,"('bit', 'girl', 'today')",1,0.0028653295128939827
7,"('bowls',)",5.0,0.014245014245014245,"('go', 'back')",2.0,0.005714285714285714,"('nice', 'bit', 'girl')",1,0.0028653295128939827
8,"('always',)",4.0,0.011396011396011397,"('can', 'get')",2.0,0.005714285714285714,"('really', 'nice', 'bit')",1,0.0028653295128939827
9,"('time',)",4.0,0.011396011396011397,"('today', '112417')",2.0,0.005714285714285714,"('everyone', 'really', 'nice')",1,0.0028653295128939827
10,"('today',)",4.0,0.011396011396011397,"('good', 'poke')",2.0,0.005714285714285714,"('usually', 'everyone', 'really')",1,0.0028653295128939827
11,"('yummy',)",4.0,0.011396011396011397,"('bowls', 'good')",2.0,0.005714285714285714,"('sure', 'join', 'loyalty')",1,0.0028653295128939827
12,"('can',)",4.0,0.011396011396011397,"('portions', 'worth')",2.0,0.005714285714285714,"('tummy', 'best', 'reno')",1,0.0028653295128939827
13,"('program',)",4.0,0.011396011396011397,"('loyalty', 'program')",2.0,0.005714285714285714,"('ugh', 'usually', 'everyone')",1,0.0028653295128939827
14,"('spicy',)",3.0,0.008547008547008548,"('really', 'nice')",1.0,0.002857142857142857,"('service', 'ugh', 'usually')",1,0.0028653295128939827
15,"('options',)",3.0,0.008547008547008548,"('everyone', 'really')",1.0,0.002857142857142857,"('customer', 'service', 'ugh')",1,0.0028653295128939827
16,"('fish',)",3.0,0.008547008547008548,"('usually', 'everyone')",1.0,0.002857142857142857,"('poor', 'customer', 'service')",1,0.0028653295128939827
17,"('quick',)",3.0,0.008547008547008548,"('ugh', 'usually')",1.0,0.002857142857142857,"('today', 'poor', 'customer')",1,0.0028653295128939827
18,"('back',)",3.0,0.008547008547008548,"('bit', 'girl')",1.0,0.002857142857142857,"('amount', 'today', 'poor')",1,0.0028653295128939827
19,"('go',)",3.0,0.008547008547008548,"('service', 'ugh')",1.0,0.002857142857142857,"('price', 'amount', 'today')",1,0.0028653295128939827
20,"('portions',)",3.0,0.008547008547008548,"('girl', 'today')",1.0,0.002857142857142857,"('reasonable', 'price', 'amount')",1,0.0028653295128939827
21,"('first',)",3.0,0.008547008547008548,"('today', 'plain')",1.0,0.002857142857142857,"('yummy', 'reasonable', 'price')",1,0.0028653295128939827
22,"('really',)",2.0,0.005698005698005698,"('customer', 'service')",1.0,0.002857142857142857,"('yummy', 'tummy', 'best')",1,0.0028653295128939827
23,"('definitely',)",2.0,0.005698005698005698,"('plain', 'rude')",1.0,0.002857142857142857,"('best', 'reno', 'jam')",1,0.0028653295128939827
24,"('side',)",2.0,0.005698005698005698,"('rude', 'yummy')",1.0,0.002857142857142857,"('think', 'sooner', 'quick')",1,0.0028653295128939827
25,"('perfect',)",2.0,0.005698005698005698,"('yummy', 'tummy')",1.0,0.002857142857142857,"('reno', 'jam', 'great')",1,0.0028653295128939827
26,"('kind',)",2.0,0.005698005698005698,"('nice', 'bit')",1.0,0.002857142857142857,"('didnt', 'someone', 'think')",1,0.0028653295128939827
27,"('experience',)",2.0,0.005698005698005698,"('reno', 'jam')",1.0,0.002857142857142857,"('bowls', 'didnt', 'someone')",1,0.0028653295128939827
28,"('open',)",2.0,0.005698005698005698,"('tummy', 'best')",1.0,0.002857142857142857,"('options', 'bowls', 'didnt')",1,0.0028653295128939827
29,"('cant',)",2.0,0.005698005698005698,"('worth', 'every')",1.0,0.002857142857142857,"('many', 'options', 'bowls')",1,0.0028653295128939827
30,"('wait',)",2.0,0.005698005698005698,"('bowls', 'didnt')",1.0,0.002857142857142857,"('friendly', 'many', 'options')",1,0.0028653295128939827
31,"('now',)",2.0,0.005698005698005698,"('options', 'bowls')",1.0,0.002857142857142857,"('always', 'friendly', 'many')",1,0.0028653295128939827
32,"('beer',)",2.0,0.005698005698005698,"('many', 'options')",1.0,0.002857142857142857,"('time', 'always', 'friendly')",1,0.0028653295128939827
33,"('5',)",2.0,0.005698005698005698,"('friendly', 'many')",1.0,0.002857142857142857,"('every', 'time', 'always')",1,0.0028653295128939827
34,"('join',)",2.0,0.005698005698005698,"('always', 'friendly')",1.0,0.002857142857142857,"('worth', 'every', 'time')",1,0.0028653295128939827
35,"('bit',)",2.0,0.005698005698005698,"('time', 'always')",1.0,0.002857142857142857,"('portions', 'worth', 'every')",1,0.0028653295128939827
36,"('rewards',)",2.0,0.005698005698005698,"('every', 'time')",1.0,0.002857142857142857,"('great', 'portions', 'worth')",1,0.0028653295128939827
37,"('super',)",2.0,0.005698005698005698,"('great', 'portions')",1.0,0.002857142857142857,"('rice', 'great', 'portions')",1,0.0028653295128939827
38,"('nice',)",2.0,0.005698005698005698,"('best', 'reno')",1.0,0.002857142857142857,"('brown', 'rice', 'great')",1,0.0028653295128939827
39,"('tuna',)",2.0,0.005698005698005698,"('rice', 'great')",1.0,0.002857142857142857,"('fish', 'brown', 'rice')",1,0.0028653295128939827
40,"('service',)",2.0,0.005698005698005698,"('brown', 'rice')",1.0,0.002857142857142857,"('looking', 'fish', 'brown')",1,0.0028653295128939827
41,"('amazing',)",2.0,0.005698005698005698,"('fish', 'brown')",1.0,0.002857142857142857,"('great', 'looking', 'fish')",1,0.0028653295128939827
42,"('try',)",2.0,0.005698005698005698,"('looking', 'fish')",1.0,0.002857142857142857,"('jam', 'great', 'looking')",1,0.0028653295128939827
43,"('everyone',)",2.0,0.005698005698005698,"('great', 'looking')",1.0,0.002857142857142857,"('flavors', 'yummy', 'reasonable')",1,0.0028653295128939827
44,"('worth',)",2.0,0.005698005698005698,"('jam', 'great')",1.0,0.002857142857142857,"('5', 'flavors', 'yummy')",1,0.0028653295128939827
45,"('sign',)",2.0,0.005698005698005698,"('today', 'poor')",1.0,0.002857142857142857,"('sandwiches', '5', 'flavors')",1,0.0028653295128939827
46,"('recommend',)",2.0,0.005698005698005698,"('poor', 'customer')",1.0,0.002857142857142857,"('king', 'poke', 'bowls')",1,0.0028653295128939827
47,"('theres',)",2.0,0.005698005698005698,"('price', 'amount')",1.0,0.002857142857142857,"('yellowtail', 'salmon', 'great')",1,0.0028653295128939827
48,"('sure',)",2.0,0.005698005698005698,"('amount', 'today')",1.0,0.002857142857142857,"('tuna', 'yellowtail', 'salmon')",1,0.0028653295128939827
49,"('many',)",2.0,0.005698005698005698,"('bowls', 'tuna')",1.0,0.002857142857142857,"('bowls', 'tuna', 'yellowtail')",1,0.0028653295128939827
50,"('bowl',)",2.0,0.005698005698005698,"('crab', 'love')",1.0,0.002857142857142857,"('pome', 'bowls', 'tuna')",1,0.0028653295128939827
51,"('tables',)",2.0,0.005698005698005698,"('adding', 'crab')",1.0,0.002857142857142857,"('love', 'pome', 'bowls')",1,0.0028653295128939827
52,"('small',)",2.0,0.005698005698005698,"('loves', 'adding')",1.0,0.002857142857142857,"('amazing', 'love', 'pome')",1,0.0028653295128939827
53,"('2',)",2.0,0.005698005698005698,"('hubby', 'loves')",1.0,0.002857142857142857,"('bowls', 'amazing', 'love')",1,0.0028653295128939827
54,"('also',)",2.0,0.005698005698005698,"('great', 'hubby')",1.0,0.002857142857142857,"('poke', 'bowls', 'amazing')",1,0.0028653295128939827
55,"('sauces',)",2.0,0.005698005698005698,"('salmon', 'great')",1.0,0.002857142857142857,"('poke', 'king', 'poke')",1,0.0028653295128939827
56,"('done',)",2.0,0.005698005698005698,"('yellowtail', 'salmon')",1.0,0.002857142857142857,"('great', 'hubby', 'loves')",1,0.0028653295128939827
57,"('free',)",2.0,0.005698005698005698,"('tuna', 'yellowtail')",1.0,0.002857142857142857,"('job', 'poke', 'king')",1,0.0028653295128939827
58,"('loyalty',)",2.0,0.005698005698005698,"('pome', 'bowls')",1.0,0.002857142857142857,"('great', 'job', 'poke')",1,0.0028653295128939827
59,"('112417',)",2.0,0.005698005698005698,"('someone', 'think')",1.0,0.002857142857142857,"('experience', 'great', 'job')",1,0.0028653295128939827
60,"('serving',)",1.0,0.002849002849002849,"('love', 'pome')",1.0,0.002857142857142857,"('fantastic', 'experience', 'great')",1,0.0028653295128939827
61,"('flavors',)",1.0,0.002849002849002849,"('amazing', 'love')",1.0,0.002857142857142857,"('time', 'fantastic', 'experience')",1,0.0028653295128939827
62,"('cream',)",1.0,0.002849002849002849,"('bowls', 'amazing')",1.0,0.002857142857142857,"('first', 'time', 'fantastic')",1,0.0028653295128939827
