,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('good',)",4.0,0.06666666666666667,"('korean', 'good')",1,0.01694915254237288,"('korean', 'good', 'combination')",1.0,0.017241379310344827
1,"('great',)",4.0,0.06666666666666667,"('amazing', 'restaurant')",1,0.01694915254237288,"('good', 'amazing', 'restaurant')",1.0,0.017241379310344827
2,"('service',)",3.0,0.05,"('juliet', 'area')",1,0.01694915254237288,"('mount', 'juliet', 'area')",1.0,0.017241379310344827
3,"('restaurant',)",2.0,0.03333333333333333,"('area', 'ill')",1,0.01694915254237288,"('juliet', 'area', 'ill')",1.0,0.017241379310344827
4,"('thai',)",2.0,0.03333333333333333,"('ill', 'come')",1,0.01694915254237288,"('area', 'ill', 'come')",1.0,0.017241379310344827
5,"('amazing',)",2.0,0.03333333333333333,"('come', 'back')",1,0.01694915254237288,"('ill', 'come', 'back')",1.0,0.017241379310344827
6,"('like',)",1.0,0.016666666666666666,"('back', 'marine')",1,0.01694915254237288,"('come', 'back', 'marine')",1.0,0.017241379310344827
7,"('come',)",1.0,0.016666666666666666,"('marine', 'boy')",1,0.01694915254237288,"('back', 'marine', 'boy')",1.0,0.017241379310344827
8,"('back',)",1.0,0.016666666666666666,"('boy', 'roll')",1,0.01694915254237288,"('marine', 'boy', 'roll')",1.0,0.017241379310344827
9,"('marine',)",1.0,0.016666666666666666,"('roll', 'unagi')",1,0.01694915254237288,"('boy', 'roll', 'unagi')",1.0,0.017241379310344827
10,"('boy',)",1.0,0.016666666666666666,"('unagi', 'sauce')",1,0.01694915254237288,"('roll', 'unagi', 'sauce')",1.0,0.017241379310344827
11,"('roll',)",1.0,0.016666666666666666,"('sauce', 'side')",1,0.01694915254237288,"('unagi', 'sauce', 'side')",1.0,0.017241379310344827
12,"('unagi',)",1.0,0.016666666666666666,"('side', 'good')",1,0.01694915254237288,"('sauce', 'side', 'good')",1.0,0.017241379310344827
13,"('sauce',)",1.0,0.016666666666666666,"('good', 'amazing')",1,0.01694915254237288,"('side', 'good', 'amazing')",1.0,0.017241379310344827
14,"('side',)",1.0,0.016666666666666666,"('restaurant', 'like')",1,0.01694915254237288,"('amazing', 'restaurant', 'like')",1.0,0.017241379310344827
15,"('definitely',)",1.0,0.016666666666666666,"('restaurant', 'mount')",1,0.01694915254237288,"('good', 'combination', 'thai')",1.0,0.017241379310344827
16,"('spice',)",1.0,0.016666666666666666,"('like', 'spice')",1,0.01694915254237288,"('restaurant', 'like', 'spice')",1.0,0.017241379310344827
17,"('area',)",1.0,0.016666666666666666,"('spice', 'definitely')",1,0.01694915254237288,"('like', 'spice', 'definitely')",1.0,0.017241379310344827
18,"('eat',)",1.0,0.016666666666666666,"('definitely', 'good')",1,0.01694915254237288,"('spice', 'definitely', 'good')",1.0,0.017241379310344827
19,"('tasty',)",1.0,0.016666666666666666,"('good', 'eat')",1,0.01694915254237288,"('definitely', 'good', 'eat')",1.0,0.017241379310344827
20,"('ok',)",1.0,0.016666666666666666,"('eat', 'tasty')",1,0.01694915254237288,"('good', 'eat', 'tasty')",1.0,0.017241379310344827
21,"('flavorful',)",1.0,0.016666666666666666,"('tasty', 'service')",1,0.01694915254237288,"('eat', 'tasty', 'service')",1.0,0.017241379310344827
22,"('love',)",1.0,0.016666666666666666,"('service', 'ok')",1,0.01694915254237288,"('tasty', 'service', 'ok')",1.0,0.017241379310344827
23,"('pineapple',)",1.0,0.016666666666666666,"('ok', 'flavorful')",1,0.01694915254237288,"('service', 'ok', 'flavorful')",1.0,0.017241379310344827
24,"('rice',)",1.0,0.016666666666666666,"('flavorful', 'love')",1,0.01694915254237288,"('ok', 'flavorful', 'love')",1.0,0.017241379310344827
25,"('chicken',)",1.0,0.016666666666666666,"('love', 'pineapple')",1,0.01694915254237288,"('flavorful', 'love', 'pineapple')",1.0,0.017241379310344827
