,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('good',)",11.0,0.05116279069767442,"('happy', 'hour')",3.0,0.014018691588785047,"('happy', 'hour', '56')",2,0.009389671361502348
1,"('service',)",7.0,0.03255813953488372,"('love', 'love')",3.0,0.014018691588785047,"('3', 'moon', 'roll')",2,0.009389671361502348
2,"('roll',)",7.0,0.03255813953488372,"('good', 'service')",3.0,0.014018691588785047,"('fast', 'friendly', 'service')",2,0.009389671361502348
3,"('love',)",5.0,0.023255813953488372,"('hour', '56')",2.0,0.009345794392523364,"('great', 'fast', 'friendly')",2,0.009389671361502348
4,"('best',)",5.0,0.023255813953488372,"('moon', 'roll')",2.0,0.009345794392523364,"('lunch', 'special', 'affordable')",1,0.004694835680751174
5,"('great',)",4.0,0.018604651162790697,"('fast', 'friendly')",2.0,0.009345794392523364,"('time', 'preparations', 'horrible')",1,0.004694835680751174
6,"('come',)",3.0,0.013953488372093023,"('great', 'fast')",2.0,0.009345794392523364,"('preparations', 'horrible', 'service')",1,0.004694835680751174
7,"('rooms',)",3.0,0.013953488372093023,"('friendly', 'service')",2.0,0.009345794392523364,"('horrible', 'service', 'decent')",1,0.004694835680751174
8,"('really',)",3.0,0.013953488372093023,"('3', 'moon')",2.0,0.009345794392523364,"('service', 'decent', 'pricing')",1,0.004694835680751174
9,"('happy',)",3.0,0.013953488372093023,"('really', 'good')",2.0,0.009345794392523364,"('decent', 'pricing', 'baked')",1,0.004694835680751174
10,"('hour',)",3.0,0.013953488372093023,"('pricing', 'baked')",1.0,0.004672897196261682,"('pricing', 'baked', 'stuffed')",1,0.004694835680751174
11,"('sake',)",2.0,0.009302325581395349,"('meat', 'inside')",1.0,0.004672897196261682,"('baked', 'stuffed', 'squid')",1,0.004694835680751174
12,"('sb',)",2.0,0.009302325581395349,"('stuffed', 'squid')",1.0,0.004672897196261682,"('stuffed', 'squid', 'shredded')",1,0.004694835680751174
13,"('favorite',)",2.0,0.009302325581395349,"('squid', 'shredded')",1.0,0.004672897196261682,"('squid', 'shredded', 'crab')",1,0.004694835680751174
14,"('moon',)",2.0,0.009302325581395349,"('shredded', 'crab')",1.0,0.004672897196261682,"('dash', 'rarely', 'time')",1,0.004694835680751174
15,"('lunch',)",2.0,0.009302325581395349,"('decent', 'pricing')",1.0,0.004672897196261682,"('shredded', 'crab', 'meat')",1,0.004694835680751174
16,"('delicious',)",2.0,0.009302325581395349,"('crab', 'meat')",1.0,0.004672897196261682,"('crab', 'meat', 'inside')",1,0.004694835680751174
17,"('time',)",2.0,0.009302325581395349,"('baked', 'stuffed')",1.0,0.004672897196261682,"('meat', 'inside', 'yumm')",1,0.004694835680751174
18,"('3',)",2.0,0.009302325581395349,"('lunch', 'special')",1.0,0.004672897196261682,"('inside', 'yumm', 'cool')",1,0.004694835680751174
19,"('party',)",2.0,0.009302325581395349,"('horrible', 'service')",1.0,0.004672897196261682,"('yumm', 'cool', 'little')",1,0.004694835680751174
20,"('try',)",2.0,0.009302325581395349,"('inside', 'yumm')",1.0,0.004672897196261682,"('cool', 'little', 'friend')",1,0.004694835680751174
21,"('friendly',)",2.0,0.009302325581395349,"('yumm', 'cool')",1.0,0.004672897196261682,"('little', 'friend', 'always')",1,0.004694835680751174
22,"('fast',)",2.0,0.009302325581395349,"('cool', 'little')",1.0,0.004672897196261682,"('friend', 'always', 'come')",1,0.004694835680751174
23,"('tatami',)",2.0,0.009302325581395349,"('little', 'friend')",1.0,0.004672897196261682,"('always', 'come', 'eat')",1,0.004694835680751174
24,"('nice',)",2.0,0.009302325581395349,"('friend', 'always')",1.0,0.004672897196261682,"('come', 'eat', 'miso')",1,0.004694835680751174
25,"('find',)",2.0,0.009302325581395349,"('always', 'come')",1.0,0.004672897196261682,"('eat', 'miso', 'soup')",1,0.004694835680751174
26,"('56',)",2.0,0.009302325581395349,"('come', 'eat')",1.0,0.004672897196261682,"('rarely', 'time', 'preparations')",1,0.004694835680751174
27,"('town',)",2.0,0.009302325581395349,"('eat', 'miso')",1.0,0.004672897196261682,"('comes', 'door', 'dash')",1,0.004694835680751174
28,"('decent',)",1.0,0.004651162790697674,"('miso', 'soup')",1.0,0.004672897196261682,"('door', 'dash', 'rarely')",1,0.004694835680751174
29,"('squid',)",1.0,0.004651162790697674,"('service', 'decent')",1.0,0.004672897196261682,"('half', 'happy', 'hour')",1,0.004694835680751174
30,"('niceness',)",1.0,0.004651162790697674,"('rarely', 'time')",1.0,0.004672897196261682,"('combo', 'plates', 'really')",1,0.004694835680751174
31,"('fire',)",1.0,0.004651162790697674,"('preparations', 'horrible')",1.0,0.004672897196261682,"('plates', 'really', 'good')",1,0.004694835680751174
32,"('sakejust',)",1.0,0.004651162790697674,"('niceness', 'fire')",1.0,0.004672897196261682,"('really', 'good', 'never')",1,0.004694835680751174
33,"('cool',)",1.0,0.004651162790697674,"('never', 'gotten')",1.0,0.004672897196261682,"('good', 'never', 'gotten')",1,0.004694835680751174
34,"('yumm',)",1.0,0.004651162790697674,"('gotten', 'good')",1.0,0.004672897196261682,"('never', 'gotten', 'good')",1,0.004694835680751174
