,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('best',)",13.0,0.04797047970479705,"('best', 'tampa')",5.0,0.018518518518518517,"('best', 'tampa', 'bay')",2,0.007434944237918215
1,"('tampa',)",11.0,0.04059040590405904,"('excellent', 'service')",4.0,0.014814814814814815,"('takes', 'great', 'pride')",2,0.007434944237918215
2,"('great',)",11.0,0.04059040590405904,"('good', 'best')",3.0,0.011111111111111112,"('yoko', 'takes', 'great')",2,0.007434944237918215
3,"('service',)",11.0,0.04059040590405904,"('yoko', 'takes')",3.0,0.011111111111111112,"('superb', 'good', 'see')",1,0.0037174721189591076
4,"('good',)",9.0,0.033210332103321034,"('good', 'service')",2.0,0.007407407407407408,"('months', 'ago', 'now')",1,0.0037174721189591076
5,"('get',)",6.0,0.02214022140221402,"('tampa', 'bay')",2.0,0.007407407407407408,"('six', 'months', 'ago')",1,0.0037174721189591076
6,"('roll',)",5.0,0.01845018450184502,"('takes', 'great')",2.0,0.007407407407407408,"('since', 'six', 'months')",1,0.0037174721189591076
7,"('excellent',)",4.0,0.014760147601476014,"('freshest', 'tampa')",2.0,0.007407407407407408,"('remodeled', 'since', 'six')",1,0.0037174721189591076
8,"('fresh',)",4.0,0.014760147601476014,"('south', 'tampa')",2.0,0.007407407407407408,"('completely', 'remodeled', 'since')",1,0.0037174721189591076
9,"('takes',)",3.0,0.01107011070110701,"('great', 'pride')",2.0,0.007407407407407408,"('wow', 'completely', 'remodeled')",1,0.0037174721189591076
10,"('freshest',)",3.0,0.01107011070110701,"('everyday', 'excellent')",1.0,0.003703703703703704,"('spot', 'wow', 'completely')",1,0.0037174721189591076
11,"('places',)",3.0,0.01107011070110701,"('matches', 'amazing')",1.0,0.003703703703703704,"('now', 'ambiance', 'matches')",1,0.0037174721189591076
12,"('love',)",3.0,0.01107011070110701,"('informative', 'favorite')",1.0,0.003703703703703704,"('favorite', 'spot', 'wow')",1,0.0037174721189591076
