,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('good',)",5.0,0.06578947368421052,"('well', 'made')",1,0.013333333333333334,"('well', 'made', 'however')",1.0,0.013513513513513514
1,"('order',)",3.0,0.039473684210526314,"('eat', 'order')",1,0.013333333333333334,"('dont', 'eat', 'order')",1.0,0.013513513513513514
2,"('go',)",2.0,0.02631578947368421,"('friendly', 'dont')",1,0.013333333333333334,"('always', 'friendly', 'dont')",1.0,0.013513513513513514
3,"('half',)",2.0,0.02631578947368421,"('always', 'friendly')",1,0.013333333333333334,"('prices', 'always', 'friendly')",1.0,0.013513513513513514
4,"('best',)",2.0,0.02631578947368421,"('prices', 'always')",1,0.013333333333333334,"('good', 'prices', 'always')",1.0,0.013513513513513514
5,"('great',)",2.0,0.02631578947368421,"('good', 'prices')",1,0.013333333333333334,"('nj', 'good', 'prices')",1.0,0.013513513513513514
6,"('going',)",2.0,0.02631578947368421,"('nj', 'good')",1,0.013333333333333334,"('williamstown', 'nj', 'good')",1.0,0.013513513513513514
7,"('dont',)",1.0,0.013157894736842105,"('williamstown', 'nj')",1,0.013333333333333334,"('best', 'williamstown', 'nj')",1.0,0.013513513513513514
8,"('friendly',)",1.0,0.013157894736842105,"('best', 'williamstown')",1,0.013333333333333334,"('awesome', 'best', 'williamstown')",1.0,0.013513513513513514
9,"('always',)",1.0,0.013157894736842105,"('awesome', 'best')",1,0.013333333333333334,"('phone', 'awesome', 'best')",1.0,0.013513513513513514
10,"('prices',)",1.0,0.013157894736842105,"('phone', 'awesome')",1,0.013333333333333334,"('take', 'phone', 'awesome')",1.0,0.013513513513513514
11,"('well',)",1.0,0.013157894736842105,"('take', 'phone')",1,0.013333333333333334,"('wont', 'take', 'phone')",1.0,0.013513513513513514
12,"('nj',)",1.0,0.013157894736842105,"('wont', 'take')",1,0.013333333333333334,"('bc', 'wont', 'take')",1.0,0.013513513513513514
13,"('duck',)",1.0,0.013157894736842105,"('bc', 'wont')",1,0.013333333333333334,"('voucher', 'bc', 'wont')",1.0,0.013513513513513514
14,"('williamstown',)",1.0,0.013157894736842105,"('voucher', 'bc')",1,0.013333333333333334,"('print', 'voucher', 'bc')",1.0,0.013513513513513514
15,"('awesome',)",1.0,0.013157894736842105,"('print', 'voucher')",1,0.013333333333333334,"('sure', 'print', 'voucher')",1.0,0.013513513513513514
16,"('phone',)",1.0,0.013157894736842105,"('sure', 'print')",1,0.013333333333333334,"('deal', 'sure', 'print')",1.0,0.013513513513513514
17,"('take',)",1.0,0.013157894736842105,"('dont', 'eat')",1,0.013333333333333334,"('friendly', 'dont', 'eat')",1.0,0.013513513513513514
18,"('wont',)",1.0,0.013157894736842105,"('order', 'duck')",1,0.013333333333333334,"('eat', 'order', 'duck')",1.0,0.013513513513513514
19,"('bc',)",1.0,0.013157894736842105,"('yelp', 'deal')",1,0.013333333333333334,"('made', 'however', 'mess')",1.0,0.013513513513513514
20,"('eat',)",1.0,0.013157894736842105,"('duck', 'brought')",1,0.013333333333333334,"('order', 'duck', 'brought')",1.0,0.013513513513513514
21,"('fried',)",1.0,0.013157894736842105,"('tea', 'order')",1,0.013333333333333334,"('pot', 'tea', 'order')",1.0,0.013513513513513514
22,"('brought',)",1.0,0.013157894736842105,"('pot', 'tea')",1,0.013333333333333334,"('lack', 'pot', 'tea')",1.0,0.013513513513513514
23,"('print',)",1.0,0.013157894736842105,"('lack', 'pot')",1,0.013333333333333334,"('problem', 'lack', 'pot')",1.0,0.013513513513513514
24,"('dog',)",1.0,0.013157894736842105,"('problem', 'lack')",1,0.013333333333333334,"('japanese', 'problem', 'lack')",1.0,0.013513513513513514
25,"('average',)",1.0,0.013157894736842105,"('japanese', 'problem')",1,0.013333333333333334,"('great', 'japanese', 'problem')",1.0,0.013513513513513514
26,"('top',)",1.0,0.013157894736842105,"('great', 'japanese')",1,0.013333333333333334,"('value', 'great', 'japanese')",1.0,0.013513513513513514
27,"('grade',)",1.0,0.013157894736842105,"('value', 'great')",1,0.013333333333333334,"('good', 'value', 'great')",1.0,0.013513513513513514
28,"('money',)",1.0,0.013157894736842105,"('good', 'value')",1,0.013333333333333334,"('money', 'good', 'value')",1.0,0.013513513513513514
29,"('value',)",1.0,0.013157894736842105,"('money', 'good')",1,0.013333333333333334,"('grade', 'money', 'good')",1.0,0.013513513513513514
30,"('japanese',)",1.0,0.013157894736842105,"('grade', 'money')",1,0.013333333333333334,"('top', 'grade', 'money')",1.0,0.013513513513513514
31,"('problem',)",1.0,0.013157894736842105,"('top', 'grade')",1,0.013333333333333334,"('average', 'top', 'grade')",1.0,0.013513513513513514
32,"('lack',)",1.0,0.013157894736842105,"('average', 'top')",1,0.013333333333333334,"('dog', 'average', 'top')",1.0,0.013513513513513514
33,"('pot',)",1.0,0.013157894736842105,"('dog', 'average')",1,0.013333333333333334,"('fried', 'dog', 'average')",1.0,0.013513513513513514
34,"('tea',)",1.0,0.013157894736842105,"('fried', 'dog')",1,0.013333333333333334,"('brought', 'fried', 'dog')",1.0,0.013513513513513514
35,"('voucher',)",1.0,0.013157894736842105,"('brought', 'fried')",1,0.013333333333333334,"('duck', 'brought', 'fried')",1.0,0.013513513513513514
36,"('buy',)",1.0,0.013157894736842105,"('deal', 'sure')",1,0.013333333333333334,"('yelp', 'deal', 'sure')",1.0,0.013513513513513514
37,"('sure',)",1.0,0.013157894736842105,"('buy', 'yelp')",1,0.013333333333333334,"('buy', 'yelp', 'deal')",1.0,0.013513513513513514
38,"('deal',)",1.0,0.013157894736842105,"('made', 'however')",1,0.013333333333333334,"('going', 'buy', 'yelp')",1.0,0.013513513513513514
39,"('however',)",1.0,0.013157894736842105,"('good', 'times')",1,0.013333333333333334,"('youre', 'going', 'buy')",1.0,0.013513513513513514
40,"('mess',)",1.0,0.013157894736842105,"('varies', 'sometimes')",1,0.013333333333333334,"('varies', 'sometimes', 'good')",1.0,0.013513513513513514
41,"('honestly',)",1.0,0.013157894736842105,"('lol', 'varies')",1,0.013333333333333334,"('lol', 'varies', 'sometimes')",1.0,0.013513513513513514
42,"('ive',)",1.0,0.013157894736842105,"('go', 'lol')",1,0.013333333333333334,"('go', 'lol', 'varies')",1.0,0.013513513513513514
43,"('quite',)",1.0,0.013157894736842105,"('thats', 'go')",1,0.013333333333333334,"('thats', 'go', 'lol')",1.0,0.013513513513513514
44,"('usually',)",1.0,0.013157894736842105,"('half', 'thats')",1,0.013333333333333334,"('half', 'thats', 'go')",1.0,0.013513513513513514
45,"('tuesdays',)",1.0,0.013157894736842105,"('tuesdays', 'half')",1,0.013333333333333334,"('tuesdays', 'half', 'thats')",1.0,0.013513513513513514
46,"('thats',)",1.0,0.013157894736842105,"('go', 'tuesdays')",1,0.013333333333333334,"('go', 'tuesdays', 'half')",1.0,0.013513513513513514
47,"('lol',)",1.0,0.013157894736842105,"('usually', 'go')",1,0.013333333333333334,"('usually', 'go', 'tuesdays')",1.0,0.013513513513513514
48,"('varies',)",1.0,0.013157894736842105,"('quite', 'usually')",1,0.013333333333333334,"('quite', 'usually', 'go')",1.0,0.013513513513513514
