,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('good',)",7.0,0.03482587064676617,"('spicy', 'mayo')",2.0,0.01,"('love', 'simple', 'yet')",1,0.005025125628140704
1,"('great',)",5.0,0.024875621890547265,"('coming', 'back')",2.0,0.01,"('really', 'good', 'bowl')",1,0.005025125628140704
2,"('back',)",5.0,0.024875621890547265,"('going', 'back')",2.0,0.01,"('bowl', 'deffinetly', 'going')",1,0.005025125628140704
3,"('get',)",4.0,0.01990049751243781,"('really', 'good')",2.0,0.01,"('deffinetly', 'going', 'back')",1,0.005025125628140704
4,"('delicious',)",4.0,0.01990049751243781,"('love', 'simple')",1.0,0.005,"('going', 'back', 'soon')",1,0.005025125628140704
5,"('bar',)",4.0,0.01990049751243781,"('deffinetly', 'going')",1.0,0.005,"('back', 'soon', 'amazing')",1,0.005025125628140704
6,"('bowl',)",4.0,0.01990049751243781,"('back', 'soon')",1.0,0.005,"('soon', 'amazing', 'let')",1,0.005025125628140704
7,"('will',)",3.0,0.014925373134328358,"('soon', 'amazing')",1.0,0.005,"('amazing', 'let', 'bring')",1,0.005025125628140704
8,"('going',)",3.0,0.014925373134328358,"('amazing', 'let')",1.0,0.005,"('let', 'bring', 'pets')",1,0.005025125628140704
9,"('sauce',)",3.0,0.014925373134328358,"('let', 'bring')",1.0,0.005,"('bring', 'pets', 'great')",1,0.005025125628140704
10,"('love',)",2.0,0.009950248756218905,"('bring', 'pets')",1.0,0.005,"('pets', 'great', 'hope')",1,0.005025125628140704
11,"('build',)",2.0,0.009950248756218905,"('pets', 'great')",1.0,0.005,"('great', 'hope', 'punch')",1,0.005025125628140704
12,"('know',)",2.0,0.009950248756218905,"('great', 'hope')",1.0,0.005,"('hope', 'punch', 'card')",1,0.005025125628140704
13,"('serve',)",2.0,0.009950248756218905,"('hope', 'punch')",1.0,0.005,"('punch', 'card', 'im')",1,0.005025125628140704
14,"('bowls',)",2.0,0.009950248756218905,"('good', 'bowl')",1.0,0.005,"('card', 'im', 'going')",1,0.005025125628140704
15,"('go',)",2.0,0.009950248756218905,"('punch', 'card')",1.0,0.005,"('im', 'going', 'regular')",1,0.005025125628140704
16,"('poke',)",2.0,0.009950248756218905,"('card', 'im')",1.0,0.005,"('going', 'regular', 'great')",1,0.005025125628140704
17,"('dry',)",2.0,0.009950248756218905,"('im', 'going')",1.0,0.005,"('regular', 'great', 'love')",1,0.005025125628140704
18,"('salad',)",2.0,0.009950248756218905,"('going', 'regular')",1.0,0.005,"('great', 'love', 'bar')",1,0.005025125628140704
19,"('really',)",2.0,0.009950248756218905,"('regular', 'great')",1.0,0.005,"('love', 'bar', 'people')",1,0.005025125628140704
20,"('drizzle',)",2.0,0.009950248756218905,"('great', 'love')",1.0,0.005,"('bar', 'people', 'around')",1,0.005025125628140704
21,"('spicy',)",2.0,0.009950248756218905,"('love', 'bar')",1.0,0.005,"('people', 'around', 'great')",1,0.005025125628140704
22,"('mayo',)",2.0,0.009950248756218905,"('bar', 'people')",1.0,0.005,"('around', 'great', 'will')",1,0.005025125628140704
23,"('around',)",2.0,0.009950248756218905,"('people', 'around')",1.0,0.005,"('good', 'bowl', 'deffinetly')",1,0.005025125628140704
24,"('amazing',)",2.0,0.009950248756218905,"('bowl', 'deffinetly')",1.0,0.005,"('pour', 'really', 'good')",1,0.005025125628140704
25,"('coming',)",2.0,0.009950248756218905,"('pour', 'really')",1.0,0.005,"('will', 'coming', 'back')",1,0.005025125628140704
26,"('let',)",2.0,0.009950248756218905,"('great', 'will')",1.0,0.005,"('rather', 'pour', 'really')",1,0.005025125628140704
27,"('like',)",2.0,0.009950248756218905,"('rather', 'pour')",1.0,0.005,"('crab', 'salad', 'hit')",1,0.005025125628140704
28,"('im',)",2.0,0.009950248756218905,"('good', 'crab')",1.0,0.005,"('salad', 'hit', 'miss')",1,0.005025125628140704
29,"('order',)",2.0,0.009950248756218905,"('crab', 'salad')",1.0,0.005,"('hit', 'miss', 'best')",1,0.005025125628140704
30,"('fresh',)",2.0,0.009950248756218905,"('salad', 'hit')",1.0,0.005,"('miss', 'best', 'go')",1,0.005025125628140704
31,"('chipotle',)",2.0,0.009950248756218905,"('hit', 'miss')",1.0,0.005,"('best', 'go', 'noon')",1,0.005025125628140704
32,"('line',)",2.0,0.009950248756218905,"('miss', 'best')",1.0,0.005,"('go', 'noon', 'overheard')",1,0.005025125628140704
33,"('deliciousnice',)",1.0,0.004975124378109453,"('best', 'go')",1.0,0.005,"('noon', 'overheard', 'complaints')",1,0.005025125628140704
34,"('people',)",1.0,0.004975124378109453,"('go', 'noon')",1.0,0.005,"('overheard', 'complaints', 'bowls')",1,0.005025125628140704
35,"('regular',)",1.0,0.004975124378109453,"('noon', 'overheard')",1.0,0.005,"('complaints', 'bowls', 'dry')",1,0.005025125628140704
36,"('card',)",1.0,0.004975124378109453,"('overheard', 'complaints')",1.0,0.005,"('bowls', 'dry', 'try')",1,0.005025125628140704
37,"('deffinetly',)",1.0,0.004975124378109453,"('complaints', 'bowls')",1.0,0.005,"('dry', 'try', 'drizzle')",1,0.005025125628140704
