,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('special',)",2,0.05263157894736842,"('yum', 'ive')",1,0.02702702702702703,"('yum', 'ive', 'craving')",1.0,0.027777777777777776
1,"('yum',)",1,0.02631578947368421,"('couple', 'bites')",1,0.02702702702702703,"('ive', 'craving', 'white')",1.0,0.027777777777777776
2,"('couple',)",1,0.02631578947368421,"('seafood', 'soup')",1,0.02702702702702703,"('bites', 'seafood', 'soup')",1.0,0.027777777777777776
3,"('seafood',)",1,0.02631578947368421,"('soup', 'special')",1,0.02702702702702703,"('seafood', 'soup', 'special')",1.0,0.027777777777777776
4,"('soup',)",1,0.02631578947368421,"('special', 'seaweed')",1,0.02702702702702703,"('soup', 'special', 'seaweed')",1.0,0.027777777777777776
5,"('seaweed',)",1,0.02631578947368421,"('seaweed', 'salad')",1,0.02702702702702703,"('special', 'seaweed', 'salad')",1.0,0.027777777777777776
6,"('salad',)",1,0.02631578947368421,"('salad', 'lisa')",1,0.02702702702702703,"('seaweed', 'salad', 'lisa')",1.0,0.027777777777777776
7,"('lisa',)",1,0.02631578947368421,"('lisa', 'special')",1,0.02702702702702703,"('salad', 'lisa', 'special')",1.0,0.027777777777777776
8,"('roll',)",1,0.02631578947368421,"('special', 'roll')",1,0.02702702702702703,"('lisa', 'special', 'roll')",1.0,0.027777777777777776
9,"('must',)",1,0.02631578947368421,"('roll', 'must')",1,0.02702702702702703,"('special', 'roll', 'must')",1.0,0.027777777777777776
10,"('love',)",1,0.02631578947368421,"('must', 'love')",1,0.02702702702702703,"('roll', 'must', 'love')",1.0,0.027777777777777776
11,"('raw',)",1,0.02631578947368421,"('love', 'raw')",1,0.02702702702702703,"('must', 'love', 'raw')",1.0,0.027777777777777776
12,"('fish',)",1,0.02631578947368421,"('raw', 'fish')",1,0.02702702702702703,"('love', 'raw', 'fish')",1.0,0.027777777777777776
13,"('great',)",1,0.02631578947368421,"('fish', 'great')",1,0.02702702702702703,"('raw', 'fish', 'great')",1.0,0.027777777777777776
14,"('choice',)",1,0.02631578947368421,"('great', 'choice')",1,0.02702702702702703,"('fish', 'great', 'choice')",1.0,0.027777777777777776
15,"('etc',)",1,0.02631578947368421,"('choice', 'etc')",1,0.02702702702702703,"('great', 'choice', 'etc')",1.0,0.027777777777777776
16,"('favorite',)",1,0.02631578947368421,"('etc', 'favorite')",1,0.02702702702702703,"('choice', 'etc', 'favorite')",1.0,0.027777777777777776
17,"('bites',)",1,0.02631578947368421,"('bites', 'seafood')",1,0.02702702702702703,"('couple', 'bites', 'seafood')",1.0,0.027777777777777776
18,"('take',)",1,0.02631578947368421,"('take', 'couple')",1,0.02702702702702703,"('take', 'couple', 'bites')",1.0,0.027777777777777776
19,"('ive',)",1,0.02631578947368421,"('ive', 'craving')",1,0.02702702702702703,"('flavors', 'take', 'couple')",1.0,0.027777777777777776
20,"('flavors',)",1,0.02631578947368421,"('flavors', 'take')",1,0.02702702702702703,"('philadelphia', 'rolled', 'big')",1.0,0.027777777777777776
21,"('craving',)",1,0.02631578947368421,"('craving', 'white')",1,0.02702702702702703,"('craving', 'white', 'tuna')",1.0,0.027777777777777776
22,"('white',)",1,0.02631578947368421,"('white', 'tuna')",1,0.02702702702702703,"('white', 'tuna', 'week')",1.0,0.027777777777777776
23,"('tuna',)",1,0.02631578947368421,"('tuna', 'week')",1,0.02702702702702703,"('tuna', 'week', 'toyo')",1.0,0.027777777777777776
24,"('week',)",1,0.02631578947368421,"('week', 'toyo')",1,0.02702702702702703,"('week', 'toyo', 'best')",1.0,0.027777777777777776
25,"('toyo',)",1,0.02631578947368421,"('toyo', 'best')",1,0.02702702702702703,"('toyo', 'best', 'philadelphia')",1.0,0.027777777777777776
26,"('best',)",1,0.02631578947368421,"('best', 'philadelphia')",1,0.02702702702702703,"('best', 'philadelphia', 'rolled')",1.0,0.027777777777777776
27,"('philadelphia',)",1,0.02631578947368421,"('philadelphia', 'rolled')",1,0.02702702702702703,"('rolled', 'big', 'prefer')",1.0,0.027777777777777776
28,"('rolled',)",1,0.02631578947368421,"('rolled', 'big')",1,0.02702702702702703,"('experience', 'flavors', 'take')",1.0,0.027777777777777776
29,"('big',)",1,0.02631578947368421,"('big', 'prefer')",1,0.02702702702702703,"('big', 'prefer', 'able')",1.0,0.027777777777777776
30,"('prefer',)",1,0.02631578947368421,"('prefer', 'able')",1,0.02702702702702703,"('prefer', 'able', 'pop')",1.0,0.027777777777777776
31,"('able',)",1,0.02631578947368421,"('able', 'pop')",1,0.02702702702702703,"('able', 'pop', '1')",1.0,0.027777777777777776
32,"('pop',)",1,0.02631578947368421,"('pop', '1')",1,0.02702702702702703,"('pop', '1', 'mouth')",1.0,0.027777777777777776
33,"('1',)",1,0.02631578947368421,"('1', 'mouth')",1,0.02702702702702703,"('1', 'mouth', 'experience')",1.0,0.027777777777777776
34,"('mouth',)",1,0.02631578947368421,"('mouth', 'experience')",1,0.02702702702702703,"('mouth', 'experience', 'flavors')",1.0,0.027777777777777776
35,"('experience',)",1,0.02631578947368421,"('experience', 'flavors')",1,0.02702702702702703,"('etc', 'favorite', 'spot')",1.0,0.027777777777777776
36,"('spot',)",1,0.02631578947368421,"('favorite', 'spot')",1,0.02702702702702703,,,
